onset,offset,role
75,82,harm
83,124,rhythm+harm
156,167,harm
167,189,rhythm+harm
193,198,harm
198,214,mel
214,226,rthythm
226,230,rhythm+harm
230,262,rthythm
262,266,harm
270,276,rhythm+harm
276,312,harm
316,339,mel+harm
352,399,mel
402,403,rthythm
406,414,rthythm
414,450,harm
450,463,rhythm+harm
466,502,harm
514,589,rthythm
589,664,harm
664,704,rthythm
719,737,harm
751,758,mel+harm
759,764,harm
767,772,harm
775,937,rthythm
948,949,rthythm
956,971,rthythm
974,991,harm
992,1053,rhythm+harm
1055,1071,rthythm
1071,1089,rhythm+harm
1089,1128,rthythm
1128,1224,mel+harm
1224,1270,rthythm
1270,1290,mel+harm
1298,1306,mel+harm
1314,1324,mel+harm
1361,1425,rthythm
