onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
3.0,4.0,66,F#4,1.0,0,1,4.0,bassoon1
4.0,4.5,57,A3,0.5,0,1,5.0,bassoon1
8.0,9.0,64,E4,1.0,0,2,4.0,bassoon1
9.0,9.5,57,A3,0.5,0,2,5.0,bassoon1
13.0,14.0,62,D4,1.0,0,3,4.0,bassoon1
14.0,14.5,57,A3,0.5,0,3,5.0,bassoon1
18.0,19.0,61,C#4,1.0,0,4,4.0,bassoon1
19.0,19.5,57,A3,0.5,0,4,5.0,bassoon1
23.0,24.0,66,F#4,1.0,0,5,4.0,bassoon1
24.0,24.5,58,A#3,0.5,0,5,5.0,bassoon1
28.0,29.0,62,D4,1.0,0,6,4.0,bassoon1
29.0,29.5,59,B3,0.5,0,6,5.0,bassoon1
33.0,34.5,68,G#4,1.5,0,7,4.0,bassoon1
35.0,35.5,67,G4,0.5,0,8,1.0,bassoon1
60.0,62.0,43,G2,2.0,0,13,1.0,bassoon1
62.0,62.5,42,F#2,0.5,0,13,3.0,bassoon1
65.0,69.5,50,D3,4.5,0,14,1.0,bassoon1
70.0,72.0,42,F#2,2.0,0,15,1.0,bassoon1
72.0,72.5,40,E2,0.5,0,15,3.0,bassoon1
75.0,76.0,49,C#3,1.0,0,16,1.0,bassoon1
76.0,77.5,45,A2,1.5,0,16,2.0,bassoon1
83.0,84.0,66,F#4,1.0,0,1,4.0,bassoon1
84.0,84.5,57,A3,0.5,0,1,5.0,bassoon1
88.0,89.0,64,E4,1.0,0,2,4.0,bassoon1
89.0,89.5,57,A3,0.5,0,2,5.0,bassoon1
93.0,94.0,62,D4,1.0,0,3,4.0,bassoon1
94.0,94.5,57,A3,0.5,0,3,5.0,bassoon1
98.0,99.0,61,C#4,1.0,0,4,4.0,bassoon1
99.0,99.5,57,A3,0.5,0,4,5.0,bassoon1
103.0,104.0,66,F#4,1.0,0,5,4.0,bassoon1
104.0,104.5,58,A#3,0.5,0,5,5.0,bassoon1
108.0,109.0,62,D4,1.0,0,6,4.0,bassoon1
109.0,109.5,59,B3,0.5,0,6,5.0,bassoon1
113.0,114.5,68,G#4,1.5,0,7,4.0,bassoon1
