onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
6.0,6.5,57,A3,0.5,0,2,2.0,horn3
11.0,12.0,62,D4,1.0,0,3,2.0,horn3
12.0,12.5,66,F#4,0.5,0,3,3.0,horn3
16.0,16.5,57,A3,0.5,0,4,2.0,horn3
31.0,31.5,66,F#4,0.5,0,7,2.0,horn3
86.0,86.5,57,A3,0.5,0,18,2.0,horn3
91.0,92.0,62,D4,1.0,0,19,2.0,horn3
92.0,92.5,66,F#4,0.5,0,19,3.0,horn3
96.0,96.5,57,A3,0.5,0,20,2.0,horn3
111.0,111.5,66,F#4,0.5,0,23,2.0,horn3
155.0,157.5,64,E4,2.5,0,32,1.0,horn3
163.0,163.5,69,A4,0.5,0,33,4.0,horn3
163.5,164.0,57,A3,0.5,0,33,4.5,horn3
164.0,164.5,57,A3,0.5,0,33,5.0,horn3
164.5,165.0,69,A4,0.5,0,33,5.5,horn3
168.0,168.5,69,A4,0.5,0,34,4.0,horn3
168.5,169.0,57,A3,0.5,0,34,4.5,horn3
169.0,169.5,57,A3,0.5,0,34,5.0,horn3
169.5,170.0,69,A4,0.5,0,34,5.5,horn3
173.0,173.5,69,A4,0.5,0,35,4.0,horn3
173.5,174.0,57,A3,0.5,0,35,4.5,horn3
174.0,174.5,57,A3,0.5,0,35,5.0,horn3
174.5,175.0,69,A4,0.5,0,35,5.5,horn3
178.0,178.5,69,A4,0.5,0,36,4.0,horn3
178.5,179.0,57,A3,0.5,0,36,4.5,horn3
179.0,179.5,57,A3,0.5,0,36,5.0,horn3
179.5,180.0,69,A4,0.5,0,36,5.5,horn3
183.0,183.5,69,A4,0.5,0,37,4.0,horn3
183.5,184.0,57,A3,0.5,0,37,4.5,horn3
184.0,184.5,57,A3,0.5,0,37,5.0,horn3
184.5,185.0,69,A4,0.5,0,37,5.5,horn3
188.0,188.5,69,A4,0.5,0,38,4.0,horn3
188.5,189.0,57,A3,0.5,0,38,4.5,horn3
189.0,189.5,57,A3,0.5,0,38,5.0,horn3
189.5,190.0,69,A4,0.5,0,38,5.5,horn3
193.0,193.5,66,F#4,0.5,0,39,4.0,horn3
193.5,194.0,54,F#3,0.5,0,39,4.5,horn3
194.0,194.5,54,F#3,0.5,0,39,5.0,horn3
194.5,195.0,66,F#4,0.5,0,39,5.5,horn3
