onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,0.5,50,D3,0.5,0,1,1.0,viola
5.0,5.5,50,D3,0.5,0,2,1.0,viola
7.0,7.5,52,E3,0.5,0,2,3.0,viola
10.0,10.5,50,D3,0.5,0,3,1.0,viola
15.0,15.5,50,D3,0.5,0,4,1.0,viola
17.0,17.5,52,E3,0.5,0,4,3.0,viola
20.0,20.5,52,E3,0.5,0,5,1.0,viola
25.0,25.5,54,F#3,0.5,0,6,1.0,viola
25.0,25.5,50,D3,0.5,0,6,1.0,viola
30.0,30.5,54,F#3,0.5,0,7,1.0,viola
32.0,32.5,52,E3,0.5,0,7,3.0,viola
35.0,35.5,52,E3,0.5,0,8,1.0,viola
39.0,39.5,49,C#3,0.5,0,8,5.0,viola
40.0,40.5,50,D3,0.5,0,9,1.0,viola
41.0,41.5,57,A3,0.5,0,9,2.0,viola
45.0,45.5,50,D3,0.5,0,10,1.0,viola
45.0,45.5,57,A3,0.5,0,10,1.0,viola
47.0,47.5,52,E3,0.5,0,10,3.0,viola
47.0,47.5,57,A3,0.5,0,10,3.0,viola
50.0,50.5,50,D3,0.5,0,11,1.0,viola
50.0,50.5,57,A3,0.5,0,11,1.0,viola
51.0,51.5,57,A3,0.5,0,11,2.0,viola
55.0,55.5,50,D3,0.5,0,12,1.0,viola
55.0,55.5,57,A3,0.5,0,12,1.0,viola
56.0,56.5,57,A3,0.5,0,12,2.0,viola
58.0,58.5,57,A3,0.5,0,12,4.0,viola
61.0,61.5,55,G3,0.5,0,13,2.0,viola
63.0,65.0,54,F#3,2.0,0,13,4.0,viola
65.0,70.0,54,F#3,5.0,0,14,1.0,viola
71.0,71.5,54,F#3,0.5,0,15,2.0,viola
73.0,75.0,52,E3,2.0,0,15,4.0,viola
75.0,77.5,52,E3,2.5,0,16,1.0,viola
80.0,80.5,50,D3,0.5,0,17,1.0,viola
85.0,85.5,50,D3,0.5,0,18,1.0,viola
87.0,87.5,52,E3,0.5,0,18,3.0,viola
90.0,90.5,50,D3,0.5,0,19,1.0,viola
95.0,95.5,50,D3,0.5,0,20,1.0,viola
97.0,97.5,52,E3,0.5,0,20,3.0,viola
100.0,100.5,52,E3,0.5,0,21,1.0,viola
105.0,105.5,54,F#3,0.5,0,22,1.0,viola
105.0,105.5,50,D3,0.5,0,22,1.0,viola
110.0,110.5,54,F#3,0.5,0,23,1.0,viola
112.0,112.5,52,E3,0.5,0,23,3.0,viola
115.0,115.5,52,E3,0.5,0,24,1.0,viola
119.0,119.5,49,C#3,0.5,0,24,5.0,viola
120.0,120.5,50,D3,0.5,0,25,1.0,viola
121.0,121.5,57,A3,0.5,0,25,2.0,viola
125.0,125.5,50,D3,0.5,0,26,1.0,viola
125.0,125.5,57,A3,0.5,0,26,1.0,viola
127.0,127.5,52,E3,0.5,0,26,3.0,viola
127.0,127.5,57,A3,0.5,0,26,3.0,viola
130.0,130.5,50,D3,0.5,0,27,1.0,viola
130.0,130.5,57,A3,0.5,0,27,1.0,viola
131.0,131.5,57,A3,0.5,0,27,2.0,viola
135.0,135.5,50,D3,0.5,0,28,1.0,viola
135.0,135.5,57,A3,0.5,0,28,1.0,viola
136.0,136.5,57,A3,0.5,0,28,2.0,viola
138.0,138.5,57,A3,0.5,0,28,4.0,viola
141.0,141.5,55,G3,0.5,0,29,2.0,viola
143.0,145.0,54,F#3,2.0,0,29,4.0,viola
145.0,150.0,54,F#3,5.0,0,30,1.0,viola
151.0,151.5,54,F#3,0.5,0,31,2.0,viola
153.0,155.0,52,E3,2.0,0,31,4.0,viola
155.0,157.5,64,E4,2.5,0,32,1.0,viola
155.0,157.5,52,E3,2.5,0,32,1.0,viola
160.0,161.0,64,E4,1.0,0,33,1.0,viola
161.0,162.0,71,B4,1.0,0,33,2.0,viola
162.0,162.33333333333334,71,B4,0.3333333333333333,0,33,3.0,viola
162.33333333333334,162.66666666666669,69,A4,0.3333333333333333,0,33,3.333333333333333,viola
162.66666666666666,163.0,71,B4,0.3333333333333333,0,33,3.6666666666666665,viola
163.0,164.0,69,A4,1.0,0,33,4.0,viola
164.0,165.0,67,G4,1.0,0,33,5.0,viola
165.0,165.5,66,F#4,0.5,0,34,1.0,viola
165.75,166.0,64,E4,0.25,0,34,1.75,viola
166.0,166.5,66,F#4,0.5,0,34,2.0,viola
166.75,167.0,67,G4,0.25,0,34,2.75,viola
167.0,170.0,66,F#4,3.0,0,34,3.0,viola
170.0,171.0,66,F#4,1.0,0,35,1.0,viola
171.0,172.0,62,D4,1.0,0,35,2.0,viola
172.0,172.33333333333334,66,F#4,0.3333333333333333,0,35,3.0,viola
172.33333333333334,172.66666666666669,64,E4,0.3333333333333333,0,35,3.333333333333333,viola
172.66666666666666,173.0,66,F#4,0.3333333333333333,0,35,3.6666666666666665,viola
173.0,174.0,67,G4,1.0,0,35,4.0,viola
174.0,175.0,69,A4,1.0,0,35,5.0,viola
175.0,175.5,69,A4,0.5,0,36,1.0,viola
175.75,176.0,66,F#4,0.25,0,36,1.75,viola
176.0,176.5,67,G4,0.5,0,36,2.0,viola
176.75,177.0,69,A4,0.25,0,36,2.75,viola
177.0,180.0,67,G4,3.0,0,36,3.0,viola
180.0,181.0,64,E4,1.0,0,37,1.0,viola
181.0,182.0,71,B4,1.0,0,37,2.0,viola
182.0,182.3333333333333,71,B4,0.3333333333333333,0,37,3.0,viola
182.3333333333333,182.66666666666669,69,A4,0.3333333333333333,0,37,3.333333333333333,viola
182.66666666666663,183.0,71,B4,0.3333333333333333,0,37,3.6666666666666665,viola
183.0,184.0,69,A4,1.0,0,37,4.0,viola
184.0,185.0,67,G4,1.0,0,37,5.0,viola
185.0,185.5,66,F#4,0.5,0,38,1.0,viola
185.75,186.0,64,E4,0.25,0,38,1.75,viola
186.0,186.5,66,F#4,0.5,0,38,2.0,viola
186.75,187.0,67,G4,0.25,0,38,2.75,viola
187.0,190.0,66,F#4,3.0,0,38,3.0,viola
190.0,191.0,66,F#4,1.0,0,39,1.0,viola
191.0,192.0,65,E#4,1.0,0,39,2.0,viola
192.0,192.3333333333333,66,F#4,0.3333333333333333,0,39,3.0,viola
192.3333333333333,192.66666666666669,68,G#4,0.3333333333333333,0,39,3.333333333333333,viola
192.66666666666663,193.0,66,F#4,0.3333333333333333,0,39,3.6666666666666665,viola
193.0,194.0,61,C#4,1.0,0,39,4.0,viola
194.0,195.0,62,D4,1.0,0,39,5.0,viola
195.0,195.5,63,D#4,0.5,0,40,1.0,viola
195.75,196.0,62,C##4,0.25,0,40,1.75,viola
196.0,196.5,63,D#4,0.5,0,40,2.0,viola
196.75,197.0,65,E#4,0.25,0,40,2.75,viola
197.0,197.5,66,F#4,0.5,0,40,3.0,viola
