onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
15.0,15.5,62,D4,0.5,0,4,1.0,violin1-2
17.0,17.5,61,C#4,0.5,0,4,3.0,violin1-2
20.0,20.5,55,G3,0.5,0,5,1.0,violin1-2
20.0,20.5,64,E4,0.5,0,5,1.0,violin1-2
25.0,25.5,59,B3,0.5,0,6,1.0,violin1-2
30.0,30.5,62,D4,0.5,0,7,1.0,violin1-2
32.0,32.5,59,B3,0.5,0,7,3.0,violin1-2
35.0,35.5,61,C#4,0.5,0,8,1.0,violin1-2
41.0,41.5,74,D5,0.5,0,9,2.0,violin1-2
42.0,44.0,74,D5,2.0,0,9,3.0,violin1-2
44.0,44.5,69,A4,0.5,0,9,5.0,violin1-2
45.0,45.5,74,D5,0.5,0,10,1.0,violin1-2
47.0,47.5,67,G4,0.5,0,10,3.0,violin1-2
47.0,47.5,76,E5,0.5,0,10,3.0,violin1-2
48.0,49.0,76,E5,1.0,0,10,4.0,violin1-2
49.0,49.5,69,A4,0.5,0,10,5.0,violin1-2
50.0,50.5,74,D5,0.5,0,11,1.0,violin1-2
51.0,51.5,69,A4,0.5,0,11,2.0,violin1-2
52.0,53.0,64,E4,1.0,0,11,3.0,violin1-2
53.0,54.0,66,F#4,1.0,0,11,4.0,violin1-2
54.0,55.0,67,G4,1.0,0,11,5.0,violin1-2
55.0,55.5,66,F#4,0.5,0,12,1.0,violin1-2
56.0,56.5,69,A4,0.5,0,12,2.0,violin1-2
57.0,58.5,69,A4,1.5,0,12,3.0,violin1-2
60.0,62.0,71,B4,2.0,0,13,1.0,violin1-2
62.0,65.0,70,A#4,3.0,0,13,3.0,violin1-2
65.0,70.0,66,F#4,5.0,0,14,1.0,violin1-2
70.0,72.0,69,A4,2.0,0,15,1.0,violin1-2
72.0,75.0,68,G#4,3.0,0,15,3.0,violin1-2
75.0,77.5,64,E4,2.5,0,16,1.0,violin1-2
95.0,95.5,62,D4,0.5,0,20,1.0,violin1-2
97.0,97.5,61,C#4,0.5,0,20,3.0,violin1-2
100.0,100.5,55,G3,0.5,0,21,1.0,violin1-2
100.0,100.5,64,E4,0.5,0,21,1.0,violin1-2
105.0,105.5,59,B3,0.5,0,22,1.0,violin1-2
110.0,110.5,62,D4,0.5,0,23,1.0,violin1-2
112.0,112.5,59,B3,0.5,0,23,3.0,violin1-2
115.0,115.5,61,C#4,0.5,0,24,1.0,violin1-2
121.0,121.5,74,D5,0.5,0,25,2.0,violin1-2
122.0,124.0,74,D5,2.0,0,25,3.0,violin1-2
124.0,124.5,69,A4,0.5,0,25,5.0,violin1-2
125.0,125.5,74,D5,0.5,0,26,1.0,violin1-2
127.0,127.5,67,G4,0.5,0,26,3.0,violin1-2
127.0,127.5,76,E5,0.5,0,26,3.0,violin1-2
128.0,129.0,76,E5,1.0,0,26,4.0,violin1-2
129.0,129.5,69,A4,0.5,0,26,5.0,violin1-2
130.0,130.5,74,D5,0.5,0,27,1.0,violin1-2
131.0,131.5,69,A4,0.5,0,27,2.0,violin1-2
132.0,133.0,64,E4,1.0,0,27,3.0,violin1-2
133.0,134.0,66,F#4,1.0,0,27,4.0,violin1-2
134.0,135.0,67,G4,1.0,0,27,5.0,violin1-2
135.0,135.5,66,F#4,0.5,0,28,1.0,violin1-2
136.0,136.5,69,A4,0.5,0,28,2.0,violin1-2
137.0,138.5,69,A4,1.5,0,28,3.0,violin1-2
140.0,142.0,71,B4,2.0,0,29,1.0,violin1-2
142.0,145.0,70,A#4,3.0,0,29,3.0,violin1-2
145.0,150.0,66,F#4,5.0,0,30,1.0,violin1-2
150.0,152.0,69,A4,2.0,0,31,1.0,violin1-2
152.0,155.0,68,G#4,3.0,0,31,3.0,violin1-2
157.0,157.5,73,C#5,0.5,0,31,3.0,violin1-2
157.5,158.0,74,D5,0.5,0,31,3.5,violin1-2
158.0,158.5,76,E5,0.5,0,31,4.0,violin1-2
158.5,159.0,78,F#5,0.5,0,31,4.5,violin1-2
159.0,159.5,79,G5,0.5,0,31,5.0,violin1-2
159.5,160.0,81,A5,0.5,0,31,5.5,violin1-2
160.0,161.0,83,B5,1.0,0,32,1.0,violin1-2
161.0,162.0,76,E5,1.0,0,32,2.0,violin1-2
162.0,162.33333333333334,76,E5,1/3,0,32,3.0,violin1-2
487/3,488/3,74,D5,1/3,0,32,10/3,violin1-2
488/3,163,76,E5,1/3,0,32,11/3,violin1-2
163.0,164.0,78,F#5,1.0,0,32,4.0,violin1-2
164.0,165.0,79,G5,1.0,0,32,5.0,violin1-2
165.0,165.5,81,A5,0.5,0,33,1.0,violin1-2
165.75,166.0,83,B5,0.25,0,33,1.75,violin1-2
166.0,166.5,81,A5,0.5,0,33,2.0,violin1-2
166.75,167.0,79,G5,0.25,0,33,2.75,violin1-2
167.0,170.0,81,A5,3.0,0,33,3.0,violin1-2
170.0,171.0,81,A5,1.0,0,34,1.0,violin1-2
171.0,172.0,86,D6,1.0,0,34,2.0,violin1-2
172.0,172.33333333333334,81,A5,1/3,0,34,3.0,violin1-2
517/3,518/3,83,B5,1/3,0,34,10/3,violin1-2
518/3,173,81,A5,1/3,0,34,11/3,violin1-2
173.0,174.0,79,G5,1.0,0,34,4.0,violin1-2
174.0,175.0,78,F#5,1.0,0,34,5.0,violin1-2
175.0,175.5,78,F#5,0.5,0,35,1.0,violin1-2
175.75,176.0,81,A5,0.25,0,35,1.75,violin1-2
176.0,176.5,79,G5,0.5,0,35,2.0,violin1-2
176.75,177.0,74,D5,0.25,0,35,2.75,violin1-2
177.0,180.0,76,E5,3.0,0,35,3.0,violin1-2
180.0,181.0,83,B5,1.0,0,36,1.0,violin1-2
181.0,182.0,76,E5,1.0,0,36,2.0,violin1-2
182.0,182.33333333333334,76,E5,1/3,0,36,3.0,violin1-2
547/3,548/3,74,D5,1/3,0,36,10/3,violin1-2
548/3,183,76,E5,1/3,0,36,11/3,violin1-2
183.0,184.0,78,F#5,1.0,0,36,4.0,violin1-2
184.0,185.0,79,G5,1.0,0,36,5.0,violin1-2
185.0,185.5,81,A5,0.5,0,37,1.0,violin1-2
