onset,offset,role
0.0,36.0,harm
40.0,60.0,mel
60.0,75.0,mel+rhythm
75.0,80.0,mel+rhythm
80.0,116.0,harm
120.0,140.0,mel
140.0,155.0,mel+rhythm
155.0,160.0,mel+rhythm
160.0,240.0,harm+rhythm
240.0,260.0,mel
260.0,270.0,mel+rhythm
270.0,282.5,mel
282.5,300.0,harm
300.0,320.0,mel
320.0,350.0,harm
360.0,400.0,harm
400.0,440.0,harm
465.0,480.0,mel
505.0,520.0,mel
520.0,560.0,harm
565.0,635.0,mel
635.0,675.0,harm
675.0,695.0,mel
695.0,715.0,mel+rhythm
715.0,795.0,harm+rhythm
795.0,815.0,mel
815.0,825.0,mel+rhythm
825.0,838.0,mel
837.0,855.0,rhythm
855.0,875.0,mel
875.0,905.0,harm
915.0,925.0,mel
925.0,935.0,harm
960.0,975.0,harm
985.0,990.0,mel
1010.0,1040.0,mel
