onset,offset,key,degree,quality,inversion,roman number
0,1,G,1,M,0,I
1,3,G,2,m,0,ii
3,4,G,1,M,0,I
4,8,G,2,m,0,ii
8,12,G,5,D7,0,V7
12,16,G,1,M,0,I
16,17,G,1,M,0,I
17,19,G,2,m,0,ii
19,20,G,1,M,0,I
20,24,G,2,m,0,ii
24,28,G,5/6,D7,0,V7/vi
28,44,G,6,m,0,vi
44,52,G,5,D7,0,V7
52,104,G,3,m,0,iii
104,144,G,5,M,2,V64
144,168,G,1,M,0,I
168,172,G,5,M,0,V
172,176,G,1,M,0,I
176,192,E-,1,M,1,I6
192,208,E-,+5,M,2,+V64
208,244,E,5,M,2,V64
244,248,E,1,m,2,i64
248,252,E,5,M,2,V64
252,256,E,1,m,2,i64
256,260,E,5,M,2,V64
260,264,E,4,m,0,iv
264,268,E,5,M,0,V
268,272,E,1,m,0,i
272,276,E,5,M,0,V
276,280,E,5,D7,0,V7
280,304,E,1,M,0,I
304,306,E,1,M,1,I6
306,308,E,6,m,0,vi
308,310,E,4,M,2,IV64
310,316,E,2,m,0,ii
316,318,E,6,m,1,vi6
318,320,E,5,M,0,V
320,344,E,1,M,0,I
344,346,E,-6,M,1,-VI6
346,348,E,5/-6,M,0,V/-VI
348,350,E,-6,M,0,-VI
350,352,E,1,M,0,I
352,354,E,1/6,m,2,i64/vi
354,356,E,5/6,D7,0,V7/vi
356,359,E,6,m,0,vi
359,360,E,7/6,d,1,vii-6/vi
360,364,E,6,m,1,vi6
364,368,E,2,m,0,ii
368,372,E,-7,M,0,-VII
372,376,E,-6,M,1,-VI6
376,381,E,3,d,0,iii-
381,382,E,5,D7,0,V7
382,384,E,1,M,0,I
384,389,E,5,M,0,V
389,390,E,5/5,m7,0,v7/V
390,396,E,1,m,2,i64
396,405,E,5,M,0,V
405,406,E,5/5,m7,0,v7/V
406,415,E,6,m,2,vi64
415,416,E,5/6,M,0,V/vi
416,420,E,5,M,0,V
420,422,E,5/5,m7,0,v7/V
422,428,E,1,m,2,i64
428,436,E,5,M,0,V
436,438,E,-4,M,0,-IV
438,440,E,5/-7,D7,0,V7/-VII
440,441,E,2,M,0,II
441,442,E,1,M,0,I
442,443,E,5/6,D7,0,V7/vi
443,444,E,6,m,0,vi
444,445,E,5/3,D7,0,V7/III
445,448,E,5,D7,0,V7
448,472,E,1,M,0,I
472,474,E,1,M,1,I6
474,476,E,6,m,0,vi
476,478,E,4,M,2,IV64
478,484,E,2,m,0,ii
484,486,E,6,m,1,vi6
486,488,E,5,M,0,V
488,512,E,1,M,0,I
512,514,C,1,M,1,I6
514,516,C,5,M,0,V
516,518,C,1,M,0,I
518,520,C,5,M,0,V
520,528,C,1,M,0,I
528,530,C,1,M,1,I6
530,532,C,5,M,0,V
532,534,C,1,M,0,I
534,536,C,5,M,0,V
536,544,C,1,M,0,I
544,545,C,1,M,1,I6
545,546,C,5,M,0,V
546,547,C,1,M,0,I
547,548,C,5,M,0,V
548,549,C,1,M,1,I6
549,550,C,5,M,0,V
550,551,C,1,M,0,I
551,552,C,5,M,0,V
552,560,G,1,M,0,I
560,564,G,5,D7,0,V7
564,576,G,1,M,0,I
576,580,G,5/6,D7,0,V7/vi
580,600,G,6,m,0,vi
600,616,G,4,M,0,IV
616,624,G,5,D7,0,V7
624,656,G,3,m,0,iii
656,696,G,5,M,2,V64
696,704,G,1,M,0,I
704,708,G,5,D7,0,V7
708,720,G,1,M,0,I
720,724,G,5,D7,0,V7
724,728,G,1,M,0,I
728,736,E-,1,M,1,I6
736,738,E-,5,M,0,V
738,740,E-,1,M,1,I6
740,742,E-,5,M,0,V
742,744,E-,1,M,1,I6
744,512,E-,5,D7,3,V42
512,520,E-,5,M,0,V
520,524,G,5,M,2,V64
