onset,offset,role
8,16,harm
24,32,harm
112,120,harm
121,144,harm
152,156,rhythm
156,160,harm
168,176,rhythm
180,208,mel
216,228,mel+rhythm
232,240,mel+rhythm
240,273,harm
273,280,rhythm
280,321,mel+rhythm
324,343,rhythm+harm
344,351,harm
352,360,rhythm
360,369,harm
369,381,rhythm+harm
381,384,harm
390,432,harm
440,448,harm
448,489,mel+rhythm
492,511,rhythm+harm
511,520,harm
520,527,mel+rhythm
528,536,harm
536,544,mel+rhythm
544,545,harm
545,552,mel+rhythm
560,564,rhythm
566,568,harm
576,580,rhythm
585,584,harm
664,680,harm
680,696,rhythm
704,708,rhythm
708,712,harm
720,726,rhythm
732,760,mel
760,768,rhythm
768,776,mel
788,881,mel+rhythm
884,912,mel
912,919,harm
919,953,mel+rhythm
953,956,harm
956,1001,mel+rhythm
1001,1016,rhythm+harm
1024,1064,harm
1076,1096,harm
1100,1120,mel+rhythm
1120,1132,harm
1132,1169,mel+rhythm
1169,1175,harm
1175,1212,mel+rhythm
1212,1228,rhythm
1228,1244,mel+rhythm
1244,1260,mel
1264,1292,harm
1292,1329,mel+rhythm
1329,1335,mel
1335,1348,rhythm
1348,1357,mel
1358,1388,harm
