onset,offset,role
56,64,mel+rhythm
80,89,rhythm+harm
96,105,rhythm+harm
118,121,rhythm+harm
178,184,harm
195,200,harm
220,224,mel+rhythm
236,240,mel+rhythm
244,273,mel+rhythm
359,364,harm
369,384,rhythm+harm
520,528,harm
536,552,harm
608,616,mel+rhythm
632,641,rhythm+harm
648,657,rhythm+harm
670,673,rhythm
731,736,rhythm
747,752,harm
768,776,harm
792,840,mel+rhythm
840,845,harm
845,881,mel+rhythm
912,916,harm
916,920,rhythm+harm
920,924,harm
924,928,rhythm+harm
928,952,harm
952,968,rhythm+harm
968,1001,harm
1001,1016,rhythm+harm
1016,1022,harm
1032,1038,mel
1048,1054,mel
1064,1072,mel
1072,1084,mel
1084,1088,harm
1088,1092,mel
1092,1096,harm
1100,1120,mel+rhythm
1120,1127,harm
1128,1144,rhythm+harm
1144,1168,harm
1168,1184,rhythm+harm
1184,1244,harm
1244,1260,rhythm+harm
1276,1293,mel
1292,1301,rhythm+harm
1301,1316,harm
1316,1329,mel+rhythm
1332,1340,harm
1340,1348,harm
1348,1360,harm
1360,1376,mel
