onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
48.0,48.5,45,A2,0.5,0,13,1.0,basstrombone
49.0,49.5,40,E2,0.5,0,13,2.0,basstrombone
49.75,50.0,40,E2,0.25,0,13,2.75,basstrombone
50.0,50.5,45,A2,0.5,0,13,3.0,basstrombone
51.0,51.5,40,E2,0.5,0,13,4.0,basstrombone
52.0,52.25,45,A2,0.25,0,14,1.0,basstrombone
52.5,54.5,50,D3,2.0,0,14,1.5,basstrombone
191.0,191.33333333333331,46,A#2,0.3333333333333333,0,48,4.0,basstrombone
191.33333333333331,191.66666666666669,46,A#2,0.3333333333333333,0,48,4.333333333333333,basstrombone
191.66666666666663,192.0,46,A#2,0.3333333333333333,0,48,4.666666666666667,basstrombone
192.0,200.33333333333331,42,F#2,8.333333333333334,0,49,1.0,basstrombone
212.0,213.0,47,B2,1.0,0,54,1.0,basstrombone
213.0,213.5,47,B2,0.5,0,54,2.0,basstrombone
213.75,214.0,47,B2,0.25,0,54,2.75,basstrombone
214.0,214.5,42,F#2,0.5,0,54,3.0,basstrombone
228.0,229.0,47,B2,1.0,0,58,1.0,basstrombone
229.0,229.5,47,B2,0.5,0,58,2.0,basstrombone
229.75,230.0,47,B2,0.25,0,58,2.75,basstrombone
230.0,230.5,42,F#2,0.5,0,58,3.0,basstrombone
244.0,244.5,55,G3,0.5,0,62,1.0,basstrombone
245.0,245.5,48,C3,0.5,0,62,2.0,basstrombone
245.75,246.0,48,C3,0.25,0,62,2.75,basstrombone
246.0,246.5,55,G3,0.5,0,62,3.0,basstrombone
247.0,247.5,48,C3,0.5,0,62,4.0,basstrombone
248.0,248.5,54,F#3,0.5,0,63,1.0,basstrombone
256.0,256.5,47,B2,0.5,0,65,1.0,basstrombone
257.0,257.5,42,F#2,0.5,0,65,2.0,basstrombone
257.75,258.0,42,F#2,0.25,0,65,2.75,basstrombone
258.0,258.5,47,B2,0.5,0,65,3.0,basstrombone
259.0,259.5,42,F#2,0.5,0,65,4.0,basstrombone
260.0,260.5,47,B2,0.5,0,66,1.0,basstrombone
260.5,261.0,52,E3,0.5,0,66,1.5,basstrombone
264.0,264.5,47,B2,0.5,0,67,1.0,basstrombone
265.0,265.5,42,F#2,0.5,0,67,2.0,basstrombone
265.75,266.0,42,F#2,0.25,0,67,2.75,basstrombone
266.0,266.5,47,B2,0.5,0,67,3.0,basstrombone
267.0,267.5,42,F#2,0.5,0,67,4.0,basstrombone
268.0,268.5,47,B2,0.5,0,68,1.0,basstrombone
268.5,269.0,52,E3,0.5,0,68,1.5,basstrombone
272.0,272.5,47,B2,0.5,0,69,1.0,basstrombone
348.0,348.5,48,C3,0.5,0,88,1.0,basstrombone
350.0,350.5,52,E3,0.5,0,88,3.0,basstrombone
512.0,512.5,40,E2,0.5,0,129,1.0,basstrombone
514.0,514.5,43,G2,0.5,0,129,3.0,basstrombone
516.0,516.5,48,C3,0.5,0,130,1.0,basstrombone
518.0,518.5,55,G3,0.5,0,130,3.0,basstrombone
528.0,528.5,40,E2,0.5,0,133,1.0,basstrombone
530.0,530.5,43,G2,0.5,0,133,3.0,basstrombone
532.0,532.5,48,C3,0.5,0,134,1.0,basstrombone
534.0,534.5,55,G3,0.5,0,134,3.0,basstrombone
600.0,600.5,45,A2,0.5,0,151,1.0,basstrombone
601.0,601.5,40,E2,0.5,0,151,2.0,basstrombone
601.75,602.0,40,E2,0.25,0,151,2.75,basstrombone
602.0,602.5,45,A2,0.5,0,151,3.0,basstrombone
603.0,603.5,40,E2,0.5,0,151,4.0,basstrombone
604.0,604.25,45,A2,0.25,0,152,1.0,basstrombone
604.5,606.5,50,D3,2.0,0,152,1.5,basstrombone
768.0,769.0,45,A2,1.0,0,193,1.0,basstrombone
769.0,770.0,50,D3,1.0,0,193,2.0,basstrombone
770.0,772.0,54,F#3,2.0,0,193,3.0,basstrombone
772.0,773.0,50,D3,1.0,0,194,1.0,basstrombone
773.0,774.0,54,F#3,1.0,0,194,2.0,basstrombone
774.0,774.5,57,A3,0.5,0,194,3.0,basstrombone
816.0,816.5,50,D3,0.5,0,205,1.0,basstrombone
817.0,817.5,45,A2,0.5,0,205,2.0,basstrombone
817.75,818.0,45,A2,0.25,0,205,2.75,basstrombone
818.0,818.5,50,D3,0.5,0,205,3.0,basstrombone
819.0,819.5,45,A2,0.5,0,205,4.0,basstrombone
820.0,820.5,50,D3,0.5,0,206,1.0,basstrombone
820.5,821.0,55,G3,0.5,0,206,1.5,basstrombone
822.0,836.5,45,A2,14.5,0,206,3.0,basstrombone
844.0,844.125,50,D3,0.125,0,212,1.0,basstrombone
848.0,848.5,50,D3,0.5,0,213,1.0,basstrombone
849.0,849.5,45,A2,0.5,0,213,2.0,basstrombone
849.75,850.0,45,A2,0.25,0,213,2.75,basstrombone
850.0,850.5,50,D3,0.5,0,213,3.0,basstrombone
851.0,851.5,45,A2,0.5,0,213,4.0,basstrombone
852.0,852.5,50,D3,0.5,0,214,1.0,basstrombone
852.5,856.0,55,G3,3.5,0,214,1.5,basstrombone
856.0,856.5,50,D3,0.5,0,215,1.0,basstrombone
857.0,857.5,45,A2,0.5,0,215,2.0,basstrombone
857.75,858.0,45,A2,0.25,0,215,2.75,basstrombone
858.0,858.5,50,D3,0.5,0,215,3.0,basstrombone
859.0,859.5,45,A2,0.5,0,215,4.0,basstrombone
860.0,860.5,50,D3,0.5,0,216,1.0,basstrombone
860.5,864.0,55,G3,3.5,0,216,1.5,basstrombone
864.0,864.5,50,D3,0.5,0,217,1.0,basstrombone
865.0,865.5,45,A2,0.5,0,217,2.0,basstrombone
865.75,866.0,45,A2,0.25,0,217,2.75,basstrombone
866.0,866.5,50,D3,0.5,0,217,3.0,basstrombone
867.0,867.5,55,G3,0.5,0,217,4.0,basstrombone
867.75,868.0,55,G3,0.25,0,217,4.75,basstrombone
868.0,868.5,50,D3,0.5,0,218,1.0,basstrombone
869.0,869.5,45,A2,0.5,0,218,2.0,basstrombone
869.75,870.0,45,A2,0.25,0,218,2.75,basstrombone
870.0,870.5,50,D3,0.5,0,218,3.0,basstrombone
871.0,871.5,55,G3,0.5,0,218,4.0,basstrombone
871.75,872.0,55,G3,0.25,0,218,4.75,basstrombone
872.0,872.6666666666666,50,D3,0.6666666666666666,0,219,1.0,basstrombone
872.6666666666666,873.0,50,D3,0.3333333333333333,0,219,1.6666666666666667,basstrombone
873.0,873.6666666666666,45,A2,0.6666666666666666,0,219,2.0,basstrombone
873.6666666666666,874.0,45,A2,0.3333333333333333,0,219,2.6666666666666665,basstrombone
874.0,874.6666666666666,50,D3,0.6666666666666666,0,219,3.0,basstrombone
874.6666666666666,875.0,50,D3,0.3333333333333333,0,219,3.6666666666666665,basstrombone
875.0,875.6666666666666,55,G3,0.6666666666666666,0,219,4.0,basstrombone
875.6666666666666,876.0,55,G3,0.3333333333333333,0,219,4.666666666666667,basstrombone
876.0,876.6666666666666,50,D3,0.6666666666666666,0,220,1.0,basstrombone
876.6666666666666,877.0,50,D3,0.3333333333333333,0,220,1.6666666666666667,basstrombone
877.0,877.6666666666666,45,A2,0.6666666666666666,0,220,2.0,basstrombone
877.6666666666666,878.0,45,A2,0.3333333333333333,0,220,2.6666666666666665,basstrombone
878.0,878.6666666666666,50,D3,0.6666666666666666,0,220,3.0,basstrombone
878.6666666666666,879.0,50,D3,0.3333333333333333,0,220,3.6666666666666665,basstrombone
879.0,879.6666666666666,55,G3,0.6666666666666666,0,220,4.0,basstrombone
879.6666666666666,880.0,55,G3,0.3333333333333333,0,220,4.666666666666667,basstrombone
880.0,880.3333333333334,50,D3,0.3333333333333333,0,221,1.0,basstrombone
880.3333333333334,880.6666666666667,50,D3,0.3333333333333333,0,221,1.3333333333333333,basstrombone
912.0,912.5,59,B3,0.5,0,229,1.0,basstrombone
913.0,913.5,57,A3,0.5,0,229,2.0,basstrombone
914.0,914.5,55,G3,0.5,0,229,3.0,basstrombone
915.0,915.5,54,F#3,0.5,0,229,4.0,basstrombone
916.0,916.5,52,E3,0.5,0,230,1.0,basstrombone
917.0,917.5,51,E-3,0.5,0,230,2.0,basstrombone
918.0,918.5,50,D3,0.5,0,230,3.0,basstrombone
919.0,919.5,48,C3,0.5,0,230,4.0,basstrombone
920.0,920.5,47,B2,0.5,0,231,1.0,basstrombone
921.0,921.5,45,A2,0.5,0,231,2.0,basstrombone
922.0,922.5,43,G2,0.5,0,231,3.0,basstrombone
923.0,923.5,42,F#2,0.5,0,231,4.0,basstrombone
924.0,924.5,40,E2,0.5,0,232,1.0,basstrombone
925.0,925.5,39,E-2,0.5,0,232,2.0,basstrombone
926.0,926.5,38,D2,0.5,0,232,3.0,basstrombone
928.0,928.5,59,B3,0.5,0,233,1.0,basstrombone
929.0,929.5,57,A3,0.5,0,233,2.0,basstrombone
930.0,930.5,55,G3,0.5,0,233,3.0,basstrombone
931.0,931.5,54,F#3,0.5,0,233,4.0,basstrombone
932.0,932.5,52,E3,0.5,0,234,1.0,basstrombone
933.0,933.5,51,E-3,0.5,0,234,2.0,basstrombone
934.0,934.5,50,D3,0.5,0,234,3.0,basstrombone
936.0,936.5,47,B2,0.5,0,235,1.0,basstrombone
938.0,938.5,52,E3,0.5,0,235,3.0,basstrombone
940.0,940.5,55,G3,0.5,0,236,1.0,basstrombone
942.0,942.5,60,C4,0.5,0,236,3.0,basstrombone
942.5,943.0,62,D4,0.5,0,236,3.5,basstrombone
943.0,943.5,64,E4,0.5,0,236,4.0,basstrombone
943.5,944.0,66,F#4,0.5,0,236,4.5,basstrombone
944.0,944.5,67,G4,0.5,0,237,1.0,basstrombone
944.5,945.0,66,F#4,0.5,0,237,1.5,basstrombone
945.0,945.5,64,E4,0.5,0,237,2.0,basstrombone
945.5,946.0,62,D4,0.5,0,237,2.5,basstrombone
946.0,946.5,61,C#4,0.5,0,237,3.0,basstrombone
946.5,947.0,60,C4,0.5,0,237,3.5,basstrombone
947.0,947.5,59,B3,0.5,0,237,4.0,basstrombone
947.5,948.0,57,A3,0.5,0,237,4.5,basstrombone
948.0,949.0,43,G2,1.0,0,238,1.0,basstrombone
949.0,949.3333333333334,43,G2,0.3333333333333333,0,238,2.0,basstrombone
949.3333333333334,949.6666666666669,43,G2,0.3333333333333333,0,238,2.333333333333333,basstrombone
949.6666666666666,950.0,43,G2,0.3333333333333333,0,238,2.6666666666666665,basstrombone
950.0,950.5,47,B2,0.5,0,238,3.0,basstrombone
950.5,951.0,50,D3,0.5,0,238,3.5,basstrombone
952.0,952.5,59,B3,0.5,0,239,1.0,basstrombone
953.0,953.5,57,A3,0.5,0,239,2.0,basstrombone
954.0,954.5,55,G3,0.5,0,239,3.0,basstrombone
955.0,955.5,54,F#3,0.5,0,239,4.0,basstrombone
956.0,956.5,52,E3,0.5,0,240,1.0,basstrombone
957.0,957.5,51,E-3,0.5,0,240,2.0,basstrombone
958.0,958.5,50,D3,0.5,0,240,3.0,basstrombone
959.0,959.5,48,C3,0.5,0,240,4.0,basstrombone
960.0,960.5,47,B2,0.5,0,241,1.0,basstrombone
961.0,961.5,45,A2,0.5,0,241,2.0,basstrombone
962.0,962.5,43,G2,0.5,0,241,3.0,basstrombone
963.0,963.5,42,F#2,0.5,0,241,4.0,basstrombone
964.0,964.5,40,E2,0.5,0,242,1.0,basstrombone
965.0,965.5,39,E-2,0.5,0,242,2.0,basstrombone
966.0,966.5,38,D2,0.5,0,242,3.0,basstrombone
968.0,968.5,59,B3,0.5,0,243,1.0,basstrombone
969.0,969.5,57,A3,0.5,0,243,2.0,basstrombone
970.0,970.5,55,G3,0.5,0,243,3.0,basstrombone
971.0,971.5,54,F#3,0.5,0,243,4.0,basstrombone
972.0,972.5,52,E3,0.5,0,244,1.0,basstrombone
973.0,973.5,51,E-3,0.5,0,244,2.0,basstrombone
974.0,974.5,50,D3,0.5,0,244,3.0,basstrombone
976.0,976.5,43,G2,0.5,0,245,1.0,basstrombone
976.5,977.0,41,F2,0.5,0,245,1.5,basstrombone
977.0,977.5,43,G2,0.5,0,245,2.0,basstrombone
977.5,978.0,44,A-2,0.5,0,245,2.5,basstrombone
978.0,978.5,46,B-2,0.5,0,245,3.0,basstrombone
978.5,979.0,48,C3,0.5,0,245,3.5,basstrombone
979.0,979.5,49,C#3,0.5,0,245,4.0,basstrombone
979.5,980.0,50,D3,0.5,0,245,4.5,basstrombone
980.0,980.5,51,E-3,0.5,0,246,1.0,basstrombone
982.0,982.5,43,G2,0.5,0,246,3.0,basstrombone
985.0,985.5,47,B2,0.5,0,247,2.0,basstrombone
985.75,986.0,48,C3,0.25,0,247,2.75,basstrombone
986.0,986.5,49,C#3,0.5,0,247,3.0,basstrombone
987.0,987.5,51,D#3,0.5,0,247,4.0,basstrombone
988.0,988.5,52,E3,0.5,0,248,1.0,basstrombone
989.0,989.5,49,C#3,0.5,0,248,2.0,basstrombone
989.75,990.0,51,D#3,0.25,0,248,2.75,basstrombone
990.0,990.5,52,E3,0.5,0,248,3.0,basstrombone
991.0,991.5,54,F#3,0.5,0,248,4.0,basstrombone
992.0,992.5,55,G3,0.5,0,249,1.0,basstrombone
993.0,993.5,56,G#3,0.5,0,249,2.0,basstrombone
994.0,994.5,57,A3,0.5,0,249,3.0,basstrombone
995.0,995.5,47,B2,0.5,0,249,4.0,basstrombone
996.0,996.5,48,C3,0.5,0,250,1.0,basstrombone
997.0,997.5,49,C#3,0.5,0,250,2.0,basstrombone
