onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
144.0,144.5,103,G7,0.5,0,37,1.0,piccolo
145.0,145.5,98,D7,0.5,0,37,2.0,piccolo
146.0,146.5,93,A6,0.5,0,37,3.0,piccolo
147.0,147.5,88,E6,0.5,0,37,4.0,piccolo
148.0,148.5,93,A6,0.5,0,38,1.0,piccolo
149.0,149.5,98,D7,0.5,0,38,2.0,piccolo
150.0,150.5,95,B6,0.5,0,38,3.0,piccolo
151.0,151.5,86,D6,0.5,0,38,4.0,piccolo
151.5,152.0,88,E6,0.5,0,38,4.5,piccolo
152.0,152.5,90,F#6,0.5,0,39,1.0,piccolo
152.5,153.0,91,G6,0.5,0,39,1.5,piccolo
153.0,153.5,93,A6,0.5,0,39,2.0,piccolo
153.5,154.0,95,B6,0.5,0,39,2.5,piccolo
154.0,154.5,96,C7,0.5,0,39,3.0,piccolo
155.0,155.5,95,B6,0.5,0,39,4.0,piccolo
155.5,156.0,93,A6,0.5,0,39,4.5,piccolo
156.0,156.5,98,D7,0.5,0,40,1.0,piccolo
157.0,157.5,91,G6,0.5,0,40,2.0,piccolo
158.0,158.5,91,G6,0.5,0,40,3.0,piccolo
168.0,168.33333333333334,100,E7,0.3333333333333333,0,43,1.0,piccolo
168.33333333333334,168.66666666666669,98,D7,0.3333333333333333,0,43,1.3333333333333333,piccolo
168.66666666666666,169.0,100,E7,0.3333333333333333,0,43,1.6666666666666667,piccolo
169.0,169.33333333333334,98,D7,0.3333333333333333,0,43,2.0,piccolo
169.33333333333334,169.66666666666669,100,E7,0.3333333333333333,0,43,2.333333333333333,piccolo
169.66666666666666,170.0,98,D7,0.3333333333333333,0,43,2.6666666666666665,piccolo
170.0,170.33333333333334,100,E7,0.3333333333333333,0,43,3.0,piccolo
170.33333333333334,170.66666666666669,98,D7,0.3333333333333333,0,43,3.333333333333333,piccolo
170.66666666666666,171.0,100,E7,0.3333333333333333,0,43,3.6666666666666665,piccolo
171.0,171.33333333333334,98,D7,0.3333333333333333,0,43,4.0,piccolo
171.33333333333334,171.66666666666669,100,E7,0.3333333333333333,0,43,4.333333333333333,piccolo
171.66666666666666,172.0,98,D7,0.3333333333333333,0,43,4.666666666666667,piccolo
172.0,172.33333333333334,100,E7,0.3333333333333333,0,44,1.0,piccolo
172.33333333333334,172.66666666666669,98,D7,0.3333333333333333,0,44,1.3333333333333333,piccolo
172.66666666666666,173.0,96,C7,0.3333333333333333,0,44,1.6666666666666667,piccolo
173.0,173.33333333333334,95,B6,0.3333333333333333,0,44,2.0,piccolo
173.33333333333334,173.66666666666669,93,A6,0.3333333333333333,0,44,2.333333333333333,piccolo
173.66666666666666,174.0,93,A6,0.3333333333333333,0,44,2.6666666666666665,piccolo
174.0,174.33333333333334,91,G6,0.3333333333333333,0,44,3.0,piccolo
183.0,183.33333333333331,86,D6,0.3333333333333333,0,46,4.0,piccolo
183.33333333333331,183.66666666666669,86,D6,0.3333333333333333,0,46,4.333333333333333,piccolo
183.66666666666663,184.0,86,D6,0.3333333333333333,0,46,4.666666666666667,piccolo
184.0,184.33333333333331,82,B-5,0.3333333333333333,0,47,1.0,piccolo
184.33333333333331,184.66666666666669,84,C6,0.3333333333333333,0,47,1.3333333333333333,piccolo
184.66666666666663,185.0,86,D6,0.3333333333333333,0,47,1.6666666666666667,piccolo
185.0,185.33333333333331,87,E-6,0.3333333333333333,0,47,2.0,piccolo
185.33333333333331,185.66666666666669,86,D6,0.3333333333333333,0,47,2.333333333333333,piccolo
185.66666666666663,186.0,84,C6,0.3333333333333333,0,47,2.6666666666666665,piccolo
186.0,186.33333333333331,82,B-5,0.3333333333333333,0,47,3.0,piccolo
222.0,223.0,90,F#6,1.0,0,56,3.0,piccolo
