Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
8.5,9.0,50,D3,0.5,0,3,1.5,Bassoon,Bsn
8.5,9.0,54,F#3,0.5,0,3,1.5,Bassoon,Bsn
9.0,9.5,57,A3,0.5,0,3,2.0,Bassoon,Bsn
9.0,9.5,60,C4,0.5,0,3,2.0,Bassoon,Bsn
9.5,10.0,50,D3,0.5,0,3,2.5,Bassoon,Bsn
9.5,10.0,54,F#3,0.5,0,3,2.5,Bassoon,Bsn
10.0,10.5,57,A3,0.5,0,3,3.0,Bassoon,Bsn
10.0,10.5,60,C4,0.5,0,3,3.0,Bassoon,Bsn
10.5,11.0,52,E3,0.5,0,3,3.5,Bassoon,Bsn
10.5,11.0,55,G3,0.5,0,3,3.5,Bassoon,Bsn
11.0,11.5,57,A3,0.5,0,3,4.0,Bassoon,Bsn
11.0,11.5,60,C4,0.5,0,3,4.0,Bassoon,Bsn
11.5,12.0,54,F#3,0.5,0,3,4.5,Bassoon,Bsn
11.5,12.0,57,A3,0.5,0,3,4.5,Bassoon,Bsn
14.0,14.5,61,C#4,0.5,0,4,7/3,Bassoon,Bsn
14.5,15.0,62,D4,0.5,0,4,8/3,Bassoon,Bsn
15.0,15.5,63,D#4,0.5,0,4,3.0,Bassoon,Bsn
15.5,16.0,64,E4,0.5,0,4,10/3,Bassoon,Bsn
16.0,16.5,60,C4,0.5,0,4,11/3,Bassoon,Bsn
16.5,17.0,59,B3,0.5,0,4,4.0,Bassoon,Bsn
29.5,30.0,47,B2,0.5,0,7,1.5,Bassoon,Bsn
29.5,30.0,51,D#3,0.5,0,7,1.5,Bassoon,Bsn
30.0,30.5,54,F#3,0.5,0,7,2.0,Bassoon,Bsn
30.0,30.5,57,A3,0.5,0,7,2.0,Bassoon,Bsn
30.5,31.0,47,B2,0.5,0,7,2.5,Bassoon,Bsn
30.5,31.0,51,D#3,0.5,0,7,2.5,Bassoon,Bsn
31.0,31.5,54,F#3,0.5,0,7,3.0,Bassoon,Bsn
31.0,31.5,57,A3,0.5,0,7,3.0,Bassoon,Bsn
31.5,32.0,48,C3,0.5,0,7,3.5,Bassoon,Bsn
31.5,32.0,52,E3,0.5,0,7,3.5,Bassoon,Bsn
32.0,32.5,54,F#3,0.5,0,7,4.0,Bassoon,Bsn
32.0,32.5,57,A3,0.5,0,7,4.0,Bassoon,Bsn
32.5,33.0,51,D#3,0.5,0,7,4.5,Bassoon,Bsn
32.5,33.0,54,F#3,0.5,0,7,4.5,Bassoon,Bsn
35.0,35.5,58,A#3,0.5,0,8,13/3,Bassoon,Bsn
35.5,36.0,59,B3,0.5,0,8,14/3,Bassoon,Bsn
36.0,36.5,60,C4,0.5,0,8,1.0,Bassoon,Bsn
36.5,37.0,59,B3,0.5,0,8,4/3,Bassoon,Bsn
37.0,37.5,57,A3,0.5,0,8,5/3,Bassoon,Bsn
37.5,38.0,55,G3,0.5,0,8,2.0,Bassoon,Bsn
171.0,171.5,55,G3,0.5,0,31,5/3,Bassoon,Bsn
171.0,171.5,63,E-4,0.5,0,31,5/3,Bassoon,Bsn
171.5,172.0,58,B-3,0.5,0,31,2.0,Bassoon,Bsn
171.5,172.0,65,F4,0.5,0,31,2.0,Bassoon,Bsn
172.0,172.5,63,E-4,0.5,0,31,7/3,Bassoon,Bsn
172.0,172.5,67,G4,0.5,0,31,7/3,Bassoon,Bsn
172.5,173.0,64,E4,0.5,0,31,8/3,Bassoon,Bsn
172.5,173.0,68,G#4,0.5,0,31,8/3,Bassoon,Bsn
527/3,176.16666666666666,55,G3,0.5,0,32,23/9,Bassoon,Bsn
527/3,176.16666666666666,63,E-4,0.5,0,32,23/9,Bassoon,Bsn
1057/6,176.66666666666666,58,B-3,0.5,0,32,26/9,Bassoon,Bsn
1057/6,176.66666666666666,65,F4,0.5,0,32,26/9,Bassoon,Bsn
530/3,177.16666666666666,63,E-4,0.5,0,32,29/9,Bassoon,Bsn
530/3,177.16666666666666,67,G4,0.5,0,32,29/9,Bassoon,Bsn
1063/6,177.66666666666666,64,E4,0.5,0,32,32/9,Bassoon,Bsn
1063/6,177.66666666666666,68,G#4,0.5,0,32,32/9,Bassoon,Bsn
541/3,180.83333333333334,43,G2,0.5,0,33,5/3,Bassoon,Bsn
541/3,180.83333333333334,51,E-3,0.5,0,33,5/3,Bassoon,Bsn
1085/6,181.33333333333334,46,B-2,0.5,0,33,2.0,Bassoon,Bsn
1085/6,181.33333333333334,53,F3,0.5,0,33,2.0,Bassoon,Bsn
544/3,181.83333333333334,51,E-3,0.5,0,33,7/3,Bassoon,Bsn
544/3,181.83333333333334,55,G3,0.5,0,33,7/3,Bassoon,Bsn
1091/6,182.33333333333334,52,E3,0.5,0,33,8/3,Bassoon,Bsn
1091/6,182.33333333333334,56,G#3,0.5,0,33,8/3,Bassoon,Bsn
185.0,185.5,43,G2,0.5,0,34,23/9,Bassoon,Bsn
185.0,185.5,51,E-3,0.5,0,34,23/9,Bassoon,Bsn
185.5,186.0,46,B-2,0.5,0,34,26/9,Bassoon,Bsn
185.5,186.0,53,F3,0.5,0,34,26/9,Bassoon,Bsn
186.0,186.5,51,E-3,0.5,0,34,29/9,Bassoon,Bsn
186.0,186.5,55,G3,0.5,0,34,29/9,Bassoon,Bsn
186.5,187.0,52,E3,0.5,0,34,32/9,Bassoon,Bsn
186.5,187.0,56,G#3,0.5,0,34,32/9,Bassoon,Bsn
569/3,190.16666666666666,45,A2,0.5,0,35,5/3,Bassoon,Bsn
569/3,190.16666666666666,54,F#3,0.5,0,35,5/3,Bassoon,Bsn
1141/6,190.66666666666666,50,D3,0.5,0,35,2.0,Bassoon,Bsn
1141/6,190.66666666666666,55,G3,0.5,0,35,2.0,Bassoon,Bsn
572/3,191.16666666666666,54,F#3,0.5,0,35,7/3,Bassoon,Bsn
572/3,191.16666666666666,57,A3,0.5,0,35,7/3,Bassoon,Bsn
1153/6,192.66666666666666,45,A2,0.5,0,35,10/3,Bassoon,Bsn
1153/6,192.66666666666666,54,F#3,0.5,0,35,10/3,Bassoon,Bsn
578/3,193.16666666666666,50,D3,0.5,0,35,11/3,Bassoon,Bsn
578/3,193.16666666666666,55,G3,0.5,0,35,11/3,Bassoon,Bsn
1159/6,193.66666666666666,54,F#3,0.5,0,35,4.0,Bassoon,Bsn
1159/6,193.66666666666666,57,A3,0.5,0,35,4.0,Bassoon,Bsn
584/3,195.16666666666666,45,A2,0.5,0,36,7/3,Bassoon,Bsn
584/3,195.16666666666666,54,F#3,0.5,0,36,7/3,Bassoon,Bsn
1171/6,195.66666666666666,50,D3,0.5,0,36,8/3,Bassoon,Bsn
1171/6,195.66666666666666,55,G3,0.5,0,36,8/3,Bassoon,Bsn
587/3,196.16666666666666,54,F#3,0.5,0,36,3.0,Bassoon,Bsn
587/3,196.16666666666666,57,A3,0.5,0,36,3.0,Bassoon,Bsn
1183/6,197.66666666666666,45,A2,0.5,0,36,4.0,Bassoon,Bsn
1183/6,197.66666666666666,54,F#3,0.5,0,36,4.0,Bassoon,Bsn
593/3,198.16666666666666,50,D3,0.5,0,36,13/3,Bassoon,Bsn
593/3,198.16666666666666,55,G3,0.5,0,36,13/3,Bassoon,Bsn
1189/6,198.66666666666666,54,F#3,0.5,0,36,14/3,Bassoon,Bsn
1189/6,198.66666666666666,57,A3,0.5,0,36,14/3,Bassoon,Bsn
632/3,211.16666666666666,60,C4,0.5,0,39,13/9,Bassoon,Bsn
632/3,211.16666666666666,64,E4,0.5,0,39,13/9,Bassoon,Bsn
1267/6,211.66666666666666,57,A3,0.5,0,39,4/3,Bassoon,Bsn
1267/6,211.66666666666666,62,D4,0.5,0,39,4/3,Bassoon,Bsn
635/3,212.16666666666666,60,C4,0.5,0,39,5/3,Bassoon,Bsn
635/3,212.16666666666666,64,E4,0.5,0,39,5/3,Bassoon,Bsn
1273/6,212.66666666666666,54,F#3,0.5,0,39,2.0,Bassoon,Bsn
1273/6,212.66666666666666,62,D4,0.5,0,39,2.0,Bassoon,Bsn
638/3,213.16666666666666,60,C4,0.5,0,39,7/3,Bassoon,Bsn
