Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
8.5,9.0,62,D4,0.5,0,3,1.5,Oboe,Ob
8.5,9.0,66,F#4,0.5,0,3,1.5,Oboe,Ob
9.0,9.5,69,A4,0.5,0,3,2.0,Oboe,Ob
9.0,9.5,72,C5,0.5,0,3,2.0,Oboe,Ob
9.5,10.0,62,D4,0.5,0,3,2.5,Oboe,Ob
9.5,10.0,66,F#4,0.5,0,3,2.5,Oboe,Ob
10.0,10.5,69,A4,0.5,0,3,3.0,Oboe,Ob
10.0,10.5,72,C5,0.5,0,3,3.0,Oboe,Ob
10.5,11.0,64,E4,0.5,0,3,3.5,Oboe,Ob
10.5,11.0,67,G4,0.5,0,3,3.5,Oboe,Ob
11.0,11.5,69,A4,0.5,0,3,4.0,Oboe,Ob
11.0,11.5,72,C5,0.5,0,3,4.0,Oboe,Ob
11.5,12.0,66,F#4,0.5,0,3,4.5,Oboe,Ob
11.5,12.0,69,A4,0.5,0,3,4.5,Oboe,Ob
24.5,25.0,59,B3,0.5,0,7,1.5,Oboe,Ob
24.5,25.0,63,D#4,0.5,0,7,1.5,Oboe,Ob
25.0,25.5,66,F#4,0.5,0,7,2.0,Oboe,Ob
25.0,25.5,69,A4,0.5,0,7,2.0,Oboe,Ob
25.5,26.0,59,B3,0.5,0,7,2.5,Oboe,Ob
25.5,26.0,63,D#4,0.5,0,7,2.5,Oboe,Ob
26.0,26.5,66,F#4,0.5,0,7,3.0,Oboe,Ob
26.0,26.5,69,A4,0.5,0,7,3.0,Oboe,Ob
26.5,27.0,60,C4,0.5,0,7,3.5,Oboe,Ob
26.5,27.0,64,E4,0.5,0,7,3.5,Oboe,Ob
27.0,27.5,66,F#4,0.5,0,7,4.0,Oboe,Ob
27.0,27.5,69,A4,0.5,0,7,4.0,Oboe,Ob
27.5,28.0,63,D#4,0.5,0,7,4.5,Oboe,Ob
27.5,28.0,66,F#4,0.5,0,7,4.5,Oboe,Ob
32.0,32.5,64,E4,0.5,0,9,1.0,Oboe,Ob
33.0,33.5,59,B3,0.5,0,9,2.0,Oboe,Ob
33.75,34.0,59,B3,0.25,0,9,2.75,Oboe,Ob
34.0,34.5,64,E4,0.5,0,9,3.0,Oboe,Ob
35.0,35.5,59,B3,0.5,0,9,4.0,Oboe,Ob
36.0,36.5,64,E4,0.5,0,10,1.0,Oboe,Ob
36.5,38.5,69,A4,2.0,0,10,1.5,Oboe,Ob
40.0,40.5,64,E4,0.5,0,11,1.0,Oboe,Ob
40.0,40.5,76,E5,0.5,0,11,1.0,Oboe,Ob
41.0,41.5,59,B3,0.5,0,11,2.0,Oboe,Ob
41.0,41.5,71,B4,0.5,0,11,2.0,Oboe,Ob
41.75,42.0,59,B3,0.25,0,11,2.75,Oboe,Ob
