Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
0.0,4.0,52,E3,4.0,0,1,1.0,Trombone,Trb
48.0,48.5,45,A2,0.5,0,13,1.0,Trombone,Trb
49.0,49.5,40,E2,0.5,0,13,2.0,Trombone,Trb
49.75,50.0,40,E2,0.25,0,13,2.75,Trombone,Trb
50.0,50.5,45,A2,0.5,0,13,3.0,Trombone,Trb
51.0,51.5,40,E2,0.5,0,13,4.0,Trombone,Trb
52.0,52.25,45,A2,0.25,0,14,1.0,Trombone,Trb
52.5,54.5,50,D3,2.0,0,14,1.5,Trombone,Trb
191.0,191.5,46,A#2,0.5,0,48,3.0,Trombone,Trb
191.5,192.0,46,A#2,0.5,0,48,10/3,Trombone,Trb
192.0,192.5,46,A#2,0.5,0,48,11/3,Trombone,Trb
192.5,205.0,42,F#2,12.5,0,49,1.0,Trombone,Trb
644/3,215.66666666666666,47,B2,1.0,0,53,1.0,Trombone,Trb
647/3,216.16666666666666,47,B2,0.5,0,53,10/3,Trombone,Trb
2597/12,216.66666666666666,47,B2,0.25,0,53,49/12,Trombone,Trb
650/3,217.16666666666666,42,F#2,0.5,0,53,13/3,Trombone,Trb
692/3,231.66666666666666,47,B2,1.0,0,57,1.0,Trombone,Trb
695/3,232.16666666666666,47,B2,0.5,0,57,10/3,Trombone,Trb
2789/12,232.66666666666666,47,B2,0.25,0,57,49/12,Trombone,Trb
698/3,233.16666666666666,42,F#2,0.5,0,57,13/3,Trombone,Trb
752/3,251.16666666666666,55,G3,0.5,0,62,1.0,Trombone,Trb
755/3,252.16666666666666,48,C3,0.5,0,62,10/3,Trombone,Trb
3029/12,252.66666666666666,48,C3,0.25,0,62,49/12,Trombone,Trb
758/3,253.16666666666666,55,G3,0.5,0,62,13/3,Trombone,Trb
761/3,254.16666666666666,48,C3,0.5,0,62,4/3,Trombone,Trb
764/3,255.16666666666666,54,F#3,0.5,0,63,1.0,Trombone,Trb
788/3,263.1666666666667,47,B2,0.5,0,65,7/3,Trombone,Trb
791/3,264.1666666666667,42,F#2,0.5,0,65,10/3,Trombone,Trb
3173/12,264.6666666666667,42,F#2,0.25,0,65,49/12,Trombone,Trb
794/3,265.1666666666667,47,B2,0.5,0,65,13/3,Trombone,Trb
797/3,266.1666666666667,42,F#2,0.5,0,65,4/3,Trombone,Trb
800/3,267.1666666666667,47,B2,0.5,0,66,7/3,Trombone,Trb
1603/6,267.6666666666667,52,E3,0.5,0,66,17/6,Trombone,Trb
812/3,271.1666666666667,47,B2,0.5,0,67,7/3,Trombone,Trb
815/3,272.1666666666667,42,F#2,0.5,0,67,10/3,Trombone,Trb
3269/12,272.6666666666667,42,F#2,0.25,0,67,49/12,Trombone,Trb
818/3,273.1666666666667,47,B2,0.5,0,67,13/3,Trombone,Trb
821/3,274.1666666666667,42,F#2,0.5,0,67,4/3,Trombone,Trb
824/3,275.1666666666667,47,B2,0.5,0,68,7/3,Trombone,Trb
1651/6,275.6666666666667,52,E3,0.5,0,68,17/6,Trombone,Trb
836/3,279.1666666666667,47,B2,0.5,0,69,7/3,Trombone,Trb
1064/3,355.1666666666667,48,C3,0.5,0,88,7/3,Trombone,Trb
1070/3,357.1666666666667,52,E3,0.5,0,88,13/3,Trombone,Trb
1556/3,519.1666666666666,40,E2,0.5,0,129,1.0,Trombone,Trb
1562/3,521.1666666666666,43,G2,0.5,0,129,13/3,Trombone,Trb
1568/3,523.1666666666666,48,C3,0.5,0,130,1.0,Trombone,Trb
1574/3,525.1666666666666,55,G3,0.5,0,130,13/3,Trombone,Trb
1604/3,535.1666666666666,40,E2,0.5,0,133,1.0,Trombone,Trb
1610/3,537.1666666666666,43,G2,0.5,0,133,13/3,Trombone,Trb
1616/3,539.1666666666666,48,C3,0.5,0,134,1.0,Trombone,Trb
1622/3,541.1666666666666,55,G3,0.5,0,134,13/3,Trombone,Trb
1820/3,607.1666666666666,45,A2,0.5,0,151,1.0,Trombone,Trb
1823/3,608.1666666666666,40,E2,0.5,0,151,10/3,Trombone,Trb
7301/12,608.6666666666666,40,E2,0.25,0,151,49/12,Trombone,Trb
1826/3,609.1666666666666,45,A2,0.5,0,151,13/3,Trombone,Trb
1829/3,610.1666666666666,40,E2,0.5,0,151,4/3,Trombone,Trb
1832/3,610.9166666666666,45,A2,0.25,0,152,1.0,Trombone,Trb
3667/6,613.1666666666666,50,D3,2.0,0,152,17/6,Trombone,Trb
2321/3,774.6666666666666,46,B-2,1.0,0,192,4/3,Trombone,Trb
2324/3,775.6666666666666,45,A2,1.0,0,193,1.0,Trombone,Trb
2327/3,776.6666666666666,50,D3,1.0,0,193,10/3,Trombone,Trb
2330/3,778.6666666666666,54,F#3,2.0,0,193,13/3,Trombone,Trb
