Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
18.0,21.0,43,G2,3.0,0,4,1.0,Contrabasses,Str
41.0,44.0,40,E2,3.0,0,8,5/3,Contrabasses,Str
70.0,79.5,48,C3,9.5,0,13,1.0,Contrabasses,Str
487/6,90.66666666666667,48,C3,9.5,0,15,1.0,Contrabasses,Str
319/3,106.83333333333333,47,B2,0.5,0,19,7/3,Contrabasses,Str
108.5,109.0,47,B2,0.5,0,20,19/9,Contrabasses,Str
332/3,111.16666666666667,47,B2,0.5,0,20,32/9,Contrabasses,Str
677/6,113.33333333333333,47,B2,0.5,0,21,38/9,Contrabasses,Str
115.0,115.5,47,B2,0.5,0,21,22/9,Contrabasses,Str
703/6,117.66666666666667,47,B2,0.5,0,22,19/9,Contrabasses,Str
358/3,119.83333333333333,47,B2,0.5,0,22,32/9,Contrabasses,Str
121.5,122.0,47,B2,0.5,0,23,1.0,Contrabasses,Str
371/3,124.16666666666667,47,B2,0.5,0,23,22/9,Contrabasses,Str
755/6,126.33333333333333,47,B2,0.5,0,24,44/9,Contrabasses,Str
128.0,128.5,47,B2,0.5,0,24,32/9,Contrabasses,Str
781/6,130.66666666666666,47,B2,0.5,0,25,34/9,Contrabasses,Str
397/3,132.83333333333334,47,B2,0.5,0,25,22/9,Contrabasses,Str
134.5,135.0,47,B2,0.5,0,26,2.0,Contrabasses,Str
410/3,137.16666666666666,47,B2,0.5,0,26,31/9,Contrabasses,Str
827/6,138.33333333333334,46,B-2,0.5,0,26,38/9,Contrabasses,Str
139.0,139.5,45,A2,0.5,0,27,1.0,Contrabasses,Str
847/6,141.66666666666666,45,A2,0.5,0,27,22/9,Contrabasses,Str
430/3,143.83333333333334,45,A2,0.5,0,28,19/9,Contrabasses,Str
145.5,146.0,45,A2,0.5,0,28,32/9,Contrabasses,Str
443/3,148.16666666666666,45,A2,0.5,0,29,31/9,Contrabasses,Str
899/6,150.33333333333334,45,A2,0.5,0,29,22/9,Contrabasses,Str
152.0,152.5,45,A2,0.5,0,30,19/9,Contrabasses,Str
925/6,154.66666666666666,45,A2,0.5,0,30,32/9,Contrabasses,Str
469/3,156.83333333333334,45,A2,0.5,0,31,1.0,Contrabasses,Str
157.5,158.0,49,C#3,0.5,0,31,16/9,Contrabasses,Str
475/3,158.83333333333334,49,C#3,0.5,0,31,7/3,Contrabasses,Str
953/6,159.33333333333334,47,B2,0.5,0,31,8/3,Contrabasses,Str
160.0,160.5,46,B-2,0.5,0,31,31/9,Contrabasses,Str
967/6,161.66666666666666,45,A2,0.5,0,32,40/9,Contrabasses,Str
487/3,162.83333333333334,49,C#3,0.5,0,32,23/9,Contrabasses,Str
979/6,163.66666666666666,49,C#3,0.5,0,32,28/9,Contrabasses,Str
491/3,164.16666666666666,47,B2,0.5,0,32,31/9,Contrabasses,Str
989/6,165.33333333333334,46,B-2,0.5,0,32,38/9,Contrabasses,Str
166.0,166.5,45,A2,0.5,0,33,1.0,Contrabasses,Str
1003/6,167.66666666666666,49,C#3,0.5,0,33,16/9,Contrabasses,Str
168.0,168.5,49,C#3,0.5,0,33,7/3,Contrabasses,Str
168.5,169.0,47,B2,0.5,0,33,8/3,Contrabasses,Str
509/3,170.16666666666666,46,B-2,0.5,0,33,31/9,Contrabasses,Str
1025/6,171.33333333333334,45,A2,0.5,0,34,16/9,Contrabasses,Str
172.0,172.5,49,C#3,0.5,0,34,23/9,Contrabasses,Str
1037/6,173.33333333333334,49,C#3,0.5,0,34,28/9,Contrabasses,Str
520/3,173.83333333333334,47,B2,0.5,0,34,31/9,Contrabasses,Str
174.5,175.0,46,B-2,0.5,0,34,38/9,Contrabasses,Str
527/3,176.16666666666666,45,A2,0.5,0,35,19/9,Contrabasses,Str
1061/6,177.33333333333334,50,D3,0.5,0,35,16/9,Contrabasses,Str
186.0,186.5,43,G2,0.5,0,37,20/9,Contrabasses,Str
1141/6,190.66666666666666,43,G2,0.5,0,38,34/9,Contrabasses,Str
583/3,194.83333333333334,43,G2,0.5,0,39,20/9,Contrabasses,Str
198.5,199.0,43,G2,0.5,0,40,1.0,Contrabasses,Str
602/3,201.16666666666666,50,D3,0.5,0,40,22/9,Contrabasses,Str
1217/6,203.33333333333334,43,G2,0.5,0,41,20/9,Contrabasses,Str
207.0,207.5,43,G2,0.5,0,42,1.0,Contrabasses,Str
1267/6,211.66666666666666,43,G2,0.5,0,43,16/9,Contrabasses,Str
646/3,215.83333333333334,43,G2,0.5,0,44,1.0,Contrabasses,Str
219.5,225.5,43,G2,6.0,0,45,1.0,Contrabasses,Str
825.5,835.0,48,C3,9.5,0,151,1.0,Contrabasses,Str
2510/3,846.1666666666666,48,C3,9.5,0,153,25/9,Contrabasses,Str
5171/6,862.3333333333334,47,B2,0.5,0,157,32/9,Contrabasses,Str
864.0,864.5,47,B2,0.5,0,158,1.0,Contrabasses,Str
5197/6,866.6666666666666,47,B2,0.5,0,158,22/9,Contrabasses,Str
2605/3,868.8333333333334,47,B2,0.5,0,159,19/9,Contrabasses,Str
870.5,871.0,47,B2,0.5,0,159,32/9,Contrabasses,Str
2618/3,873.1666666666666,47,B2,0.5,0,160,25/9,Contrabasses,Str
5249/6,875.3333333333334,47,B2,0.5,0,160,22/9,Contrabasses,Str
877.0,877.5,47,B2,0.5,0,161,19/9,Contrabasses,Str
5275/6,879.6666666666666,47,B2,0.5,0,161,32/9,Contrabasses,Str
2644/3,881.8333333333334,47,B2,0.5,0,162,1.0,Contrabasses,Str
883.5,884.0,47,B2,0.5,0,162,22/9,Contrabasses,Str
2657/3,886.1666666666666,47,B2,0.5,0,163,31/9,Contrabasses,Str
5327/6,888.3333333333334,47,B2,0.5,0,163,32/9,Contrabasses,Str
890.0,890.5,47,B2,0.5,0,164,1.0,Contrabasses,Str
5353/6,892.6666666666666,47,B2,0.5,0,164,22/9,Contrabasses,Str
2680/3,893.8333333333334,46,B-2,0.5,0,164,29/9,Contrabasses,Str
894.5,895.0,45,A2,0.5,0,165,19/9,Contrabasses,Str
2690/3,897.1666666666666,45,A2,0.5,0,165,32/9,Contrabasses,Str
5393/6,899.3333333333334,45,A2,0.5,0,166,1.0,Contrabasses,Str
901.0,901.5,45,A2,0.5,0,166,22/9,Contrabasses,Str
5419/6,903.6666666666666,45,A2,0.5,0,167,28/9,Contrabasses,Str
2716/3,905.8333333333334,45,A2,0.5,0,167,32/9,Contrabasses,Str
907.5,908.0,45,A2,0.5,0,168,1.0,Contrabasses,Str
2729/3,910.1666666666666,45,A2,0.5,0,168,22/9,Contrabasses,Str
5471/6,912.3333333333334,45,A2,0.5,0,169,16/9,Contrabasses,Str
913.0,913.5,49,C#3,0.5,0,169,23/9,Contrabasses,Str
5483/6,914.3333333333334,49,C#3,0.5,0,169,28/9,Contrabasses,Str
2743/3,914.8333333333334,47,B2,0.5,0,169,31/9,Contrabasses,Str
915.5,916.0,46,B-2,0.5,0,169,38/9,Contrabasses,Str
2750/3,917.1666666666666,45,A2,0.5,0,170,37/9,Contrabasses,Str
5507/6,918.3333333333334,49,C#3,0.5,0,170,16/9,Contrabasses,Str
2756/3,919.1666666666666,49,C#3,0.5,0,170,7/3,Contrabasses,Str
5515/6,919.6666666666666,47,B2,0.5,0,170,8/3,Contrabasses,Str
2761/3,920.8333333333334,46,B-2,0.5,0,170,31/9,Contrabasses,Str
921.5,922.0,45,A2,0.5,0,171,16/9,Contrabasses,Str
2768/3,923.1666666666666,49,C#3,0.5,0,171,23/9,Contrabasses,Str
923.5,924.0,49,C#3,0.5,0,171,28/9,Contrabasses,Str
924.0,924.5,47,B2,0.5,0,171,31/9,Contrabasses,Str
5551/6,925.6666666666666,46,B-2,0.5,0,171,38/9,Contrabasses,Str
2779/3,926.8333333333334,45,A2,0.5,0,172,1.0,Contrabasses,Str
927.5,928.0,49,C#3,0.5,0,172,16/9,Contrabasses,Str
2785/3,928.8333333333334,49,C#3,0.5,0,172,7/3,Contrabasses,Str
5573/6,929.3333333333334,47,B2,0.5,0,172,8/3,Contrabasses,Str
930.0,930.5,46,B-2,0.5,0,172,31/9,Contrabasses,Str
5587/6,931.6666666666666,45,A2,0.5,0,173,16/9,Contrabasses,Str
2797/3,932.8333333333334,50,D3,0.5,0,173,26/9,Contrabasses,Str
941.5,942.0,43,G2,0.5,0,175,1.0,Contrabasses,Str
2837/3,946.1666666666666,43,G2,0.5,0,176,31/9,Contrabasses,Str
5699/6,950.3333333333334,43,G2,0.5,0,177,1.0,Contrabasses,Str
954.0,954.5,43,G2,0.5,0,178,19/9,Contrabasses,Str
5737/6,956.6666666666666,50,D3,0.5,0,178,32/9,Contrabasses,Str
2875/3,958.8333333333334,43,G2,0.5,0,179,1.0,Contrabasses,Str
962.5,963.0,43,G2,0.5,0,180,20/9,Contrabasses,Str
2900/3,967.1666666666666,43,G2,0.5,0,181,13/9,Contrabasses,Str
5825/6,971.3333333333334,43,G2,0.5,0,182,20/9,Contrabasses,Str
975.0,987.5,43,G2,12.5,0,183,1.0,Contrabasses,Str
5959/6,993.6666666666666,43,G2,0.5,0,186,3.0,Contrabasses,Str
2981/3,994.1666666666666,44,G#2,0.5,0,186,10/3,Contrabasses,Str
5965/6,994.6666666666666,45,A2,0.5,0,186,11/3,Contrabasses,Str
2984/3,995.1666666666666,46,B-2,0.5,0,186,4.0,Contrabasses,Str
5971/6,995.6666666666666,44,G#2,0.5,0,186,13/3,Contrabasses,Str
2987/3,996.1666666666666,43,G2,0.5,0,186,14/3,Contrabasses,Str
5977/6,1008.6666666666666,44,G#2,12.5,0,187,10/9,Contrabasses,Str
3043/3,1014.8333333333334,46,B-2,0.5,0,190,3.0,Contrabasses,Str
6089/6,1015.3333333333334,48,C3,0.5,0,190,10/3,Contrabasses,Str
3046/3,1015.8333333333334,49,C#3,0.5,0,190,11/3,Contrabasses,Str
6095/6,1016.3333333333334,50,D3,0.5,0,190,4.0,Contrabasses,Str
3049/3,1016.8333333333334,48,C3,0.5,0,190,13/3,Contrabasses,Str
6101/6,1017.3333333333334,46,B-2,0.5,0,190,14/3,Contrabasses,Str
3052/3,1023.3333333333334,45,A2,6.0,0,191,1.0,Contrabasses,Str
3070/3,1026.3333333333335,46,B-2,3.0,0,192,1.0,Contrabasses,Str
3079/3,1027.3333333333333,34,B-1,1.0,0,192,4.0,Contrabasses,Str
3082/3,1031.3333333333333,33,A1,4.0,0,193,13/3,Contrabasses,Str
