Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
18.0,24.0,36,C2,6.0,0,4,1.0,Contrabasses,Str
42.0,48.0,40,E2,6.0,0,8,1.0,Contrabasses,Str
72.0,81.5,36,C2,9.5,0,13,1.0,Contrabasses,Str
625/6,104.66666666666667,36,C2,0.5,0,18,38/9,Contrabasses,Str
316/3,105.83333333333333,35,B1,0.5,0,19,29/9,Contrabasses,Str
107.5,108.0,35,B1,0.5,0,19,22/9,Contrabasses,Str
329/3,110.16666666666667,35,B1,0.5,0,20,19/9,Contrabasses,Str
671/6,112.33333333333333,35,B1,0.5,0,20,32/9,Contrabasses,Str
114.0,114.5,35,B1,0.5,0,21,1.0,Contrabasses,Str
697/6,116.66666666666667,35,B1,0.5,0,21,22/9,Contrabasses,Str
355/3,118.83333333333333,35,B1,0.5,0,22,35/9,Contrabasses,Str
120.5,121.0,35,B1,0.5,0,22,32/9,Contrabasses,Str
368/3,123.16666666666667,35,B1,0.5,0,23,1.0,Contrabasses,Str
749/6,125.33333333333333,35,B1,0.5,0,23,22/9,Contrabasses,Str
127.0,127.5,35,B1,0.5,0,24,19/9,Contrabasses,Str
775/6,129.66666666666666,35,B1,0.5,0,24,32/9,Contrabasses,Str
394/3,131.83333333333334,35,B1,0.5,0,25,1.0,Contrabasses,Str
133.5,134.0,35,B1,0.5,0,25,22/9,Contrabasses,Str
407/3,136.16666666666666,35,B1,0.5,0,26,31/9,Contrabasses,Str
827/6,138.33333333333334,35,B1,0.5,0,26,31/9,Contrabasses,Str
139.0,139.5,34,B-1,0.5,0,26,38/9,Contrabasses,Str
841/6,140.66666666666666,33,A1,0.5,0,27,22/9,Contrabasses,Str
427/3,142.83333333333334,33,A1,0.5,0,27,22/9,Contrabasses,Str
144.5,145.0,33,A1,0.5,0,28,19/9,Contrabasses,Str
440/3,147.16666666666666,33,A1,0.5,0,28,32/9,Contrabasses,Str
893/6,149.33333333333334,33,A1,0.5,0,29,1.0,Contrabasses,Str
151.0,151.5,33,A1,0.5,0,29,22/9,Contrabasses,Str
919/6,153.66666666666666,33,A1,0.5,0,30,28/9,Contrabasses,Str
466/3,155.83333333333334,33,A1,0.5,0,30,32/9,Contrabasses,Str
157.5,158.0,33,A1,0.5,0,31,1.0,Contrabasses,Str
476/3,159.16666666666666,37,C#2,0.5,0,31,16/9,Contrabasses,Str
159.5,160.0,37,C#2,0.5,0,31,7/3,Contrabasses,Str
160.0,160.5,35,B1,0.5,0,31,8/3,Contrabasses,Str
967/6,161.66666666666666,34,B-1,0.5,0,31,31/9,Contrabasses,Str
487/3,162.83333333333334,33,A1,0.5,0,32,16/9,Contrabasses,Str
163.5,164.0,37,C#2,0.5,0,32,23/9,Contrabasses,Str
493/3,164.83333333333334,37,C#2,0.5,0,32,28/9,Contrabasses,Str
989/6,165.33333333333334,35,B1,0.5,0,32,31/9,Contrabasses,Str
166.0,166.5,34,B-1,0.5,0,32,38/9,Contrabasses,Str
1003/6,167.66666666666666,33,A1,0.5,0,33,40/9,Contrabasses,Str
505/3,168.83333333333334,37,C#2,0.5,0,33,16/9,Contrabasses,Str
1015/6,169.66666666666666,37,C#2,0.5,0,33,7/3,Contrabasses,Str
509/3,170.16666666666666,35,B1,0.5,0,33,8/3,Contrabasses,Str
1025/6,171.33333333333334,34,B-1,0.5,0,33,31/9,Contrabasses,Str
172.0,172.5,33,A1,0.5,0,34,16/9,Contrabasses,Str
1039/6,173.66666666666666,37,C#2,0.5,0,34,23/9,Contrabasses,Str
174.0,174.5,37,C#2,0.5,0,34,28/9,Contrabasses,Str
174.5,175.0,35,B1,0.5,0,34,31/9,Contrabasses,Str
527/3,176.16666666666666,34,B-1,0.5,0,34,38/9,Contrabasses,Str
1061/6,177.33333333333334,33,A1,0.5,0,35,1.0,Contrabasses,Str
178.0,178.5,38,D2,0.5,0,35,16/9,Contrabasses,Str
1123/6,187.66666666666666,31,G1,0.5,0,37,16/9,Contrabasses,Str
574/3,191.83333333333334,31,G1,0.5,0,38,1.0,Contrabasses,Str
195.5,196.0,31,G1,0.5,0,39,20/9,Contrabasses,Str
599/3,200.16666666666666,31,G1,0.5,0,40,19/9,Contrabasses,Str
1211/6,202.33333333333334,43,G2,0.5,0,40,22/9,Contrabasses,Str
204.0,204.5,31,G1,0.5,0,41,20/9,Contrabasses,Str
1249/6,208.66666666666666,31,G1,0.5,0,42,34/9,Contrabasses,Str
637/3,212.83333333333334,31,G1,0.5,0,43,20/9,Contrabasses,Str
216.5,217.0,43,G2,0.5,0,44,1.0,Contrabasses,Str
662/3,226.66666666666666,43,G2,6.0,0,45,37/9,Contrabasses,Str
2480/3,836.1666666666666,36,C2,9.5,0,151,1.0,Contrabasses,Str
5153/6,859.3333333333334,36,C2,0.5,0,156,35/9,Contrabasses,Str
860.0,860.5,35,B1,0.5,0,157,3.0,Contrabasses,Str
