Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
14.0,16.0,55,G3,2.0,0,4,3.0,Horn in F,Hn
14.0,16.0,67,G4,2.0,0,4,3.0,Horn in F,Hn
30.0,32.0,55,G3,2.0,0,8,3.0,Horn in F,Hn
30.0,32.0,67,G4,2.0,0,8,3.0,Horn in F,Hn
56.0,56.5,57,A3,0.5,0,15,1.0,Horn in F,Hn
57.0,57.5,52,E3,0.5,0,15,2.0,Horn in F,Hn
57.75,58.0,52,E3,0.25,0,15,2.75,Horn in F,Hn
58.0,58.5,57,A3,0.5,0,15,3.0,Horn in F,Hn
59.0,59.5,52,E3,0.5,0,15,4.0,Horn in F,Hn
60.0,60.25,57,A3,0.25,0,16,1.0,Horn in F,Hn
60.5,62.5,62,D4,2.0,0,16,1.5,Horn in F,Hn
80.0,80.5,54,F#3,0.5,0,21,1.0,Horn in F,Hn
80.0,80.5,66,F#4,0.5,0,21,1.0,Horn in F,Hn
81.0,81.5,55,G3,0.5,0,21,2.0,Horn in F,Hn
81.0,81.5,67,G4,0.5,0,21,2.0,Horn in F,Hn
81.75,82.0,55,G3,0.25,0,21,2.75,Horn in F,Hn
81.75,82.0,67,G4,0.25,0,21,2.75,Horn in F,Hn
82.0,82.5,54,F#3,0.5,0,21,3.0,Horn in F,Hn
82.0,82.5,66,F#4,0.5,0,21,3.0,Horn in F,Hn
83.0,83.5,52,E3,0.5,0,21,4.0,Horn in F,Hn
83.0,83.5,64,E4,0.5,0,21,4.0,Horn in F,Hn
84.0,84.5,50,D3,0.5,0,22,1.0,Horn in F,Hn
84.0,84.5,62,D4,0.5,0,22,1.0,Horn in F,Hn
85.0,85.33333333333333,49,C#3,1/3,0,22,2.0,Horn in F,Hn
85.0,85.33333333333333,61,C#4,1/3,0,22,2.0,Horn in F,Hn
256/3,257/3,47,B2,1/3,0,22,7/3,Horn in F,Hn
256/3,257/3,59,B3,1/3,0,22,7/3,Horn in F,Hn
257/3,86,49,C#3,1/3,0,22,8/3,Horn in F,Hn
257/3,86,61,C#4,1/3,0,22,8/3,Horn in F,Hn
86.0,86.5,50,D3,0.5,0,22,3.0,Horn in F,Hn
86.0,86.5,62,D4,0.5,0,22,3.0,Horn in F,Hn
87.0,87.5,49,C#3,0.5,0,22,4.0,Horn in F,Hn
87.0,87.5,61,C#4,0.5,0,22,4.0,Horn in F,Hn
88.0,88.5,47,B2,0.5,0,23,1.0,Horn in F,Hn
88.0,88.5,59,B3,0.5,0,23,1.0,Horn in F,Hn
96.0,96.5,54,F#3,0.5,0,25,1.0,Horn in F,Hn
96.0,96.5,66,F#4,0.5,0,25,1.0,Horn in F,Hn
97.0,97.5,55,G3,0.5,0,25,2.0,Horn in F,Hn
97.0,97.5,67,G4,0.5,0,25,2.0,Horn in F,Hn
97.75,98.0,55,G3,0.25,0,25,2.75,Horn in F,Hn
97.75,98.0,67,G4,0.25,0,25,2.75,Horn in F,Hn
98.0,98.5,54,F#3,0.5,0,25,3.0,Horn in F,Hn
98.0,98.5,66,F#4,0.5,0,25,3.0,Horn in F,Hn
99.0,99.5,52,E3,0.5,0,25,4.0,Horn in F,Hn
99.0,99.5,64,E4,0.5,0,25,4.0,Horn in F,Hn
100.0,100.5,50,D3,0.5,0,26,1.0,Horn in F,Hn
100.0,100.5,62,D4,0.5,0,26,1.0,Horn in F,Hn
101.0,101.33333333333333,49,C#3,1/3,0,26,2.0,Horn in F,Hn
101.0,101.33333333333333,61,C#4,1/3,0,26,2.0,Horn in F,Hn
304/3,305/3,47,B2,1/3,0,26,7/3,Horn in F,Hn
304/3,305/3,59,B3,1/3,0,26,7/3,Horn in F,Hn
305/3,102,49,C#3,1/3,0,26,8/3,Horn in F,Hn
