Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
8.0,8.5,76,E5,0.5,0,3,1.0,A Clarinet,Cl
8.5,9.0,74,D5,0.5,0,3,4/3,A Clarinet,Cl
9.0,9.5,76,E5,0.5,0,3,5/3,A Clarinet,Cl
9.5,10.0,74,D5,0.5,0,3,2.0,A Clarinet,Cl
10.0,10.5,76,E5,0.5,0,3,7/3,A Clarinet,Cl
10.5,11.0,74,D5,0.5,0,3,8/3,A Clarinet,Cl
11.0,11.5,76,E5,0.5,0,3,3.0,A Clarinet,Cl
11.5,12.0,74,D5,0.5,0,3,10/3,A Clarinet,Cl
12.0,12.5,76,E5,0.5,0,3,11/3,A Clarinet,Cl
12.5,13.0,74,D5,0.5,0,3,4.0,A Clarinet,Cl
13.0,13.5,76,E5,0.5,0,3,13/3,A Clarinet,Cl
13.5,14.0,74,D5,0.5,0,3,14/3,A Clarinet,Cl
16.0,16.5,76,E5,0.5,0,4,7/3,A Clarinet,Cl
16.5,17.0,74,D5,0.5,0,4,8/3,A Clarinet,Cl
17.0,17.5,72,C5,0.5,0,4,3.0,A Clarinet,Cl
17.5,18.0,71,B4,0.5,0,4,10/3,A Clarinet,Cl
18.0,18.5,69,A4,0.5,0,4,11/3,A Clarinet,Cl
18.5,19.0,67,G4,0.5,0,4,4.0,A Clarinet,Cl
31.0,31.5,72,C5,0.5,0,7,1.0,A Clarinet,Cl
31.5,32.0,71,B4,0.5,0,7,4/3,A Clarinet,Cl
32.0,32.5,72,C5,0.5,0,7,5/3,A Clarinet,Cl
32.5,33.0,71,B4,0.5,0,7,2.0,A Clarinet,Cl
33.0,33.5,72,C5,0.5,0,7,7/3,A Clarinet,Cl
33.5,34.0,71,B4,0.5,0,7,8/3,A Clarinet,Cl
34.0,34.5,72,C5,0.5,0,7,3.0,A Clarinet,Cl
34.5,35.0,71,B4,0.5,0,7,10/3,A Clarinet,Cl
35.0,35.5,72,C5,0.5,0,7,11/3,A Clarinet,Cl
35.5,36.0,71,B4,0.5,0,7,4.0,A Clarinet,Cl
36.0,36.5,72,C5,0.5,0,7,13/3,A Clarinet,Cl
36.5,37.0,71,B4,0.5,0,7,14/3,A Clarinet,Cl
39.0,39.5,72,C5,0.5,0,8,3.0,A Clarinet,Cl
39.5,40.0,71,B4,0.5,0,8,10/3,A Clarinet,Cl
40.0,40.5,69,A4,0.5,0,8,11/3,A Clarinet,Cl
40.5,41.0,67,G4,0.5,0,8,4.0,A Clarinet,Cl
41.0,41.5,66,F#4,0.5,0,8,13/3,A Clarinet,Cl
41.5,42.0,64,E4,0.5,0,8,14/3,A Clarinet,Cl
162.0,168.0,74,D5,6.0,0,29,1.0,A Clarinet,Cl
168.0,169.5,75,D#5,1.5,0,30,1.0,A Clarinet,Cl
169.5,170.0,76,E5,0.5,0,30,2.0,A Clarinet,Cl
521/3,174.16666666666666,75,D#5,0.5,0,31,23/9,A Clarinet,Cl
1045/6,174.66666666666666,77,E#5,0.5,0,31,26/9,A Clarinet,Cl
524/3,175.16666666666666,79,F##5,0.5,0,31,29/9,A Clarinet,Cl
1051/6,175.66666666666666,80,G#5,0.5,0,31,32/9,A Clarinet,Cl
535/3,178.83333333333334,75,D#5,0.5,0,32,5/3,A Clarinet,Cl
1073/6,179.33333333333334,77,E#5,0.5,0,32,2.0,A Clarinet,Cl
538/3,179.83333333333334,79,F##5,0.5,0,32,7/3,A Clarinet,Cl
1079/6,180.33333333333334,80,G#5,0.5,0,32,8/3,A Clarinet,Cl
183.0,183.5,63,D#4,0.5,0,33,23/9,A Clarinet,Cl
183.5,184.0,65,E#4,0.5,0,33,26/9,A Clarinet,Cl
184.0,184.5,67,F##4,0.5,0,33,29/9,A Clarinet,Cl
184.5,185.0,68,G#4,0.5,0,33,32/9,A Clarinet,Cl
563/3,188.16666666666666,63,D#4,0.5,0,34,5/3,A Clarinet,Cl
1129/6,188.66666666666666,65,E#4,0.5,0,34,2.0,A Clarinet,Cl
566/3,189.16666666666666,67,F##4,0.5,0,34,7/3,A Clarinet,Cl
1135/6,189.66666666666666,68,G#4,0.5,0,34,8/3,A Clarinet,Cl
577/3,192.83333333333334,66,F#4,0.5,0,35,7/3,A Clarinet,Cl
1157/6,193.33333333333334,67,G4,0.5,0,35,8/3,A Clarinet,Cl
580/3,193.83333333333334,69,A4,0.5,0,35,3.0,A Clarinet,Cl
1169/6,195.33333333333334,66,F#4,0.5,0,35,4.0,A Clarinet,Cl
586/3,195.83333333333334,67,G4,0.5,0,35,13/3,A Clarinet,Cl
1175/6,196.33333333333334,69,A4,0.5,0,35,14/3,A Clarinet,Cl
592/3,197.83333333333334,66,F#4,0.5,0,36,5/3,A Clarinet,Cl
1187/6,198.33333333333334,67,G4,0.5,0,36,2.0,A Clarinet,Cl
595/3,198.83333333333334,69,A4,0.5,0,36,7/3,A Clarinet,Cl
1199/6,200.33333333333334,66,F#4,0.5,0,36,10/3,A Clarinet,Cl
601/3,200.83333333333334,67,G4,0.5,0,36,11/3,A Clarinet,Cl
1205/6,201.33333333333334,69,A4,0.5,0,36,4.0,A Clarinet,Cl
640/3,213.83333333333334,76,E5,0.5,0,39,1.0,A Clarinet,Cl
1283/6,214.33333333333334,74,D5,0.5,0,39,4/3,A Clarinet,Cl
643/3,214.83333333333334,76,E5,0.5,0,39,5/3,A Clarinet,Cl
1289/6,215.33333333333334,74,D5,0.5,0,39,2.0,A Clarinet,Cl
646/3,215.83333333333334,76,E5,0.5,0,39,7/3,A Clarinet,Cl
1295/6,216.33333333333334,74,D5,0.5,0,39,8/3,A Clarinet,Cl
649/3,216.83333333333334,76,E5,0.5,0,39,3.0,A Clarinet,Cl
1301/6,217.33333333333334,74,D5,0.5,0,39,10/3,A Clarinet,Cl
652/3,217.83333333333334,76,E5,0.5,0,39,11/3,A Clarinet,Cl
1307/6,218.33333333333334,74,D5,0.5,0,39,4.0,A Clarinet,Cl
655/3,218.83333333333334,76,E5,0.5,0,39,13/3,A Clarinet,Cl
1313/6,219.33333333333334,74,D5,0.5,0,39,14/3,A Clarinet,Cl
658/3,219.83333333333334,76,E5,0.5,0,40,5/3,A Clarinet,Cl
1319/6,220.33333333333334,74,D5,0.5,0,40,2.0,A Clarinet,Cl
661/3,220.83333333333334,72,C5,0.5,0,40,7/3,A Clarinet,Cl
1325/6,221.33333333333334,71,B4,0.5,0,40,8/3,A Clarinet,Cl
664/3,221.83333333333334,69,A4,0.5,0,40,3.0,A Clarinet,Cl
1331/6,222.33333333333334,67,G4,0.5,0,40,10/3,A Clarinet,Cl
709/3,236.83333333333334,76,E5,0.5,0,43,1.0,A Clarinet,Cl
1421/6,237.33333333333334,74,D5,0.5,0,43,4/3,A Clarinet,Cl
712/3,237.83333333333334,76,E5,0.5,0,43,5/3,A Clarinet,Cl
1427/6,238.33333333333334,74,D5,0.5,0,43,2.0,A Clarinet,Cl
715/3,238.83333333333334,76,E5,0.5,0,43,7/3,A Clarinet,Cl
1433/6,239.33333333333334,74,D5,0.5,0,43,8/3,A Clarinet,Cl
718/3,239.83333333333334,76,E5,0.5,0,43,3.0,A Clarinet,Cl
1439/6,240.33333333333334,74,D5,0.5,0,43,10/3,A Clarinet,Cl
721/3,240.83333333333334,76,E5,0.5,0,43,11/3,A Clarinet,Cl
1445/6,241.33333333333334,74,D5,0.5,0,43,4.0,A Clarinet,Cl
724/3,241.83333333333334,76,E5,0.5,0,43,13/3,A Clarinet,Cl
1451/6,242.33333333333334,74,D5,0.5,0,43,14/3,A Clarinet,Cl
727/3,242.83333333333334,76,E5,0.5,0,44,1.0,A Clarinet,Cl
1457/6,243.33333333333334,74,D5,0.5,0,44,4/3,A Clarinet,Cl
730/3,243.83333333333334,72,C5,0.5,0,44,5/3,A Clarinet,Cl
1463/6,244.33333333333334,71,B4,0.5,0,44,2.0,A Clarinet,Cl
733/3,244.83333333333334,69,A4,0.5,0,44,7/3,A Clarinet,Cl
1469/6,245.33333333333334,67,G4,0.5,0,44,8/3,A Clarinet,Cl
760/3,254.83333333333334,75,E-5,1.5,0,46,1.0,A Clarinet,Cl
1529/6,256.33333333333337,74,D5,1.5,0,46,2.0,A Clarinet,Cl
769/3,257.8333333333333,72,C5,1.5,0,46,3.0,A Clarinet,Cl
1547/6,259.0833333333333,70,B-4,1.25,0,46,4.0,A Clarinet,Cl
3109/12,259.3333333333333,68,A-4,0.25,0,46,29/6,A Clarinet,Cl
778/3,259.8333333333333,67,G4,0.5,0,47,17/9,A Clarinet,Cl
263.5,264.0,58,B-3,0.5,0,48,1.0,A Clarinet,Cl
264.0,264.5,60,C4,0.5,0,48,4/3,A Clarinet,Cl
264.5,265.0,62,D4,0.5,0,48,5/3,A Clarinet,Cl
265.0,265.5,63,E-4,0.5,0,48,2.0,A Clarinet,Cl
265.5,266.0,62,D4,0.5,0,48,7/3,A Clarinet,Cl
266.0,266.5,60,C4,0.5,0,48,8/3,A Clarinet,Cl
266.5,267.0,58,B-3,0.5,0,48,3.0,A Clarinet,Cl
833/3,278.1666666666667,82,A#5,0.5,0,50,4.0,A Clarinet,Cl
1669/6,278.6666666666667,82,A#5,0.5,0,50,13/3,A Clarinet,Cl
836/3,279.1666666666667,82,A#5,0.5,0,50,14/3,A Clarinet,Cl
1675/6,279.6666666666667,78,F#5,0.5,0,51,1.0,A Clarinet,Cl
839/3,280.1666666666667,80,G#5,0.5,0,51,4/3,A Clarinet,Cl
1681/6,280.6666666666667,82,A#5,0.5,0,51,5/3,A Clarinet,Cl
842/3,281.1666666666667,83,B5,0.5,0,51,2.0,A Clarinet,Cl
1687/6,281.6666666666667,82,A#5,0.5,0,51,7/3,A Clarinet,Cl
845/3,282.1666666666667,80,G#5,0.5,0,51,8/3,A Clarinet,Cl
1693/6,282.6666666666667,78,F#5,0.5,0,51,3.0,A Clarinet,Cl
853/3,284.8333333333333,54,F#3,0.5,0,52,23/9,A Clarinet,Cl
1709/6,285.3333333333333,56,G#3,0.5,0,52,17/9,A Clarinet,Cl
856/3,285.8333333333333,58,A#3,0.5,0,52,20/9,A Clarinet,Cl
1715/6,286.3333333333333,59,B3,0.5,0,52,23/9,A Clarinet,Cl
859/3,286.8333333333333,58,A#3,0.5,0,52,26/9,A Clarinet,Cl
1721/6,287.3333333333333,56,G#3,0.5,0,52,29/9,A Clarinet,Cl
862/3,287.8333333333333,54,F#3,0.5,0,52,32/9,A Clarinet,Cl
307.5,308.5,87,D#6,1.0,0,56,1.0,A Clarinet,Cl
308.5,309.0,87,D#6,0.5,0,56,2.0,A Clarinet,Cl
309.25,309.5,87,D#6,0.25,0,56,2.75,A Clarinet,Cl
309.5,310.0,78,F#5,0.5,0,56,3.0,A Clarinet,Cl
323.5,324.5,87,D#6,1.0,0,60,1.0,A Clarinet,Cl
324.5,325.0,87,D#6,0.5,0,60,2.0,A Clarinet,Cl
325.25,325.5,87,D#6,0.25,0,60,2.75,A Clarinet,Cl
325.5,326.0,78,F#5,0.5,0,60,3.0,A Clarinet,Cl
327.5,331.5,83,B5,4.0,0,61,1.0,A Clarinet,Cl
331.5,335.5,79,G5,4.0,0,62,1.0,A Clarinet,Cl
335.5,339.5,83,B5,4.0,0,63,1.0,A Clarinet,Cl
339.5,343.5,79,G5,4.0,0,64,1.0,A Clarinet,Cl
343.5,347.5,83,B5,4.0,0,65,1.0,A Clarinet,Cl
347.5,351.5,84,C6,4.0,0,66,1.0,A Clarinet,Cl
351.5,355.5,75,D#5,4.0,0,67,1.0,A Clarinet,Cl
355.5,359.5,79,G5,4.0,0,68,1.0,A Clarinet,Cl
359.5,360.0,83,B5,0.5,0,69,1.0,A Clarinet,Cl
360.5,361.0,59,B3,0.5,0,69,2.0,A Clarinet,Cl
361.0,361.5,49,C#3,0.5,0,69,2.5,A Clarinet,Cl
361.5,362.0,50,D3,0.5,0,69,3.0,A Clarinet,Cl
362.0,362.5,51,D#3,0.5,0,69,3.5,A Clarinet,Cl
362.5,363.0,52,E3,0.5,0,69,4.0,A Clarinet,Cl
363.0,363.5,54,F#3,0.5,0,69,4.5,A Clarinet,Cl
363.5,364.0,55,G3,0.5,0,70,1.0,A Clarinet,Cl
364.0,364.5,56,G#3,0.5,0,70,1.5,A Clarinet,Cl
364.5,365.0,57,A3,0.5,0,70,2.0,A Clarinet,Cl
365.0,365.5,58,A#3,0.5,0,70,2.5,A Clarinet,Cl
365.5,366.0,59,B3,0.5,0,70,3.0,A Clarinet,Cl
366.0,366.5,61,C#4,0.5,0,70,3.5,A Clarinet,Cl
366.5,367.0,62,D4,0.5,0,70,4.0,A Clarinet,Cl
367.0,367.5,63,D#4,0.5,0,70,4.5,A Clarinet,Cl
367.5,368.0,64,E4,0.5,0,71,1.0,A Clarinet,Cl
368.5,369.0,59,B3,0.5,0,71,2.0,A Clarinet,Cl
369.25,369.5,59,B3,0.25,0,71,2.75,A Clarinet,Cl
369.5,370.0,64,E4,0.5,0,71,3.0,A Clarinet,Cl
370.5,371.0,59,B3,0.5,0,71,4.0,A Clarinet,Cl
371.5,372.0,64,E4,0.5,0,72,1.0,A Clarinet,Cl
372.0,374.5,69,A4,2.5,0,72,1.5,A Clarinet,Cl
374.5,375.0,68,G#4,0.5,0,72,4.0,A Clarinet,Cl
375.25,375.5,66,F#4,0.25,0,72,4.75,A Clarinet,Cl
375.5,376.0,71,B4,0.5,0,73,1.0,A Clarinet,Cl
376.5,376.5,66,F#4,0.0,0,73,2.0,A Clarinet,Cl
376.5,377.0,64,E4,0.5,0,73,2.0,A Clarinet,Cl
