Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
8.0,8.5,72,C5,0.5,0,3,1.0,A Clarinet,Cl
8.5,9.0,66,F#4,0.5,0,3,4/3,A Clarinet,Cl
9.0,9.5,72,C5,0.5,0,3,5/3,A Clarinet,Cl
9.5,10.0,66,F#4,0.5,0,3,2.0,A Clarinet,Cl
10.0,10.5,72,C5,0.5,0,3,7/3,A Clarinet,Cl
10.5,11.0,66,F#4,0.5,0,3,8/3,A Clarinet,Cl
11.0,11.5,72,C5,0.5,0,3,3.0,A Clarinet,Cl
11.5,12.0,67,G4,0.5,0,3,10/3,A Clarinet,Cl
12.0,12.5,72,C5,0.5,0,3,11/3,A Clarinet,Cl
12.5,13.0,69,A4,0.5,0,3,4.0,A Clarinet,Cl
13.0,13.5,72,C5,0.5,0,3,13/3,A Clarinet,Cl
13.5,14.0,69,A4,0.5,0,3,14/3,A Clarinet,Cl
16.0,16.5,70,A#4,0.5,0,4,7/3,A Clarinet,Cl
16.5,17.0,71,B4,0.5,0,4,8/3,A Clarinet,Cl
17.0,17.5,69,A4,0.5,0,4,3.0,A Clarinet,Cl
17.5,18.0,67,G4,0.5,0,4,10/3,A Clarinet,Cl
18.0,18.5,63,E-4,0.5,0,4,11/3,A Clarinet,Cl
18.5,19.0,62,D4,0.5,0,4,4.0,A Clarinet,Cl
31.0,31.5,69,A4,0.5,0,7,1.0,A Clarinet,Cl
31.5,32.0,63,D#4,0.5,0,7,4/3,A Clarinet,Cl
32.0,32.5,69,A4,0.5,0,7,5/3,A Clarinet,Cl
32.5,33.0,63,D#4,0.5,0,7,2.0,A Clarinet,Cl
33.0,33.5,69,A4,0.5,0,7,7/3,A Clarinet,Cl
33.5,34.0,63,D#4,0.5,0,7,8/3,A Clarinet,Cl
34.0,34.5,69,A4,0.5,0,7,3.0,A Clarinet,Cl
34.5,35.0,64,E4,0.5,0,7,10/3,A Clarinet,Cl
35.0,35.5,69,A4,0.5,0,7,11/3,A Clarinet,Cl
35.5,36.0,66,F#4,0.5,0,7,4.0,A Clarinet,Cl
36.0,36.5,69,A4,0.5,0,7,13/3,A Clarinet,Cl
36.5,37.0,66,F#4,0.5,0,7,14/3,A Clarinet,Cl
39.0,39.5,66,F#4,0.5,0,8,3.0,A Clarinet,Cl
39.5,40.0,67,G4,0.5,0,8,10/3,A Clarinet,Cl
40.0,40.5,66,F#4,0.5,0,8,11/3,A Clarinet,Cl
40.5,41.0,64,E4,0.5,0,8,4.0,A Clarinet,Cl
41.0,41.5,60,C4,0.5,0,8,13/3,A Clarinet,Cl
41.5,42.0,59,B3,0.5,0,8,14/3,A Clarinet,Cl
162.0,168.0,62,D4,6.0,0,29,1.0,A Clarinet,Cl
