Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
0.0,4.0,64,E4,4.0,0,1,1.0,Horn in F,Hn
112.0,112.5,57,A3,0.5,0,29,1.0,Horn in F,Hn
112.0,112.5,69,A4,0.5,0,29,1.0,Horn in F,Hn
113.0,113.5,59,B3,0.5,0,29,2.0,Horn in F,Hn
113.0,113.5,71,B4,0.5,0,29,2.0,Horn in F,Hn
113.75,114.0,59,B3,0.25,0,29,2.75,Horn in F,Hn
113.75,114.0,71,B4,0.25,0,29,2.75,Horn in F,Hn
114.0,114.5,57,A3,0.5,0,29,3.0,Horn in F,Hn
114.0,114.5,69,A4,0.5,0,29,3.0,Horn in F,Hn
115.0,115.5,55,G3,0.5,0,29,4.0,Horn in F,Hn
115.0,115.5,67,G4,0.5,0,29,4.0,Horn in F,Hn
116.0,116.5,54,F#3,0.5,0,30,1.0,Horn in F,Hn
116.0,116.5,66,F#4,0.5,0,30,1.0,Horn in F,Hn
117.0,117.33333333333333,52,E3,1/3,0,30,2.0,Horn in F,Hn
117.0,117.33333333333333,64,E4,1/3,0,30,2.0,Horn in F,Hn
352/3,353/3,50,D3,1/3,0,30,7/3,Horn in F,Hn
352/3,353/3,62,D4,1/3,0,30,7/3,Horn in F,Hn
353/3,118,52,E3,1/3,0,30,8/3,Horn in F,Hn
353/3,118,64,E4,1/3,0,30,8/3,Horn in F,Hn
118.0,118.5,54,F#3,0.5,0,30,3.0,Horn in F,Hn
118.0,118.5,66,F#4,0.5,0,30,3.0,Horn in F,Hn
119.0,119.5,52,E3,0.5,0,30,4.0,Horn in F,Hn
119.0,119.5,64,E4,0.5,0,30,4.0,Horn in F,Hn
120.0,120.5,50,D3,0.5,0,31,1.0,Horn in F,Hn
120.0,120.5,62,D4,0.5,0,31,1.0,Horn in F,Hn
131.0,131.5,41,F2,0.5,0,33,13/3,Horn in F,Hn
131.5,132.0,44,G#2,0.5,0,33,14/3,Horn in F,Hn
132.0,132.5,50,D3,0.5,0,33,1.0,Horn in F,Hn
132.5,133.0,50,D3,0.5,0,34,4/3,Horn in F,Hn
407/3,136.16666666666666,41,F2,0.5,0,34,31/9,Horn in F,Hn
817/6,136.66666666666666,44,G#2,0.5,0,34,34/9,Horn in F,Hn
410/3,137.16666666666666,50,D3,0.5,0,34,37/9,Horn in F,Hn
138.5,139.0,50,D3,0.5,0,35,4/3,Horn in F,Hn
