Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
0.0,4.0,76,E5,4.0,0,1,1.0,Piccolo,Picc
144.0,144.5,103,G7,0.5,0,37,1.0,Piccolo,Picc
145.0,145.5,98,D7,0.5,0,37,2.0,Piccolo,Picc
146.0,146.5,93,A6,0.5,0,37,3.0,Piccolo,Picc
147.0,147.5,88,E6,0.5,0,37,4.0,Piccolo,Picc
148.0,148.5,93,A6,0.5,0,38,1.0,Piccolo,Picc
149.0,149.5,98,D7,0.5,0,38,2.0,Piccolo,Picc
150.0,150.5,95,B6,0.5,0,38,3.0,Piccolo,Picc
151.0,151.5,86,D6,0.5,0,38,4.0,Piccolo,Picc
151.5,152.0,88,E6,0.5,0,38,4.5,Piccolo,Picc
152.0,152.5,90,F#6,0.5,0,39,1.0,Piccolo,Picc
152.5,153.0,91,G6,0.5,0,39,1.5,Piccolo,Picc
153.0,153.5,93,A6,0.5,0,39,2.0,Piccolo,Picc
153.5,154.0,95,B6,0.5,0,39,2.5,Piccolo,Picc
154.0,154.5,96,C7,0.5,0,39,3.0,Piccolo,Picc
155.0,155.5,95,B6,0.5,0,39,4.0,Piccolo,Picc
155.5,156.0,93,A6,0.5,0,39,4.5,Piccolo,Picc
156.0,156.5,98,D7,0.5,0,40,1.0,Piccolo,Picc
157.0,157.5,91,G6,0.5,0,40,2.0,Piccolo,Picc
158.0,158.5,91,G6,0.5,0,40,3.0,Piccolo,Picc
168.0,168.5,100,E7,0.5,0,43,1.0,Piccolo,Picc
168.5,169.0,98,D7,0.5,0,43,4/3,Piccolo,Picc
169.0,169.5,100,E7,0.5,0,43,5/3,Piccolo,Picc
169.5,170.0,98,D7,0.5,0,43,2.0,Piccolo,Picc
170.0,170.5,100,E7,0.5,0,43,7/3,Piccolo,Picc
170.5,171.0,98,D7,0.5,0,43,8/3,Piccolo,Picc
171.0,171.5,100,E7,0.5,0,43,3.0,Piccolo,Picc
171.5,172.0,98,D7,0.5,0,43,10/3,Piccolo,Picc
172.0,172.5,100,E7,0.5,0,43,11/3,Piccolo,Picc
172.5,173.0,98,D7,0.5,0,43,4.0,Piccolo,Picc
173.0,173.5,100,E7,0.5,0,43,13/3,Piccolo,Picc
173.5,174.0,98,D7,0.5,0,43,14/3,Piccolo,Picc
174.0,174.5,100,E7,0.5,0,44,1.0,Piccolo,Picc
174.5,175.0,98,D7,0.5,0,44,4/3,Piccolo,Picc
175.0,175.5,96,C7,0.5,0,44,5/3,Piccolo,Picc
175.5,176.0,95,B6,0.5,0,44,2.0,Piccolo,Picc
176.0,176.5,93,A6,0.5,0,44,7/3,Piccolo,Picc
176.5,177.0,91,G6,0.5,0,44,8/3,Piccolo,Picc
188.0,188.5,86,D6,0.5,0,46,4.0,Piccolo,Picc
188.5,189.0,86,D6,0.5,0,46,13/3,Piccolo,Picc
189.0,189.5,86,D6,0.5,0,46,14/3,Piccolo,Picc
189.5,190.0,82,B-5,0.5,0,47,1.0,Piccolo,Picc
190.0,190.5,84,C6,0.5,0,47,4/3,Piccolo,Picc
190.5,191.0,86,D6,0.5,0,47,5/3,Piccolo,Picc
191.0,191.5,87,E-6,0.5,0,47,2.0,Piccolo,Picc
191.5,192.0,86,D6,0.5,0,47,7/3,Piccolo,Picc
192.0,192.5,84,C6,0.5,0,47,8/3,Piccolo,Picc
192.5,193.0,82,B-5,0.5,0,47,3.0,Piccolo,Picc
734/3,245.66666666666666,90,F#6,1.0,0,56,13/3,Piccolo,Picc
737/3,246.16666666666666,90,F#6,0.5,0,56,4/3,Piccolo,Picc
2957/12,246.66666666666666,90,F#6,0.25,0,56,25/12,Piccolo,Picc
740/3,247.16666666666666,78,F#5,0.5,0,57,1.0,Piccolo,Picc
782/3,261.6666666666667,90,F#6,1.0,0,60,13/3,Piccolo,Picc
785/3,262.1666666666667,90,F#6,0.5,0,60,4/3,Piccolo,Picc
3149/12,262.6666666666667,90,F#6,0.25,0,60,25/12,Piccolo,Picc
788/3,263.1666666666667,83,B5,0.5,0,61,7/3,Piccolo,Picc
860/3,290.6666666666667,87,E-6,4.0,0,67,7/3,Piccolo,Picc
872/3,294.6666666666667,91,G6,4.0,0,68,7/3,Piccolo,Picc
884/3,295.1666666666667,95,B6,0.5,0,69,7/3,Piccolo,Picc
1241/3,413.9166666666667,95,B6,0.25,0,98,4/3,Piccolo,Picc
4967/12,414.1666666666667,97,C#7,0.25,0,98,19/12,Piccolo,Picc
2485/6,414.4166666666667,95,B6,0.25,0,98,11/6,Piccolo,Picc
4973/12,414.6666666666667,97,C#7,0.25,0,98,25/12,Piccolo,Picc
1244/3,415.1666666666667,92,G#6,0.5,0,99,7/3,Piccolo,Picc
1289/3,429.9166666666667,104,G#7,0.25,0,102,4/3,Piccolo,Picc
5159/12,430.1666666666667,105,A7,0.25,0,102,19/12,Piccolo,Picc
2581/6,430.4166666666667,104,G#7,0.25,0,102,11/6,Piccolo,Picc
5165/12,430.6666666666667,105,A7,0.25,0,102,25/12,Piccolo,Picc
1292/3,431.1666666666667,100,E7,0.5,0,103,7/3,Piccolo,Picc
1295/3,431.9166666666667,96,C7,0.25,0,103,10/3,Piccolo,Picc
5183/12,432.1666666666667,97,C#7,0.25,0,103,43/12,Piccolo,Picc
2593/6,432.4166666666667,96,C7,0.25,0,103,23/6,Piccolo,Picc
5189/12,432.6666666666667,97,C#7,0.25,0,103,49/12,Piccolo,Picc
1298/3,433.1666666666667,93,A6,0.5,0,103,13/3,Piccolo,Picc
1337/3,445.9166666666667,95,B6,0.25,0,106,4/3,Piccolo,Picc
5351/12,446.1666666666667,97,C#7,0.25,0,106,19/12,Piccolo,Picc
2677/6,446.4166666666667,95,B6,0.25,0,106,11/6,Piccolo,Picc
5357/12,446.6666666666667,97,C#7,0.25,0,106,25/12,Piccolo,Picc
1340/3,447.1666666666667,92,G#6,0.5,0,107,7/3,Piccolo,Picc
568.0,568.5,95,B6,0.5,0,137,43/9,Piccolo,Picc
568.5,569.0,98,D7,0.5,0,137,10/9,Piccolo,Picc
569.0,569.5,100,E7,0.5,0,137,13/9,Piccolo,Picc
569.5,570.0,98,D7,0.5,0,137,16/9,Piccolo,Picc
570.0,570.5,96,C7,0.5,0,137,19/9,Piccolo,Picc
570.5,571.0,95,B6,0.5,0,137,22/9,Piccolo,Picc
573.0,573.5,95,B6,0.5,0,138,37/9,Piccolo,Picc
573.5,574.0,98,D7,0.5,0,138,40/9,Piccolo,Picc
574.0,574.5,100,E7,0.5,0,138,43/9,Piccolo,Picc
574.5,575.0,98,D7,0.5,0,138,10/9,Piccolo,Picc
575.0,575.5,96,C7,0.5,0,138,13/9,Piccolo,Picc
575.5,576.0,95,B6,0.5,0,138,16/9,Piccolo,Picc
2378/3,793.1666666666666,103,G7,0.5,0,175,1.0,Piccolo,Picc
2381/3,794.1666666666666,98,D7,0.5,0,175,4/3,Piccolo,Picc
2384/3,795.1666666666666,93,A6,0.5,0,175,7/3,Piccolo,Picc
2387/3,796.1666666666666,88,E6,0.5,0,175,10/3,Piccolo,Picc
2390/3,797.1666666666666,93,A6,0.5,0,176,1.0,Piccolo,Picc
2393/3,798.1666666666666,98,D7,0.5,0,176,4/3,Piccolo,Picc
2396/3,799.1666666666666,95,B6,0.5,0,176,7/3,Piccolo,Picc
2399/3,800.1666666666666,86,D6,0.5,0,176,10/3,Piccolo,Picc
4801/6,800.6666666666666,88,E6,0.5,0,176,23/6,Piccolo,Picc
2402/3,801.1666666666666,90,F#6,0.5,0,177,1.0,Piccolo,Picc
4807/6,801.6666666666666,91,G6,0.5,0,177,29/6,Piccolo,Picc
2405/3,802.1666666666666,93,A6,0.5,0,177,4/3,Piccolo,Picc
4813/6,802.6666666666666,95,B6,0.5,0,177,11/6,Piccolo,Picc
2408/3,803.1666666666666,96,C7,0.5,0,177,7/3,Piccolo,Picc
2411/3,804.1666666666666,95,B6,0.5,0,177,10/3,Piccolo,Picc
4825/6,804.6666666666666,93,A6,0.5,0,177,23/6,Piccolo,Picc
2414/3,805.1666666666666,98,D7,0.5,0,178,1.0,Piccolo,Picc
2417/3,806.1666666666666,91,G6,0.5,0,178,4/3,Piccolo,Picc
2420/3,807.1666666666666,91,G6,0.5,0,178,7/3,Piccolo,Picc
2450/3,817.1666666666666,100,E7,0.5,0,181,1.0,Piccolo,Picc
