Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
200.0,200.5,71,B4,0.5,0,51,1.0,Violas,Str
1213/6,202.66666666666666,51,D#3,0.5,0,51,22/9,Violas,Str
608/3,203.16666666666666,52,E3,0.5,0,51,25/9,Violas,Str
1219/6,203.66666666666666,54,F#3,0.5,0,51,28/9,Violas,Str
611/3,204.16666666666666,56,G#3,0.5,0,51,31/9,Violas,Str
1225/6,204.66666666666666,54,F#3,0.5,0,51,34/9,Violas,Str
614/3,205.16666666666666,52,E3,0.5,0,51,37/9,Violas,Str
1231/6,205.66666666666666,51,D#3,0.5,0,52,16/9,Violas,Str
628/3,209.83333333333334,56,G#3,0.5,0,53,1.0,Violas,Str
1259/6,210.33333333333334,54,F#3,0.5,0,53,4/3,Violas,Str
631/3,210.83333333333334,56,G#3,0.5,0,53,5/3,Violas,Str
1265/6,211.33333333333334,54,F#3,0.5,0,53,2.0,Violas,Str
634/3,211.83333333333334,56,G#3,0.5,0,53,7/3,Violas,Str
1271/6,212.33333333333334,54,F#3,0.5,0,53,8/3,Violas,Str
637/3,212.83333333333334,59,B3,0.5,0,53,3.0,Violas,Str
1277/6,213.33333333333334,58,A#3,0.5,0,53,10/3,Violas,Str
640/3,213.83333333333334,59,B3,0.5,0,53,11/3,Violas,Str
1283/6,214.33333333333334,58,A#3,0.5,0,53,4.0,Violas,Str
643/3,214.83333333333334,59,B3,0.5,0,53,13/3,Violas,Str
1289/6,215.33333333333334,58,A#3,0.5,0,53,14/3,Violas,Str
646/3,215.83333333333334,61,C#4,0.5,0,54,1.0,Violas,Str
1295/6,216.33333333333334,59,B3,0.5,0,54,4/3,Violas,Str
649/3,216.83333333333334,61,C#4,0.5,0,54,5/3,Violas,Str
1301/6,217.33333333333334,59,B3,0.5,0,54,2.0,Violas,Str
652/3,217.83333333333334,61,C#4,0.5,0,54,7/3,Violas,Str
1307/6,218.33333333333334,59,B3,0.5,0,54,8/3,Violas,Str
655/3,218.83333333333334,63,D#4,0.5,0,54,3.0,Violas,Str
1313/6,219.33333333333334,61,C#4,0.5,0,54,10/3,Violas,Str
658/3,219.83333333333334,63,D#4,0.5,0,54,11/3,Violas,Str
1319/6,220.33333333333334,61,C#4,0.5,0,54,4.0,Violas,Str
661/3,220.83333333333334,63,D#4,0.5,0,54,13/3,Violas,Str
1325/6,221.33333333333334,61,C#4,0.5,0,54,14/3,Violas,Str
664/3,221.83333333333334,64,E4,0.5,0,55,1.0,Violas,Str
1331/6,222.33333333333334,63,D#4,0.5,0,55,4/3,Violas,Str
667/3,222.83333333333334,64,E4,0.5,0,55,5/3,Violas,Str
1337/6,223.33333333333334,63,D#4,0.5,0,55,2.0,Violas,Str
670/3,223.83333333333334,64,E4,0.5,0,55,7/3,Violas,Str
1343/6,224.33333333333334,63,D#4,0.5,0,55,8/3,Violas,Str
673/3,224.83333333333334,61,C#4,0.5,0,55,3.0,Violas,Str
1349/6,225.33333333333334,58,A#3,0.5,0,55,10/3,Violas,Str
676/3,225.83333333333334,61,C#4,0.5,0,55,11/3,Violas,Str
1355/6,226.33333333333334,58,A#3,0.5,0,55,4.0,Violas,Str
679/3,226.83333333333334,61,C#4,0.5,0,55,13/3,Violas,Str
1361/6,227.33333333333334,58,A#3,0.5,0,55,14/3,Violas,Str
682/3,227.83333333333334,61,C#4,0.5,0,56,1.0,Violas,Str
1367/6,228.33333333333334,59,B3,0.5,0,56,4/3,Violas,Str
685/3,228.83333333333334,61,C#4,0.5,0,56,5/3,Violas,Str
1373/6,229.33333333333334,59,B3,0.5,0,56,2.0,Violas,Str
688/3,229.83333333333334,61,C#4,0.5,0,56,7/3,Violas,Str
1379/6,230.33333333333334,59,B3,0.5,0,56,8/3,Violas,Str
691/3,230.83333333333334,63,D#4,0.5,0,56,3.0,Violas,Str
1385/6,231.33333333333334,61,C#4,0.5,0,56,10/3,Violas,Str
694/3,231.83333333333334,63,D#4,0.5,0,56,11/3,Violas,Str
1391/6,232.33333333333334,61,C#4,0.5,0,56,4.0,Violas,Str
697/3,232.83333333333334,63,D#4,0.5,0,56,13/3,Violas,Str
1397/6,233.33333333333334,61,C#4,0.5,0,56,14/3,Violas,Str
700/3,233.83333333333334,56,G#3,0.5,0,57,1.0,Violas,Str
1403/6,234.33333333333334,54,F#3,0.5,0,57,4/3,Violas,Str
703/3,234.83333333333334,56,G#3,0.5,0,57,5/3,Violas,Str
1409/6,235.33333333333334,54,F#3,0.5,0,57,2.0,Violas,Str
706/3,235.83333333333334,56,G#3,0.5,0,57,7/3,Violas,Str
1415/6,236.33333333333334,54,F#3,0.5,0,57,8/3,Violas,Str
709/3,236.83333333333334,59,B3,0.5,0,57,3.0,Violas,Str
1421/6,237.33333333333334,58,A#3,0.5,0,57,10/3,Violas,Str
712/3,237.83333333333334,59,B3,0.5,0,57,11/3,Violas,Str
1427/6,238.33333333333334,58,A#3,0.5,0,57,4.0,Violas,Str
715/3,238.83333333333334,59,B3,0.5,0,57,13/3,Violas,Str
1433/6,239.33333333333334,58,A#3,0.5,0,57,14/3,Violas,Str
718/3,239.83333333333334,61,C#4,0.5,0,58,1.0,Violas,Str
1439/6,240.33333333333334,59,B3,0.5,0,58,4/3,Violas,Str
721/3,240.83333333333334,61,C#4,0.5,0,58,5/3,Violas,Str
1445/6,241.33333333333334,59,B3,0.5,0,58,2.0,Violas,Str
724/3,241.83333333333334,61,C#4,0.5,0,58,7/3,Violas,Str
1451/6,242.33333333333334,59,B3,0.5,0,58,8/3,Violas,Str
727/3,242.83333333333334,63,D#4,0.5,0,58,3.0,Violas,Str
1457/6,243.33333333333334,61,C#4,0.5,0,58,10/3,Violas,Str
730/3,243.83333333333334,63,D#4,0.5,0,58,11/3,Violas,Str
1463/6,244.33333333333334,61,C#4,0.5,0,58,4.0,Violas,Str
733/3,244.83333333333334,63,D#4,0.5,0,58,13/3,Violas,Str
1469/6,245.33333333333334,61,C#4,0.5,0,58,14/3,Violas,Str
736/3,245.83333333333334,64,E4,0.5,0,59,1.0,Violas,Str
1475/6,246.33333333333334,63,D#4,0.5,0,59,4/3,Violas,Str
739/3,246.83333333333334,64,E4,0.5,0,59,5/3,Violas,Str
1481/6,247.33333333333334,63,D#4,0.5,0,59,2.0,Violas,Str
742/3,247.83333333333334,64,E4,0.5,0,59,7/3,Violas,Str
1487/6,248.33333333333334,63,D#4,0.5,0,59,8/3,Violas,Str
745/3,248.83333333333334,61,C#4,0.5,0,59,3.0,Violas,Str
1493/6,249.33333333333334,58,A#3,0.5,0,59,10/3,Violas,Str
748/3,249.83333333333334,61,C#4,0.5,0,59,11/3,Violas,Str
1499/6,250.33333333333334,58,A#3,0.5,0,59,4.0,Violas,Str
751/3,250.83333333333334,61,C#4,0.5,0,59,13/3,Violas,Str
1505/6,251.33333333333334,58,A#3,0.5,0,59,14/3,Violas,Str
754/3,251.83333333333334,61,C#4,0.5,0,60,1.0,Violas,Str
1511/6,252.33333333333334,59,B3,0.5,0,60,4/3,Violas,Str
757/3,252.83333333333334,61,C#4,0.5,0,60,5/3,Violas,Str
1517/6,253.33333333333334,59,B3,0.5,0,60,2.0,Violas,Str
760/3,253.83333333333334,61,C#4,0.5,0,60,7/3,Violas,Str
1523/6,254.33333333333334,59,B3,0.5,0,60,8/3,Violas,Str
763/3,254.83333333333334,63,D#4,0.5,0,60,3.0,Violas,Str
1529/6,255.33333333333334,61,C#4,0.5,0,60,10/3,Violas,Str
766/3,255.83333333333334,63,D#4,0.5,0,60,11/3,Violas,Str
1535/6,256.33333333333337,61,C#4,0.5,0,60,4.0,Violas,Str
769/3,256.8333333333333,63,D#4,0.5,0,60,13/3,Violas,Str
1541/6,257.3333333333333,61,C#4,0.5,0,60,14/3,Violas,Str
772/3,257.8333333333333,64,E4,0.5,0,61,41/9,Violas,Str
1547/6,258.3333333333333,63,D#4,0.5,0,61,4/3,Violas,Str
775/3,258.8333333333333,64,E4,0.5,0,61,5/3,Violas,Str
1553/6,259.3333333333333,63,D#4,0.5,0,61,2.0,Violas,Str
778/3,259.8333333333333,64,E4,0.5,0,61,7/3,Violas,Str
1559/6,260.3333333333333,63,D#4,0.5,0,61,8/3,Violas,Str
781/3,260.8333333333333,64,E4,0.5,0,61,3.0,Violas,Str
1565/6,261.3333333333333,63,D#4,0.5,0,61,10/3,Violas,Str
784/3,261.8333333333333,64,E4,0.5,0,61,11/3,Violas,Str
1571/6,262.3333333333333,63,D#4,0.5,0,61,4.0,Violas,Str
787/3,262.8333333333333,64,E4,0.5,0,61,13/3,Violas,Str
1577/6,263.3333333333333,63,D#4,0.5,0,61,14/3,Violas,Str
790/3,263.8333333333333,62,D4,0.5,0,62,41/9,Violas,Str
1583/6,264.3333333333333,60,C4,0.5,0,62,4/3,Violas,Str
793/3,264.8333333333333,62,D4,0.5,0,62,5/3,Violas,Str
1589/6,265.3333333333333,60,C4,0.5,0,62,2.0,Violas,Str
796/3,265.8333333333333,62,D4,0.5,0,62,7/3,Violas,Str
1595/6,266.3333333333333,60,C4,0.5,0,62,8/3,Violas,Str
799/3,266.8333333333333,62,D4,0.5,0,62,3.0,Violas,Str
1601/6,267.3333333333333,60,C4,0.5,0,62,10/3,Violas,Str
802/3,267.8333333333333,62,D4,0.5,0,62,11/3,Violas,Str
1607/6,268.3333333333333,60,C4,0.5,0,62,4.0,Violas,Str
805/3,268.8333333333333,62,D4,0.5,0,62,13/3,Violas,Str
1613/6,269.3333333333333,60,C4,0.5,0,62,14/3,Violas,Str
808/3,269.8333333333333,64,E4,0.5,0,63,41/9,Violas,Str
1619/6,270.3333333333333,63,D#4,0.5,0,63,4/3,Violas,Str
811/3,270.8333333333333,64,E4,0.5,0,63,5/3,Violas,Str
1625/6,271.3333333333333,63,D#4,0.5,0,63,2.0,Violas,Str
814/3,271.8333333333333,64,E4,0.5,0,63,7/3,Violas,Str
1631/6,272.3333333333333,63,D#4,0.5,0,63,8/3,Violas,Str
817/3,272.8333333333333,64,E4,0.5,0,63,3.0,Violas,Str
1637/6,273.3333333333333,63,D#4,0.5,0,63,10/3,Violas,Str
820/3,273.8333333333333,64,E4,0.5,0,63,11/3,Violas,Str
1643/6,274.3333333333333,63,D#4,0.5,0,63,4.0,Violas,Str
823/3,274.8333333333333,64,E4,0.5,0,63,13/3,Violas,Str
1649/6,275.3333333333333,63,D#4,0.5,0,63,14/3,Violas,Str
826/3,275.8333333333333,66,F#4,0.5,0,64,41/9,Violas,Str
1655/6,276.3333333333333,64,E4,0.5,0,64,4/3,Violas,Str
829/3,276.8333333333333,66,F#4,0.5,0,64,5/3,Violas,Str
1661/6,277.3333333333333,64,E4,0.5,0,64,2.0,Violas,Str
832/3,277.8333333333333,66,F#4,0.5,0,64,7/3,Violas,Str
1667/6,278.3333333333333,64,E4,0.5,0,64,8/3,Violas,Str
835/3,278.8333333333333,66,F#4,0.5,0,64,3.0,Violas,Str
1673/6,279.3333333333333,64,E4,0.5,0,64,10/3,Violas,Str
838/3,279.8333333333333,66,F#4,0.5,0,64,11/3,Violas,Str
1679/6,280.3333333333333,64,E4,0.5,0,64,4.0,Violas,Str
841/3,280.8333333333333,66,F#4,0.5,0,64,13/3,Violas,Str
1685/6,281.3333333333333,64,E4,0.5,0,64,14/3,Violas,Str
844/3,281.8333333333333,67,G4,0.5,0,65,41/9,Violas,Str
1691/6,282.3333333333333,66,F#4,0.5,0,65,4/3,Violas,Str
847/3,282.8333333333333,67,G4,0.5,0,65,5/3,Violas,Str
1697/6,283.3333333333333,66,F#4,0.5,0,65,2.0,Violas,Str
850/3,283.8333333333333,67,G4,0.5,0,65,7/3,Violas,Str
1703/6,284.3333333333333,66,F#4,0.5,0,65,8/3,Violas,Str
853/3,284.8333333333333,67,G4,0.5,0,65,3.0,Violas,Str
1709/6,285.3333333333333,66,F#4,0.5,0,65,10/3,Violas,Str
856/3,285.8333333333333,67,G4,0.5,0,65,11/3,Violas,Str
1715/6,286.3333333333333,66,F#4,0.5,0,65,4.0,Violas,Str
859/3,286.8333333333333,67,G4,0.5,0,65,13/3,Violas,Str
1721/6,287.3333333333333,66,F#4,0.5,0,65,14/3,Violas,Str
862/3,287.8333333333333,71,B4,0.5,0,66,41/9,Violas,Str
1727/6,288.3333333333333,69,A4,0.5,0,66,4/3,Violas,Str
865/3,288.8333333333333,71,B4,0.5,0,66,5/3,Violas,Str
1733/6,289.3333333333333,69,A4,0.5,0,66,2.0,Violas,Str
