Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
1.0,1.5,62,D4,0.5,0,1,7/3,Violas,Str
1.5,2.0,74,D5,0.5,0,1,8/3,Violas,Str
2.0,2.5,62,D4,0.5,0,1,3.0,Violas,Str
3.5,4.0,64,E4,0.5,0,1,4.0,Violas,Str
4.0,4.5,76,E5,0.5,0,1,13/3,Violas,Str
4.5,5.0,64,E4,0.5,0,1,14/3,Violas,Str
6.0,6.5,74,D5,0.5,0,2,5/3,Violas,Str
43/6,8.166666666666668,71,B4,1.0,0,2,22/9,Violas,Str
49/6,8.666666666666666,64,E4,0.5,0,2,28/9,Violas,Str
26/3,9.666666666666666,69,A4,1.0,0,2,31/9,Violas,Str
29/3,10.166666666666666,62,D4,0.5,0,2,37/9,Violas,Str
97/6,19.166666666666668,67,G4,3.0,0,4,5/3,Violas,Str
133/6,22.666666666666668,62,D4,0.5,0,5,5/3,Violas,Str
68/3,23.166666666666668,74,D5,0.5,0,5,2.0,Violas,Str
139/6,23.666666666666668,62,D4,0.5,0,5,7/3,Violas,Str
74/3,25.166666666666668,64,E4,0.5,0,5,10/3,Violas,Str
151/6,25.666666666666668,76,E5,0.5,0,5,11/3,Violas,Str
77/3,26.166666666666668,64,E4,0.5,0,5,4.0,Violas,Str
163/6,27.666666666666668,74,D5,0.5,0,6,20/9,Violas,Str
85/3,29.333333333333332,71,B4,1.0,0,6,3.0,Violas,Str
88/3,29.833333333333332,64,E4,0.5,0,6,11/3,Violas,Str
179/6,30.833333333333332,69,A4,1.0,0,6,4.0,Violas,Str
185/6,31.333333333333332,62,D4,0.5,0,6,14/3,Violas,Str
112/3,40.333333333333336,64,E4,3.0,0,8,1.0,Violas,Str
154/3,51.833333333333336,67,G4,0.5,0,10,4.0,Violas,Str
311/6,52.333333333333336,63,D#4,0.5,0,10,4.5,Violas,Str
172/3,57.833333333333336,76,E5,0.5,0,12,2.0,Violas,Str
347/6,58.333333333333336,71,B4,0.5,0,12,2.5,Violas,Str
193/3,64.83333333333333,67,G4,0.5,0,14,1.0,Violas,Str
389/6,65.33333333333333,69,A4,0.5,0,14,22/9,Violas,Str
196/3,65.83333333333333,66,F#4,0.5,0,14,25/9,Violas,Str
395/6,66.33333333333333,67,G4,0.5,0,14,28/9,Violas,Str
199/3,66.83333333333333,64,E4,0.5,0,14,31/9,Violas,Str
401/6,67.33333333333333,66,F#4,0.5,0,14,34/9,Violas,Str
202/3,67.83333333333333,62,D4,0.5,0,14,37/9,Violas,Str
407/6,68.33333333333333,64,E4,0.5,0,14,40/9,Violas,Str
205/3,68.83333333333333,60,C4,0.5,0,14,43/9,Violas,Str
413/6,69.33333333333333,62,D4,0.5,0,14,10/9,Violas,Str
208/3,69.83333333333333,64,E4,0.5,0,14,13/9,Violas,Str
419/6,70.33333333333333,62,D4,0.5,0,14,16/9,Violas,Str
211/3,70.83333333333333,66,F#4,0.5,0,15,1.0,Violas,Str
425/6,71.33333333333333,67,G4,0.5,0,15,22/9,Violas,Str
214/3,71.83333333333333,64,E4,0.5,0,15,25/9,Violas,Str
431/6,72.33333333333333,66,F#4,0.5,0,15,28/9,Violas,Str
217/3,72.83333333333333,62,D4,0.5,0,15,31/9,Violas,Str
437/6,73.33333333333333,64,E4,0.5,0,15,34/9,Violas,Str
220/3,73.83333333333333,60,C4,0.5,0,15,37/9,Violas,Str
443/6,74.33333333333333,62,D4,0.5,0,15,40/9,Violas,Str
223/3,74.83333333333333,59,B3,0.5,0,15,43/9,Violas,Str
449/6,75.33333333333333,60,C4,0.5,0,15,10/9,Violas,Str
226/3,75.83333333333333,57,A3,0.5,0,15,13/9,Violas,Str
455/6,76.33333333333333,59,B3,0.5,0,15,16/9,Violas,Str
229/3,76.83333333333333,55,G3,0.5,0,16,1.0,Violas,Str
461/6,77.33333333333333,57,A3,0.5,0,16,8/3,Violas,Str
232/3,77.83333333333333,54,F#3,0.5,0,16,3.0,Violas,Str
467/6,78.33333333333333,55,G3,0.5,0,16,10/3,Violas,Str
235/3,78.83333333333333,52,E3,0.5,0,16,11/3,Violas,Str
473/6,79.33333333333333,54,F#3,0.5,0,16,4.0,Violas,Str
238/3,79.83333333333333,50,D3,0.5,0,16,13/3,Violas,Str
479/6,80.33333333333333,52,E3,0.5,0,16,14/3,Violas,Str
241/3,80.83333333333333,48,C3,0.5,0,16,1.0,Violas,Str
485/6,81.33333333333333,50,D3,0.5,0,16,4/3,Violas,Str
82.0,82.5,62,D4,0.5,0,17,19/9,Violas,Str
82.5,83.0,64,E4,0.5,0,17,22/9,Violas,Str
83.0,83.5,62,D4,0.5,0,17,25/9,Violas,Str
83.5,84.0,62,D4,0.5,0,17,28/9,Violas,Str
84.0,84.5,64,E4,0.5,0,17,31/9,Violas,Str
84.5,85.0,62,D4,0.5,0,17,34/9,Violas,Str
85.0,85.5,62,D4,0.5,0,17,37/9,Violas,Str
85.5,86.0,64,E4,0.5,0,17,40/9,Violas,Str
86.0,86.5,62,D4,0.5,0,17,43/9,Violas,Str
86.5,87.0,62,D4,0.5,0,17,10/9,Violas,Str
87.0,87.5,64,E4,0.5,0,17,13/9,Violas,Str
87.5,88.0,62,D4,0.5,0,17,16/9,Violas,Str
88.0,88.5,62,D4,0.5,0,18,19/9,Violas,Str
88.5,89.0,64,E4,0.5,0,18,22/9,Violas,Str
89.0,89.5,62,D4,0.5,0,18,25/9,Violas,Str
89.5,90.0,62,D4,0.5,0,18,28/9,Violas,Str
90.0,90.5,64,E4,0.5,0,18,31/9,Violas,Str
90.5,91.0,62,D4,0.5,0,18,34/9,Violas,Str
91.0,91.5,62,D4,0.5,0,18,37/9,Violas,Str
91.5,92.0,64,E4,0.5,0,18,40/9,Violas,Str
92.0,92.5,62,D4,0.5,0,18,43/9,Violas,Str
92.5,93.0,62,D4,0.5,0,18,10/9,Violas,Str
93.0,93.5,64,E4,0.5,0,18,13/9,Violas,Str
93.5,94.0,62,D4,0.5,0,18,16/9,Violas,Str
94.0,94.5,62,D4,0.5,0,19,19/9,Violas,Str
94.5,95.0,64,E4,0.5,0,19,22/9,Violas,Str
95.0,95.5,62,D4,0.5,0,19,25/9,Violas,Str
95.5,96.0,64,E4,0.5,0,19,28/9,Violas,Str
96.0,96.5,66,F#4,0.5,0,19,31/9,Violas,Str
96.5,97.0,64,E4,0.5,0,19,34/9,Violas,Str
97.0,97.5,62,D4,0.5,0,19,37/9,Violas,Str
97.5,98.0,64,E4,0.5,0,19,40/9,Violas,Str
98.0,98.5,62,D4,0.5,0,19,43/9,Violas,Str
98.5,99.0,61,C#4,0.5,0,19,10/9,Violas,Str
99.0,99.5,62,D4,0.5,0,19,13/9,Violas,Str
99.5,100.0,61,C#4,0.5,0,19,16/9,Violas,Str
100.0,100.5,62,D4,0.5,0,20,19/9,Violas,Str
100.5,101.0,64,E4,0.5,0,20,22/9,Violas,Str
101.0,101.5,62,D4,0.5,0,20,25/9,Violas,Str
101.5,102.0,64,E4,0.5,0,20,28/9,Violas,Str
102.0,102.5,66,F#4,0.5,0,20,31/9,Violas,Str
102.5,103.0,64,E4,0.5,0,20,34/9,Violas,Str
103.0,103.5,65,F4,0.5,0,20,37/9,Violas,Str
103.5,104.0,67,G4,0.5,0,20,40/9,Violas,Str
104.0,104.5,65,F4,0.5,0,20,43/9,Violas,Str
104.5,105.0,67,G4,0.5,0,20,10/9,Violas,Str
105.0,105.5,69,A4,0.5,0,20,13/9,Violas,Str
105.5,106.0,67,G4,0.5,0,20,16/9,Violas,Str
106.0,106.5,66,F#4,0.5,0,21,19/9,Violas,Str
697/6,116.66666666666667,62,D4,0.5,0,23,19/9,Violas,Str
350/3,117.16666666666667,64,E4,0.5,0,23,22/9,Violas,Str
703/6,117.66666666666667,62,D4,0.5,0,23,25/9,Violas,Str
353/3,118.16666666666667,64,E4,0.5,0,23,28/9,Violas,Str
709/6,118.66666666666667,66,F#4,0.5,0,23,31/9,Violas,Str
356/3,119.16666666666667,64,E4,0.5,0,23,34/9,Violas,Str
715/6,119.66666666666667,62,D4,0.5,0,23,37/9,Violas,Str
359/3,120.16666666666667,64,E4,0.5,0,23,40/9,Violas,Str
721/6,120.66666666666667,62,D4,0.5,0,23,43/9,Violas,Str
362/3,121.16666666666667,61,C#4,0.5,0,23,10/9,Violas,Str
727/6,121.66666666666667,62,D4,0.5,0,23,13/9,Violas,Str
365/3,122.16666666666667,61,C#4,0.5,0,23,16/9,Violas,Str
733/6,122.66666666666667,62,D4,0.5,0,24,19/9,Violas,Str
368/3,123.16666666666667,64,E4,0.5,0,24,22/9,Violas,Str
739/6,123.66666666666667,62,D4,0.5,0,24,25/9,Violas,Str
