Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
200.0,200.5,83,B5,0.5,0,51,1.0,Violins,Str
1213/6,202.66666666666666,63,D#4,0.5,0,51,22/9,Violins,Str
608/3,203.16666666666666,64,E4,0.5,0,51,25/9,Violins,Str
1219/6,203.66666666666666,66,F#4,0.5,0,51,28/9,Violins,Str
611/3,204.16666666666666,68,G#4,0.5,0,51,31/9,Violins,Str
1225/6,204.66666666666666,66,F#4,0.5,0,51,34/9,Violins,Str
614/3,205.16666666666666,64,E4,0.5,0,51,37/9,Violins,Str
1231/6,205.66666666666666,63,D#4,0.5,0,52,16/9,Violins,Str
682/3,227.83333333333334,73,C#5,0.5,0,56,1.0,Violins,Str
1367/6,228.33333333333334,71,B4,0.5,0,56,4/3,Violins,Str
685/3,228.83333333333334,73,C#5,0.5,0,56,5/3,Violins,Str
1373/6,229.33333333333334,71,B4,0.5,0,56,2.0,Violins,Str
688/3,229.83333333333334,73,C#5,0.5,0,56,7/3,Violins,Str
1379/6,230.33333333333334,71,B4,0.5,0,56,8/3,Violins,Str
691/3,230.83333333333334,75,D#5,0.5,0,56,3.0,Violins,Str
1385/6,231.33333333333334,73,C#5,0.5,0,56,10/3,Violins,Str
694/3,231.83333333333334,75,D#5,0.5,0,56,11/3,Violins,Str
1391/6,232.33333333333334,73,C#5,0.5,0,56,4.0,Violins,Str
697/3,232.83333333333334,75,D#5,0.5,0,56,13/3,Violins,Str
1397/6,233.33333333333334,73,C#5,0.5,0,56,14/3,Violins,Str
754/3,251.83333333333334,73,C#5,0.5,0,60,1.0,Violins,Str
1511/6,252.33333333333334,71,B4,0.5,0,60,4/3,Violins,Str
757/3,252.83333333333334,73,C#5,0.5,0,60,5/3,Violins,Str
1517/6,253.33333333333334,71,B4,0.5,0,60,2.0,Violins,Str
760/3,253.83333333333334,73,C#5,0.5,0,60,7/3,Violins,Str
1523/6,254.33333333333334,71,B4,0.5,0,60,8/3,Violins,Str
763/3,254.83333333333334,75,D#5,0.5,0,60,3.0,Violins,Str
1529/6,255.33333333333334,73,C#5,0.5,0,60,10/3,Violins,Str
766/3,255.83333333333334,75,D#5,0.5,0,60,11/3,Violins,Str
1535/6,256.33333333333337,73,C#5,0.5,0,60,4.0,Violins,Str
769/3,256.8333333333333,75,D#5,0.5,0,60,13/3,Violins,Str
1541/6,257.3333333333333,73,C#5,0.5,0,60,14/3,Violins,Str
772/3,257.8333333333333,76,E5,0.5,0,61,41/9,Violins,Str
1547/6,258.3333333333333,75,D#5,0.5,0,61,4/3,Violins,Str
775/3,258.8333333333333,76,E5,0.5,0,61,5/3,Violins,Str
1553/6,259.3333333333333,75,D#5,0.5,0,61,2.0,Violins,Str
778/3,259.8333333333333,76,E5,0.5,0,61,7/3,Violins,Str
1559/6,260.3333333333333,75,D#5,0.5,0,61,8/3,Violins,Str
781/3,260.8333333333333,76,E5,0.5,0,61,3.0,Violins,Str
1565/6,261.3333333333333,75,D#5,0.5,0,61,10/3,Violins,Str
784/3,261.8333333333333,76,E5,0.5,0,61,11/3,Violins,Str
1571/6,262.3333333333333,75,D#5,0.5,0,61,4.0,Violins,Str
787/3,262.8333333333333,76,E5,0.5,0,61,13/3,Violins,Str
1577/6,263.3333333333333,75,D#5,0.5,0,61,14/3,Violins,Str
790/3,263.8333333333333,74,D5,0.5,0,62,41/9,Violins,Str
1583/6,264.3333333333333,72,C5,0.5,0,62,4/3,Violins,Str
793/3,264.8333333333333,74,D5,0.5,0,62,5/3,Violins,Str
1589/6,265.3333333333333,72,C5,0.5,0,62,2.0,Violins,Str
