Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
200.0,200.5,71,B4,0.5,0,51,1.0,Violins,Str
1213/6,202.66666666666666,63,D#4,0.5,0,51,22/9,Violins,Str
608/3,203.16666666666666,64,E4,0.5,0,51,25/9,Violins,Str
1219/6,203.66666666666666,66,F#4,0.5,0,51,28/9,Violins,Str
611/3,204.16666666666666,68,G#4,0.5,0,51,31/9,Violins,Str
1225/6,204.66666666666666,66,F#4,0.5,0,51,34/9,Violins,Str
614/3,205.16666666666666,64,E4,0.5,0,51,37/9,Violins,Str
1231/6,205.66666666666666,63,D#4,0.5,0,52,16/9,Violins,Str
670/3,223.83333333333334,68,G#4,0.5,0,55,7/3,Violins,Str
1343/6,224.33333333333334,66,F#4,0.5,0,55,8/3,Violins,Str
673/3,224.83333333333334,68,G#4,0.5,0,55,3.0,Violins,Str
1349/6,225.33333333333334,66,F#4,0.5,0,55,10/3,Violins,Str
676/3,225.83333333333334,68,G#4,0.5,0,55,11/3,Violins,Str
1355/6,226.33333333333334,66,F#4,0.5,0,55,4.0,Violins,Str
679/3,226.83333333333334,66,F#4,0.5,0,56,1.0,Violins,Str
1361/6,227.33333333333334,63,D#4,0.5,0,56,4/3,Violins,Str
682/3,227.83333333333334,66,F#4,0.5,0,56,5/3,Violins,Str
1367/6,228.33333333333334,63,D#4,0.5,0,56,2.0,Violins,Str
685/3,228.83333333333334,66,F#4,0.5,0,56,7/3,Violins,Str
1373/6,229.33333333333334,63,D#4,0.5,0,56,8/3,Violins,Str
688/3,229.83333333333334,70,A#4,0.5,0,56,3.0,Violins,Str
1379/6,230.33333333333334,64,E4,0.5,0,56,10/3,Violins,Str
691/3,230.83333333333334,70,A#4,0.5,0,56,11/3,Violins,Str
1385/6,231.33333333333334,64,E4,0.5,0,56,4.0,Violins,Str
694/3,231.83333333333334,70,A#4,0.5,0,56,13/3,Violins,Str
1391/6,232.33333333333334,64,E4,0.5,0,56,14/3,Violins,Str
739/3,246.83333333333334,68,G#4,0.5,0,59,3.0,Violins,Str
1481/6,247.33333333333334,66,F#4,0.5,0,59,10/3,Violins,Str
742/3,247.83333333333334,68,G#4,0.5,0,59,11/3,Violins,Str
1487/6,248.33333333333334,66,F#4,0.5,0,59,4.0,Violins,Str
745/3,248.83333333333334,68,G#4,0.5,0,59,13/3,Violins,Str
1493/6,249.33333333333334,66,F#4,0.5,0,59,14/3,Violins,Str
748/3,249.83333333333334,66,F#4,0.5,0,60,1.0,Violins,Str
1499/6,250.33333333333334,63,D#4,0.5,0,60,4/3,Violins,Str
751/3,250.83333333333334,66,F#4,0.5,0,60,5/3,Violins,Str
1505/6,251.33333333333334,63,D#4,0.5,0,60,2.0,Violins,Str
754/3,251.83333333333334,66,F#4,0.5,0,60,7/3,Violins,Str
1511/6,252.33333333333334,63,D#4,0.5,0,60,8/3,Violins,Str
757/3,252.83333333333334,70,A#4,0.5,0,60,3.0,Violins,Str
1517/6,253.33333333333334,64,E4,0.5,0,60,10/3,Violins,Str
760/3,253.83333333333334,70,A#4,0.5,0,60,11/3,Violins,Str
1523/6,254.33333333333334,64,E4,0.5,0,60,4.0,Violins,Str
763/3,254.83333333333334,70,A#4,0.5,0,60,13/3,Violins,Str
1529/6,255.33333333333334,64,E4,0.5,0,60,14/3,Violins,Str
766/3,255.83333333333334,69,A4,0.5,0,61,1.0,Violins,Str
1535/6,256.33333333333337,66,F#4,0.5,0,61,4/3,Violins,Str
769/3,256.8333333333333,69,A4,0.5,0,61,5/3,Violins,Str
1541/6,257.3333333333333,66,F#4,0.5,0,61,2.0,Violins,Str
772/3,257.8333333333333,69,A4,0.5,0,61,7/3,Violins,Str
1547/6,258.3333333333333,66,F#4,0.5,0,61,8/3,Violins,Str
775/3,258.8333333333333,69,A4,0.5,0,61,3.0,Violins,Str
1553/6,259.3333333333333,66,F#4,0.5,0,61,10/3,Violins,Str
778/3,259.8333333333333,69,A4,0.5,0,61,11/3,Violins,Str
1559/6,260.3333333333333,66,F#4,0.5,0,61,4.0,Violins,Str
781/3,260.8333333333333,69,A4,0.5,0,61,13/3,Violins,Str
1565/6,261.3333333333333,66,F#4,0.5,0,61,14/3,Violins,Str
784/3,261.8333333333333,67,G4,0.5,0,62,29/9,Violins,Str
1571/6,262.3333333333333,64,E4,0.5,0,62,4/3,Violins,Str
787/3,262.8333333333333,67,G4,0.5,0,62,5/3,Violins,Str
1577/6,263.3333333333333,64,E4,0.5,0,62,2.0,Violins,Str
790/3,263.8333333333333,67,G4,0.5,0,62,7/3,Violins,Str
1583/6,264.3333333333333,64,E4,0.5,0,62,8/3,Violins,Str
793/3,264.8333333333333,67,G4,0.5,0,62,3.0,Violins,Str
1589/6,265.3333333333333,64,E4,0.5,0,62,10/3,Violins,Str
796/3,265.8333333333333,67,G4,0.5,0,62,11/3,Violins,Str
1595/6,266.3333333333333,64,E4,0.5,0,62,4.0,Violins,Str
799/3,266.8333333333333,67,G4,0.5,0,62,13/3,Violins,Str
1601/6,267.3333333333333,64,E4,0.5,0,62,14/3,Violins,Str
802/3,267.8333333333333,69,A4,0.5,0,63,29/9,Violins,Str
1607/6,268.3333333333333,66,F#4,0.5,0,63,4/3,Violins,Str
805/3,268.8333333333333,69,A4,0.5,0,63,5/3,Violins,Str
1613/6,269.3333333333333,66,F#4,0.5,0,63,2.0,Violins,Str
808/3,269.8333333333333,69,A4,0.5,0,63,7/3,Violins,Str
1619/6,270.3333333333333,66,F#4,0.5,0,63,8/3,Violins,Str
811/3,270.8333333333333,69,A4,0.5,0,63,3.0,Violins,Str
1625/6,271.3333333333333,66,F#4,0.5,0,63,10/3,Violins,Str
814/3,271.8333333333333,69,A4,0.5,0,63,11/3,Violins,Str
1631/6,272.3333333333333,66,F#4,0.5,0,63,4.0,Violins,Str
817/3,272.8333333333333,69,A4,0.5,0,63,13/3,Violins,Str
1637/6,273.3333333333333,66,F#4,0.5,0,63,14/3,Violins,Str
820/3,273.8333333333333,71,B4,0.5,0,64,29/9,Violins,Str
1643/6,274.3333333333333,67,G4,0.5,0,64,4/3,Violins,Str
823/3,274.8333333333333,71,B4,0.5,0,64,5/3,Violins,Str
1649/6,275.3333333333333,67,G4,0.5,0,64,2.0,Violins,Str
826/3,275.8333333333333,71,B4,0.5,0,64,7/3,Violins,Str
1655/6,276.3333333333333,67,G4,0.5,0,64,8/3,Violins,Str
829/3,276.8333333333333,71,B4,0.5,0,64,3.0,Violins,Str
1661/6,277.3333333333333,67,G4,0.5,0,64,10/3,Violins,Str
832/3,277.8333333333333,71,B4,0.5,0,64,11/3,Violins,Str
1667/6,278.3333333333333,67,G4,0.5,0,64,4.0,Violins,Str
835/3,278.8333333333333,71,B4,0.5,0,64,13/3,Violins,Str
1673/6,279.3333333333333,67,G4,0.5,0,64,14/3,Violins,Str
838/3,279.8333333333333,75,D#5,0.5,0,65,29/9,Violins,Str
1679/6,280.3333333333333,69,A4,0.5,0,65,4/3,Violins,Str
841/3,280.8333333333333,75,D#5,0.5,0,65,5/3,Violins,Str
1685/6,281.3333333333333,69,A4,0.5,0,65,2.0,Violins,Str
844/3,281.8333333333333,75,D#5,0.5,0,65,7/3,Violins,Str
1691/6,282.3333333333333,69,A4,0.5,0,65,8/3,Violins,Str
847/3,282.8333333333333,75,D#5,0.5,0,65,3.0,Violins,Str
1697/6,283.3333333333333,69,A4,0.5,0,65,10/3,Violins,Str
850/3,283.8333333333333,75,D#5,0.5,0,65,11/3,Violins,Str
1703/6,284.3333333333333,69,A4,0.5,0,65,4.0,Violins,Str
853/3,284.8333333333333,75,D#5,0.5,0,65,13/3,Violins,Str
1709/6,285.3333333333333,69,A4,0.5,0,65,14/3,Violins,Str
856/3,285.8333333333333,76,E5,0.5,0,66,29/9,Violins,Str
1715/6,286.3333333333333,72,C5,0.5,0,66,4/3,Violins,Str
859/3,286.8333333333333,76,E5,0.5,0,66,5/3,Violins,Str
1721/6,287.3333333333333,72,C5,0.5,0,66,2.0,Violins,Str
862/3,287.8333333333333,76,E5,0.5,0,66,7/3,Violins,Str
1727/6,288.3333333333333,72,C5,0.5,0,66,8/3,Violins,Str
865/3,288.8333333333333,76,E5,0.5,0,66,3.0,Violins,Str
1733/6,289.3333333333333,72,C5,0.5,0,66,10/3,Violins,Str
868/3,289.8333333333333,76,E5,0.5,0,66,11/3,Violins,Str
1739/6,290.3333333333333,72,C5,0.5,0,66,4.0,Violins,Str
871/3,290.8333333333333,76,E5,0.5,0,66,13/3,Violins,Str
1745/6,291.3333333333333,72,C5,0.5,0,66,14/3,Violins,Str
874/3,291.8333333333333,81,A5,0.5,0,67,29/9,Violins,Str
1751/6,292.3333333333333,75,D#5,0.5,0,67,4/3,Violins,Str
877/3,292.8333333333333,81,A5,0.5,0,67,5/3,Violins,Str
1757/6,293.3333333333333,75,D#5,0.5,0,67,2.0,Violins,Str
880/3,293.8333333333333,81,A5,0.5,0,67,7/3,Violins,Str
1763/6,294.3333333333333,75,D#5,0.5,0,67,8/3,Violins,Str
883/3,294.8333333333333,81,A5,0.5,0,67,3.0,Violins,Str
1769/6,295.3333333333333,75,D#5,0.5,0,67,10/3,Violins,Str
886/3,295.8333333333333,81,A5,0.5,0,67,11/3,Violins,Str
1775/6,296.3333333333333,75,D#5,0.5,0,67,4.0,Violins,Str
889/3,296.8333333333333,81,A5,0.5,0,67,13/3,Violins,Str
1781/6,297.3333333333333,75,D#5,0.5,0,67,14/3,Violins,Str
892/3,297.8333333333333,83,B5,0.5,0,68,29/9,Violins,Str
1787/6,298.3333333333333,79,G5,0.5,0,68,4/3,Violins,Str
895/3,298.8333333333333,83,B5,0.5,0,68,5/3,Violins,Str
1793/6,299.3333333333333,79,G5,0.5,0,68,2.0,Violins,Str
898/3,299.8333333333333,83,B5,0.5,0,68,7/3,Violins,Str
1799/6,300.3333333333333,79,G5,0.5,0,68,8/3,Violins,Str
901/3,300.8333333333333,83,B5,0.5,0,68,3.0,Violins,Str
1805/6,301.3333333333333,79,G5,0.5,0,68,10/3,Violins,Str
904/3,301.8333333333333,83,B5,0.5,0,68,11/3,Violins,Str
1811/6,302.3333333333333,79,G5,0.5,0,68,4.0,Violins,Str
907/3,302.8333333333333,83,B5,0.5,0,68,13/3,Violins,Str
1817/6,303.3333333333333,79,G5,0.5,0,68,14/3,Violins,Str
910/3,303.8333333333333,83,B5,0.5,0,69,29/9,Violins,Str
1823/6,304.3333333333333,83,B5,0.5,0,69,4/3,Violins,Str
913/3,304.8333333333333,81,A5,0.5,0,69,5/3,Violins,Str
1829/6,305.3333333333333,80,G#5,0.5,0,69,2.0,Violins,Str
916/3,305.8333333333333,81,A5,0.5,0,69,7/3,Violins,Str
1835/6,306.3333333333333,80,G#5,0.5,0,69,8/3,Violins,Str
919/3,306.8333333333333,78,F#5,0.5,0,69,3.0,Violins,Str
1841/6,307.3333333333333,80,G#5,0.5,0,69,10/3,Violins,Str
922/3,307.8333333333333,78,F#5,0.5,0,69,11/3,Violins,Str
1847/6,308.3333333333333,76,E5,0.5,0,69,4.0,Violins,Str
925/3,308.8333333333333,78,F#5,0.5,0,69,13/3,Violins,Str
1853/6,309.3333333333333,76,E5,0.5,0,69,14/3,Violins,Str
928/3,309.8333333333333,75,D#5,0.5,0,70,29/9,Violins,Str
1859/6,310.3333333333333,76,E5,0.5,0,70,4/3,Violins,Str
931/3,310.8333333333333,75,D#5,0.5,0,70,5/3,Violins,Str
2135/6,356.3333333333333,61,C#4,0.5,0,78,1.0,Violins,Str
1069/3,356.8333333333333,63,D#4,0.5,0,78,5/3,Violins,Str
2141/6,357.3333333333333,64,E4,0.5,0,78,13/6,Violins,Str
1072/3,357.8333333333333,65,E#4,0.5,0,78,8/3,Violins,Str
2147/6,358.3333333333333,66,F#4,0.5,0,78,19/6,Violins,Str
2177/6,363.3333333333333,61,C#4,0.5,0,79,25/6,Violins,Str
2183/6,365.3333333333333,68,G#4,1.5,0,80,1.0,Violins,Str
1096/3,365.5833333333333,68,G#4,0.25,0,80,8/3,Violins,Str
4387/12,365.8333333333333,68,G#4,0.25,0,80,35/12,Violins,Str
2195/6,366.3333333333333,68,G#4,0.5,0,80,19/6,Violins,Str
1099/3,366.8333333333333,66,F#4,0.5,0,80,11/3,Violins,Str
2207/6,368.3333333333333,64,E4,0.5,0,81,1.0,Violins,Str
2213/6,369.3333333333333,59,B3,0.5,0,81,13/6,Violins,Str
4435/12,369.8333333333333,59,B3,0.25,0,81,35/12,Violins,Str
2219/6,370.3333333333333,64,E4,0.5,0,81,19/6,Violins,Str
2225/6,371.3333333333333,59,B3,0.5,0,81,25/6,Violins,Str
2231/6,372.3333333333333,64,E4,0.5,0,82,1.0,Violins,Str
1117/3,374.8333333333333,69,A4,2.5,0,82,5/3,Violins,Str
2249/6,375.3333333333333,68,G#4,0.5,0,82,25/6,Violins,Str
4507/12,375.8333333333333,66,F#4,0.25,0,82,59/12,Violins,Str
2255/6,376.3333333333333,71,B4,0.5,0,83,1.0,Violins,Str
2261/6,376.8333333333333,66,F#4,0.0,0,83,13/6,Violins,Str
2261/6,377.3333333333333,64,E4,0.5,0,83,13/6,Violins,Str
4531/12,377.8333333333333,63,D#4,0.25,0,83,35/12,Violins,Str
2267/6,378.3333333333333,64,E4,0.5,0,83,19/6,Violins,Str
2273/6,379.3333333333333,59,B3,0.5,0,83,25/6,Violins,Str
2279/6,382.8333333333333,64,E4,3.0,0,84,1.0,Violins,Str
2297/6,383.3333333333333,68,G#4,0.5,0,84,25/6,Violins,Str
4603/12,383.8333333333333,71,B4,0.25,0,84,59/12,Violins,Str
2303/6,384.3333333333333,73,C#5,0.5,0,85,1.0,Violins,Str
2309/6,384.8333333333333,66,F#4,0.0,0,85,13/6,Violins,Str
2309/6,385.3333333333333,64,E4,0.5,0,85,13/6,Violins,Str
4627/12,385.8333333333333,63,D#4,0.25,0,85,35/12,Violins,Str
2315/6,386.3333333333333,64,E4,0.5,0,85,19/6,Violins,Str
2321/6,387.3333333333333,59,B3,0.5,0,85,25/6,Violins,Str
2327/6,390.3333333333333,64,E4,2.5,0,86,1.0,Violins,Str
2345/6,391.3333333333333,68,G#4,0.5,0,86,25/6,Violins,Str
4699/12,391.8333333333333,71,B4,0.25,0,86,59/12,Violins,Str
2351/6,392.8333333333333,72,C5,1.0,0,87,1.0,Violins,Str
2357/6,393.3333333333333,71,B4,0.5,0,87,13/6,Violins,Str
4723/12,393.8333333333333,69,A4,0.25,0,87,35/12,Violins,Str
2363/6,394.3333333333333,67,G4,0.5,0,87,19/6,Violins,Str
2369/6,395.3333333333333,74,D5,0.5,0,87,25/6,Violins,Str
4747/12,395.8333333333333,75,D#5,0.25,0,87,59/12,Violins,Str
2375/6,396.8333333333333,76,E5,1.0,0,88,1.0,Violins,Str
2381/6,397.3333333333333,74,D5,0.5,0,88,2.0,Violins,Str
4771/12,397.8333333333333,72,C5,0.25,0,88,2.75,Violins,Str
2387/6,398.3333333333333,71,B4,0.5,0,88,3.0,Violins,Str
2393/6,399.3333333333333,76,E5,0.5,0,88,4.0,Violins,Str
2393/6,399.3333333333333,64,E4,0.5,0,88,4.0,Violins,Str
4795/12,399.8333333333333,78,F#5,0.25,0,88,4.75,Violins,Str
4795/12,399.8333333333333,66,F#4,0.25,0,88,4.75,Violins,Str
2399/6,402.8333333333333,80,G#5,3.0,0,89,1.0,Violins,Str
2399/6,402.8333333333333,68,G#4,3.0,0,89,1.0,Violins,Str
2417/6,403.3333333333333,78,F#5,0.5,0,89,4.0,Violins,Str
2417/6,403.3333333333333,66,F#4,0.5,0,89,4.0,Violins,Str
4843/12,403.8333333333333,68,G#4,0.25,0,89,4.75,Violins,Str
4843/12,403.8333333333333,56,G#3,0.25,0,89,4.75,Violins,Str
2423/6,406.8333333333333,76,E5,3.0,0,90,1.0,Violins,Str
2423/6,406.8333333333333,63,D#4,3.0,0,90,1.0,Violins,Str
2441/6,407.3333333333333,75,D#5,0.5,0,90,4.0,Violins,Str
2441/6,407.3333333333333,62,D4,0.5,0,90,4.0,Violins,Str
4891/12,407.8333333333333,68,G#4,0.25,0,90,4.75,Violins,Str
4891/12,407.8333333333333,55,G3,0.25,0,90,4.75,Violins,Str
2447/6,408.8333333333333,73,C#5,1.0,0,91,1.0,Violins,Str
2447/6,408.8333333333333,61,C#4,1.0,0,91,1.0,Violins,Str
2453/6,409.3333333333333,71,B4,0.5,0,91,2.0,Violins,Str
2453/6,409.3333333333333,71,B4,0.5,0,91,2.0,Violins,Str
