Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
0.0,0.5,71,B4,0.5,0,1,1.0,Violins,Str
0.5,1.0,67,G4,0.5,0,1,4/3,Violins,Str
1.0,1.5,71,B4,0.5,0,1,5/3,Violins,Str
1.5,2.0,69,A4,0.5,0,1,2.0,Violins,Str
2.0,2.5,68,G#4,0.5,0,1,7/3,Violins,Str
2.5,3.0,69,A4,0.5,0,1,8/3,Violins,Str
3.0,3.5,72,C5,0.5,0,1,3.0,Violins,Str
3.5,4.0,69,A4,0.5,0,1,10/3,Violins,Str
4.0,4.5,72,C5,0.5,0,1,11/3,Violins,Str
4.5,5.0,71,B4,0.5,0,1,4.0,Violins,Str
5.0,5.5,70,A#4,0.5,0,1,13/3,Violins,Str
5.5,6.0,71,B4,0.5,0,1,14/3,Violins,Str
6.0,6.5,72,C5,0.5,0,2,1.0,Violins,Str
6.5,7.0,74,D5,0.5,0,2,4/3,Violins,Str
7.0,7.5,76,E5,0.5,0,2,5/3,Violins,Str
7.5,8.0,78,F#5,0.5,0,2,2.0,Violins,Str
8.0,8.5,76,E5,0.5,0,2,7/3,Violins,Str
8.5,9.0,74,D5,0.5,0,2,8/3,Violins,Str
9.0,9.5,76,E5,0.5,0,2,3.0,Violins,Str
9.5,10.0,78,F#5,0.5,0,2,10/3,Violins,Str
10.0,10.5,79,G5,0.5,0,2,11/3,Violins,Str
10.5,11.0,78,F#5,0.5,0,2,4.0,Violins,Str
11.0,11.5,79,G5,0.5,0,2,13/3,Violins,Str
11.5,12.0,81,A5,0.5,0,2,14/3,Violins,Str
18.0,18.5,88,E6,0.5,0,4,1.0,Violins,Str
18.5,19.0,86,D6,0.5,0,4,4/3,Violins,Str
19.0,19.5,84,C6,0.5,0,4,5/3,Violins,Str
19.5,20.0,83,B5,0.5,0,4,2.0,Violins,Str
20.0,20.5,81,A5,0.5,0,4,7/3,Violins,Str
20.5,21.0,79,G5,0.5,0,4,8/3,Violins,Str
23.0,23.5,71,B4,0.5,0,5,1.0,Violins,Str
23.5,24.0,67,G4,0.5,0,5,4/3,Violins,Str
24.0,24.5,71,B4,0.5,0,5,5/3,Violins,Str
24.5,25.0,69,A4,0.5,0,5,2.0,Violins,Str
25.0,25.5,68,G#4,0.5,0,5,7/3,Violins,Str
25.5,26.0,69,A4,0.5,0,5,8/3,Violins,Str
26.0,26.5,72,C5,0.5,0,5,3.0,Violins,Str
26.5,27.0,69,A4,0.5,0,5,10/3,Violins,Str
27.0,27.5,72,C5,0.5,0,5,11/3,Violins,Str
27.5,28.0,71,B4,0.5,0,5,4.0,Violins,Str
28.0,28.5,70,A#4,0.5,0,5,13/3,Violins,Str
28.5,29.0,71,B4,0.5,0,5,14/3,Violins,Str
29.0,29.5,72,C5,0.5,0,6,1.0,Violins,Str
29.5,30.0,74,D5,0.5,0,6,4/3,Violins,Str
30.0,30.5,76,E5,0.5,0,6,5/3,Violins,Str
30.5,31.0,78,F#5,0.5,0,6,2.0,Violins,Str
31.0,31.5,76,E5,0.5,0,6,7/3,Violins,Str
31.5,32.0,74,D5,0.5,0,6,8/3,Violins,Str
32.0,32.5,76,E5,0.5,0,6,3.0,Violins,Str
32.5,33.0,78,F#5,0.5,0,6,10/3,Violins,Str
33.0,33.5,79,G5,0.5,0,6,11/3,Violins,Str
33.5,34.0,78,F#5,0.5,0,6,4.0,Violins,Str
34.0,34.5,79,G5,0.5,0,6,13/3,Violins,Str
34.5,35.0,81,A5,0.5,0,6,14/3,Violins,Str
41.0,41.5,84,C6,0.5,0,8,5/3,Violins,Str
41.5,42.0,83,B5,0.5,0,8,2.0,Violins,Str
42.0,42.5,81,A5,0.5,0,8,7/3,Violins,Str
42.5,43.0,79,G5,0.5,0,8,8/3,Violins,Str
43.0,43.5,78,F#5,0.5,0,8,3.0,Violins,Str
43.5,44.0,76,E5,0.5,0,8,10/3,Violins,Str
46.0,46.5,67,G4,0.5,0,9,1.0,Violins,Str
46.5,47.0,64,E4,0.5,0,9,4/3,Violins,Str
47.0,47.5,67,G4,0.5,0,9,5/3,Violins,Str
47.5,48.0,66,F#4,0.5,0,9,2.0,Violins,Str
48.0,48.5,65,E#4,0.5,0,9,7/3,Violins,Str
48.5,49.0,66,F#4,0.5,0,9,8/3,Violins,Str
49.0,49.5,69,A4,0.5,0,9,3.0,Violins,Str
49.5,50.0,67,G4,0.5,0,9,10/3,Violins,Str
50.0,50.5,69,A4,0.5,0,9,11/3,Violins,Str
50.5,51.0,67,G4,0.5,0,9,4.0,Violins,Str
51.0,51.5,66,F#4,0.5,0,9,13/3,Violins,Str
51.5,52.0,67,G4,0.5,0,9,14/3,Violins,Str
52.0,52.5,71,B4,0.5,0,10,1.0,Violins,Str
52.5,53.0,74,D5,0.5,0,10,4/3,Violins,Str
53.0,53.5,72,C5,0.5,0,10,5/3,Violins,Str
53.5,54.0,72,C5,0.5,0,10,2.0,Violins,Str
54.0,54.5,76,E5,0.5,0,10,7/3,Violins,Str
54.5,55.0,75,D#5,0.5,0,10,8/3,Violins,Str
55.0,55.5,75,D#5,0.5,0,10,3.0,Violins,Str
55.5,56.0,78,F#5,0.5,0,10,10/3,Violins,Str
56.0,56.5,76,E5,0.5,0,10,11/3,Violins,Str
56.5,57.0,76,E5,0.5,0,10,4.0,Violins,Str
57.0,57.5,79,G5,0.5,0,10,13/3,Violins,Str
57.5,58.0,78,F#5,0.5,0,10,14/3,Violins,Str
58.0,58.5,79,G5,0.5,0,11,1.0,Violins,Str
58.5,59.0,76,E5,0.5,0,11,4/3,Violins,Str
59.0,59.5,79,G5,0.5,0,11,5/3,Violins,Str
59.5,60.0,78,F#5,0.5,0,11,2.0,Violins,Str
60.0,60.5,77,E#5,0.5,0,11,7/3,Violins,Str
60.5,61.0,78,F#5,0.5,0,11,8/3,Violins,Str
61.0,61.5,81,A5,0.5,0,11,3.0,Violins,Str
61.5,62.0,79,G5,0.5,0,11,10/3,Violins,Str
62.0,62.5,81,A5,0.5,0,11,11/3,Violins,Str
62.5,63.0,79,G5,0.5,0,11,4.0,Violins,Str
63.0,63.5,78,F#5,0.5,0,11,13/3,Violins,Str
63.5,64.0,79,G5,0.5,0,11,14/3,Violins,Str
64.0,64.5,83,B5,0.5,0,12,1.0,Violins,Str
64.5,65.0,86,D6,0.5,0,12,4/3,Violins,Str
65.0,65.5,84,C6,0.5,0,12,5/3,Violins,Str
65.5,66.0,84,C6,0.5,0,12,2.0,Violins,Str
66.0,66.5,88,E6,0.5,0,12,7/3,Violins,Str
66.5,67.0,87,D#6,0.5,0,12,8/3,Violins,Str
67.0,67.5,87,D#6,0.5,0,12,3.0,Violins,Str
