Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
18.0,18.5,76,E5,0.5,0,4,1.0,Violins,Str
18.5,19.0,74,D5,0.5,0,4,4/3,Violins,Str
19.0,19.5,72,C5,0.5,0,4,5/3,Violins,Str
19.5,20.0,71,B4,0.5,0,4,2.0,Violins,Str
20.0,20.5,69,A4,0.5,0,4,7/3,Violins,Str
20.5,21.0,67,G4,0.5,0,4,8/3,Violins,Str
41.0,41.5,72,C5,0.5,0,8,5/3,Violins,Str
41.5,42.0,71,B4,0.5,0,8,2.0,Violins,Str
42.0,42.5,69,A4,0.5,0,8,7/3,Violins,Str
42.5,43.0,67,G4,0.5,0,8,8/3,Violins,Str
43.0,43.5,66,F#4,0.5,0,8,3.0,Violins,Str
43.5,44.0,64,E4,0.5,0,8,10/3,Violins,Str
53.0,53.5,88,E6,0.5,0,10,2.0,Violins,Str
53.5,54.0,83,B5,0.5,0,10,2.5,Violins,Str
56.0,56.5,67,G4,0.5,0,11,1.0,Violins,Str
56.5,57.0,69,A4,0.5,0,11,4/3,Violins,Str
57.0,57.5,67,G4,0.5,0,11,5/3,Violins,Str
57.5,58.0,66,F#4,0.5,0,11,2.0,Violins,Str
58.0,58.5,65,E#4,0.5,0,11,7/3,Violins,Str
58.5,59.0,66,F#4,0.5,0,11,8/3,Violins,Str
59.0,59.5,69,A4,0.5,0,11,3.0,Violins,Str
59.5,60.0,72,C5,0.5,0,11,10/3,Violins,Str
60.0,60.5,69,A4,0.5,0,11,11/3,Violins,Str
60.5,61.0,67,G4,0.5,0,11,4.0,Violins,Str
61.0,61.5,66,F#4,0.5,0,11,13/3,Violins,Str
61.5,62.0,67,G4,0.5,0,11,14/3,Violins,Str
62.0,62.5,71,B4,0.5,0,12,1.0,Violins,Str
62.5,63.0,74,D5,0.5,0,12,4/3,Violins,Str
63.0,63.5,72,C5,0.5,0,12,5/3,Violins,Str
63.5,64.0,72,C5,0.5,0,12,2.0,Violins,Str
64.0,64.5,76,E5,0.5,0,12,7/3,Violins,Str
64.5,65.0,75,D#5,0.5,0,12,8/3,Violins,Str
65.0,65.5,75,D#5,0.5,0,12,3.0,Violins,Str
65.5,66.0,78,F#5,0.5,0,12,10/3,Violins,Str
66.0,66.5,76,E5,0.5,0,12,11/3,Violins,Str
66.5,67.0,76,E5,0.5,0,12,4.0,Violins,Str
67.0,67.5,79,G5,0.5,0,12,13/3,Violins,Str
67.5,68.0,78,F#5,0.5,0,12,14/3,Violins,Str
68.0,68.5,78,F#5,0.5,0,13,1.0,Violins,Str
68.5,69.0,79,G5,0.5,0,13,4/3,Violins,Str
69.0,69.5,76,E5,0.5,0,13,5/3,Violins,Str
69.5,70.0,78,F#5,0.5,0,13,2.0,Violins,Str
70.0,70.5,74,D5,0.5,0,13,7/3,Violins,Str
70.5,71.0,76,E5,0.5,0,13,8/3,Violins,Str
71.0,71.5,72,C5,0.5,0,13,3.0,Violins,Str
71.5,72.0,74,D5,0.5,0,13,10/3,Violins,Str
72.0,72.5,71,B4,0.5,0,13,11/3,Violins,Str
72.5,73.0,72,C5,0.5,0,13,4.0,Violins,Str
73.0,73.5,69,A4,0.5,0,13,13/3,Violins,Str
73.5,74.0,71,B4,0.5,0,13,14/3,Violins,Str
80.0,80.5,78,F#5,0.5,0,15,1.0,Violins,Str
