Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
18.0,18.5,49,C#3,0.5,0,4,1.0,Violoncellos,Str
18.5,19.0,50,D3,0.5,0,4,4/3,Violoncellos,Str
19.0,19.5,51,D#3,0.5,0,4,5/3,Violoncellos,Str
19.5,20.0,52,E3,0.5,0,4,2.0,Violoncellos,Str
20.0,20.5,48,C3,0.5,0,4,7/3,Violoncellos,Str
20.5,21.0,47,B2,0.5,0,4,8/3,Violoncellos,Str
41.0,41.5,46,A#2,0.5,0,8,5/3,Violoncellos,Str
41.5,42.0,47,B2,0.5,0,8,2.0,Violoncellos,Str
42.0,42.5,48,C3,0.5,0,8,7/3,Violoncellos,Str
42.5,43.0,47,B2,0.5,0,8,8/3,Violoncellos,Str
43.0,43.5,45,A2,0.5,0,8,3.0,Violoncellos,Str
43.5,44.0,43,G2,0.5,0,8,10/3,Violoncellos,Str
67.0,67.5,43,G2,0.5,0,12,4.0,Violoncellos,Str
67.5,68.0,39,E-2,0.5,0,12,4.5,Violoncellos,Str
68.0,68.5,36,C2,0.5,0,13,1.0,Violoncellos,Str
93.0,93.5,47,B2,0.5,0,19,5/3,Violoncellos,Str
571/6,95.66666666666667,47,B2,0.5,0,19,28/9,Violoncellos,Str
292/3,97.83333333333333,47,B2,0.5,0,20,25/9,Violoncellos,Str
99.5,100.0,47,B2,0.5,0,20,38/9,Violoncellos,Str
305/3,102.16666666666667,47,B2,0.5,0,21,5/3,Violoncellos,Str
623/6,104.33333333333333,47,B2,0.5,0,21,28/9,Violoncellos,Str
106.0,106.5,47,B2,0.5,0,22,25/9,Violoncellos,Str
649/6,108.66666666666667,47,B2,0.5,0,22,38/9,Violoncellos,Str
331/3,110.83333333333333,47,B2,0.5,0,23,5/3,Violoncellos,Str
112.5,113.0,47,B2,0.5,0,23,28/9,Violoncellos,Str
344/3,115.16666666666667,47,B2,0.5,0,24,25/9,Violoncellos,Str
701/6,117.33333333333333,47,B2,0.5,0,24,38/9,Violoncellos,Str
119.0,119.5,47,B2,0.5,0,25,5/3,Violoncellos,Str
727/6,121.66666666666667,47,B2,0.5,0,25,28/9,Violoncellos,Str
370/3,123.83333333333333,47,B2,0.5,0,26,26/9,Violoncellos,Str
127.5,128.0,45,A2,0.5,0,27,5/3,Violoncellos,Str
389/3,130.16666666666666,45,A2,0.5,0,27,28/9,Violoncellos,Str
791/6,132.33333333333334,45,A2,0.5,0,28,25/9,Violoncellos,Str
134.0,134.5,45,A2,0.5,0,28,38/9,Violoncellos,Str
817/6,136.66666666666666,45,A2,0.5,0,29,5/3,Violoncellos,Str
415/3,138.83333333333334,45,A2,0.5,0,29,28/9,Violoncellos,Str
140.5,141.0,45,A2,0.5,0,30,25/9,Violoncellos,Str
428/3,143.16666666666666,45,A2,0.5,0,30,38/9,Violoncellos,Str
947/6,158.33333333333334,44,G#2,0.5,0,33,7/3,Violoncellos,Str
475/3,158.83333333333334,47,B2,0.5,0,33,8/3,Violoncellos,Str
953/6,159.33333333333334,52,E3,0.5,0,33,3.0,Violoncellos,Str
478/3,159.83333333333334,50,D3,0.5,0,33,10/3,Violoncellos,Str
162.5,163.0,44,G#2,0.5,0,34,29/9,Violoncellos,Str
163.0,163.5,47,B2,0.5,0,34,32/9,Violoncellos,Str
163.5,164.0,52,E3,0.5,0,34,35/9,Violoncellos,Str
164.0,164.5,50,D3,0.5,0,34,38/9,Violoncellos,Str
1003/6,167.66666666666666,45,A2,0.5,0,35,7/3,Violoncellos,Str
505/3,168.83333333333334,50,D3,0.5,0,35,28/9,Violoncellos,Str
195.5,196.0,59,B3,0.5,0,40,3.0,Violoncellos,Str
196.0,196.5,55,G3,0.5,0,40,10/3,Violoncellos,Str
196.5,197.0,52,E3,0.5,0,40,11/3,Violoncellos,Str
197.0,197.5,55,G3,0.5,0,40,4.0,Violoncellos,Str
197.5,198.0,50,D3,0.5,0,40,13/3,Violoncellos,Str
198.0,198.5,47,B2,0.5,0,40,14/3,Violoncellos,Str
198.5,199.0,50,D3,0.5,0,41,1.0,Violoncellos,Str
199.0,199.5,52,E3,0.5,0,41,4/3,Violoncellos,Str
199.5,200.0,50,D3,0.5,0,41,5/3,Violoncellos,Str
200.0,200.5,54,F#3,0.5,0,41,2.0,Violoncellos,Str
200.5,201.0,53,E#3,0.5,0,41,7/3,Violoncellos,Str
201.0,201.5,54,F#3,0.5,0,41,8/3,Violoncellos,Str
201.5,202.0,52,E3,0.5,0,41,3.0,Violoncellos,Str
202.0,202.5,54,F#3,0.5,0,41,10/3,Violoncellos,Str
202.5,203.0,52,E3,0.5,0,41,11/3,Violoncellos,Str
203.0,203.5,55,G3,0.5,0,41,4.0,Violoncellos,Str
203.5,204.0,54,F#3,0.5,0,41,13/3,Violoncellos,Str
204.0,204.5,55,G3,0.5,0,41,14/3,Violoncellos,Str
204.5,205.0,52,E3,0.5,0,42,1.0,Violoncellos,Str
205.0,205.5,54,F#3,0.5,0,42,4/3,Violoncellos,Str
205.5,206.0,55,G3,0.5,0,42,5/3,Violoncellos,Str
206.0,206.5,57,A3,0.5,0,42,2.0,Violoncellos,Str
206.5,207.0,55,G3,0.5,0,42,7/3,Violoncellos,Str
207.0,207.5,54,F#3,0.5,0,42,8/3,Violoncellos,Str
207.5,208.0,55,G3,0.5,0,42,3.0,Violoncellos,Str
208.0,208.5,57,A3,0.5,0,42,10/3,Violoncellos,Str
208.5,209.0,59,B3,0.5,0,42,11/3,Violoncellos,Str
209.0,209.5,57,A3,0.5,0,42,4.0,Violoncellos,Str
209.5,210.0,59,B3,0.5,0,42,13/3,Violoncellos,Str
210.0,210.5,60,C4,0.5,0,42,14/3,Violoncellos,Str
210.5,211.0,50,D3,0.5,0,43,1.0,Violoncellos,Str
650/3,217.16666666666666,59,B3,0.5,0,44,3.0,Violoncellos,Str
1303/6,217.66666666666666,55,G3,0.5,0,44,10/3,Violoncellos,Str
653/3,218.16666666666666,52,E3,0.5,0,44,11/3,Violoncellos,Str
1309/6,218.66666666666666,55,G3,0.5,0,44,4.0,Violoncellos,Str
656/3,219.16666666666666,50,D3,0.5,0,44,13/3,Violoncellos,Str
1315/6,219.66666666666666,47,B2,0.5,0,44,14/3,Violoncellos,Str
659/3,220.16666666666666,43,G2,0.5,0,45,31/9,Violoncellos,Str
1321/6,220.66666666666666,46,B-2,0.5,0,45,4/3,Violoncellos,Str
662/3,221.16666666666666,43,G2,0.5,0,45,5/3,Violoncellos,Str
1327/6,221.66666666666666,46,B-2,0.5,0,45,2.0,Violoncellos,Str
665/3,222.16666666666666,51,E-3,0.5,0,45,7/3,Violoncellos,Str
1333/6,222.66666666666666,46,B-2,0.5,0,45,8/3,Violoncellos,Str
668/3,223.16666666666666,51,E-3,0.5,0,45,3.0,Violoncellos,Str
1339/6,223.66666666666666,53,F3,0.5,0,45,10/3,Violoncellos,Str
671/3,224.16666666666666,51,E-3,0.5,0,45,11/3,Violoncellos,Str
1345/6,224.66666666666666,53,F3,0.5,0,45,4.0,Violoncellos,Str
674/3,225.16666666666666,56,A-3,0.5,0,45,13/3,Violoncellos,Str
1351/6,225.66666666666666,53,F3,0.5,0,45,14/3,Violoncellos,Str
677/3,226.16666666666666,43,G2,0.5,0,46,31/9,Violoncellos,Str
1357/6,226.66666666666666,46,B-2,0.5,0,46,4/3,Violoncellos,Str
680/3,227.16666666666666,43,G2,0.5,0,46,5/3,Violoncellos,Str
1363/6,227.66666666666666,46,B-2,0.5,0,46,2.0,Violoncellos,Str
683/3,228.16666666666666,51,E-3,0.5,0,46,7/3,Violoncellos,Str
