onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
240.0,240.5,47,B2,0.5,0,61,1.0,tuba
241.0,241.5,42,F#2,0.5,0,61,2.0,tuba
241.75,242.0,42,F#2,0.25,0,61,2.75,tuba
242.0,242.5,47,B2,0.5,0,61,3.0,tuba
243.0,243.5,42,F#2,0.5,0,61,4.0,tuba
244.0,244.5,47,B2,0.5,0,62,1.0,tuba
244.5,245.0,52,E3,0.5,0,62,1.5,tuba
248.0,248.5,47,B2,0.5,0,63,1.0,tuba
249.0,249.5,42,F#2,0.5,0,63,2.0,tuba
249.75,250.0,42,F#2,0.25,0,63,2.75,tuba
250.0,250.5,47,B2,0.5,0,63,3.0,tuba
251.0,251.5,42,F#2,0.5,0,63,4.0,tuba
252.0,252.5,47,B2,0.5,0,64,1.0,tuba
252.5,253.0,52,E3,0.5,0,64,1.5,tuba
256.0,256.5,35,B1,0.5,0,65,1.0,tuba
257.0,257.5,42,F#2,0.5,0,65,2.0,tuba
257.75,258.0,42,F#2,0.25,0,65,2.75,tuba
258.0,258.5,35,B1,0.5,0,65,3.0,tuba
259.0,259.5,42,F#2,0.5,0,65,4.0,tuba
260.0,260.5,35,B1,0.5,0,66,1.0,tuba
260.5,261.0,40,E2,0.5,0,66,1.5,tuba
264.0,264.5,35,B1,0.5,0,67,1.0,tuba
265.0,265.5,42,F#2,0.5,0,67,2.0,tuba
265.75,266.0,42,F#2,0.25,0,67,2.75,tuba
266.0,266.5,35,B1,0.5,0,67,3.0,tuba
267.0,267.5,42,F#2,0.5,0,67,4.0,tuba
268.0,268.5,35,B1,0.5,0,68,1.0,tuba
268.5,269.0,40,E2,0.5,0,68,1.5,tuba
272.0,272.5,36,C2,0.5,0,69,1.0,tuba
344.0,344.5,40,E2,0.5,0,87,1.0,tuba
346.0,346.5,43,G2,0.5,0,87,3.0,tuba
348.0,348.5,36,C2,0.5,0,88,1.0,tuba
350.0,350.5,40,E2,0.5,0,88,3.0,tuba
808.0,820.0,33,A1,12.0,0,203,1.0,tuba
820.0,822.0,45,A2,2.0,0,206,1.0,tuba
822.0,836.5,33,A1,14.5,0,206,3.0,tuba
844.0,880.0,33,A1,36.0,0,212,1.0,tuba
880.0,880.3333333333334,33,A1,0.3333333333333333,0,221,1.0,tuba
880.3333333333334,880.6666666666667,33,A1,0.3333333333333333,0,221,1.3333333333333333,tuba
912.0,912.5,47,B2,0.5,0,229,1.0,tuba
913.0,913.5,45,A2,0.5,0,229,2.0,tuba
914.0,914.5,43,G2,0.5,0,229,3.0,tuba
915.0,915.5,42,F#2,0.5,0,229,4.0,tuba
916.0,916.5,40,E2,0.5,0,230,1.0,tuba
917.0,917.5,39,E-2,0.5,0,230,2.0,tuba
918.0,918.5,38,D2,0.5,0,230,3.0,tuba
919.0,919.5,36,C2,0.5,0,230,4.0,tuba
920.0,920.5,35,B1,0.5,0,231,1.0,tuba
921.0,921.5,33,A1,0.5,0,231,2.0,tuba
922.0,922.5,31,G1,0.5,0,231,3.0,tuba
923.0,923.5,42,F#2,0.5,0,231,4.0,tuba
924.0,924.5,40,E2,0.5,0,232,1.0,tuba
925.0,925.5,39,E-2,0.5,0,232,2.0,tuba
926.0,926.5,38,D2,0.5,0,232,3.0,tuba
928.0,928.5,47,B2,0.5,0,233,1.0,tuba
929.0,929.5,45,A2,0.5,0,233,2.0,tuba
930.0,930.5,43,G2,0.5,0,233,3.0,tuba
931.0,931.5,42,F#2,0.5,0,233,4.0,tuba
932.0,932.5,40,E2,0.5,0,234,1.0,tuba
933.0,933.5,39,E-2,0.5,0,234,2.0,tuba
934.0,934.5,38,D2,0.5,0,234,3.0,tuba
936.0,936.5,35,B1,0.5,0,235,1.0,tuba
938.0,938.5,40,E2,0.5,0,235,3.0,tuba
940.0,940.5,43,G2,0.5,0,236,1.0,tuba
948.0,949.0,43,G2,1.0,0,238,1.0,tuba
949.0,949.5,31,G1,0.5,0,238,2.0,tuba
950.0,950.5,35,B1,0.5,0,238,3.0,tuba
950.5,951.0,38,D2,0.5,0,238,3.5,tuba
952.0,952.5,47,B2,0.5,0,239,1.0,tuba
953.0,953.5,45,A2,0.5,0,239,2.0,tuba
954.0,954.5,43,G2,0.5,0,239,3.0,tuba
955.0,955.5,42,F#2,0.5,0,239,4.0,tuba
956.0,956.5,40,E2,0.5,0,240,1.0,tuba
957.0,957.5,39,E-2,0.5,0,240,2.0,tuba
958.0,958.5,38,D2,0.5,0,240,3.0,tuba
959.0,959.5,36,C2,0.5,0,240,4.0,tuba
960.0,960.5,35,B1,0.5,0,241,1.0,tuba
961.0,961.5,33,A1,0.5,0,241,2.0,tuba
962.0,962.5,31,G1,0.5,0,241,3.0,tuba
963.0,963.5,42,F#2,0.5,0,241,4.0,tuba
964.0,964.5,40,E2,0.5,0,242,1.0,tuba
965.0,965.5,39,E-2,0.5,0,242,2.0,tuba
966.0,966.5,38,D2,0.5,0,242,3.0,tuba
968.0,968.5,47,B2,0.5,0,243,1.0,tuba
969.0,969.5,45,A2,0.5,0,243,2.0,tuba
970.0,970.5,43,G2,0.5,0,243,3.0,tuba
971.0,971.5,42,F#2,0.5,0,243,4.0,tuba
972.0,972.5,40,E2,0.5,0,244,1.0,tuba
973.0,973.5,39,E-2,0.5,0,244,2.0,tuba
974.0,974.5,38,D2,0.5,0,244,3.0,tuba
976.0,976.5,31,G1,0.5,0,245,1.0,tuba
978.0,978.5,34,B-1,0.5,0,245,3.0,tuba
980.0,980.5,39,E-2,0.5,0,246,1.0,tuba
982.0,982.5,43,G2,0.5,0,246,3.0,tuba
985.0,985.5,35,B1,0.5,0,247,2.0,tuba
985.75,986.0,36,C2,0.25,0,247,2.75,tuba
986.0,986.5,37,C#2,0.5,0,247,3.0,tuba
987.0,987.5,39,D#2,0.5,0,247,4.0,tuba
988.0,988.5,40,E2,0.5,0,248,1.0,tuba
989.0,989.5,37,C#2,0.5,0,248,2.0,tuba
989.75,990.0,39,D#2,0.25,0,248,2.75,tuba
990.0,990.5,40,E2,0.5,0,248,3.0,tuba
991.0,991.5,42,F#2,0.5,0,248,4.0,tuba
992.0,992.5,43,G2,0.5,0,249,1.0,tuba
993.0,993.5,44,G#2,0.5,0,249,2.0,tuba
994.0,994.5,45,A2,0.5,0,249,3.0,tuba
995.0,995.5,47,B2,0.5,0,249,4.0,tuba
996.0,996.5,48,C3,0.5,0,250,1.0,tuba
997.0,997.5,49,C#3,0.5,0,250,2.0,tuba
998.0,998.5,50,D3,0.5,0,250,3.0,tuba
999.0,999.5,52,E3,0.5,0,250,4.0,tuba
1000.0,1000.5,53,F3,0.5,0,251,1.0,tuba
1038.0,1047.5,35,B1,9.5,0,260,3.0,tuba
1089.0,1089.5,44,A-2,0.5,0,273,2.0,tuba
1090.0,1090.5,43,G2,0.5,0,273,3.0,tuba
1091.0,1091.5,41,F2,0.5,0,273,4.0,tuba
1092.0,1092.5,40,E2,0.5,0,274,1.0,tuba
1093.0,1093.5,38,D2,0.5,0,274,2.0,tuba
1094.0,1094.5,36,C2,0.5,0,274,3.0,tuba
1096.0,1097.0,52,E3,1.0,0,275,1.0,tuba
1097.0,1097.75,45,A2,0.75,0,275,2.0,tuba
1097.75,1098.0,45,A2,0.25,0,275,2.75,tuba
1098.0,1099.0,52,E3,1.0,0,275,3.0,tuba
1099.0,1100.0,45,A2,1.0,0,275,4.0,tuba
1100.0,1100.5,50,D3,0.5,0,276,1.0,tuba
1100.5,1101.0,57,A3,0.5,0,276,1.5,tuba
1104.0,1105.0,52,E3,1.0,0,277,1.0,tuba
1105.0,1105.75,45,A2,0.75,0,277,2.0,tuba
1105.75,1106.0,45,A2,0.25,0,277,2.75,tuba
1106.0,1107.0,52,E3,1.0,0,277,3.0,tuba
1107.0,1108.0,45,A2,1.0,0,277,4.0,tuba
1108.0,1108.5,50,D3,0.5,0,278,1.0,tuba
1108.5,1109.0,57,A3,0.5,0,278,1.5,tuba
1113.0,1113.5,52,E3,0.5,0,279,2.0,tuba
1113.5,1114.0,57,A3,0.5,0,279,2.5,tuba
1115.0,1115.5,45,A2,0.5,0,279,4.0,tuba
1115.5,1116.0,50,D3,0.5,0,279,4.5,tuba
1117.0,1117.5,52,E3,0.5,0,280,2.0,tuba
1117.5,1118.0,57,A3,0.5,0,280,2.5,tuba
1119.0,1119.5,45,A2,0.5,0,280,4.0,tuba
1119.5,1120.0,50,D3,0.5,0,280,4.5,tuba
1121.0,1122.0,45,A2,1.0,0,281,2.0,tuba
1122.0,1122.5,50,D3,0.5,0,281,3.0,tuba
1123.0,1124.0,50,D3,1.0,0,281,4.0,tuba
1124.0,1124.5,57,A3,0.5,0,282,1.0,tuba
1125.0,1126.0,57,A3,1.0,0,282,2.0,tuba
1126.0,1126.5,62,D4,0.5,0,282,3.0,tuba
1127.0,1127.5,48,C3,0.5,0,282,4.0,tuba
1128.0,1128.5,47,B2,0.5,0,283,1.0,tuba
1129.0,1129.5,45,A2,0.5,0,283,2.0,tuba
1130.0,1130.5,43,G2,0.5,0,283,3.0,tuba
1131.0,1131.5,42,F#2,0.5,0,283,4.0,tuba
1132.0,1132.5,40,E2,0.5,0,284,1.0,tuba
1133.0,1133.5,39,E-2,0.5,0,284,2.0,tuba
1134.0,1134.5,38,D2,0.5,0,284,3.0,tuba
1135.0,1135.5,36,C2,0.5,0,284,4.0,tuba
1136.0,1136.5,35,B1,0.5,0,285,1.0,tuba
1137.0,1137.5,33,A1,0.5,0,285,2.0,tuba
1138.0,1138.5,31,G1,0.5,0,285,3.0,tuba
1139.0,1139.5,42,F#2,0.5,0,285,4.0,tuba
1140.0,1140.5,40,E2,0.5,0,286,1.0,tuba
1141.0,1141.5,39,E-2,0.5,0,286,2.0,tuba
1142.0,1142.5,38,D2,0.5,0,286,3.0,tuba
1144.0,1144.5,47,B2,0.5,0,287,1.0,tuba
1145.0,1145.5,45,A2,0.5,0,287,2.0,tuba
1146.0,1146.5,43,G2,0.5,0,287,3.0,tuba
1147.0,1147.5,42,F#2,0.5,0,287,4.0,tuba
1148.0,1148.5,40,E2,0.5,0,288,1.0,tuba
1149.0,1149.5,39,E-2,0.5,0,288,2.0,tuba
1150.0,1150.5,38,D2,0.5,0,288,3.0,tuba
1152.0,1152.5,35,B1,0.5,0,289,1.0,tuba
1154.0,1154.5,40,E2,0.5,0,289,3.0,tuba
1156.0,1156.5,43,G2,0.5,0,290,1.0,tuba
1164.0,1165.0,43,G2,1.0,0,292,1.0,tuba
1165.0,1165.5,31,G1,0.5,0,292,2.0,tuba
1166.0,1166.5,35,B1,0.5,0,292,3.0,tuba
1166.5,1167.0,38,D2,0.5,0,292,3.5,tuba
1168.0,1168.5,47,B2,0.5,0,293,1.0,tuba
1169.0,1169.5,45,A2,0.5,0,293,2.0,tuba
1170.0,1170.5,43,G2,0.5,0,293,3.0,tuba
1171.0,1171.5,42,F#2,0.5,0,293,4.0,tuba
1172.0,1172.5,40,E2,0.5,0,294,1.0,tuba
1173.0,1173.5,39,E-2,0.5,0,294,2.0,tuba
1174.0,1174.5,38,D2,0.5,0,294,3.0,tuba
1175.0,1175.5,36,C2,0.5,0,294,4.0,tuba
1176.0,1176.5,35,B1,0.5,0,295,1.0,tuba
1177.0,1177.5,33,A1,0.5,0,295,2.0,tuba
1178.0,1178.5,31,G1,0.5,0,295,3.0,tuba
1179.0,1179.5,42,F#2,0.5,0,295,4.0,tuba
1180.0,1180.5,40,E2,0.5,0,296,1.0,tuba
1181.0,1181.5,39,E-2,0.5,0,296,2.0,tuba
1182.0,1182.5,38,D2,0.5,0,296,3.0,tuba
1184.0,1184.5,47,B2,0.5,0,297,1.0,tuba
1185.0,1185.5,45,A2,0.5,0,297,2.0,tuba
1186.0,1186.5,43,G2,0.5,0,297,3.0,tuba
1187.0,1187.5,42,F#2,0.5,0,297,4.0,tuba
1188.0,1188.5,40,E2,0.5,0,298,1.0,tuba
1189.0,1189.5,39,E-2,0.5,0,298,2.0,tuba
1190.0,1190.5,38,D2,0.5,0,298,3.0,tuba
1192.0,1192.5,31,G1,0.5,0,299,1.0,tuba
1194.0,1194.5,34,B-1,0.5,0,299,3.0,tuba
1196.0,1196.5,39,E-2,0.5,0,300,1.0,tuba
1198.0,1198.5,43,G2,0.5,0,300,3.0,tuba
1201.0,1201.5,35,B1,0.5,0,301,2.0,tuba
1201.75,1202.0,36,C2,0.25,0,301,2.75,tuba
1202.0,1202.5,37,C#2,0.5,0,301,3.0,tuba
1203.0,1203.5,39,D#2,0.5,0,301,4.0,tuba
1204.0,1204.5,40,E2,0.5,0,302,1.0,tuba
1205.0,1205.5,37,C#2,0.5,0,302,2.0,tuba
1205.75,1206.0,39,D#2,0.25,0,302,2.75,tuba
1206.0,1206.5,40,E2,0.5,0,302,3.0,tuba
1207.0,1207.5,42,F#2,0.5,0,302,4.0,tuba
1208.0,1208.5,43,G2,0.5,0,303,1.0,tuba
1209.0,1209.5,44,G#2,0.5,0,303,2.0,tuba
1210.0,1210.5,45,A2,0.5,0,303,3.0,tuba
1211.0,1211.5,47,B2,0.5,0,303,4.0,tuba
1212.0,1213.5,48,C3,1.5,0,304,1.0,tuba
1214.0,1215.5,49,C#3,1.5,0,304,3.0,tuba
1216.0,1217.5,50,D3,1.5,0,305,1.0,tuba
1218.0,1219.5,51,E-3,1.5,0,305,3.0,tuba
1220.0,1221.5,52,E3,1.5,0,306,1.0,tuba
1222.0,1223.5,51,E-3,1.5,0,306,3.0,tuba
1224.0,1225.5,50,D3,1.5,0,307,1.0,tuba
1226.0,1227.5,49,C#3,1.5,0,307,3.0,tuba
1228.0,1229.5,48,C3,1.5,0,308,1.0,tuba
1230.0,1231.5,47,B2,1.5,0,308,3.0,tuba
1232.0,1233.5,45,A2,1.5,0,309,1.0,tuba
1234.0,1235.5,43,G2,1.5,0,309,3.0,tuba
1236.0,1237.5,42,F#2,1.5,0,310,1.0,tuba
1238.0,1239.5,41,F2,1.5,0,310,3.0,tuba
1240.0,1241.5,40,E2,1.5,0,311,1.0,tuba
1242.0,1243.5,39,E-2,1.5,0,311,3.0,tuba
1244.0,1245.5,38,D2,1.5,0,312,1.0,tuba
1245.5,1246.0,38,D2,0.5,0,312,2.5,tuba
1246.0,1247.5,37,C#2,1.5,0,312,3.0,tuba
1247.5,1248.0,37,C#2,0.5,0,312,4.5,tuba
1248.0,1249.5,36,C2,1.5,0,313,1.0,tuba
1249.5,1250.0,36,C2,0.5,0,313,2.5,tuba
1250.0,1251.5,37,C#2,1.5,0,313,3.0,tuba
1251.5,1252.0,37,C#2,0.5,0,313,4.5,tuba
1252.0,1253.0,38,D2,1.0,0,314,1.0,tuba
1253.0,1254.0,43,G2,1.0,0,314,2.0,tuba
1254.0,1255.0,47,B2,1.0,0,314,3.0,tuba
1255.0,1256.0,50,D3,1.0,0,314,4.0,tuba
1256.0,1257.0,54,F#3,1.0,0,315,1.0,tuba
1257.0,1258.0,57,A3,1.0,0,315,2.0,tuba
1258.0,1258.5,62,D4,0.5,0,315,3.0,tuba
1260.0,1260.5,43,G2,0.5,0,316,1.0,tuba
1261.0,1261.5,38,D2,0.5,0,316,2.0,tuba
1261.75,1262.0,38,D2,0.25,0,316,2.75,tuba
1262.0,1262.5,43,G2,0.5,0,316,3.0,tuba
1263.0,1263.5,38,D2,0.5,0,316,4.0,tuba
1264.0,1264.5,43,G2,0.5,0,317,1.0,tuba
1264.5,1266.5,48,C3,2.0,0,317,1.5,tuba
1268.0,1268.5,43,G2,0.5,0,318,1.0,tuba
1269.0,1269.5,38,D2,0.5,0,318,2.0,tuba
1269.75,1270.0,38,D2,0.25,0,318,2.75,tuba
1270.0,1270.5,43,G2,0.5,0,318,3.0,tuba
1271.0,1271.5,38,D2,0.5,0,318,4.0,tuba
1272.0,1272.5,43,G2,0.5,0,319,1.0,tuba
1272.5,1274.5,48,C3,2.0,0,319,1.5,tuba
1276.0,1276.5,43,G2,0.5,0,320,1.0,tuba
1277.0,1277.5,38,D2,0.5,0,320,2.0,tuba
1277.75,1278.0,38,D2,0.25,0,320,2.75,tuba
1278.0,1278.5,43,G2,0.5,0,320,3.0,tuba
1279.0,1279.5,38,D2,0.5,0,320,4.0,tuba
1280.0,1280.5,43,G2,0.5,0,321,1.0,tuba
1280.5,1282.5,48,C3,2.0,0,321,1.5,tuba
1284.0,1284.5,43,G2,0.5,0,322,1.0,tuba
1285.0,1285.5,38,D2,0.5,0,322,2.0,tuba
1285.75,1286.0,38,D2,0.25,0,322,2.75,tuba
1286.0,1286.5,43,G2,0.5,0,322,3.0,tuba
1287.0,1287.5,38,D2,0.5,0,322,4.0,tuba
1288.0,1288.5,43,G2,0.5,0,323,1.0,tuba
1288.5,1290.5,48,C3,2.0,0,323,1.5,tuba
1292.0,1292.5,35,B1,0.5,0,324,1.0,tuba
1293.0,1293.25,40,E2,0.25,0,324,2.0,tuba
1305.0,1306.5,39,D#2,1.5,0,327,2.0,tuba
1309.0,1310.5,33,A1,1.5,0,328,2.0,tuba
1313.0,1313.5,33,A1,0.5,0,329,2.0,tuba
1314.0,1314.5,38,D2,0.5,0,329,3.0,tuba
1315.0,1315.5,42,F#2,0.5,0,329,4.0,tuba
1316.0,1316.25,43,G2,0.25,0,330,1.0,tuba
1317.0,1317.25,42,F#2,0.25,0,330,2.0,tuba
1318.0,1318.25,40,E2,0.25,0,330,3.0,tuba
1319.0,1319.25,39,E-2,0.25,0,330,4.0,tuba
1320.0,1320.25,38,D2,0.25,0,331,1.0,tuba
1321.0,1321.25,40,E2,0.25,0,331,2.0,tuba
1322.0,1322.25,41,F2,0.25,0,331,3.0,tuba
1323.0,1323.25,42,F#2,0.25,0,331,4.0,tuba
1324.0,1324.25,43,G2,0.25,0,332,1.0,tuba
1325.0,1325.25,42,F#2,0.25,0,332,2.0,tuba
1326.0,1326.25,40,E2,0.25,0,332,3.0,tuba
1327.0,1327.25,39,E-2,0.25,0,332,4.0,tuba
1328.0,1328.25,38,D2,0.25,0,333,1.0,tuba
1329.0,1329.25,40,E2,0.25,0,333,2.0,tuba
1330.0,1330.25,41,F2,0.25,0,333,3.0,tuba
1331.0,1331.25,42,F#2,0.25,0,333,4.0,tuba
1332.0,1332.25,43,G2,0.25,0,334,1.0,tuba
1333.0,1333.25,42,F#2,0.25,0,334,2.0,tuba
1334.0,1334.25,40,E2,0.25,0,334,3.0,tuba
1335.0,1335.25,38,D2,0.25,0,334,4.0,tuba
1336.0,1336.25,43,G2,0.25,0,335,1.0,tuba
1337.0,1337.25,42,F#2,0.25,0,335,2.0,tuba
1338.0,1338.25,40,E2,0.25,0,335,3.0,tuba
1339.0,1339.25,38,D2,0.25,0,335,4.0,tuba
1340.0,1340.5,43,G2,0.5,0,336,1.0,tuba
1340.5,1341.0,42,F#2,0.5,0,336,1.5,tuba
1341.0,1341.5,40,E2,0.5,0,336,2.0,tuba
1341.5,1342.0,38,D2,0.5,0,336,2.5,tuba
1342.0,1342.5,43,G2,0.5,0,336,3.0,tuba
1342.5,1343.0,42,F#2,0.5,0,336,3.5,tuba
1343.0,1343.5,40,E2,0.5,0,336,4.0,tuba
1343.5,1344.0,38,D2,0.5,0,336,4.5,tuba
1344.0,1344.5,43,G2,0.5,0,337,1.0,tuba
1344.5,1345.0,42,F#2,0.5,0,337,1.5,tuba
1345.0,1345.5,40,E2,0.5,0,337,2.0,tuba
1345.5,1346.0,38,D2,0.5,0,337,2.5,tuba
1346.0,1346.5,43,G2,0.5,0,337,3.0,tuba
1346.5,1347.0,42,F#2,0.5,0,337,3.5,tuba
1347.0,1347.5,40,E2,0.5,0,337,4.0,tuba
1347.5,1348.0,38,D2,0.5,0,337,4.5,tuba
1348.0,1348.5,43,G2,0.5,0,338,1.0,tuba
1349.5,1350.0,43,G2,0.5,0,338,2.5,tuba
1350.0,1350.5,43,G2,0.5,0,338,3.0,tuba
1351.5,1352.0,43,G2,0.5,0,338,4.5,tuba
1352.0,1352.5,43,G2,0.5,0,339,1.0,tuba
1353.5,1354.0,43,G2,0.5,0,339,2.5,tuba
1354.0,1354.5,43,G2,0.5,0,339,3.0,tuba
1355.5,1356.0,43,G2,0.5,0,339,4.5,tuba
1356.0,1356.5,43,G2,0.5,0,340,1.0,tuba
1358.5,1359.0,48,C3,0.5,0,340,3.5,tuba
1359.0,1359.5,47,B2,0.5,0,340,4.0,tuba
1359.5,1360.0,45,A2,0.5,0,340,4.5,tuba
1360.0,1360.5,43,G2,0.5,0,341,1.0,tuba
1360.5,1361.0,42,F#2,0.5,0,341,1.5,tuba
1361.0,1361.5,40,E2,0.5,0,341,2.0,tuba
1361.5,1362.0,39,E-2,0.5,0,341,2.5,tuba
1362.0,1362.5,38,D2,0.5,0,341,3.0,tuba
1362.5,1363.0,36,C2,0.5,0,341,3.5,tuba
1363.0,1363.5,35,B1,0.5,0,341,4.0,tuba
1363.5,1364.0,33,A1,0.5,0,341,4.5,tuba
1364.0,1364.5,31,G1,0.5,0,342,1.0,tuba
1365.0,1365.5,31,G1,0.5,0,342,2.0,tuba
1367.0,1367.5,31,G1,0.5,0,342,4.0,tuba
1369.0,1369.5,31,G1,0.5,0,343,2.0,tuba
1371.0,1371.5,31,G1,0.5,0,343,4.0,tuba
1372.0,1372.5,31,G1,0.5,0,344,1.0,tuba
1373.0,1373.5,31,G1,0.5,0,344,2.0,tuba
1374.0,1374.5,31,G1,0.5,0,344,3.0,tuba
1375.0,1375.5,31,G1,0.5,0,344,4.0,tuba
1376.0,1383.0,43,G2,7.0,0,345,1.0,tuba
1383.0,1383.3333333333333,43,G2,0.3333333333333333,0,346,4.0,tuba
1383.3333333333333,1383.6666666666663,43,G2,0.3333333333333333,0,346,4.333333333333333,tuba
1383.6666666666667,1384.0,43,G2,0.3333333333333333,0,346,4.666666666666667,tuba
1384.0,1384.5,43,G2,0.5,0,347,1.0,tuba
