onset,offset,role
8,12,harm
24,28,harm
104,113,rhythm+harm
152,156,rhythm
156,160,harm
168,176,rhythm
176,204,mel
216,228,mel+rhythm
232,240,mel+rhythm
240,273,harm
313,321,mel+rhythm
343,352,mel+rhythm
377,384,rhythm+harm
390,432,harm
480,489,mel+rhythm
511,519,mel+rhythm
518,528,rhythm
528,535,mel+rhythm
535,544,rhythm
545,552,mel+rhythm
560,564,rhythm
576,580,rhythm
656,665,rhythm+harm
704,708,rhythm
708,712,harm
720,726,rhythm
728,756,mel
760,768,rhythm
768,776,mel
796,804,mel+rhythm
812,817,mel+rhythm
828,881,mel+rhythm
884,912,mel
912,1001,mel+rhythm
1008,1016,rhythm+harm
1023,1064,mel
1084,1096,mel
1127,1244,mel+rhythm
1244,1260,mel
1284,1292,harm
1292,1329,mel+rhythm
1329,1335,mel
1335,1348,rhythm
1348,1376,mel
