onset,offset,role
14,16,harm
30,32,harm
56,64,mel+rhythm
80,89,mel+rhythm
96,105,rhythm+harm
123,137,mel
174,180,harm
196,201,mel
214,217,mel+rhythm
222,240,mel+rhythm
240,273,harm
284,301,rhythm+harm
300,320,harm
320,344,rhythm+harm
344,352,harm
352,360,rhythm
360,369,harm
369,384,mel+rhythm
452,469,rhythm+harm
471,488,harm
488,512,rhythm+harm
512,552,harm
566,568,harm
582,584,harm
632,641,mel+rhythm
648,657,mel+rhythm
674,689,mel
727,732,rhythm
758,761,rhythm
768,776,harm
796,801,mel+rhythm
804,852,harm
852,860,mel+rhythm
860,881,rhythm+harm
912,916,harm
916,920,rhythm+harm
920,924,harm
924,928,rhythm+harm
928,956,harm
956,960,rhythm+harm
960,964,harm
964,968,rhythm+harm
968,1001,harm
1001,1016,mel+rhythm
1016,1022,harm
1027,1032,harm
1032,1038,mel
1048,1054,mel
1059,1064,harm
1064,1072,mel
1072,1084,harm
1084,1092,mel
1092,1127,harm
1128,1144,rhythm+harm
1144,1168,harm
1168,1184,rhythm+harm
1184,1212,harm
1212,1228,rhythm
1228,1256,harm
1256,1260,rhythm+harm
1268,1276,mel
1276,1284,harm
1284,1292,mel+rhythm
1292,1316,harm
1316,1320,rhythm+harm
1320,1324,harm
1324,1328,rhythm+harm
1328,1340,harm
1340,1348,harm
1348,1388,harm
