onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,3.0,50,D3,3.0,0,1,1.0,timpani
210.0,213.0,50,D3,3.0,0,71,1.0,timpani
213.0,213.5,50,D3,0.5,0,72,1.0,timpani
216.0,219.0,48,C3,3.0,0,73,1.0,timpani
219.0,219.5,48,C3,0.5,0,74,1.0,timpani
222.0,225.0,48,C3,3.0,0,75,1.0,timpani
225.0,225.5,48,C3,0.5,0,76,1.0,timpani
240.0,240.5,48,C3,0.5,0,81,1.0,timpani
343.0,345.0,52,E3,2.0,0,115,2.0,timpani
345.0,348.0,52,E3,3.0,0,116,1.0,timpani
348.0,351.0,52,E3,3.0,0,117,1.0,timpani
351.0,354.0,52,E3,3.0,0,118,1.0,timpani
354.0,357.0,52,E3,3.0,0,119,1.0,timpani
357.0,360.0,52,E3,3.0,0,120,1.0,timpani
360.0,363.0,52,E3,3.0,0,121,1.0,timpani
363.0,366.0,52,E3,3.0,0,122,1.0,timpani
366.0,369.0,52,E3,3.0,0,123,1.0,timpani
369.0,372.0,52,E3,3.0,0,124,1.0,timpani
372.0,375.0,47,B2,3.0,0,125,1.0,timpani
375.0,378.0,42,F#2,3.0,0,126,1.0,timpani
378.0,381.0,42,F#2,3.0,0,127,1.0,timpani
381.0,384.0,42,F#2,3.0,0,128,1.0,timpani
384.0,387.0,42,F#2,3.0,0,129,1.0,timpani
387.0,390.0,42,F#2,3.0,0,130,1.0,timpani
390.0,393.0,42,F#2,3.0,0,131,1.0,timpani
393.0,396.0,42,F#2,3.0,0,132,1.0,timpani
396.0,399.0,42,F#2,3.0,0,133,1.0,timpani
399.0,402.0,42,F#2,3.0,0,134,1.0,timpani
402.0,405.0,42,F#2,3.0,0,135,1.0,timpani
405.0,408.0,42,F#2,3.0,0,136,1.0,timpani
408.0,408.5,42,F#2,0.5,0,137,1.0,timpani
