onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
188.0,189.0,62,D4,1.0,0,63,3.0,trumpet2
189.0,190.0,62,D4,1.0,0,64,1.0,trumpet2
190.0,191.0,61,C#4,1.0,0,64,2.0,trumpet2
191.0,192.0,59,B3,1.0,0,64,3.0,trumpet2
192.0,192.5,57,A3,0.5,0,65,1.0,trumpet2
194.0,195.0,62,D4,1.0,0,65,3.0,trumpet2
195.0,196.0,62,D4,1.0,0,66,1.0,trumpet2
196.0,197.0,61,C#4,1.0,0,66,2.0,trumpet2
197.0,198.0,60,C4,1.0,0,66,3.0,trumpet2
198.0,198.5,59,B3,0.5,0,67,1.0,trumpet2
201.0,202.0,68,G#4,1.0,0,68,1.0,trumpet2
202.0,203.0,66,F#4,1.0,0,68,2.0,trumpet2
203.0,204.0,64,E4,1.0,0,68,3.0,trumpet2
204.0,204.5,62,D4,0.5,0,69,1.0,trumpet2
207.0,208.0,71,B4,1.0,0,70,1.0,trumpet2
208.0,209.0,69,A4,1.0,0,70,2.0,trumpet2
209.0,210.0,67,G4,1.0,0,70,3.0,trumpet2
210.0,210.33333333333334,66,F#4,1/3,0,71,1.0,trumpet2
631/3,632/3,66,F#4,1/3,0,71,4/3,trumpet2
632/3,634/3,66,F#4,2/3,0,71,5/3,trumpet2
634/3,635/3,66,F#4,1/3,0,71,7/3,trumpet2
635/3,637/3,66,F#4,2/3,0,71,8/3,trumpet2
637/3,638/3,66,F#4,1/3,0,71,10/3,trumpet2
638/3,213.5,66,F#4,0.8333333333333333,0,71,11/3,trumpet2
216.0,216.33333333333334,72,C5,1/3,0,73,1.0,trumpet2
649/3,650/3,72,C5,1/3,0,73,4/3,trumpet2
650/3,652/3,72,C5,2/3,0,73,5/3,trumpet2
652/3,653/3,72,C5,1/3,0,73,7/3,trumpet2
653/3,655/3,72,C5,2/3,0,73,8/3,trumpet2
655/3,656/3,72,C5,1/3,0,73,10/3,trumpet2
656/3,219.5,72,C5,0.8333333333333333,0,73,11/3,trumpet2
222.0,222.33333333333334,67,G4,1/3,0,75,1.0,trumpet2
667/3,668/3,67,G4,1/3,0,75,4/3,trumpet2
668/3,670/3,67,G4,2/3,0,75,5/3,trumpet2
670/3,671/3,67,G4,1/3,0,75,7/3,trumpet2
671/3,673/3,67,G4,2/3,0,75,8/3,trumpet2
673/3,674/3,67,G4,1/3,0,75,10/3,trumpet2
674/3,225.5,67,G4,0.8333333333333333,0,75,11/3,trumpet2
228.0,228.25,72,C5,0.25,0,77,1.0,trumpet2
230.0,230.25,72,C5,0.25,0,77,3.0,trumpet2
232.0,232.25,72,C5,0.25,0,78,2.0,trumpet2
234.0,234.25,72,C5,0.25,0,79,1.0,trumpet2
240.5,241.0,72,C5,0.5,0,81,1.5,trumpet2
333.0,335.0,64,E4,2.0,0,112,1.0,trumpet2
335.0,335.5,63,D#4,0.5,0,112,3.0,trumpet2
335.5,336.0,64,E4,0.5,0,112,3.5,trumpet2
336.0,337.0,64,E4,1.0,0,113,1.0,trumpet2
337.0,339.0,67,G4,2.0,0,113,2.0,trumpet2
339.0,340.0,64,E4,1.0,0,114,1.0,trumpet2
340.0,341.0,69,A4,1.0,0,114,2.0,trumpet2
341.0,342.0,64,E4,1.0,0,114,3.0,trumpet2
342.0,343.0,69,A4,1.0,0,115,1.0,trumpet2
343.0,344.0,68,G#4,1.0,0,115,2.0,trumpet2
344.0,345.0,71,B4,1.0,0,115,3.0,trumpet2
345.0,348.0,72,C5,3.0,0,116,1.0,trumpet2
348.0,349.0,73,C#5,1.0,0,117,1.0,trumpet2
349.0,350.0,74,D5,1.0,0,117,2.0,trumpet2
350.0,351.0,67,G4,1.0,0,117,3.0,trumpet2
351.0,354.0,74,D5,3.0,0,118,1.0,trumpet2
354.0,355.0,70,B-4,1.0,0,119,1.0,trumpet2
355.0,356.0,69,A4,1.0,0,119,2.0,trumpet2
356.0,357.0,67,G4,1.0,0,119,3.0,trumpet2
357.0,360.0,66,F#4,3.0,0,120,1.0,trumpet2
360.0,361.0,67,G4,1.0,0,121,1.0,trumpet2
361.0,362.0,66,F#4,1.0,0,121,2.0,trumpet2
362.0,363.0,64,E4,1.0,0,121,3.0,trumpet2
363.0,364.0,68,G#4,1.0,0,122,1.0,trumpet2
364.0,365.0,70,A#4,1.0,0,122,2.0,trumpet2
365.0,366.0,71,B4,1.0,0,122,3.0,trumpet2
366.0,367.0,73,C#5,1.0,0,123,1.0,trumpet2
367.0,368.0,74,D5,1.0,0,123,2.0,trumpet2
368.0,369.0,75,D#5,1.0,0,123,3.0,trumpet2
369.0,370.0,76,E5,1.0,0,124,1.0,trumpet2
370.0,371.0,78,F#5,1.0,0,124,2.0,trumpet2
371.0,372.0,79,G5,1.0,0,124,3.0,trumpet2
375.0,375.5,62,D4,0.5,0,126,1.0,trumpet2
