phrase onset,phrase offset,section,theme
0,31.875,exposition,intro
31.875,70,exposition,1st
70,99.875,exposition,intro
99.875,124,exposition,1st
124,146,exposition,1st
146,160,exposition,transition
160,182,exposition,2nd
182,202,exposition,2nd
202,218,exposition,2nd
218,238,exposition,2nd
238,262,exposition,2nd
262,274,exposition,2nd
274,298,exposition,2nd
298,326,exposition,2nd
326,374,exposition,intro
374,382,development,2nd
382,394,development,1st
394,418,development,1st
418,434,development,1st
434,470,development,1st
470,504,development,1st
504,516,development,transition
516,548,development,1st
548,592,development,2nd
592,600,development,transition
600,628,development,transition
628,648,recapitulation,1st
648,676,recapitulation,1st
676,688,recapitulation,transition
688,716,recapitulation,2nd
716,736,recapitulation,2nd
736,752,recapitulation,2nd
752,772,recapitulation,2nd
772,800,recapitulation,2nd
800,812,recapitulation,2nd
812,836,recapitulation,2nd
836,852,recapitulation,2nd
852,904,recapitulation,1st
904,924,recapitulation,2nd
924,936,recapitulation,2nd
936,952,recapitulation,2nd
952,996,recapitulation,2nd
996,1024,recapitulation,2nd
1024,1060,coda,coda
1060,1076,coda,coda
1076,1092.5,coda,coda
