onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
7.875,8.0,64,E4,0.125,0,4,2.875,viola
8.0,9.0,57,A3,1.0,0,5,1.0,viola
15.875,16.0,64,E4,0.125,0,8,2.875,viola
16.0,17.0,57,A3,1.0,0,9,1.0,viola
23.875,24.0,64,E4,0.125,0,12,2.875,viola
24.0,25.0,57,A3,1.0,0,13,1.0,viola
27.25,27.5,64,E4,0.25,0,14,2.25,viola
27.5,27.75,64,E4,0.25,0,14,2.5,viola
27.75,28.0,57,A3,0.25,0,14,2.75,viola
29.25,29.5,64,E4,0.25,0,15,2.25,viola
29.5,29.75,64,E4,0.25,0,15,2.5,viola
29.75,30.0,57,A3,0.25,0,15,2.75,viola
30.0,30.25,57,A3,0.25,0,16,1.0,viola
30.25,30.5,69,A4,0.25,0,16,1.25,viola
30.5,30.75,69,A4,0.25,0,16,1.5,viola
30.75,31.0,57,A3,0.25,0,16,1.75,viola
31.0,31.25,57,A3,0.25,0,16,2.0,viola
31.25,31.5,69,A4,0.25,0,16,2.25,viola
31.5,31.75,57,A3,0.25,0,16,2.5,viola
31.875,32.0,74,D5,0.125,0,16,2.875,viola
32.0,33.875,69,A4,1.875,0,17,1.0,viola
33.875,34.0,65,F4,0.125,0,17,2.875,viola
34.0,34.875,62,D4,0.875,0,18,1.0,viola
34.875,35.0,57,A3,0.125,0,18,1.875,viola
35.0,35.75,53,F3,0.75,0,18,2.0,viola
35.75,35.875,57,A3,0.125,0,18,2.75,viola
35.875,36.0,53,F3,0.125,0,18,2.875,viola
36.0,37.0,50,D3,1.0,0,19,1.0,viola
36.0,37.25,50,D3,1.25,0,19,1.0,viola
37.0,37.25,50,D3,0.25,0,19,2.0,viola
37.25,37.5,65,F4,0.25,0,19,2.25,viola
37.5,37.75,64,E4,0.25,0,19,2.5,viola
37.75,38.0,62,D4,0.25,0,19,2.75,viola
38.0,38.5,69,A4,0.5,0,20,1.0,viola
38.5,39.0,67,G4,0.5,0,20,1.5,viola
39.0,39.5,64,E4,0.5,0,20,2.0,viola
39.5,40.0,69,A4,0.5,0,20,2.5,viola
40.0,40.75,62,D4,0.75,0,21,1.0,viola
41.0,41.75,57,A3,0.75,0,21,2.0,viola
41.0,41.75,69,A4,0.75,0,21,2.0,viola
42.0,42.75,50,D3,0.75,0,22,1.0,viola
42.0,42.75,62,D4,0.75,0,22,1.0,viola
44.0,44.75,55,G3,0.75,0,23,1.0,viola
44.0,44.75,67,G4,0.75,0,23,1.0,viola
45.0,45.75,62,D4,0.75,0,23,2.0,viola
45.0,45.75,62,D4,0.75,0,23,2.0,viola
46.0,46.5,55,G3,0.5,0,24,1.0,viola
46.5,50.5,55,G3,4.0,0,24,1.5,viola
46.5,50.5,67,G4,4.0,0,24,1.5,viola
50.5,51.0,70,B-4,0.5,0,26,1.5,viola
51.0,51.5,70,B-4,0.5,0,26,2.0,viola
51.5,52.0,55,G3,0.5,0,26,2.5,viola
52.0,52.5,55,G3,0.5,0,27,1.0,viola
54.0,54.5,52,E3,0.5,0,28,1.0,viola
54.0,54.5,55,G3,0.5,0,28,1.0,viola
56.0,56.5,57,A3,0.5,0,29,1.0,viola
56.0,56.5,65,F4,0.5,0,29,1.0,viola
56.0,56.5,74,D5,0.5,0,29,1.0,viola
58.0,58.5,57,A3,0.5,0,30,1.0,viola
58.0,58.5,62,D4,0.5,0,30,1.0,viola
60.0,60.5,61,C#4,0.5,0,31,1.0,viola
60.0,60.5,64,E4,0.5,0,31,1.0,viola
61.0,63.0,58,B-3,2.0,0,31,2.0,viola
63.0,65.0,59,B3,2.0,0,32,2.0,viola
65.0,67.25,57,A3,2.25,0,33,2.0,viola
65.0,67.25,69,A4,2.25,0,33,2.0,viola
67.25,67.375,70,B-4,0.125,0,34,2.25,viola
67.375,67.5,69,A4,0.125,0,34,2.375,viola
67.5,67.625,67,G4,0.125,0,34,2.5,viola
67.625,67.75,65,F4,0.125,0,34,2.625,viola
67.75,67.875,64,E4,0.125,0,34,2.75,viola
67.875,68.0,62,D4,0.125,0,34,2.875,viola
68.0,68.125,61,C#4,0.125,0,35,1.0,viola
68.125,68.25,62,D4,0.125,0,35,1.125,viola
68.25,68.375,60,C4,0.125,0,35,1.25,viola
68.375,68.5,58,B-3,0.125,0,35,1.375,viola
68.5,68.625,57,A3,0.125,0,35,1.5,viola
68.625,68.75,55,G3,0.125,0,35,1.625,viola
68.75,68.875,53,F3,0.125,0,35,1.75,viola
68.875,69.0,52,E3,0.125,0,35,1.875,viola
69.0,69.5,50,D3,0.5,0,35,2.0,viola
75.875,76.0,57,A3,0.125,0,38,2.875,viola
76.0,77.0,50,D3,1.0,0,39,1.0,viola
83.875,84.0,57,A3,0.125,0,42,2.875,viola
84.0,85.0,50,D3,1.0,0,43,1.0,viola
91.875,92.0,57,A3,0.125,0,46,2.875,viola
92.0,93.0,50,D3,1.0,0,47,1.0,viola
95.25,95.5,57,A3,0.25,0,48,2.25,viola
95.5,95.75,57,A3,0.25,0,48,2.5,viola
95.75,96.0,50,D3,0.25,0,48,2.75,viola
97.25,97.5,74,D5,0.25,0,49,2.25,viola
97.5,97.75,74,D5,0.25,0,49,2.5,viola
97.75,98.0,62,D4,0.25,0,49,2.75,viola
98.0,98.25,62,D4,0.25,0,50,1.0,viola
98.25,98.5,50,D3,0.25,0,50,1.25,viola
98.5,98.75,50,D3,0.25,0,50,1.5,viola
98.75,99.0,62,D4,0.25,0,50,1.75,viola
99.0,99.25,50,D3,0.25,0,50,2.0,viola
99.25,99.5,62,D4,0.25,0,50,2.25,viola
99.5,99.75,50,D3,0.25,0,50,2.5,viola
99.875,100.0,70,B-4,0.125,0,50,2.875,viola
100.0,101.875,65,F4,1.875,0,51,1.0,viola
101.875,102.0,62,D4,0.125,0,51,2.875,viola
102.0,102.875,58,B-3,0.875,0,52,1.0,viola
102.875,103.0,53,F3,0.125,0,52,1.875,viola
103.0,103.75,50,D3,0.75,0,52,2.0,viola
103.75,103.875,65,F4,0.125,0,52,2.75,viola
103.875,104.0,62,D4,0.125,0,52,2.875,viola
104.0,105.25,58,B-3,1.25,0,53,1.0,viola
105.25,105.5,62,D4,0.25,0,53,2.25,viola
105.5,105.75,60,C4,0.25,0,53,2.5,viola
105.75,106.0,58,B-3,0.25,0,53,2.75,viola
106.0,106.5,65,F4,0.5,0,54,1.0,viola
106.5,107.0,63,E-4,0.5,0,54,1.5,viola
107.0,107.5,60,C4,0.5,0,54,2.0,viola
107.5,108.0,65,F4,0.5,0,54,2.5,viola
108.0,108.5,62,D4,0.5,0,55,1.0,viola
109.25,109.5,65,F4,0.25,0,55,2.25,viola
109.5,109.75,63,E-4,0.25,0,55,2.5,viola
109.75,110.0,62,D4,0.25,0,55,2.75,viola
110.0,110.5,70,B-4,0.5,0,56,1.0,viola
112.0,112.5,64,E4,0.5,0,57,1.0,viola
113.25,113.5,67,G4,0.25,0,57,2.25,viola
113.5,113.75,65,F4,0.25,0,57,2.5,viola
113.75,114.0,64,E4,0.25,0,57,2.75,viola
114.0,114.5,73,C#5,0.5,0,58,1.0,viola
116.0,116.5,65,F4,0.5,0,59,1.0,viola
117.25,117.5,69,A4,0.25,0,59,2.25,viola
117.5,117.75,67,G4,0.25,0,59,2.5,viola
117.75,118.0,65,F4,0.25,0,59,2.75,viola
118.0,118.5,74,D5,0.5,0,60,1.0,viola
119.25,119.5,69,A4,0.25,0,60,2.25,viola
119.5,119.75,67,G4,0.25,0,60,2.5,viola
119.75,120.0,66,F#4,0.25,0,60,2.75,viola
120.0,120.5,74,D5,0.5,0,61,1.0,viola
121.25,121.5,70,B-4,0.25,0,61,2.25,viola
121.5,121.75,69,A4,0.25,0,61,2.5,viola
121.75,122.0,67,G4,0.25,0,61,2.75,viola
122.0,122.25,74,D5,0.25,0,62,1.0,viola
122.25,122.5,58,B-3,0.25,0,62,1.25,viola
122.5,122.75,57,A3,0.25,0,62,1.5,viola
122.75,123.0,55,G3,0.25,0,62,1.75,viola
123.0,123.25,59,B3,0.25,0,62,2.0,viola
123.0,123.25,62,D4,0.25,0,62,2.0,viola
123.25,123.5,59,B3,0.25,0,62,2.25,viola
123.25,123.5,62,D4,0.25,0,62,2.25,viola
123.5,123.75,59,B3,0.25,0,62,2.5,viola
123.5,123.75,62,D4,0.25,0,62,2.5,viola
123.75,124.0,59,B3,0.25,0,62,2.75,viola
123.75,124.0,62,D4,0.25,0,62,2.75,viola
124.0,124.25,57,A3,0.25,0,63,1.0,viola
124.0,124.25,69,A4,0.25,0,63,1.0,viola
124.25,124.5,57,A3,0.25,0,63,1.25,viola
124.5,124.75,58,B-3,0.25,0,63,1.5,viola
124.75,125.0,57,A3,0.25,0,63,1.75,viola
125.0,125.25,58,B-3,0.25,0,63,2.0,viola
125.25,125.5,57,A3,0.25,0,63,2.25,viola
125.5,125.75,58,B-3,0.25,0,63,2.5,viola
125.75,126.0,57,A3,0.25,0,63,2.75,viola
126.0,126.5,69,A4,0.5,0,64,1.0,viola
126.5,127.0,70,B-4,0.5,0,64,1.5,viola
127.0,127.5,73,C#5,0.5,0,64,2.0,viola
127.5,128.0,74,D5,0.5,0,64,2.5,viola
128.0,128.5,76,E5,0.5,0,65,1.0,viola
128.5,129.0,74,D5,0.5,0,65,1.5,viola
129.0,129.5,73,C#5,0.5,0,65,2.0,viola
129.5,130.0,74,D5,0.5,0,65,2.5,viola
130.0,130.75,57,A3,0.75,0,66,1.0,viola
130.0,130.75,67,G4,0.75,0,66,1.0,viola
130.0,130.75,76,E5,0.75,0,66,1.0,viola
131.0,131.75,57,A3,0.75,0,66,2.0,viola
131.0,131.75,65,F4,0.75,0,66,2.0,viola
131.0,131.75,74,D5,0.75,0,66,2.0,viola
132.0,134.0,57,A3,2.0,0,67,1.0,viola
134.0,134.5,55,G3,0.5,0,68,1.0,viola
134.5,135.0,53,F3,0.5,0,68,1.5,viola
135.0,135.5,52,E3,0.5,0,68,2.0,viola
135.5,136.0,50,D3,0.5,0,68,2.5,viola
136.0,136.5,49,C#3,0.5,0,69,1.0,viola
136.5,137.0,50,D3,0.5,0,69,1.5,viola
137.0,137.5,52,E3,0.5,0,69,2.0,viola
137.5,138.0,53,F3,0.5,0,69,2.5,viola
138.0,138.75,55,G3,0.75,0,70,1.0,viola
139.0,139.75,55,G3,0.75,0,70,2.0,viola
139.0,139.75,67,G4,0.75,0,70,2.0,viola
140.0,140.75,55,G3,0.75,0,71,1.0,viola
140.0,140.75,67,G4,0.75,0,71,1.0,viola
141.0,141.75,55,G3,0.75,0,71,2.0,viola
141.0,141.75,67,G4,0.75,0,71,2.0,viola
142.0,142.75,55,G3,0.75,0,72,1.0,viola
142.0,142.75,67,G4,0.75,0,72,1.0,viola
143.0,143.75,72,C5,0.75,0,72,2.0,viola
144.0,144.25,72,C5,0.25,0,73,1.0,viola
144.25,144.5,69,A4,0.25,0,73,1.25,viola
144.5,144.75,72,C5,0.25,0,73,1.5,viola
144.75,145.0,69,A4,0.25,0,73,1.75,viola
145.0,145.25,72,C5,0.25,0,73,2.0,viola
145.25,145.5,69,A4,0.25,0,73,2.25,viola
145.5,145.75,72,C5,0.25,0,73,2.5,viola
145.75,146.0,69,A4,0.25,0,73,2.75,viola
146.0,146.5,69,A4,0.5,0,74,1.0,viola
146.5,146.75,53,F3,0.25,0,74,1.5,viola
146.5,146.75,57,A3,0.25,0,74,1.5,viola
146.75,147.0,53,F3,0.25,0,74,1.75,viola
146.75,147.0,57,A3,0.25,0,74,1.75,viola
147.0,147.5,53,F3,0.5,0,74,2.0,viola
147.0,147.5,57,A3,0.5,0,74,2.0,viola
150.5,150.75,53,F3,0.25,0,76,1.5,viola
150.75,151.0,53,F3,0.25,0,76,1.75,viola
