onset,offset,role
26,32,harm
31,40,mel
40,46,rhythm+harm
46,61,mel
61,70,rhythm+harm
94,100,harm
99,124,mel
124,134,rhythm
134,140,mel
140,146,rhythm+harm
146,158,mel
158,174,mel
174,184,mel+harm
185,188,mel
188,190,rhythm
190,202,mel
202,206,rhythm+harm
206,210,harm
210,214,rhythm+harm
218,226,harm
226,230,rhythm+harm
230,238,mel
238,258,mel
258,262,rhythm
262,275,rhythm+harm
277,284,rhythm
285,290,mel
290,294,mel+harm
294,298,rhythm+harm
298,320,mel
339,356,harm
355,362,mel
362,374,mel+harm
374,382,mel
382,394,mel+harm
394,398,rhythm
397,403,mel
402,406,rhythm
406,410,mel
410,418,mel
418,430,mel+harm
430,434,mel
434,446,mel
445,455,rhythm
455,463,rhythm+harm
470,502,mel
504,516,mel
525,532,mel
532,540,rhythm
540,547,mel+harm
547,556,rhythm
565,572,rhythm
572,580,harm
580,584,mel
584,588,harm
588,592,mel
592,600,mel
600,632,harm
632,636,mel
636,640,harm
640,644,mel
644,656,rhythm+harm
656,677,mel
679,681,mel+harm
684,698,mel
700,706,mel
706,716,mel+harm
716,722,mel
722,724,rhythm+harm
727,736,mel
736,740,rhythm+harm
740,744,harm
744,748,mel
752,760,harm
760,764,mel
764,772,mel
772,796,mel
796,800,rhythm
800,813,rhythm+harm
814,816,mel+harm
820,824,mel
826,832,mel+harm
832,836,rhythm
836,852,mel
852,904,mel
904,910,mel
910,912,rhythm+harm
912,916,mel
916,924,mel
924,937,rhythm+harm
942,953,mel
960,964,mel
968,970,mel
976,978,mel
988,994,mel
994,996,rhythm+harm
1000,1006,mel
1006,1008,rhythm+harm
1010,1016,mel+harm
1016,1020,mel
1024,1060,mel
1060,1068,mel
1068,1076,rhythm+harm
1076,1094,mel
