onset,offset,role
31,40,rhythm
40,46,rhythm+harm
52,61,rhythm
61,70,rhythm+harm
99,112,rhythm
116,124,rhythm
126,138,rhythm
144,147,rhythm+harm
188,190,rhythm+harm
202,204,rhythm+harm
210,214,rhythm+harm
238,258,rhythm
258,262,rhythm
262,275,rhythm+harm
282,284,rhythm
293,298,rhythm
298,320,rhythm
331,332,rhythm
339,340,rhythm
347,348,rhythm
355,383,rhythm
394,418,rhythm
445,455,rhythm
470,505,rhythm
546,548,rhythm
566,567,rhythm
572,584,rhythm
592,600,rhythm
600,632,rhythm
632,644,rhythm
644,677,rhythm
678,690,rhythm
716,722,rhythm
722,728,rhythm
734,736,rhythm
736,740,rhythm+harm
743,746,rhythm+harm
772,800,rhythm
800,813,rhythm
815,826,rhythm
832,836,rhythm
836,853,rhythm
904,912,rhythm
912,924,rhythm
924,936,rhythm+harm
936,994,rhythm
994,996,rhythm+harm
996,1008,rhythm
1024,1060,rhythm
1060,1076,rhythm
1076,1094,rhythm
