onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
15.0,16.5,62,D4,1.5,0,6,1.0,horn2
16.5,17.0,50,D3,0.5,0,6,2.5,horn2
17.0,18.0,50,D3,1.0,0,6,3.0,horn2
72.0,73.0,45,A2,1.0,0,25,1.0,horn2
75.0,76.0,38,D2,1.0,0,26,1.0,horn2
93.0,94.0,45,A2,1.0,0,32,1.0,horn2
96.0,97.0,45,A2,1.0,0,33,1.0,horn2
99.0,100.0,45,A2,1.0,0,34,1.0,horn2
102.0,103.0,45,A2,1.0,0,35,1.0,horn2
105.0,106.0,45,A2,1.0,0,36,1.0,horn2
108.0,109.0,45,A2,1.0,0,37,1.0,horn2
111.0,112.0,45,A2,1.0,0,38,1.0,horn2
114.0,115.0,45,A2,1.0,0,39,1.0,horn2
117.0,118.0,45,A2,1.0,0,40,1.0,horn2
122.0,123.0,45,A2,1.0,0,41,3.0,horn2
125.0,126.0,45,A2,1.0,0,42,3.0,horn2
128.0,129.0,45,A2,1.0,0,43,3.0,horn2
131.0,132.0,45,A2,1.0,0,44,3.0,horn2
132.0,168.0,45,A2,36.0,0,45,1.0,horn2
168.0,169.0,57,A3,1.0,0,57,1.0,horn2
169.0,170.0,57,A3,1.0,0,57,2.0,horn2
170.0,171.0,57,A3,1.0,0,57,3.0,horn2
171.0,172.0,57,A3,1.0,0,58,1.0,horn2
172.0,173.0,57,A3,1.0,0,58,2.0,horn2
173.0,174.0,57,A3,1.0,0,58,3.0,horn2
177.0,178.0,57,A3,1.0,0,60,1.0,horn2
178.0,179.0,57,A3,1.0,0,60,2.0,horn2
179.0,180.0,57,A3,1.0,0,60,3.0,horn2
180.0,181.0,50,D3,1.0,0,61,1.0,horn2
181.0,182.0,50,D3,1.0,0,61,2.0,horn2
182.0,183.0,50,D3,1.0,0,61,3.0,horn2
183.0,184.0,50,D3,1.0,0,62,1.0,horn2
184.0,185.0,57,A3,1.0,0,62,2.0,horn2
185.0,186.0,57,A3,1.0,0,62,3.0,horn2
186.0,187.0,57,A3,1.0,0,63,1.0,horn2
187.0,188.0,57,A3,1.0,0,63,2.0,horn2
188.0,189.0,57,A3,1.0,0,63,3.0,horn2
189.0,190.0,57,A3,1.0,0,64,1.0,horn2
190.0,191.0,62,D4,1.0,0,64,2.0,horn2
191.0,192.0,62,D4,1.0,0,64,3.0,horn2
192.0,193.0,57,A3,1.0,0,65,1.0,horn2
193.0,194.0,57,A3,1.0,0,65,2.0,horn2
194.0,195.0,57,A3,1.0,0,65,3.0,horn2
195.0,196.0,57,A3,1.0,0,66,1.0,horn2
196.0,197.0,57,A3,1.0,0,66,2.0,horn2
197.0,198.0,57,A3,1.0,0,66,3.0,horn2
198.0,199.0,57,A3,1.0,0,67,1.0,horn2
199.0,200.0,65,F4,1.0,0,67,2.0,horn2
200.0,201.0,65,F4,1.0,0,67,3.0,horn2
201.0,202.0,65,F4,1.0,0,68,1.0,horn2
202.0,203.0,65,F4,1.0,0,68,2.0,horn2
203.0,204.0,65,F4,1.0,0,68,3.0,horn2
204.0,205.0,64,E4,1.0,0,69,1.0,horn2
205.0,206.0,67,G4,1.0,0,69,2.0,horn2
206.0,207.0,67,G4,1.0,0,69,3.0,horn2
207.0,208.0,67,G4,1.0,0,70,1.0,horn2
