onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
12.0,13.5,53,F3,1.5,0,5,1.0,timpani
13.5,14.0,41,F2,0.5,0,5,2.5,timpani
14.0,15.0,41,F2,1.0,0,5,3.0,timpani
168.0,169.0,53,F3,1.0,0,57,1.0,timpani
171.0,172.0,53,F3,1.0,0,58,1.0,timpani
177.0,178.0,53,F3,1.0,0,60,1.0,timpani
183.0,184.0,53,F3,1.0,0,62,1.0,timpani
189.0,190.0,53,F3,1.0,0,64,1.0,timpani
195.0,196.0,53,F3,1.0,0,66,1.0,timpani
201.0,202.0,53,F3,1.0,0,68,1.0,timpani
203.0,204.0,53,F3,1.0,0,68,3.0,timpani
204.0,205.0,53,F3,1.0,0,69,1.0,timpani
214.0,215.0,53,F3,1.0,0,72,2.0,timpani
215.0,216.0,53,F3,1.0,0,72,3.0,timpani
216.0,217.0,53,F3,1.0,0,73,1.0,timpani
330.0,331.5,53,F3,1.5,0,111,1.0,timpani
331.5,332.0,41,F2,0.5,0,111,2.5,timpani
332.0,333.0,41,F2,1.0,0,111,3.0,timpani
333.0,334.0,53,F3,1.0,0,112,1.0,timpani
594.0,595.0,53,F3,1.0,0,199,1.0,timpani
597.0,598.0,53,F3,1.0,0,200,1.0,timpani
603.0,604.0,53,F3,1.0,0,202,1.0,timpani
609.0,610.0,53,F3,1.0,0,204,1.0,timpani
615.0,616.0,53,F3,1.0,0,206,1.0,timpani
621.0,622.0,53,F3,1.0,0,208,1.0,timpani
627.0,628.0,53,F3,1.0,0,210,1.0,timpani
629.0,630.0,53,F3,1.0,0,210,3.0,timpani
630.0,631.0,53,F3,1.0,0,211,1.0,timpani
640.0,641.0,53,F3,1.0,0,214,2.0,timpani
641.0,642.0,53,F3,1.0,0,214,3.0,timpani
642.0,643.0,53,F3,1.0,0,215,1.0,timpani
756.0,757.5,53,F3,1.5,0,253,1.0,timpani
757.5,758.0,41,F2,0.5,0,253,2.5,timpani
758.0,759.0,41,F2,1.0,0,253,3.0,timpani
759.0,760.0,53,F3,1.0,0,254,1.0,timpani
1008.0,1009.5,53,F3,1.5,0,337,1.0,timpani
1009.5,1010.0,41,F2,0.5,0,337,2.5,timpani
1010.0,1011.0,41,F2,1.0,0,337,3.0,timpani
1017.0,1018.5,53,F3,1.5,0,340,1.0,timpani
1018.5,1019.0,41,F2,0.5,0,340,2.5,timpani
