onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
3048.0,3052.0,62,D4,4.0,0,961,2.0,trombone1
3052.0,3054.0,64,E4,2.0,0,962,2.0,trombone1
3054.0,3056.0,66,F#4,2.0,0,963,1.0,trombone1
3056.0,3058.0,66,F#4,2.0,0,963,2.0,trombone1
3058.0,3060.0,64,E4,2.0,0,964,1.0,trombone1
3060.0,3062.0,64,E4,2.0,0,964,2.0,trombone1
3062.0,3064.0,66,F#4,2.0,0,965,1.0,trombone1
3064.0,3066.0,66,F#4,2.0,0,965,2.0,trombone1
3066.0,3068.0,64,E4,2.0,0,966,1.0,trombone1
3068.0,3070.0,64,E4,2.0,0,966,2.0,trombone1
3070.0,3071.0,66,F#4,1.0,0,967,1.0,trombone1
3096.0,3100.0,66,F#4,4.0,0,973,2.0,trombone1
3100.0,3102.0,67,G4,2.0,0,974,2.0,trombone1
3102.0,3104.0,69,A4,2.0,0,975,1.0,trombone1
3104.0,3106.0,69,A4,2.0,0,975,2.0,trombone1
3106.0,3108.0,69,A4,2.0,0,976,1.0,trombone1
3108.0,3110.0,69,A4,2.0,0,976,2.0,trombone1
3110.0,3112.0,69,A4,2.0,0,977,1.0,trombone1
3112.0,3114.0,69,A4,2.0,0,977,2.0,trombone1
3114.0,3116.0,69,A4,2.0,0,978,1.0,trombone1
3116.0,3118.0,69,A4,2.0,0,978,2.0,trombone1
3118.0,3120.0,69,A4,2.0,0,979,1.0,trombone1
3120.0,3122.0,69,A4,2.0,0,979,2.0,trombone1
3122.0,3124.0,69,A4,2.0,0,980,1.0,trombone1
3124.0,3126.0,69,A4,2.0,0,980,2.0,trombone1
3126.0,3128.0,69,A4,2.0,0,981,1.0,trombone1
3128.0,3130.0,69,A4,2.0,0,981,2.0,trombone1
3130.0,3132.0,69,A4,2.0,0,982,1.0,trombone1
3132.0,3134.0,69,A4,2.0,0,982,2.0,trombone1
3134.0,3136.0,69,A4,2.0,0,983,1.0,trombone1
3142.0,3144.0,62,D4,2.0,0,985,1.0,trombone1
3150.0,3152.0,62,D4,2.0,0,987,1.0,trombone1
3158.0,3160.0,62,D4,2.0,0,989,1.0,trombone1
