onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
3.5,4.0,79,G5,0.5,0,1,4.5,clarinet1
4.0,5.0,77,F5,1.0,0,2,1.0,clarinet1
5.0,7.5,75,E-5,2.5,0,2,2.0,clarinet1
7.5,8.0,74,D5,0.5,0,2,4.5,clarinet1
8.0,9.0,74,D5,1.0,0,3,1.0,clarinet1
23.5,24.0,72,C5,0.5,0,6,4.5,clarinet1
24.0,25.0,74,D5,1.0,0,7,1.0,clarinet1
25.0,25.5,77,F5,0.5,0,7,2.0,clarinet1
25.5,26.0,75,E-5,0.5,0,7,2.5,clarinet1
26.0,27.0,72,C5,1.0,0,7,3.0,clarinet1
43.0,43.5,72,C5,0.5,0,11,4.0,clarinet1
43.5,44.0,73,C#5,0.5,0,11,4.5,clarinet1
44.0,45.5,73,C#5,1.5,0,12,1.0,clarinet1
45.5,46.0,74,D5,0.5,0,12,2.5,clarinet1
46.0,47.0,74,D5,1.0,0,12,3.0,clarinet1
55.0,55.5,74,D5,0.5,0,14,4.0,clarinet1
55.5,56.0,77,F5,0.5,0,14,4.5,clarinet1
56.0,57.0,77,F5,1.0,0,15,1.0,clarinet1
57.0,58.5,75,E-5,1.5,0,15,2.0,clarinet1
58.5,59.0,74,D5,0.5,0,15,3.5,clarinet1
71.0,71.5,75,E-5,0.5,0,18,4.0,clarinet1
71.5,72.0,72,C5,0.5,0,18,4.5,clarinet1
72.0,73.5,72,C5,1.5,0,19,1.0,clarinet1
73.5,74.0,74,D5,0.5,0,19,2.5,clarinet1
74.0,75.0,70,B-4,1.0,0,19,3.0,clarinet1
75.0,75.5,74,D5,0.5,0,19,4.0,clarinet1
75.5,76.0,75,E-5,0.5,0,19,4.5,clarinet1
76.0,77.5,75,E-5,1.5,0,20,1.0,clarinet1
77.5,78.0,77,F5,0.5,0,20,2.5,clarinet1
78.0,78.5,75,E-5,0.5,0,20,3.0,clarinet1
78.5,79.0,74,D5,0.5,0,20,3.5,clarinet1
79.0,80.0,79,G5,1.0,0,20,4.0,clarinet1
80.0,82.5,79,G5,2.5,0,21,1.0,clarinet1
82.5,83.0,79,G5,0.5,0,21,3.5,clarinet1
83.0,83.5,81,A5,0.5,0,21,4.0,clarinet1
83.5,84.0,82,B-5,0.5,0,21,4.5,clarinet1
84.0,85.5,82,B-5,1.5,0,22,1.0,clarinet1
85.5,86.0,74,D5,0.5,0,22,2.5,clarinet1
86.0,87.0,77,F5,1.0,0,22,3.0,clarinet1
87.0,87.5,75,E-5,0.5,0,22,4.0,clarinet1
87.5,88.0,72,C5,0.5,0,22,4.5,clarinet1
88.0,91.0,75,E-5,3.0,0,23,1.0,clarinet1
91.0,94.0,74,D5,3.0,0,23,4.0,clarinet1
94.0,95.5,74,D5,1.5,0,24,3.0,clarinet1
95.5,96.5,66,F#4,1.0,0,24,4.5,clarinet1
96.5,97.0,64,E4,0.5,0,25,1.5,clarinet1
104.5,106.0,67,G4,1.5,0,27,3.5,clarinet1
106.0,106.5,66,F#4,0.5,0,28,2.0,clarinet1
117.0,118.5,67,G4,1.5,0,32,1.0,clarinet1
118.5,119.0,64,E4,0.5,0,32,2.5,clarinet1
119.0,119.5,62,D4,0.5,0,32,3.0,clarinet1
119.5,143.5,69,A4,24.0,0,32,3.5,clarinet1
143.5,144.0,74,D5,0.5,0,40,3.5,clarinet1
144.0,145.5,76,E5,1.5,0,41,1.0,clarinet1
145.5,146.0,67,G4,0.5,0,41,2.5,clarinet1
146.0,149.0,65,F4,3.0,0,41,3.0,clarinet1
149.0,150.0,63,E-4,1.0,0,42,3.0,clarinet1
150.0,151.0,62,D4,1.0,0,43,1.0,clarinet1
151.0,153.0,65,F4,2.0,0,43,2.0,clarinet1
153.0,154.0,69,A4,1.0,0,43,4.0,clarinet1
154.0,155.0,70,B-4,1.0,0,44,1.0,clarinet1
155.0,157.5,65,F4,2.5,0,44,2.0,clarinet1
157.5,158.0,63,E-4,0.5,0,44,4.5,clarinet1
158.0,159.0,62,D4,1.0,0,45,1.0,clarinet1
159.0,160.0,65,F4,1.0,0,45,2.0,clarinet1
160.0,164.5,70,B-4,4.5,0,45,3.0,clarinet1
164.5,165.0,69,A4,0.5,0,46,3.5,clarinet1
165.0,165.5,79,G5,0.5,0,46,4.0,clarinet1
165.5,165.75,77,F5,0.25,0,46,4.5,clarinet1
165.75,166.0,75,E-5,0.25,0,46,4.75,clarinet1
166.0,167.0,74,D5,1.0,0,47,1.0,clarinet1
167.0,167.5,77,F5,0.5,0,47,2.0,clarinet1
167.5,168.0,75,E-5,0.5,0,47,2.5,clarinet1
168.0,169.0,72,C5,1.0,0,47,3.0,clarinet1
171.0,173.0,65,F4,2.0,0,48,2.0,clarinet1
173.0,174.0,70,B-4,1.0,0,48,4.0,clarinet1
174.0,176.0,72,C5,2.0,0,49,1.0,clarinet1
176.0,181.0,70,B-4,5.0,0,49,3.0,clarinet1
181.0,182.0,69,A4,1.0,0,50,4.0,clarinet1
182.0,183.5,69,A4,1.5,0,51,1.0,clarinet1
183.5,184.0,70,B-4,0.5,0,51,2.5,clarinet1
184.0,185.0,70,B-4,1.0,0,51,3.0,clarinet1
185.0,185.5,72,C5,0.5,0,51,4.0,clarinet1
185.5,186.0,73,C#5,0.5,0,51,4.5,clarinet1
186.0,187.5,73,C#5,1.5,0,52,1.0,clarinet1
187.5,188.0,74,D5,0.5,0,52,2.5,clarinet1
188.0,189.0,74,D5,1.0,0,52,3.0,clarinet1
189.0,190.0,65,F4,1.0,0,52,4.0,clarinet1
190.0,191.0,67,G4,1.0,0,53,1.0,clarinet1
191.0,192.0,69,A4,1.0,0,53,2.0,clarinet1
192.0,193.0,70,B-4,1.0,0,53,3.0,clarinet1
193.0,194.0,65,F4,1.0,0,53,4.0,clarinet1
194.0,195.0,67,G4,1.0,0,54,1.0,clarinet1
195.0,197.0,69,A4,2.0,0,54,2.0,clarinet1
197.0,197.5,70,B-4,0.5,0,54,4.0,clarinet1
197.5,198.0,77,F5,0.5,0,54,4.5,clarinet1
198.0,199.0,77,F5,1.0,0,55,1.0,clarinet1
199.0,199.5,75,E-5,0.5,0,55,2.0,clarinet1
199.5,199.75,79,G5,0.25,0,55,2.5,clarinet1
199.75,200.0,75,E-5,0.25,0,55,2.75,clarinet1
200.0,200.5,75,E-5,0.5,0,55,3.0,clarinet1
200.5,201.0,74,D5,0.5,0,55,3.5,clarinet1
202.0,205.0,70,B-4,3.0,0,56,1.0,clarinet1
205.0,206.5,72,C5,1.5,0,56,4.0,clarinet1
206.5,209.0,74,D5,2.5,0,57,1.5,clarinet1
209.0,209.5,72,C5,0.5,0,57,4.0,clarinet1
209.5,210.0,63,E-4,0.5,0,57,4.5,clarinet1
210.0,211.5,63,E-4,1.5,0,58,1.0,clarinet1
211.5,212.0,62,D4,0.5,0,58,2.5,clarinet1
212.0,213.0,62,D4,1.0,0,58,3.0,clarinet1
213.0,213.5,75,E-5,0.5,0,58,4.0,clarinet1
213.5,214.0,72,C5,0.5,0,58,4.5,clarinet1
214.0,215.5,72,C5,1.5,0,59,1.0,clarinet1
215.5,216.0,74,D5,0.5,0,59,2.5,clarinet1
216.0,217.0,70,B-4,1.0,0,59,3.0,clarinet1
217.0,217.5,74,D5,0.5,0,59,4.0,clarinet1
217.5,218.0,75,E-5,0.5,0,59,4.5,clarinet1
218.0,219.5,75,E-5,1.5,0,60,1.0,clarinet1
219.5,220.0,77,F5,0.5,0,60,2.5,clarinet1
220.0,220.5,75,E-5,0.5,0,60,3.0,clarinet1
220.5,221.0,74,D5,0.5,0,60,3.5,clarinet1
221.0,222.0,79,G5,1.0,0,60,4.0,clarinet1
222.0,224.5,79,G5,2.5,0,61,1.0,clarinet1
224.5,225.0,79,G5,0.5,0,61,3.5,clarinet1
225.0,225.5,81,A5,0.5,0,61,4.0,clarinet1
225.5,226.0,82,B-5,0.5,0,61,4.5,clarinet1
226.0,227.5,82,B-5,1.5,0,62,1.0,clarinet1
227.5,228.0,74,D5,0.5,0,62,2.5,clarinet1
228.0,229.0,77,F5,1.0,0,62,3.0,clarinet1
229.0,229.5,75,E-5,0.5,0,62,4.0,clarinet1
229.5,230.0,72,C5,0.5,0,62,4.5,clarinet1
230.0,233.0,75,E-5,3.0,0,63,1.0,clarinet1
233.0,237.5,74,D5,4.5,0,63,4.0,clarinet1
237.5,238.5,71,B4,1.0,0,64,4.5,clarinet1
238.5,239.0,69,A4,0.5,0,65,1.5,clarinet1
286.0,287.5,81,A5,1.5,0,81,1.0,clarinet1
287.5,288.0,72,C5,0.5,0,81,2.5,clarinet1
288.0,291.0,70,B-4,3.0,0,81,3.0,clarinet1
291.0,291.5,68,A-4,0.5,0,82,3.0,clarinet1
291.5,292.0,80,A-5,0.5,0,82,3.5,clarinet1
292.0,294.0,79,G5,2.0,0,83,1.0,clarinet1
294.0,296.0,74,D5,2.0,0,83,3.0,clarinet1
296.0,298.0,75,E-5,2.0,0,84,1.0,clarinet1
298.0,299.5,70,B-4,1.5,0,84,3.0,clarinet1
299.5,299.75,68,A-4,0.25,0,84,4.5,clarinet1
299.75,300.0,65,F4,0.25,0,84,4.75,clarinet1
300.0,300.5,63,E-4,0.5,0,85,1.0,clarinet1
300.5,301.0,75,E-5,0.5,0,85,1.5,clarinet1
301.0,302.5,82,B-5,1.5,0,85,2.0,clarinet1
302.5,303.0,82,B-5,0.5,0,85,3.5,clarinet1
303.0,304.5,80,A-5,1.5,0,85,4.0,clarinet1
304.5,305.0,80,A-5,0.5,0,86,1.5,clarinet1
305.0,306.5,79,G5,1.5,0,86,2.0,clarinet1
306.5,307.0,77,F5,0.5,0,86,3.5,clarinet1
307.0,307.5,79,G5,0.5,0,86,4.0,clarinet1
307.5,308.0,80,A-5,0.5,0,86,4.5,clarinet1
308.0,309.5,82,B-5,1.5,0,87,1.0,clarinet1
309.5,310.5,79,G5,1.0,0,87,2.5,clarinet1
310.5,311.0,79,G5,0.5,0,87,3.5,clarinet1
311.0,312.5,77,F5,1.5,0,87,4.0,clarinet1
312.5,313.0,77,F5,0.5,0,88,1.5,clarinet1
313.0,314.5,75,E-5,1.5,0,88,2.0,clarinet1
314.5,315.0,74,D5,0.5,0,88,3.5,clarinet1
315.0,315.5,75,E-5,0.5,0,88,4.0,clarinet1
315.5,316.0,77,F5,0.5,0,88,4.5,clarinet1
316.0,316.5,78,G-5,0.5,0,89,1.0,clarinet1
316.5,317.0,75,E-5,0.5,0,89,1.5,clarinet1
317.0,318.5,82,B-5,1.5,0,89,2.0,clarinet1
318.5,319.0,82,B-5,0.5,0,89,3.5,clarinet1
319.0,320.0,80,A-5,1.0,0,89,4.0,clarinet1
320.0,322.0,78,G-5,2.0,0,90,1.0,clarinet1
322.0,324.0,73,D-5,2.0,0,90,3.0,clarinet1
324.0,326.5,71,C-5,2.5,0,91,1.0,clarinet1
326.5,327.0,70,B-4,0.5,0,91,3.5,clarinet1
327.0,327.5,71,C-5,0.5,0,91,4.0,clarinet1
327.5,328.0,73,D-5,0.5,0,91,4.5,clarinet1
328.0,328.5,73,D-5,0.5,0,92,1.0,clarinet1
328.5,329.0,71,C-5,0.5,0,92,1.5,clarinet1
329.0,330.5,71,C-5,1.5,0,92,2.0,clarinet1
330.5,331.0,73,D-5,0.5,0,92,3.5,clarinet1
331.0,331.5,75,E-5,0.5,0,92,4.0,clarinet1
331.5,332.0,76,F-5,0.5,0,92,4.5,clarinet1
332.0,332.5,76,F-5,0.5,0,93,1.0,clarinet1
332.5,333.0,75,E-5,0.5,0,93,1.5,clarinet1
333.0,333.5,78,G-5,0.5,0,93,2.0,clarinet1
333.5,334.0,71,C-5,0.5,0,93,2.5,clarinet1
334.0,335.0,75,E-5,1.0,0,93,3.0,clarinet1
335.0,336.0,73,D-5,1.0,0,93,4.0,clarinet1
336.0,336.5,80,A-5,0.5,0,94,1.0,clarinet1
336.5,337.0,78,G-5,0.5,0,94,1.5,clarinet1
337.0,337.5,83,C-6,0.5,0,94,2.0,clarinet1
337.5,338.0,75,E-5,0.5,0,94,2.5,clarinet1
338.0,339.0,78,G-5,1.0,0,94,3.0,clarinet1
339.0,340.0,76,F-5,1.0,0,94,4.0,clarinet1
340.0,344.0,76,F-5,4.0,0,95,1.0,clarinet1
344.0,345.0,75,E-5,1.0,0,96,1.0,clarinet1
351.0,353.0,82,B-5,2.0,0,97,4.0,clarinet1
353.0,355.0,82,B-5,2.0,0,98,2.0,clarinet1
355.0,358.5,82,B-5,3.5,0,98,4.0,clarinet1
358.5,359.0,77,F5,0.5,0,99,2.6666666666666665,clarinet1
359.0,360.5,77,F5,1.5,0,99,3.0,clarinet1
360.5,362.0,75,E-5,1.5,0,99,4.0,clarinet1
362.0,365.0,74,D5,3.0,0,100,1.0,clarinet1
365.0,366.5,69,A4,1.5,0,100,3.0,clarinet1
366.5,368.0,72,C5,1.5,0,100,4.0,clarinet1
368.0,369.5,74,D5,1.5,0,101,1.0,clarinet1
369.5,371.0,72,C5,1.5,0,101,2.0,clarinet1
371.0,378.0,70,B-4,7.0,0,101,3.0,clarinet1
378.0,378.5,69,A4,0.5,0,102,3.6666666666666665,clarinet1
378.5,379.0,79,G5,0.5,0,102,4.0,clarinet1
379.0,379.5,77,F5,0.5,0,102,4.333333333333333,clarinet1
379.5,380.0,72,C5,0.5,0,102,4.666666666666667,clarinet1
380.0,381.5,74,D5,1.5,0,103,1.0,clarinet1
381.5,382.5,77,F5,1.0,0,103,2.0,clarinet1
382.5,383.0,75,E-5,0.5,0,103,2.6666666666666665,clarinet1
383.0,384.5,72,C5,1.5,0,103,3.0,clarinet1
384.5,385.5,72,C5,1.0,0,103,4.0,clarinet1
385.5,386.0,69,A4,0.5,0,103,4.666666666666667,clarinet1
386.0,387.5,65,F4,1.5,0,104,1.0,clarinet1
387.5,390.5,65,F4,3.0,0,104,2.0,clarinet1
390.5,392.0,70,B-4,1.5,0,104,4.0,clarinet1
392.0,393.5,72,C5,1.5,0,105,1.0,clarinet1
393.5,396.5,72,C5,3.0,0,105,2.0,clarinet1
396.5,399.5,70,B-4,3.0,0,105,4.0,clarinet1
399.5,402.5,70,B-4,3.0,0,106,2.0,clarinet1
402.5,406.5,69,A4,4.0,0,106,4.0,clarinet1
406.5,407.0,70,B-4,0.5,0,107,2.6666666666666665,clarinet1
407.0,407.5,70,B-4,0.5,0,107,3.0,clarinet1
407.5,408.0,77,F5,0.5,0,107,3.333333333333333,clarinet1
408.0,408.5,74,D5,0.5,0,107,3.6666666666666665,clarinet1
408.5,409.5,72,C5,1.0,0,107,4.0,clarinet1
409.5,410.0,73,C#5,0.5,0,107,4.666666666666667,clarinet1
410.0,412.5,73,C#5,2.5,0,108,1.0,clarinet1
412.5,413.0,74,D5,0.5,0,108,2.6666666666666665,clarinet1
413.0,414.5,74,D5,1.5,0,108,3.0,clarinet1
414.5,416.0,70,B-4,1.5,0,108,4.0,clarinet1
416.0,417.5,67,G4,1.5,0,109,1.0,clarinet1
417.5,419.0,69,A4,1.5,0,109,2.0,clarinet1
419.0,420.5,65,F4,1.5,0,109,3.0,clarinet1
420.5,422.0,70,B-4,1.5,0,109,4.0,clarinet1
422.0,423.5,67,G4,1.5,0,110,1.0,clarinet1
423.5,426.5,69,A4,3.0,0,110,2.0,clarinet1
426.5,427.5,70,B-4,1.0,0,110,4.0,clarinet1
427.5,428.0,77,F5,0.5,0,110,4.666666666666667,clarinet1
428.0,429.75,77,F5,1.75,0,111,1.0,clarinet1
429.75,430.0,75,E-5,0.25,0,111,2.1666666666666665,clarinet1
