onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
257.5,257.75,72,C5,0.25,0,71,2.5,oboe2
257.75,258.0,76,E5,0.25,0,71,2.75,oboe2
258.0,258.25,74,D5,0.25,0,71,3.0,oboe2
258.25,258.5,72,C5,0.25,0,71,3.25,oboe2
258.5,258.75,71,B4,0.25,0,71,3.5,oboe2
258.75,259.0,69,A4,0.25,0,71,3.75,oboe2
259.0,260.5,72,C5,1.5,0,72,1.0,oboe2
260.5,261.0,69,A4,0.5,0,72,2.5,oboe2
261.0,262.0,67,G4,1.0,0,72,3.0,oboe2
283.0,284.5,72,C5,1.5,0,80,1.0,oboe2
284.5,285.0,69,A4,0.5,0,80,2.5,oboe2
285.0,286.0,67,G4,1.0,0,80,3.0,oboe2
287.0,287.5,72,C5,0.5,0,81,2.0,oboe2
287.5,288.0,81,A5,0.5,0,81,2.5,oboe2
288.0,291.0,79,G5,3.0,0,81,3.0,oboe2
291.0,291.5,77,F5,0.5,0,82,3.0,oboe2
363.5,367.5,65,F4,4.0,0,100,2.0,oboe2
367.5,368.0,63,E-4,0.5,0,100,4.666666666666667,oboe2
368.0,369.5,62,D4,1.5,0,101,1.0,oboe2
369.5,371.0,65,F4,1.5,0,101,2.0,oboe2
371.0,372.0,70,B-4,1.0,0,101,3.0,oboe2
438.0,438.5,67,G4,0.5,0,112,3.6666666666666665,oboe2
438.5,439.0,67,G4,0.5,0,112,4.0,oboe2
439.0,439.5,69,A4,0.5,0,112,4.333333333333333,oboe2
439.5,440.0,70,B-4,0.5,0,112,4.666666666666667,oboe2
440.0,442.5,70,B-4,2.5,0,113,1.0,oboe2
490.5,490.75,63,E-4,0.25,0,121,2.6666666666666665,oboe2
490.75,491.0,63,E-4,0.25,0,121,2.833333333333333,oboe2
491.0,492.0,70,B-4,1.0,0,121,3.0,oboe2
493.5,493.75,70,B-4,0.25,0,121,4.666666666666667,oboe2
493.75,494.0,70,B-4,0.25,0,121,4.833333333333333,oboe2
494.0,494.5,79,G5,0.5,0,122,1.0,oboe2
495.0,495.25,79,G5,0.25,0,122,1.6666666666666667,oboe2
495.25,495.5,79,G5,0.25,0,122,1.8333333333333333,oboe2
495.5,496.0,77,F5,0.5,0,122,2.0,oboe2
496.5,496.75,77,F5,0.25,0,122,2.6666666666666665,oboe2
496.75,497.0,77,F5,0.25,0,122,2.833333333333333,oboe2
497.0,498.0,77,F5,1.0,0,122,3.0,oboe2
550.5,550.75,63,E-4,0.25,0,131,2.6666666666666665,oboe2
550.75,551.0,63,E-4,0.25,0,131,2.833333333333333,oboe2
551.0,552.0,70,B-4,1.0,0,131,3.0,oboe2
553.5,553.75,70,B-4,0.25,0,131,4.666666666666667,oboe2
553.75,554.0,70,B-4,0.25,0,131,4.833333333333333,oboe2
554.0,554.5,79,G5,0.5,0,132,1.0,oboe2
555.0,555.25,79,G5,0.25,0,132,1.6666666666666667,oboe2
555.25,555.5,79,G5,0.25,0,132,1.8333333333333333,oboe2
555.5,556.0,77,F5,0.5,0,132,2.0,oboe2
556.5,556.75,77,F5,0.25,0,132,2.6666666666666665,oboe2
556.75,557.0,77,F5,0.25,0,132,2.833333333333333,oboe2
557.0,558.0,77,F5,1.0,0,132,3.0,oboe2
645.5,646.5,72,C5,1.0,0,147,2.0,oboe2
647.0,648.0,75,E-5,1.0,0,147,3.0,oboe2
648.5,649.5,75,E-5,1.0,0,147,4.0,oboe2
650.0,651.0,75,E-5,1.0,0,148,1.0,oboe2
651.5,652.5,75,E-5,1.0,0,148,2.0,oboe2
653.0,654.0,75,E-5,1.0,0,148,3.0,oboe2
654.5,655.5,75,E-5,1.0,0,148,4.0,oboe2
656.0,657.0,74,D5,1.0,0,149,1.0,oboe2
657.5,658.5,79,G5,1.0,0,149,2.0,oboe2
659.0,660.0,74,D5,1.0,0,149,3.0,oboe2
660.5,661.5,81,A5,1.0,0,149,4.0,oboe2
662.0,663.0,74,D5,1.0,0,150,1.0,oboe2
663.5,664.5,79,G5,1.0,0,150,2.0,oboe2
665.0,666.0,74,D5,1.0,0,150,3.0,oboe2
666.5,667.5,81,A5,1.0,0,150,4.0,oboe2
667.5,668.0,81,A5,0.5,0,150,4.666666666666667,oboe2
671.0,672.0,74,D5,1.0,0,151,3.0,oboe2
705.5,706.5,72,C5,1.0,0,157,2.0,oboe2
707.0,707.5,74,D5,0.5,0,157,3.0,oboe2
707.5,708.0,74,D5,0.5,0,157,3.333333333333333,oboe2
708.0,708.5,74,D5,0.5,0,157,3.6666666666666665,oboe2
708.5,709.5,74,D5,1.0,0,157,4.0,oboe2
