phrase onset,phrase offset,section,theme
-1,23,intro,intro
23,87,intro,recitativo
87,133,intro,mvt1
133,178,intro,mvt2
178,222,intro,mvt3
222,270,intro,theme1
270,366,section1,theme1
366,462,section1,variation1
462,558,section1,variation2
558,652,section1,variation3
652,714,section1,transition
714,734,section1,transition
734,800,section2,intro
800,821,section2,intro
821,837,section2,intro
837,932.5,section2,variation4
932.5,949,section2,transition
949,1043.5,section2,variation5
1043.5,1077.5,section2,transition
1077.5,1155.5,section2,variation6
1155.5,1197,section2,transition
1197,1233,section3,intro
1233,1329,section3,variation7
1329,1473,section3,variation7
1473,1497,section3,transition
1497,1611,section3,variation8
1611,1755,section3,variation8
1755,1791,section3,transition
1791,1974,section3,variation9
1974,1997,section3,transition
1997,2094,interlude,theme2
2094,2190,interlude,theme2
2190,2310,interlude,theme2
2310,2359,interlude,transition
2359,2589,interlude,variation10
2589,2745,interlude,variation10
2745,2811,interlude,variation10
2811,3009,interlude,transition
3009,3089,coda,section1
3089,3161,coda,section1
3161,3213,coda,section1
3213,3285,coda,section1
3285,3322.5,coda,section1
3322.5,3329,coda,section1
3329,3361,coda,section2
3361,3461,coda,section2
3461,3569,coda,section2
3569,3637,coda,section2
3637,3714,coda,section2
