onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
903.0,904.0,64,E4,1.0,0,257,1.0,altochoir
904.0,905.0,64,E4,1.0,0,257,2.0,altochoir
905.0,906.0,66,F#4,1.0,0,257,3.0,altochoir
906.0,907.0,62,D4,1.0,0,257,4.0,altochoir
907.0,908.0,64,E4,1.0,0,258,1.0,altochoir
908.0,908.5,66,F#4,0.5,0,258,2.0,altochoir
908.5,909.0,67,G4,0.5,0,258,2.5,altochoir
909.0,910.0,66,F#4,1.0,0,258,3.0,altochoir
910.0,911.0,62,D4,1.0,0,258,4.0,altochoir
911.0,912.0,64,E4,1.0,0,259,1.0,altochoir
912.0,912.5,66,F#4,0.5,0,259,2.0,altochoir
912.5,913.0,67,G4,0.5,0,259,2.5,altochoir
913.0,914.0,66,F#4,1.0,0,259,3.0,altochoir
914.0,915.0,64,E4,1.0,0,259,4.0,altochoir
915.0,916.0,62,D4,1.0,0,260,1.0,altochoir
916.0,917.0,64,E4,1.0,0,260,2.0,altochoir
917.0,918.0,57,A3,1.0,0,260,3.0,altochoir
918.0,920.0,66,F#4,2.0,0,260,4.0,altochoir
920.0,921.0,66,F#4,1.0,0,261,2.0,altochoir
921.0,922.0,67,G4,1.0,0,261,3.0,altochoir
922.0,923.0,69,A4,1.0,0,261,4.0,altochoir
923.0,924.0,69,A4,1.0,0,262,1.0,altochoir
924.0,925.0,67,G4,1.0,0,262,2.0,altochoir
925.0,926.0,66,F#4,1.0,0,262,3.0,altochoir
926.0,926.5,67,G4,0.5,0,262,4.0,altochoir
926.5,927.0,64,E4,0.5,0,262,4.5,altochoir
927.0,928.0,62,D4,1.0,0,263,1.0,altochoir
928.0,929.0,62,D4,1.0,0,263,2.0,altochoir
929.0,930.0,64,E4,1.0,0,263,3.0,altochoir
930.0,931.0,66,F#4,1.0,0,263,4.0,altochoir
931.0,932.5,64,E4,1.5,0,264,1.0,altochoir
932.5,933.0,62,D4,0.5,0,264,2.5,altochoir
933.0,935.0,62,D4,2.0,0,264,3.0,altochoir
1015.0,1016.0,69,A4,1.0,0,285,1.0,altochoir
1016.0,1017.0,69,A4,1.0,0,285,2.0,altochoir
1017.0,1018.0,69,A4,1.0,0,285,3.0,altochoir
1018.0,1019.0,69,A4,1.0,0,285,4.0,altochoir
1019.0,1020.0,69,A4,1.0,0,286,1.0,altochoir
1020.0,1021.0,69,A4,1.0,0,286,2.0,altochoir
1021.0,1022.0,69,A4,1.0,0,286,3.0,altochoir
1022.0,1022.5,67,G4,0.5,0,286,4.0,altochoir
1022.5,1023.0,66,F#4,0.5,0,286,4.5,altochoir
1023.0,1024.0,69,A4,1.0,0,287,1.0,altochoir
1024.0,1025.0,64,E4,1.0,0,287,2.0,altochoir
1025.0,1026.0,66,F#4,1.0,0,287,3.0,altochoir
1026.0,1027.0,66,F#4,1.0,0,287,4.0,altochoir
1027.0,1028.0,66,F#4,1.0,0,288,1.0,altochoir
1028.0,1029.0,68,G#4,1.0,0,288,2.0,altochoir
