onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
951.0,952.0,66,F#4,1.0,0,269,1.0,altosolo
952.0,953.0,66,F#4,1.0,0,269,2.0,altosolo
953.0,954.0,67,G4,1.0,0,269,3.0,altosolo
954.0,955.0,69,A4,1.0,0,269,4.0,altosolo
955.0,956.0,69,A4,1.0,0,270,1.0,altosolo
956.0,957.0,67,G4,1.0,0,270,2.0,altosolo
957.0,958.0,66,F#4,1.0,0,270,3.0,altosolo
958.0,959.0,64,E4,1.0,0,270,4.0,altosolo
959.0,960.0,62,D4,1.0,0,271,1.0,altosolo
960.0,961.0,62,D4,1.0,0,271,2.0,altosolo
961.0,962.0,64,E4,1.0,0,271,3.0,altosolo
962.0,963.0,66,F#4,1.0,0,271,4.0,altosolo
963.0,964.5,66,F#4,1.5,0,272,1.0,altosolo
964.5,965.0,64,E4,0.5,0,272,2.5,altosolo
965.0,967.0,64,E4,2.0,0,272,3.0,altosolo
967.0,968.0,66,F#4,1.0,0,273,1.0,altosolo
968.0,969.0,66,F#4,1.0,0,273,2.0,altosolo
969.0,970.0,67,G4,1.0,0,273,3.0,altosolo
970.0,971.0,69,A4,1.0,0,273,4.0,altosolo
971.0,972.0,69,A4,1.0,0,274,1.0,altosolo
972.0,973.0,67,G4,1.0,0,274,2.0,altosolo
973.0,974.0,66,F#4,1.0,0,274,3.0,altosolo
974.0,975.0,64,E4,1.0,0,274,4.0,altosolo
975.0,976.0,62,D4,1.0,0,275,1.0,altosolo
976.0,977.0,66,F#4,1.0,0,275,2.0,altosolo
977.0,978.0,67,G4,1.0,0,275,3.0,altosolo
978.0,979.0,69,A4,1.0,0,275,4.0,altosolo
979.0,980.5,67,G4,1.5,0,276,1.0,altosolo
980.5,981.0,66,F#4,0.5,0,276,2.5,altosolo
981.0,981.5,66,F#4,0.5,0,276,3.0,altosolo
981.5,982.0,69,A4,0.5,0,276,3.5,altosolo
982.0,982.5,67,G4,0.5,0,276,4.0,altosolo
982.5,983.0,66,F#4,0.5,0,276,4.5,altosolo
983.0,984.0,64,E4,1.0,0,277,1.0,altosolo
984.0,985.0,69,A4,1.0,0,277,2.0,altosolo
985.0,986.0,69,A4,1.0,0,277,3.0,altosolo
986.0,986.5,66,F#4,0.5,0,277,4.0,altosolo
986.5,987.0,69,A4,0.5,0,277,4.5,altosolo
987.0,988.0,69,A4,1.0,0,278,1.0,altosolo
988.0,989.0,69,A4,1.0,0,278,2.0,altosolo
989.0,990.0,69,A4,1.0,0,278,3.0,altosolo
990.0,990.5,67,G4,0.5,0,278,4.0,altosolo
990.5,991.0,66,F#4,0.5,0,278,4.5,altosolo
991.0,991.5,64,E4,0.5,0,279,1.0,altosolo
991.5,992.0,73,C#5,0.5,0,279,1.5,altosolo
992.0,992.5,74,D5,0.5,0,279,2.0,altosolo
992.5,993.0,76,E5,0.5,0,279,2.5,altosolo
993.0,994.0,73,C#5,1.0,0,279,3.0,altosolo
994.0,995.0,73,C#5,1.0,0,279,4.0,altosolo
995.0,996.0,71,B4,1.0,0,280,1.0,altosolo
996.0,997.0,68,G#4,1.0,0,280,2.0,altosolo
997.0,998.0,69,A4,1.0,0,280,3.0,altosolo
998.0,1000.0,69,A4,2.0,0,280,4.0,altosolo
1000.0,1001.0,69,A4,1.0,0,281,2.0,altosolo
1001.0,1002.0,69,A4,1.0,0,281,3.0,altosolo
1002.0,1003.0,69,A4,1.0,0,281,4.0,altosolo
1003.0,1004.0,69,A4,1.0,0,282,1.0,altosolo
1004.0,1005.0,69,A4,1.0,0,282,2.0,altosolo
1005.0,1006.0,69,A4,1.0,0,282,3.0,altosolo
