onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
829.0,830.0,57,A3,1.0,0,238,3.0,basschoir
830.0,831.0,57,A3,1.0,0,238,4.0,basschoir
837.0,838.0,57,A3,1.0,0,240,3.0,basschoir
838.0,839.0,57,A3,1.0,0,240,4.0,basschoir
903.0,904.0,52,E3,1.0,0,257,1.0,basschoir
904.0,905.0,52,E3,1.0,0,257,2.0,basschoir
905.0,906.0,54,F#3,1.0,0,257,3.0,basschoir
906.0,907.0,50,D3,1.0,0,257,4.0,basschoir
907.0,908.0,52,E3,1.0,0,258,1.0,basschoir
908.0,908.5,54,F#3,0.5,0,258,2.0,basschoir
908.5,909.0,55,G3,0.5,0,258,2.5,basschoir
909.0,910.0,54,F#3,1.0,0,258,3.0,basschoir
910.0,911.0,50,D3,1.0,0,258,4.0,basschoir
911.0,912.0,52,E3,1.0,0,259,1.0,basschoir
912.0,912.5,54,F#3,0.5,0,259,2.0,basschoir
912.5,913.0,55,G3,0.5,0,259,2.5,basschoir
913.0,914.0,54,F#3,1.0,0,259,3.0,basschoir
914.0,915.0,52,E3,1.0,0,259,4.0,basschoir
915.0,916.0,50,D3,1.0,0,260,1.0,basschoir
916.0,917.0,52,E3,1.0,0,260,2.0,basschoir
917.0,918.0,45,A2,1.0,0,260,3.0,basschoir
918.0,920.0,54,F#3,2.0,0,260,4.0,basschoir
920.0,921.0,54,F#3,1.0,0,261,2.0,basschoir
921.0,922.0,55,G3,1.0,0,261,3.0,basschoir
922.0,923.0,57,A3,1.0,0,261,4.0,basschoir
923.0,924.0,57,A3,1.0,0,262,1.0,basschoir
924.0,925.0,55,G3,1.0,0,262,2.0,basschoir
925.0,926.0,54,F#3,1.0,0,262,3.0,basschoir
926.0,926.5,55,G3,0.5,0,262,4.0,basschoir
926.5,927.0,52,E3,0.5,0,262,4.5,basschoir
927.0,928.0,50,D3,1.0,0,263,1.0,basschoir
928.0,929.0,50,D3,1.0,0,263,2.0,basschoir
929.0,930.0,52,E3,1.0,0,263,3.0,basschoir
930.0,931.0,54,F#3,1.0,0,263,4.0,basschoir
931.0,932.5,52,E3,1.5,0,264,1.0,basschoir
932.5,933.0,50,D3,0.5,0,264,2.5,basschoir
933.0,935.0,50,D3,2.0,0,264,3.0,basschoir
1014.0,1016.0,57,A3,2.0,0,284,4.0,basschoir
1016.0,1017.0,45,A2,1.0,0,285,2.0,basschoir
1017.0,1018.0,57,A3,1.0,0,285,3.0,basschoir
1018.0,1019.0,57,A3,1.0,0,285,4.0,basschoir
1019.0,1020.0,57,A3,1.0,0,286,1.0,basschoir
1020.0,1021.0,45,A2,1.0,0,286,2.0,basschoir
1021.0,1022.0,57,A3,1.0,0,286,3.0,basschoir
1022.0,1023.0,57,A3,1.0,0,286,4.0,basschoir
1023.0,1024.0,57,A3,1.0,0,287,1.0,basschoir
1024.0,1025.0,57,A3,1.0,0,287,2.0,basschoir
1025.0,1026.0,58,A#3,1.0,0,287,3.0,basschoir
1026.0,1027.0,54,F#3,1.0,0,287,4.0,basschoir
1027.0,1028.0,59,B3,1.0,0,288,1.0,basschoir
1028.0,1029.0,52,E3,1.0,0,288,2.0,basschoir
1029.0,1030.0,57,A3,1.0,0,288,3.0,basschoir
1030.0,1031.0,45,A2,1.0,0,288,4.0,basschoir
1031.0,1032.0,50,D3,1.0,0,289,1.0,basschoir
1032.0,1033.0,50,D3,1.0,0,289,2.0,basschoir
1033.0,1034.0,50,D3,1.0,0,289,3.0,basschoir
1034.0,1034.5,49,C#3,0.5,0,289,4.0,basschoir
1034.5,1035.0,47,B2,0.5,0,289,4.5,basschoir
1035.0,1035.5,45,A2,0.5,0,290,1.0,basschoir
1035.5,1036.0,47,B2,0.5,0,290,1.5,basschoir
1036.0,1036.5,49,C#3,0.5,0,290,2.0,basschoir
1036.5,1037.0,50,D3,0.5,0,290,2.5,basschoir
1037.0,1037.5,52,E3,0.5,0,290,3.0,basschoir
1037.5,1038.0,54,F#3,0.5,0,290,3.5,basschoir
1038.0,1038.5,55,G3,0.5,0,290,4.0,basschoir
1038.5,1039.0,52,E3,0.5,0,290,4.5,basschoir
1039.0,1040.0,54,F#3,1.0,0,291,1.0,basschoir
1040.0,1041.0,54,F#3,1.0,0,291,2.0,basschoir
1041.0,1042.0,50,D3,1.0,0,291,3.0,basschoir
1042.0,1043.0,50,D3,1.0,0,291,4.0,basschoir
1043.0,1044.0,57,A3,1.0,0,292,1.0,basschoir
1044.0,1045.0,45,A2,1.0,0,292,2.0,basschoir
1045.0,1047.0,50,D3,2.0,0,292,3.0,basschoir
1127.0,1128.0,57,A3,1.0,0,313,1.0,basschoir
1128.0,1129.0,57,A3,1.0,0,313,2.0,basschoir
1129.0,1130.0,57,A3,1.0,0,313,3.0,basschoir
1130.0,1131.0,57,A3,1.0,0,313,4.0,basschoir
1131.0,1132.0,57,A3,1.0,0,314,1.0,basschoir
1132.0,1133.0,57,A3,1.0,0,314,2.0,basschoir
1133.0,1134.0,57,A3,1.0,0,314,3.0,basschoir
1134.0,1135.0,57,A3,1.0,0,314,4.0,basschoir
1135.0,1136.0,57,A3,1.0,0,315,1.0,basschoir
1136.0,1137.0,45,A2,1.0,0,315,2.0,basschoir
1137.0,1138.0,45,A2,1.0,0,315,3.0,basschoir
1138.0,1139.0,45,A2,1.0,0,315,4.0,basschoir
1139.0,1140.0,45,A2,1.0,0,316,1.0,basschoir
1140.0,1141.0,45,A2,1.0,0,316,2.0,basschoir
1141.0,1142.0,45,A2,1.0,0,316,3.0,basschoir
1142.0,1143.0,45,A2,1.0,0,316,4.0,basschoir
1143.0,1144.0,50,D3,1.0,0,317,1.0,basschoir
1144.0,1145.0,50,D3,1.0,0,317,2.0,basschoir
1145.0,1146.0,50,D3,1.0,0,317,3.0,basschoir
1146.0,1147.0,50,D3,1.0,0,317,4.0,basschoir
1147.0,1148.0,50,D3,1.0,0,318,1.0,basschoir
1148.0,1149.0,50,D3,1.0,0,318,2.0,basschoir
1149.0,1150.0,50,D3,1.0,0,318,3.0,basschoir
1150.0,1151.0,50,D3,1.0,0,318,4.0,basschoir
1151.0,1152.0,50,D3,1.0,0,319,1.0,basschoir
1152.0,1153.0,50,D3,1.0,0,319,2.0,basschoir
1153.0,1154.5,62,D4,1.5,0,319,3.0,basschoir
1154.5,1155.0,62,D4,0.5,0,319,4.5,basschoir
1155.0,1155.5,62,D4,0.5,0,320,1.0,basschoir
