onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
7.5,8.0,53,F3,0.5,0,3,1.5,bassoon2
8.0,8.5,53,F3,0.5,0,3,2.0,bassoon2
8.5,9.0,45,A2,0.5,0,3,2.5,bassoon2
9.0,9.5,45,A2,0.5,0,3,3.0,bassoon2
9.5,10.0,50,D3,0.5,0,3,3.5,bassoon2
10.0,10.5,50,D3,0.5,0,4,1.0,bassoon2
10.5,11.0,41,F2,0.5,0,4,1.5,bassoon2
11.0,11.5,41,F2,0.5,0,4,2.0,bassoon2
11.5,12.0,45,A2,0.5,0,4,2.5,bassoon2
12.0,12.5,45,A2,0.5,0,4,3.0,bassoon2
12.5,13.0,38,D2,0.5,0,4,3.5,bassoon2
13.0,13.5,38,D2,0.5,0,5,1.0,bassoon2
13.5,14.0,38,D2,0.5,0,5,1.5,bassoon2
14.0,14.5,38,D2,0.5,0,5,2.0,bassoon2
14.5,15.0,36,C2,0.5,0,5,2.5,bassoon2
15.0,15.5,36,C2,0.5,0,5,3.0,bassoon2
15.5,16.0,35,B1,0.5,0,5,3.5,bassoon2
16.0,16.5,35,B1,0.5,0,6,1.0,bassoon2
16.5,17.0,34,B-1,0.5,0,6,1.5,bassoon2
17.0,17.5,34,B-1,0.5,0,6,2.0,bassoon2
17.5,18.0,34,B-1,0.5,0,6,2.5,bassoon2
18.0,18.5,34,B-1,0.5,0,6,3.0,bassoon2
18.5,19.0,46,B-2,0.5,0,6,3.5,bassoon2
19.0,20.0,46,B-2,1.0,0,7,1.0,bassoon2
20.0,21.0,45,A2,1.0,0,7,2.0,bassoon2
58.5,59.0,51,E-3,0.5,0,20,1.5,bassoon2
59.0,59.5,51,E-3,0.5,0,20,2.0,bassoon2
59.5,60.0,45,A2,0.5,0,20,2.5,bassoon2
60.0,60.5,45,A2,0.5,0,20,3.0,bassoon2
60.5,61.0,48,C3,0.5,0,20,3.5,bassoon2
61.0,61.5,48,C3,0.5,0,21,1.0,bassoon2
61.5,62.0,42,F#2,0.5,0,21,1.5,bassoon2
62.0,62.5,42,F#2,0.5,0,21,2.0,bassoon2
62.5,63.0,45,A2,0.5,0,21,2.5,bassoon2
63.0,63.5,45,A2,0.5,0,21,3.0,bassoon2
63.5,64.0,42,F#2,0.5,0,21,3.5,bassoon2
64.0,64.5,42,F#2,0.5,0,22,1.0,bassoon2
64.5,65.0,48,C3,0.5,0,22,1.5,bassoon2
65.0,65.5,48,C3,0.5,0,22,2.0,bassoon2
65.5,66.0,46,B-2,0.5,0,22,2.5,bassoon2
66.0,66.5,46,B-2,0.5,0,22,3.0,bassoon2
66.5,67.0,45,A2,0.5,0,22,3.5,bassoon2
67.0,67.5,45,A2,0.5,0,23,1.0,bassoon2
67.5,68.0,43,G2,0.5,0,23,1.5,bassoon2
68.0,68.5,43,G2,0.5,0,23,2.0,bassoon2
68.5,69.0,42,F#2,0.5,0,23,2.5,bassoon2
69.0,69.5,42,F#2,0.5,0,23,3.0,bassoon2
69.5,70.0,42,F#2,0.5,0,23,3.5,bassoon2
70.0,71.0,42,F#2,1.0,0,24,1.0,bassoon2
72.5,73.0,41,F2,0.5,0,24,3.5,bassoon2
73.0,74.0,41,F2,1.0,0,25,1.0,bassoon2
86.0,86.5,46,B-2,0.5,0,29,2.0,bassoon2
87.0,87.5,46,B-2,0.5,0,29,3.0,bassoon2
94.0,96.0,49,C#3,2.0,0,33,1.0,bassoon2
96.0,98.0,49,C#3,2.0,0,34,1.0,bassoon2
103.875,104.0,45,A2,0.125,0,37,2.875,bassoon2
104.0,105.0,42,F#2,1.0,0,38,1.0,bassoon2
134.0,135.0,56,G#3,1.0,0,48,1.0,bassoon2
135.0,136.0,57,A3,1.0,0,48,2.0,bassoon2
136.0,137.0,59,B3,1.0,0,48,3.0,bassoon2
137.0,138.0,60,C4,1.0,0,49,1.0,bassoon2
138.0,139.0,59,B3,1.0,0,49,2.0,bassoon2
139.0,140.0,57,A3,1.0,0,49,3.0,bassoon2
140.0,141.0,59,B3,1.0,0,50,1.0,bassoon2
141.0,142.0,57,A3,1.0,0,50,2.0,bassoon2
142.0,143.0,56,G#3,1.0,0,50,3.0,bassoon2
143.0,144.0,57,A3,1.0,0,51,1.0,bassoon2
146.0,147.5,48,C3,1.5,0,52,1.0,bassoon2
147.5,148.0,36,C2,0.5,0,52,2.5,bassoon2
148.0,149.0,36,C2,1.0,0,52,3.0,bassoon2
149.0,150.0,41,F2,1.0,0,53,1.0,bassoon2
150.0,151.0,43,G2,1.0,0,53,2.0,bassoon2
151.0,152.0,45,A2,1.0,0,53,3.0,bassoon2
152.0,153.0,43,G2,1.0,0,54,1.0,bassoon2
153.0,154.0,45,A2,1.0,0,54,2.0,bassoon2
