onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.5,82,B-5,2.5,0,0,3.0,flute1
2.5,3.0,81,A5,0.5,0,1,2.5,flute1
3.0,3.5,81,A5,0.5,0,1,3.0,flute1
3.5,4.0,86,D6,0.5,0,1,3.5,flute1
4.0,4.5,86,D6,0.5,0,2,1.0,flute1
4.5,5.0,89,F6,0.5,0,2,1.5,flute1
5.0,5.5,89,F6,0.5,0,2,2.0,flute1
5.5,6.0,93,A6,0.5,0,2,2.5,flute1
6.0,6.5,93,A6,0.5,0,2,3.0,flute1
6.5,7.0,86,D6,0.5,0,2,3.5,flute1
7.0,7.5,86,D6,0.5,0,3,1.0,flute1
7.5,8.0,89,F6,0.5,0,3,1.5,flute1
8.0,8.5,89,F6,0.5,0,3,2.0,flute1
8.5,9.0,81,A5,0.5,0,3,2.5,flute1
9.0,9.5,81,A5,0.5,0,3,3.0,flute1
9.5,10.0,86,D6,0.5,0,3,3.5,flute1
10.0,10.5,86,D6,0.5,0,4,1.0,flute1
10.5,11.0,77,F5,0.5,0,4,1.5,flute1
11.0,11.5,77,F5,0.5,0,4,2.0,flute1
11.5,12.0,81,A5,0.5,0,4,2.5,flute1
12.0,12.5,81,A5,0.5,0,4,3.0,flute1
12.5,13.0,74,D5,0.5,0,4,3.5,flute1
13.0,13.5,74,D5,0.5,0,5,1.0,flute1
13.5,14.0,86,D6,0.5,0,5,1.5,flute1
14.0,14.5,86,D6,0.5,0,5,2.0,flute1
14.5,15.0,86,D6,0.5,0,5,2.5,flute1
15.0,15.5,86,D6,0.5,0,5,3.0,flute1
15.5,16.0,86,D6,0.5,0,5,3.5,flute1
16.0,16.5,86,D6,0.5,0,6,1.0,flute1
16.5,17.0,86,D6,0.5,0,6,1.5,flute1
17.0,17.5,86,D6,0.5,0,6,2.0,flute1
17.5,18.0,86,D6,0.5,0,6,2.5,flute1
18.0,18.5,86,D6,0.5,0,6,3.0,flute1
18.5,19.0,89,F6,0.5,0,6,3.5,flute1
19.0,20.0,89,F6,1.0,0,7,1.0,flute1
20.0,21.0,93,A6,1.0,0,7,2.0,flute1
51.0,53.5,87,E-6,2.5,0,17,3.0,flute1
53.5,54.0,81,A5,0.5,0,18,2.5,flute1
54.0,54.5,81,A5,0.5,0,18,3.0,flute1
54.5,55.0,84,C6,0.5,0,18,3.5,flute1
55.0,55.5,84,C6,0.5,0,19,1.0,flute1
55.5,56.0,90,F#6,0.5,0,19,1.5,flute1
56.0,56.5,90,F#6,0.5,0,19,2.0,flute1
56.5,57.0,93,A6,0.5,0,19,2.5,flute1
57.0,57.5,93,A6,0.5,0,19,3.0,flute1
57.5,58.0,84,C6,0.5,0,19,3.5,flute1
58.0,58.5,84,C6,0.5,0,20,1.0,flute1
58.5,59.0,87,E-6,0.5,0,20,1.5,flute1
59.0,59.5,87,E-6,0.5,0,20,2.0,flute1
59.5,60.0,81,A5,0.5,0,20,2.5,flute1
60.0,60.5,81,A5,0.5,0,20,3.0,flute1
60.5,61.0,84,C6,0.5,0,20,3.5,flute1
61.0,61.5,84,C6,0.5,0,21,1.0,flute1
61.5,62.0,78,F#5,0.5,0,21,1.5,flute1
62.0,62.5,78,F#5,0.5,0,21,2.0,flute1
62.5,63.0,81,A5,0.5,0,21,2.5,flute1
63.0,63.5,81,A5,0.5,0,21,3.0,flute1
63.5,64.0,66,F#4,0.5,0,21,3.5,flute1
64.0,64.5,66,F#4,0.5,0,22,1.0,flute1
64.5,65.0,81,A5,0.5,0,22,1.5,flute1
65.0,65.5,81,A5,0.5,0,22,2.0,flute1
65.5,66.0,82,B-5,0.5,0,22,2.5,flute1
66.0,66.5,82,B-5,0.5,0,22,3.0,flute1
66.5,67.0,84,C6,0.5,0,22,3.5,flute1
67.0,67.5,84,C6,0.5,0,23,1.0,flute1
67.5,68.0,86,D6,0.5,0,23,1.5,flute1
68.0,68.5,86,D6,0.5,0,23,2.0,flute1
68.5,69.0,87,E-6,0.5,0,23,2.5,flute1
69.0,69.5,87,E-6,0.5,0,23,3.0,flute1
69.5,70.0,87,E-6,0.5,0,23,3.5,flute1
70.0,71.0,87,E-6,1.0,0,24,1.0,flute1
72.5,73.0,87,E-6,0.5,0,24,3.5,flute1
73.0,74.0,87,E-6,1.0,0,25,1.0,flute1
86.0,86.5,89,F6,0.5,0,29,2.0,flute1
87.0,87.5,91,G6,0.5,0,29,3.0,flute1
88.0,105.0,93,A6,17.0,0,30,1.0,flute1
134.0,135.5,88,E6,1.5,0,48,1.0,flute1
135.5,136.0,76,E5,0.5,0,48,2.5,flute1
136.0,137.0,76,E5,1.0,0,48,3.0,flute1
137.0,138.0,81,A5,1.0,0,49,1.0,flute1
138.0,139.0,83,B5,1.0,0,49,2.0,flute1
139.0,140.0,84,C6,1.0,0,49,3.0,flute1
140.0,141.0,83,B5,1.0,0,50,1.0,flute1
141.0,142.0,84,C6,1.0,0,50,2.0,flute1
142.0,143.0,86,D6,1.0,0,50,3.0,flute1
143.0,144.0,84,C6,1.0,0,51,1.0,flute1
144.0,145.0,83,B5,1.0,0,51,2.0,flute1
145.0,146.0,81,A5,1.0,0,51,3.0,flute1
146.0,147.0,82,B-5,1.0,0,52,1.0,flute1
147.0,148.0,81,A5,1.0,0,52,2.0,flute1
148.0,149.0,79,G5,1.0,0,52,3.0,flute1
149.0,150.0,81,A5,1.0,0,53,1.0,flute1
150.0,151.0,82,B-5,1.0,0,53,2.0,flute1
151.0,152.0,84,C6,1.0,0,53,3.0,flute1
152.0,153.0,88,E6,1.0,0,54,1.0,flute1
153.0,154.0,89,F6,1.0,0,54,2.0,flute1
154.0,155.0,91,G6,1.0,0,54,3.0,flute1
155.0,156.0,89,F6,1.0,0,55,1.0,flute1
156.0,157.0,91,G6,1.0,0,55,2.0,flute1
157.0,158.0,93,A6,1.0,0,55,3.0,flute1
179.0,181.0,86,D6,2.0,0,63,1.0,flute1
181.0,183.0,81,A5,2.0,0,63,3.0,flute1
183.0,184.0,82,B-5,1.0,0,64,1.0,flute1
199.0,207.0,73,D-5,8.0,0,69,1.0,flute1
207.0,210.0,78,F#5,3.0,0,71,3.0,flute1
