onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
967.0,968.0,74,D5,1.0,0,273,1.0,sopranosolo
968.0,969.0,74,D5,1.0,0,273,2.0,sopranosolo
969.0,970.0,76,E5,1.0,0,273,3.0,sopranosolo
970.0,971.0,78,F#5,1.0,0,273,4.0,sopranosolo
971.0,972.0,78,F#5,1.0,0,274,1.0,sopranosolo
972.0,973.0,76,E5,1.0,0,274,2.0,sopranosolo
973.0,974.0,74,D5,1.0,0,274,3.0,sopranosolo
974.0,975.0,73,C#5,1.0,0,274,4.0,sopranosolo
975.0,976.0,74,D5,1.0,0,275,1.0,sopranosolo
976.0,977.0,74,D5,1.0,0,275,2.0,sopranosolo
977.0,978.0,76,E5,1.0,0,275,3.0,sopranosolo
978.0,979.0,78,F#5,1.0,0,275,4.0,sopranosolo
979.0,980.5,76,E5,1.5,0,276,1.0,sopranosolo
980.5,981.0,74,D5,0.5,0,276,2.5,sopranosolo
981.0,983.0,74,D5,2.0,0,276,3.0,sopranosolo
983.0,984.0,76,E5,1.0,0,277,1.0,sopranosolo
984.0,985.0,76,E5,1.0,0,277,2.0,sopranosolo
985.0,986.0,78,F#5,1.0,0,277,3.0,sopranosolo
986.0,987.0,74,D5,1.0,0,277,4.0,sopranosolo
987.0,988.0,76,E5,1.0,0,278,1.0,sopranosolo
988.0,988.5,78,F#5,0.5,0,278,2.0,sopranosolo
988.5,989.0,79,G5,0.5,0,278,2.5,sopranosolo
989.0,990.0,78,F#5,1.0,0,278,3.0,sopranosolo
990.0,991.0,74,D5,1.0,0,278,4.0,sopranosolo
991.0,992.0,76,E5,1.0,0,279,1.0,sopranosolo
992.0,992.5,78,F#5,0.5,0,279,2.0,sopranosolo
992.5,993.0,79,G5,0.5,0,279,2.5,sopranosolo
993.0,994.0,78,F#5,1.0,0,279,3.0,sopranosolo
994.0,995.0,76,E5,1.0,0,279,4.0,sopranosolo
995.0,996.0,74,D5,1.0,0,280,1.0,sopranosolo
996.0,997.0,76,E5,1.0,0,280,2.0,sopranosolo
997.0,998.0,69,A4,1.0,0,280,3.0,sopranosolo
998.0,1000.0,78,F#5,2.0,0,280,4.0,sopranosolo
1000.0,1001.0,78,F#5,1.0,0,281,2.0,sopranosolo
1001.0,1002.0,79,G5,1.0,0,281,3.0,sopranosolo
1002.0,1003.0,81,A5,1.0,0,281,4.0,sopranosolo
1003.0,1004.0,81,A5,1.0,0,282,1.0,sopranosolo
1004.0,1005.0,79,G5,1.0,0,282,2.0,sopranosolo
1005.0,1006.0,78,F#5,1.0,0,282,3.0,sopranosolo
1006.0,1007.0,76,E5,1.0,0,282,4.0,sopranosolo
1007.0,1008.0,74,D5,1.0,0,283,1.0,sopranosolo
1008.0,1009.0,74,D5,1.0,0,283,2.0,sopranosolo
1009.0,1010.0,76,E5,1.0,0,283,3.0,sopranosolo
1010.0,1011.0,78,F#5,1.0,0,283,4.0,sopranosolo
1011.0,1012.5,76,E5,1.5,0,284,1.0,sopranosolo
1012.5,1013.0,74,D5,0.5,0,284,2.5,sopranosolo
1013.0,1015.0,74,D5,2.0,0,284,3.0,sopranosolo
1093.5,1094.0,74,D5,0.5,0,304,3.5,sopranosolo
1094.0,1094.5,76,E5,0.5,0,304,4.0,sopranosolo
1094.5,1095.5,78,F#5,1.0,0,304,4.5,sopranosolo
1095.5,1096.0,76,E5,0.5,0,305,1.5,sopranosolo
1096.0,1096.5,74,D5,0.5,0,305,2.0,sopranosolo
1096.5,1097.0,76,E5,0.5,0,305,2.5,sopranosolo
1097.0,1097.5,79,G5,0.5,0,305,3.0,sopranosolo
1097.5,1098.0,78,F#5,0.5,0,305,3.5,sopranosolo
1098.0,1098.5,76,E5,0.5,0,305,4.0,sopranosolo
1098.5,1099.0,74,D5,0.5,0,305,4.5,sopranosolo
1099.0,1099.5,78,F#5,0.5,0,306,1.0,sopranosolo
1099.5,1100.0,76,E5,0.5,0,306,1.5,sopranosolo
1100.0,1100.5,74,D5,0.5,0,306,2.0,sopranosolo
1100.5,1101.0,76,E5,0.5,0,306,2.5,sopranosolo
1101.0,1101.5,79,G5,0.5,0,306,3.0,sopranosolo
1101.5,1102.0,78,F#5,0.5,0,306,3.5,sopranosolo
1102.0,1102.5,76,E5,0.5,0,306,4.0,sopranosolo
1102.5,1103.0,74,D5,0.5,0,306,4.5,sopranosolo
1103.0,1103.5,78,F#5,0.5,0,307,1.0,sopranosolo
1103.5,1104.0,76,E5,0.5,0,307,1.5,sopranosolo
1104.0,1104.5,74,D5,0.5,0,307,2.0,sopranosolo
