onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
903.0,904.0,64,E4,1.0,0,257,1.0,tenorchoir
904.0,905.0,52,E3,1.0,0,257,2.0,tenorchoir
905.0,906.0,54,F#3,1.0,0,257,3.0,tenorchoir
906.0,907.0,50,D3,1.0,0,257,4.0,tenorchoir
907.0,908.0,52,E3,1.0,0,258,1.0,tenorchoir
908.0,908.5,54,F#3,0.5,0,258,2.0,tenorchoir
908.5,909.0,55,G3,0.5,0,258,2.5,tenorchoir
909.0,910.0,54,F#3,1.0,0,258,3.0,tenorchoir
910.0,911.0,50,D3,1.0,0,258,4.0,tenorchoir
911.0,912.0,52,E3,1.0,0,259,1.0,tenorchoir
912.0,912.5,54,F#3,0.5,0,259,2.0,tenorchoir
912.5,913.0,55,G3,0.5,0,259,2.5,tenorchoir
913.0,914.0,54,F#3,1.0,0,259,3.0,tenorchoir
914.0,915.0,52,E3,1.0,0,259,4.0,tenorchoir
915.0,916.0,50,D3,1.0,0,260,1.0,tenorchoir
916.0,917.0,64,E4,1.0,0,260,2.0,tenorchoir
917.0,918.0,57,A3,1.0,0,260,3.0,tenorchoir
918.0,920.0,66,F#4,2.0,0,260,4.0,tenorchoir
920.0,921.0,54,F#3,1.0,0,261,2.0,tenorchoir
921.0,922.0,55,G3,1.0,0,261,3.0,tenorchoir
922.0,923.0,57,A3,1.0,0,261,4.0,tenorchoir
923.0,924.0,57,A3,1.0,0,262,1.0,tenorchoir
924.0,925.0,55,G3,1.0,0,262,2.0,tenorchoir
925.0,926.0,54,F#3,1.0,0,262,3.0,tenorchoir
926.0,926.5,55,G3,0.5,0,262,4.0,tenorchoir
926.5,927.0,52,E3,0.5,0,262,4.5,tenorchoir
927.0,928.0,50,D3,1.0,0,263,1.0,tenorchoir
928.0,929.0,62,D4,1.0,0,263,2.0,tenorchoir
929.0,930.0,64,E4,1.0,0,263,3.0,tenorchoir
930.0,931.0,66,F#4,1.0,0,263,4.0,tenorchoir
931.0,932.5,64,E4,1.5,0,264,1.0,tenorchoir
932.5,933.0,62,D4,0.5,0,264,2.5,tenorchoir
933.0,935.0,62,D4,2.0,0,264,3.0,tenorchoir
1015.0,1016.0,61,C#4,1.0,0,285,1.0,tenorchoir
1016.0,1017.0,61,C#4,1.0,0,285,2.0,tenorchoir
1017.0,1018.0,62,D4,1.0,0,285,3.0,tenorchoir
1018.0,1019.0,66,F#4,1.0,0,285,4.0,tenorchoir
1019.0,1020.0,61,C#4,1.0,0,286,1.0,tenorchoir
1020.0,1020.5,62,D4,0.5,0,286,2.0,tenorchoir
1020.5,1021.0,64,E4,0.5,0,286,2.5,tenorchoir
1021.0,1022.0,62,D4,1.0,0,286,3.0,tenorchoir
1022.0,1022.5,64,E4,0.5,0,286,4.0,tenorchoir
1022.5,1023.0,62,D4,0.5,0,286,4.5,tenorchoir
1023.0,1024.0,61,C#4,1.0,0,287,1.0,tenorchoir
1024.0,1025.0,61,C#4,1.0,0,287,2.0,tenorchoir
1025.0,1026.0,61,C#4,1.0,0,287,3.0,tenorchoir
1026.0,1027.0,58,B-3,1.0,0,287,4.0,tenorchoir
1027.0,1028.0,59,B3,1.0,0,288,1.0,tenorchoir
1028.0,1029.0,59,B3,1.0,0,288,2.0,tenorchoir
1029.0,1030.0,61,C#4,1.0,0,288,3.0,tenorchoir
1030.0,1032.0,62,D4,2.0,0,288,4.0,tenorchoir
1032.0,1033.0,62,D4,1.0,0,289,2.0,tenorchoir
1033.0,1034.0,64,E4,1.0,0,289,3.0,tenorchoir
1034.0,1035.0,66,F#4,1.0,0,289,4.0,tenorchoir
1035.0,1036.0,66,F#4,1.0,0,290,1.0,tenorchoir
1036.0,1037.0,64,E4,1.0,0,290,2.0,tenorchoir
1037.0,1038.0,62,D4,1.0,0,290,3.0,tenorchoir
1038.0,1039.0,61,C#4,1.0,0,290,4.0,tenorchoir
1039.0,1040.0,62,D4,1.0,0,291,1.0,tenorchoir
1040.0,1041.0,57,A3,1.0,0,291,2.0,tenorchoir
1041.0,1042.0,57,A3,1.0,0,291,3.0,tenorchoir
1042.0,1043.0,57,A3,1.0,0,291,4.0,tenorchoir
1043.0,1044.5,61,C#4,1.5,0,292,1.0,tenorchoir
1044.5,1045.0,62,D4,0.5,0,292,2.5,tenorchoir
1045.0,1047.0,62,D4,2.0,0,292,3.0,tenorchoir
1127.0,1127.5,62,D4,0.5,0,313,1.0,tenorchoir
1127.5,1128.0,61,C#4,0.5,0,313,1.5,tenorchoir
