onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
951.0,952.0,62,D4,1.0,0,269,1.0,tenorsolo
952.0,953.0,62,D4,1.0,0,269,2.0,tenorsolo
953.0,954.0,64,E4,1.0,0,269,3.0,tenorsolo
954.0,955.0,66,F#4,1.0,0,269,4.0,tenorsolo
955.0,956.0,66,F#4,1.0,0,270,1.0,tenorsolo
956.0,957.0,64,E4,1.0,0,270,2.0,tenorsolo
957.0,958.0,62,D4,1.0,0,270,3.0,tenorsolo
958.0,959.0,61,C#4,1.0,0,270,4.0,tenorsolo
959.0,960.0,66,F#4,1.0,0,271,1.0,tenorsolo
960.0,961.0,66,F#4,1.0,0,271,2.0,tenorsolo
961.0,961.5,67,G4,0.5,0,271,3.0,tenorsolo
961.5,962.0,66,F#4,0.5,0,271,3.5,tenorsolo
962.0,962.5,64,E4,0.5,0,271,4.0,tenorsolo
962.5,963.0,62,D4,0.5,0,271,4.5,tenorsolo
963.0,964.5,62,D4,1.5,0,272,1.0,tenorsolo
964.5,965.0,61,C#4,0.5,0,272,2.5,tenorsolo
965.0,966.0,61,C#4,1.0,0,272,3.0,tenorsolo
966.0,966.5,57,A3,0.5,0,272,4.0,tenorsolo
966.5,967.0,55,G3,0.5,0,272,4.5,tenorsolo
967.0,968.0,54,F#3,1.0,0,273,1.0,tenorsolo
968.0,969.0,57,A3,1.0,0,273,2.0,tenorsolo
969.0,970.0,57,A3,1.0,0,273,3.0,tenorsolo
970.0,970.5,57,A3,0.5,0,273,4.0,tenorsolo
970.5,971.0,62,D4,0.5,0,273,4.5,tenorsolo
971.0,971.5,61,C#4,0.5,0,274,1.0,tenorsolo
971.5,972.0,62,D4,0.5,0,274,1.5,tenorsolo
972.0,972.5,64,E4,0.5,0,274,2.0,tenorsolo
972.5,973.0,66,F#4,0.5,0,274,2.5,tenorsolo
973.0,973.5,67,G4,0.5,0,274,3.0,tenorsolo
973.5,974.0,57,A3,0.5,0,274,3.5,tenorsolo
