onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.5,69,A4,2.5,0,0,3.0,trumpet1
2.5,3.0,69,A4,0.5,0,1,2.5,trumpet1
3.0,3.5,69,A4,0.5,0,1,3.0,trumpet1
3.5,4.0,74,D5,0.5,0,1,3.5,trumpet1
4.0,5.0,74,D5,1.0,0,2,1.0,trumpet1
5.5,6.0,69,A4,0.5,0,2,2.5,trumpet1
6.0,6.5,69,A4,0.5,0,2,3.0,trumpet1
6.5,7.0,62,D4,0.5,0,2,3.5,trumpet1
7.0,8.0,62,D4,1.0,0,3,1.0,trumpet1
8.5,9.0,69,A4,0.5,0,3,2.5,trumpet1
9.0,9.5,69,A4,0.5,0,3,3.0,trumpet1
9.5,10.0,74,D5,0.5,0,3,3.5,trumpet1
10.0,11.0,74,D5,1.0,0,4,1.0,trumpet1
11.5,12.0,81,A5,0.5,0,4,2.5,trumpet1
12.0,12.5,81,A5,0.5,0,4,3.0,trumpet1
12.5,13.0,74,D5,0.5,0,4,3.5,trumpet1
13.0,13.5,74,D5,0.5,0,5,1.0,trumpet1
13.5,14.0,74,D5,0.5,0,5,1.5,trumpet1
14.0,14.5,74,D5,0.5,0,5,2.0,trumpet1
14.5,15.0,74,D5,0.5,0,5,2.5,trumpet1
15.0,15.5,74,D5,0.5,0,5,3.0,trumpet1
15.5,16.0,74,D5,0.5,0,5,3.5,trumpet1
16.0,16.5,74,D5,0.5,0,6,1.0,trumpet1
16.5,17.0,74,D5,0.5,0,6,1.5,trumpet1
17.0,17.5,74,D5,0.5,0,6,2.0,trumpet1
17.5,18.0,74,D5,0.5,0,6,2.5,trumpet1
18.0,18.5,74,D5,0.5,0,6,3.0,trumpet1
18.5,19.0,74,D5,0.5,0,6,3.5,trumpet1
19.0,20.0,74,D5,1.0,0,7,1.0,trumpet1
20.0,21.0,69,A4,1.0,0,7,2.0,trumpet1
48.0,52.0,74,D5,4.0,0,16,3.0,trumpet1
52.0,53.5,72,C5,1.5,0,18,1.0,trumpet1
53.5,54.0,72,C5,0.5,0,18,2.5,trumpet1
54.0,54.5,72,C5,0.5,0,18,3.0,trumpet1
54.5,55.0,72,C5,0.5,0,18,3.5,trumpet1
55.0,55.5,72,C5,0.5,0,19,1.0,trumpet1
55.5,56.0,66,F#4,0.5,0,19,1.5,trumpet1
56.0,56.5,66,F#4,0.5,0,19,2.0,trumpet1
56.5,57.0,69,A4,0.5,0,19,2.5,trumpet1
57.0,57.5,69,A4,0.5,0,19,3.0,trumpet1
57.5,58.0,72,C5,0.5,0,19,3.5,trumpet1
58.0,59.0,72,C5,1.0,0,20,1.0,trumpet1
59.5,60.0,72,C5,0.5,0,20,2.5,trumpet1
60.0,60.5,72,C5,0.5,0,20,3.0,trumpet1
60.5,61.0,72,C5,0.5,0,20,3.5,trumpet1
61.0,61.5,72,C5,0.5,0,21,1.0,trumpet1
61.5,62.0,66,F#4,0.5,0,21,1.5,trumpet1
62.0,62.5,66,F#4,0.5,0,21,2.0,trumpet1
62.5,63.0,69,A4,0.5,0,21,2.5,trumpet1
63.0,63.5,69,A4,0.5,0,21,3.0,trumpet1
63.5,64.0,72,C5,0.5,0,21,3.5,trumpet1
64.0,65.0,72,C5,1.0,0,22,1.0,trumpet1
65.5,66.0,74,D5,0.5,0,22,2.5,trumpet1
66.0,66.5,74,D5,0.5,0,22,3.0,trumpet1
66.5,67.0,72,C5,0.5,0,22,3.5,trumpet1
67.0,68.0,72,C5,1.0,0,23,1.0,trumpet1
68.5,69.0,72,C5,0.5,0,23,2.5,trumpet1
69.0,69.5,72,C5,0.5,0,23,3.0,trumpet1
69.5,70.0,72,C5,0.5,0,23,3.5,trumpet1
70.0,71.0,72,C5,1.0,0,24,1.0,trumpet1
72.5,73.0,72,C5,0.5,0,24,3.5,trumpet1
73.0,74.0,72,C5,1.0,0,25,1.0,trumpet1
86.0,86.5,74,D5,0.5,0,29,2.0,trumpet1
87.0,87.5,74,D5,0.5,0,29,3.0,trumpet1
88.0,89.0,69,A4,1.0,0,30,1.0,trumpet1
95.875,96.0,69,A4,0.125,0,33,2.875,trumpet1
96.0,97.0,69,A4,1.0,0,34,1.0,trumpet1
103.875,104.0,69,A4,0.125,0,37,2.875,trumpet1
104.0,105.0,69,A4,1.0,0,38,1.0,trumpet1
246.0,247.0,69,A4,1.0,0,83,2.0,trumpet1
249.0,249.5,74,D5,0.5,0,84,2.0,trumpet1
249.5,250.0,74,D5,0.5,0,84,2.5,trumpet1
250.0,250.5,74,D5,0.5,0,84,3.0,trumpet1
250.5,251.0,74,D5,0.5,0,84,3.5,trumpet1
251.0,252.0,74,D5,1.0,0,85,1.0,trumpet1
261.0,262.0,74,D5,1.0,0,88,2.0,trumpet1
262.0,262.5,74,D5,0.5,0,88,3.0,trumpet1
269.0,270.0,76,E5,1.0,0,91,1.0,trumpet1
271.0,272.0,74,D5,1.0,0,91,3.0,trumpet1
560.0,562.0,78,F#5,2.0,0,164,1.0,trumpet1
562.0,563.0,79,G5,1.0,0,164,3.0,trumpet1
563.0,564.0,81,A5,1.0,0,164,4.0,trumpet1
564.0,565.0,81,A5,1.0,0,165,1.0,trumpet1
565.0,566.0,79,G5,1.0,0,165,2.0,trumpet1
566.0,567.0,78,F#5,1.0,0,165,3.0,trumpet1
567.0,568.0,76,E5,1.0,0,165,4.0,trumpet1
568.0,569.0,74,D5,1.0,0,166,1.0,trumpet1
569.0,570.0,74,D5,1.0,0,166,2.0,trumpet1
570.0,571.0,76,E5,1.0,0,166,3.0,trumpet1
571.0,572.0,78,F#5,1.0,0,166,4.0,trumpet1
572.0,573.5,78,F#5,1.5,0,167,1.0,trumpet1
573.5,574.0,76,E5,0.5,0,167,2.5,trumpet1
574.0,576.0,76,E5,2.0,0,167,3.0,trumpet1
576.0,578.0,78,F#5,2.0,0,168,1.0,trumpet1
578.0,579.0,79,G5,1.0,0,168,3.0,trumpet1
579.0,580.0,81,A5,1.0,0,168,4.0,trumpet1
580.0,581.0,81,A5,1.0,0,169,1.0,trumpet1
581.0,582.0,79,G5,1.0,0,169,2.0,trumpet1
582.0,583.0,78,F#5,1.0,0,169,3.0,trumpet1
583.0,584.0,76,E5,1.0,0,169,4.0,trumpet1
584.0,585.0,74,D5,1.0,0,170,1.0,trumpet1
585.0,586.0,74,D5,1.0,0,170,2.0,trumpet1
586.0,587.0,76,E5,1.0,0,170,3.0,trumpet1
587.0,588.0,78,F#5,1.0,0,170,4.0,trumpet1
588.0,589.5,76,E5,1.5,0,171,1.0,trumpet1
589.5,590.0,74,D5,0.5,0,171,2.5,trumpet1
590.0,592.0,74,D5,2.0,0,171,3.0,trumpet1
592.0,594.0,76,E5,2.0,0,172,1.0,trumpet1
594.0,595.0,78,F#5,1.0,0,172,3.0,trumpet1
595.0,596.0,74,D5,1.0,0,172,4.0,trumpet1
596.0,597.0,76,E5,1.0,0,173,1.0,trumpet1
597.0,597.5,78,F#5,0.5,0,173,2.0,trumpet1
597.5,598.0,79,G5,0.5,0,173,2.5,trumpet1
598.0,599.0,78,F#5,1.0,0,173,3.0,trumpet1
599.0,600.0,74,D5,1.0,0,173,4.0,trumpet1
600.0,601.0,76,E5,1.0,0,174,1.0,trumpet1
601.0,601.5,78,F#5,0.5,0,174,2.0,trumpet1
601.5,602.0,79,G5,0.5,0,174,2.5,trumpet1
602.0,603.0,78,F#5,1.0,0,174,3.0,trumpet1
603.0,604.0,66,F#4,1.0,0,174,4.0,trumpet1
604.0,605.0,74,D5,1.0,0,175,1.0,trumpet1
605.0,606.0,76,E5,1.0,0,175,2.0,trumpet1
606.0,607.0,69,A4,1.0,0,175,3.0,trumpet1
607.0,609.0,78,F#5,2.0,0,175,4.0,trumpet1
609.0,610.0,78,F#5,1.0,0,176,2.0,trumpet1
610.0,611.0,79,G5,1.0,0,176,3.0,trumpet1
611.0,612.0,81,A5,1.0,0,176,4.0,trumpet1
612.0,613.0,81,A5,1.0,0,177,1.0,trumpet1
613.0,614.0,79,G5,1.0,0,177,2.0,trumpet1
614.0,615.0,78,F#5,1.0,0,177,3.0,trumpet1
615.0,616.0,76,E5,1.0,0,177,4.0,trumpet1
616.0,617.0,74,D5,1.0,0,178,1.0,trumpet1
617.0,618.0,74,D5,1.0,0,178,2.0,trumpet1
618.0,619.0,76,E5,1.0,0,178,3.0,trumpet1
619.0,620.0,78,F#5,1.0,0,178,4.0,trumpet1
620.0,621.5,76,E5,1.5,0,179,1.0,trumpet1
621.5,622.0,74,D5,0.5,0,179,2.5,trumpet1
622.0,622.5,74,D5,0.5,0,179,3.0,trumpet1
622.5,623.0,81,A5,0.5,0,179,3.5,trumpet1
623.0,623.5,79,G5,0.5,0,179,4.0,trumpet1
623.5,624.0,78,F#5,0.5,0,179,4.5,trumpet1
624.0,626.0,76,E5,2.0,0,180,1.0,trumpet1
626.0,627.0,78,F#5,1.0,0,180,3.0,trumpet1
627.0,628.0,74,D5,1.0,0,180,4.0,trumpet1
628.0,629.0,76,E5,1.0,0,181,1.0,trumpet1
629.0,629.5,78,F#5,0.5,0,181,2.0,trumpet1
629.5,630.0,79,G5,0.5,0,181,2.5,trumpet1
630.0,631.0,78,F#5,1.0,0,181,3.0,trumpet1
631.0,632.0,74,D5,1.0,0,181,4.0,trumpet1
632.0,633.0,76,E5,1.0,0,182,1.0,trumpet1
633.0,633.5,78,F#5,0.5,0,182,2.0,trumpet1
633.5,634.0,79,G5,0.5,0,182,2.5,trumpet1
634.0,635.0,78,F#5,1.0,0,182,3.0,trumpet1
635.0,636.0,66,F#4,1.0,0,182,4.0,trumpet1
636.0,637.0,78,F#5,1.0,0,183,1.0,trumpet1
637.0,638.0,76,E5,1.0,0,183,2.0,trumpet1
638.0,639.0,69,A4,1.0,0,183,3.0,trumpet1
639.0,641.0,78,F#5,2.0,0,183,4.0,trumpet1
641.0,642.0,78,F#5,1.0,0,184,2.0,trumpet1
642.0,643.0,79,G5,1.0,0,184,3.0,trumpet1
643.0,644.0,81,A5,1.0,0,184,4.0,trumpet1
644.0,645.0,81,A5,1.0,0,185,1.0,trumpet1
645.0,646.0,79,G5,1.0,0,185,2.0,trumpet1
646.0,647.0,78,F#5,1.0,0,185,3.0,trumpet1
647.0,648.0,76,E5,1.0,0,185,4.0,trumpet1
648.0,649.0,74,D5,1.0,0,186,1.0,trumpet1
649.0,650.0,74,D5,1.0,0,186,2.0,trumpet1
650.0,651.0,76,E5,1.0,0,186,3.0,trumpet1
651.0,652.0,78,F#5,1.0,0,186,4.0,trumpet1
652.0,653.5,76,E5,1.5,0,187,1.0,trumpet1
653.5,654.0,74,D5,0.5,0,187,2.5,trumpet1
654.0,655.0,74,D5,1.0,0,187,3.0,trumpet1
655.0,656.0,69,A4,1.0,0,187,4.0,trumpet1
656.0,657.5,74,D5,1.5,0,188,1.0,trumpet1
657.5,658.0,74,D5,0.5,0,188,2.5,trumpet1
658.0,659.0,74,D5,1.0,0,188,3.0,trumpet1
659.0,660.0,74,D5,1.0,0,188,4.0,trumpet1
660.0,661.5,74,D5,1.5,0,189,1.0,trumpet1
661.5,662.0,74,D5,0.5,0,189,2.5,trumpet1
662.0,663.0,74,D5,1.0,0,189,3.0,trumpet1
663.0,664.0,74,D5,1.0,0,189,4.0,trumpet1
664.0,665.5,74,D5,1.5,0,190,1.0,trumpet1
665.5,666.0,76,E5,0.5,0,190,2.5,trumpet1
666.0,667.0,76,E5,1.0,0,190,3.0,trumpet1
667.0,667.5,76,E5,0.5,0,190,4.0,trumpet1
667.5,668.0,78,F#5,0.5,0,190,4.5,trumpet1
668.0,669.5,76,E5,1.5,0,191,1.0,trumpet1
669.5,670.0,74,D5,0.5,0,191,2.5,trumpet1
670.0,671.0,74,D5,1.0,0,191,3.0,trumpet1
671.0,673.5,74,D5,2.5,0,191,4.0,trumpet1
673.5,674.0,76,E5,0.5,0,192,2.5,trumpet1
674.0,675.0,76,E5,1.0,0,192,3.0,trumpet1
675.0,676.0,76,E5,1.0,0,192,4.0,trumpet1
676.0,677.5,76,E5,1.5,0,193,1.0,trumpet1
677.5,678.0,78,F#5,0.5,0,193,2.5,trumpet1
678.0,679.0,78,F#5,1.0,0,193,3.0,trumpet1
679.0,681.0,78,F#5,2.0,0,193,4.0,trumpet1
684.0,685.0,79,G5,1.0,0,195,1.0,trumpet1
686.0,687.0,78,F#5,1.0,0,195,3.0,trumpet1
691.0,692.0,74,D5,1.0,0,196,4.0,trumpet1
692.0,693.5,74,D5,1.5,0,197,1.0,trumpet1
693.5,694.0,76,E5,0.5,0,197,2.5,trumpet1
694.0,695.5,76,E5,1.5,0,197,3.0,trumpet1
695.5,697.5,74,D5,2.0,0,197,4.5,trumpet1
697.5,698.0,76,E5,0.5,0,198,2.5,trumpet1
698.0,698.5,76,E5,0.5,0,198,3.0,trumpet1
698.5,699.0,76,E5,0.5,0,198,3.5,trumpet1
699.0,699.5,76,E5,0.5,0,198,4.0,trumpet1
699.5,700.0,76,E5,0.5,0,198,4.5,trumpet1
700.0,701.0,76,E5,1.0,0,199,1.0,trumpet1
701.0,701.5,76,E5,0.5,0,199,2.0,trumpet1
701.5,702.0,76,E5,0.5,0,199,2.5,trumpet1
702.0,703.0,78,F#5,1.0,0,199,3.0,trumpet1
703.0,703.5,78,F#5,0.5,0,199,4.0,trumpet1
703.5,704.0,78,F#5,0.5,0,199,4.5,trumpet1
