onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
88.0,90.0,57,A3,2.0,0,30,1.0,violin2
88.0,90.0,64,E4,2.0,0,30,1.0,violin2
90.0,92.0,57,A3,2.0,0,31,1.0,violin2
90.0,92.0,64,E4,2.0,0,31,1.0,violin2
92.0,94.0,57,A3,2.0,0,32,1.0,violin2
92.0,94.0,64,E4,2.0,0,32,1.0,violin2
94.0,96.0,57,A3,2.0,0,33,1.0,violin2
94.0,96.0,64,E4,2.0,0,33,1.0,violin2
96.0,98.0,57,A3,2.0,0,34,1.0,violin2
96.0,98.0,64,E4,2.0,0,34,1.0,violin2
98.0,100.0,57,A3,2.0,0,35,1.0,violin2
98.0,100.0,64,E4,2.0,0,35,1.0,violin2
100.0,102.0,57,A3,2.0,0,36,1.0,violin2
100.0,102.0,64,E4,2.0,0,36,1.0,violin2
102.0,104.0,57,A3,2.0,0,37,1.0,violin2
102.0,104.0,64,E4,2.0,0,37,1.0,violin2
134.0,135.0,76,E5,1.0,0,48,1.0,violin2
137.0,138.0,69,A4,1.0,0,49,1.0,violin2
140.0,141.0,64,E4,1.0,0,50,1.0,violin2
143.0,144.0,57,A3,1.0,0,51,1.0,violin2
146.0,147.0,72,C5,1.0,0,52,1.0,violin2
149.0,150.0,65,F4,1.0,0,53,1.0,violin2
152.0,153.0,60,C4,1.0,0,54,1.0,violin2
155.0,156.0,60,C4,1.0,0,55,1.0,violin2
462.5,463.0,71,B4,0.5,0,139,3.5,violin2
463.0,463.5,69,A4,0.5,0,139,4.0,violin2
463.5,464.0,67,G4,0.5,0,139,4.5,violin2
464.0,465.0,66,F#4,1.0,0,140,1.0,violin2
465.0,466.0,62,D4,1.0,0,140,2.0,violin2
466.0,467.0,64,E4,1.0,0,140,3.0,violin2
467.0,468.0,66,F#4,1.0,0,140,4.0,violin2
468.0,469.5,62,D4,1.5,0,141,1.0,violin2
469.5,470.0,64,E4,0.5,0,141,2.5,violin2
470.0,470.5,66,F#4,0.5,0,141,3.0,violin2
470.5,471.0,62,D4,0.5,0,141,3.5,violin2
471.0,471.5,59,B3,0.5,0,141,4.0,violin2
471.5,472.0,61,C#4,0.5,0,141,4.5,violin2
472.0,473.0,57,A3,1.0,0,142,1.0,violin2
473.0,475.0,69,A4,2.0,0,142,2.0,violin2
475.0,477.0,69,A4,2.0,0,142,4.0,violin2
477.0,478.0,64,E4,1.0,0,143,2.0,violin2
478.0,478.5,61,C#4,0.5,0,143,3.0,violin2
478.5,479.0,64,E4,0.5,0,143,3.5,violin2
479.0,479.5,66,F#4,0.5,0,143,4.0,violin2
479.5,480.0,67,G4,0.5,0,143,4.5,violin2
480.0,481.0,66,F#4,1.0,0,144,1.0,violin2
481.0,482.0,62,D4,1.0,0,144,2.0,violin2
482.0,483.0,64,E4,1.0,0,144,3.0,violin2
483.0,484.0,66,F#4,1.0,0,144,4.0,violin2
484.0,485.5,62,D4,1.5,0,145,1.0,violin2
485.5,486.0,64,E4,0.5,0,145,2.5,violin2
486.0,486.5,66,F#4,0.5,0,145,3.0,violin2
486.5,487.0,69,A4,0.5,0,145,3.5,violin2
487.0,487.5,71,B4,0.5,0,145,4.0,violin2
487.5,488.0,73,C#5,0.5,0,145,4.5,violin2
488.0,488.5,74,D5,0.5,0,146,1.0,violin2
488.5,489.0,73,C#5,0.5,0,146,1.5,violin2
489.0,489.5,71,B4,0.5,0,146,2.0,violin2
489.5,490.0,69,A4,0.5,0,146,2.5,violin2
490.0,490.5,67,G4,0.5,0,146,3.0,violin2
490.5,491.0,66,F#4,0.5,0,146,3.5,violin2
491.0,491.5,64,E4,0.5,0,146,4.0,violin2
491.5,492.5,62,D4,1.0,0,146,4.5,violin2
492.5,493.0,61,C#4,0.5,0,147,1.5,violin2
493.0,493.5,67,G4,0.5,0,147,2.0,violin2
493.5,494.0,66,F#4,0.5,0,147,2.5,violin2
494.0,494.5,66,F#4,0.5,0,147,3.0,violin2
494.5,495.0,66,F#4,0.5,0,147,3.5,violin2
495.0,495.5,64,E4,0.5,0,147,4.0,violin2
495.5,496.0,62,D4,0.5,0,147,4.5,violin2
496.0,497.0,61,C#4,1.0,0,148,1.0,violin2
497.0,498.0,64,E4,1.0,0,148,2.0,violin2
498.0,499.0,62,D4,1.0,0,148,3.0,violin2
499.0,500.0,74,D5,1.0,0,148,4.0,violin2
500.0,501.0,67,G4,1.0,0,149,1.0,violin2
501.0,501.5,66,F#4,0.5,0,149,2.0,violin2
501.5,502.0,64,E4,0.5,0,149,2.5,violin2
502.0,503.0,66,F#4,1.0,0,149,3.0,violin2
503.0,503.5,67,G4,0.5,0,149,4.0,violin2
503.5,504.0,69,A4,0.5,0,149,4.5,violin2
504.0,504.5,71,B4,0.5,0,150,1.0,violin2
504.5,505.0,73,C#5,0.5,0,150,1.5,violin2
505.0,505.5,74,D5,0.5,0,150,2.0,violin2
505.5,506.0,76,E5,0.5,0,150,2.5,violin2
506.0,507.0,74,D5,1.0,0,150,3.0,violin2
507.0,507.5,73,C#5,0.5,0,150,4.0,violin2
507.5,508.0,61,C#4,0.5,0,150,4.5,violin2
508.0,508.5,71,B4,0.5,0,151,1.0,violin2
508.5,509.0,59,B3,0.5,0,151,1.5,violin2
509.0,509.5,58,B-3,0.5,0,151,2.0,violin2
509.5,510.0,70,B-4,0.5,0,151,2.5,violin2
510.0,510.5,69,A4,0.5,0,151,3.0,violin2
510.5,511.0,64,E4,0.5,0,151,3.5,violin2
511.0,511.5,69,A4,0.5,0,151,4.0,violin2
511.5,512.0,67,G4,0.5,0,151,4.5,violin2
512.0,513.0,66,F#4,1.0,0,152,1.0,violin2
513.0,514.0,74,D5,1.0,0,152,2.0,violin2
514.0,515.0,76,E5,1.0,0,152,3.0,violin2
515.0,516.0,78,F#5,1.0,0,152,4.0,violin2
516.0,517.0,74,D5,1.0,0,153,1.0,violin2
517.0,518.0,76,E5,1.0,0,153,2.0,violin2
518.0,519.0,69,A4,1.0,0,153,3.0,violin2
519.0,519.5,71,B4,0.5,0,153,4.0,violin2
519.5,520.0,73,C#5,0.5,0,153,4.5,violin2
520.0,520.5,74,D5,0.5,0,154,1.0,violin2
520.5,521.0,69,A4,0.5,0,154,1.5,violin2
521.0,521.5,71,B4,0.5,0,154,2.0,violin2
521.5,522.0,69,A4,0.5,0,154,2.5,violin2
522.0,522.5,67,G4,0.5,0,154,3.0,violin2
522.5,523.0,66,F#4,0.5,0,154,3.5,violin2
523.0,523.5,64,E4,0.5,0,154,4.0,violin2
523.5,524.5,62,D4,1.0,0,154,4.5,violin2
524.5,525.0,61,C#4,0.5,0,155,1.5,violin2
525.0,525.5,67,G4,0.5,0,155,2.0,violin2
525.5,526.0,66,F#4,0.5,0,155,2.5,violin2
526.0,527.0,66,F#4,1.0,0,155,3.0,violin2
527.0,527.5,64,E4,0.5,0,155,4.0,violin2
527.5,528.0,62,D4,0.5,0,155,4.5,violin2
528.0,529.0,61,C#4,1.0,0,156,1.0,violin2
529.0,530.0,64,E4,1.0,0,156,2.0,violin2
530.0,531.0,62,D4,1.0,0,156,3.0,violin2
531.0,532.0,74,D5,1.0,0,156,4.0,violin2
532.0,533.0,67,G4,1.0,0,157,1.0,violin2
533.0,533.5,66,F#4,0.5,0,157,2.0,violin2
533.5,534.0,64,E4,0.5,0,157,2.5,violin2
534.0,535.0,66,F#4,1.0,0,157,3.0,violin2
535.0,535.5,67,G4,0.5,0,157,4.0,violin2
535.5,536.0,69,A4,0.5,0,157,4.5,violin2
536.0,536.5,71,B4,0.5,0,158,1.0,violin2
536.5,537.0,73,C#5,0.5,0,158,1.5,violin2
537.0,537.5,74,D5,0.5,0,158,2.0,violin2
537.5,538.0,76,E5,0.5,0,158,2.5,violin2
538.0,539.0,74,D5,1.0,0,158,3.0,violin2
539.0,539.5,73,C#5,0.5,0,158,4.0,violin2
539.5,540.0,61,C#4,0.5,0,158,4.5,violin2
540.0,540.5,71,B4,0.5,0,159,1.0,violin2
540.5,541.0,59,B3,0.5,0,159,1.5,violin2
541.0,541.5,58,B-3,0.5,0,159,2.0,violin2
541.5,542.0,70,B-4,0.5,0,159,2.5,violin2
542.0,542.5,69,A4,0.5,0,159,3.0,violin2
542.5,543.0,64,E4,0.5,0,159,3.5,violin2
543.0,543.5,69,A4,0.5,0,159,4.0,violin2
543.5,544.0,67,G4,0.5,0,159,4.5,violin2
544.0,545.0,66,F#4,1.0,0,160,1.0,violin2
545.0,546.0,74,D5,1.0,0,160,2.0,violin2
546.0,547.0,76,E5,1.0,0,160,3.0,violin2
547.0,548.0,78,F#5,1.0,0,160,4.0,violin2
548.0,549.0,74,D5,1.0,0,161,1.0,violin2
549.0,550.0,76,E5,1.0,0,161,2.0,violin2
550.0,551.0,69,A4,1.0,0,161,3.0,violin2
551.0,551.5,71,B4,0.5,0,161,4.0,violin2
551.5,552.0,73,C#5,0.5,0,161,4.5,violin2
552.0,552.5,74,D5,0.5,0,162,1.0,violin2
552.5,553.0,69,A4,0.5,0,162,1.5,violin2
553.0,553.5,71,B4,0.5,0,162,2.0,violin2
553.5,554.0,69,A4,0.5,0,162,2.5,violin2
554.0,554.5,67,G4,0.5,0,162,3.0,violin2
554.5,555.0,66,F#4,0.5,0,162,3.5,violin2
555.0,555.5,64,E4,0.5,0,162,4.0,violin2
555.5,556.5,62,D4,1.0,0,162,4.5,violin2
556.5,557.0,61,C#4,0.5,0,163,1.5,violin2
557.0,557.5,67,G4,0.5,0,163,2.0,violin2
557.5,558.0,66,F#4,0.5,0,163,2.5,violin2
558.0,558.5,66,F#4,0.5,0,163,3.0,violin2
558.5,559.0,71,B4,0.5,0,163,3.5,violin2
559.0,559.5,69,A4,0.5,0,163,4.0,violin2
559.5,560.0,67,G4,0.5,0,163,4.5,violin2
560.0,561.0,62,D4,1.0,0,164,1.0,violin2
560.0,561.0,69,A4,1.0,0,164,1.0,violin2
560.0,561.0,78,F#5,1.0,0,164,1.0,violin2
561.5,562.0,62,D4,0.5,0,164,2.5,violin2
562.0,563.0,74,D5,1.0,0,164,3.0,violin2
563.5,564.0,62,D4,0.5,0,164,4.5,violin2
564.0,565.0,69,A4,1.0,0,165,1.0,violin2
564.0,565.0,81,A5,1.0,0,165,1.0,violin2
565.5,566.0,57,A3,0.5,0,165,2.5,violin2
566.0,567.0,69,A4,1.0,0,165,3.0,violin2
567.5,568.0,57,A3,0.5,0,165,4.5,violin2
568.0,569.0,62,D4,1.0,0,166,1.0,violin2
568.0,569.0,69,A4,1.0,0,166,1.0,violin2
568.0,569.0,78,F#5,1.0,0,166,1.0,violin2
571.0,572.0,62,D4,1.0,0,166,4.0,violin2
571.0,572.0,69,A4,1.0,0,166,4.0,violin2
571.0,572.0,78,F#5,1.0,0,166,4.0,violin2
