onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
24.0,25.0,57,A3,1.0,0,8,3.0,violoncello
25.0,29.0,64,E4,4.0,0,9,1.0,violoncello
29.0,29.5,62,D4,0.5,0,10,2.0,violoncello
29.5,30.0,61,C#4,0.5,0,10,2.5,violoncello
30.0,30.5,62,D4,0.5,0,10,3.0,violoncello
30.5,31.0,64,E4,0.5,0,10,3.5,violoncello
31.0,32.5,64,E4,1.5,0,11,1.0,violoncello
32.5,33.0,55,G3,0.5,0,11,2.5,violoncello
33.0,33.5,57,A3,0.5,0,11,3.0,violoncello
33.5,34.0,58,B-3,0.5,0,11,3.5,violoncello
34.0,34.5,58,B-3,0.5,0,12,1.0,violoncello
34.5,35.0,52,E3,0.5,0,12,1.5,violoncello
35.0,35.5,53,F3,0.5,0,12,2.0,violoncello
35.5,36.0,55,G3,0.5,0,12,2.5,violoncello
36.0,36.5,49,C#3,0.5,0,12,3.0,violoncello
36.5,37.0,50,D3,0.5,0,12,3.5,violoncello
37.0,37.5,52,E3,0.5,0,13,1.0,violoncello
37.5,38.0,43,G2,0.5,0,13,1.5,violoncello
38.0,39.5,43,G2,1.5,0,13,2.0,violoncello
39.5,40.0,45,A2,0.5,0,13,3.5,violoncello
40.0,41.0,46,B-2,1.0,0,14,1.0,violoncello
41.0,44.0,58,B-3,3.0,0,14,2.0,violoncello
44.0,45.5,57,A3,1.5,0,15,2.0,violoncello
45.5,46.0,52,E3,0.5,0,15,3.5,violoncello
46.0,47.0,55,G3,1.0,0,16,1.0,violoncello
47.0,48.0,53,F3,1.0,0,16,2.0,violoncello
70.5,71.0,54,F#3,0.5,0,24,1.5,violoncello
71.0,72.0,57,A3,1.0,0,24,2.0,violoncello
74.5,75.0,53,F3,0.5,0,25,2.5,violoncello
75.0,75.5,60,C4,0.5,0,25,3.0,violoncello
75.5,76.0,60,C4,0.5,0,25,3.5,violoncello
76.0,77.5,63,E-4,1.5,0,26,1.0,violoncello
77.5,78.0,63,E-4,0.5,0,26,2.5,violoncello
78.0,78.5,60,C4,0.5,0,26,3.0,violoncello
78.5,79.0,58,B-3,0.5,0,26,3.5,violoncello
79.0,79.5,58,B-3,0.5,0,27,1.0,violoncello
79.5,80.0,57,A3,0.5,0,27,1.5,violoncello
80.0,80.5,57,A3,0.5,0,27,2.0,violoncello
80.5,81.0,57,A3,0.5,0,27,2.5,violoncello
81.0,81.5,58,B-3,0.5,0,27,3.0,violoncello
81.5,82.0,60,C4,0.5,0,27,3.5,violoncello
82.0,82.5,60,C4,0.5,0,28,1.0,violoncello
82.5,83.0,53,F3,0.5,0,28,1.5,violoncello
83.5,84.0,51,E-3,0.5,0,28,2.5,violoncello
84.0,84.5,51,E-3,0.5,0,28,3.0,violoncello
84.5,85.0,50,D3,0.5,0,28,3.5,violoncello
85.0,85.5,48,C3,0.5,0,29,1.0,violoncello
85.5,86.0,46,B-2,0.5,0,29,1.5,violoncello
88.0,90.0,45,A2,2.0,0,30,1.0,violoncello
88.0,90.0,52,E3,2.0,0,30,1.0,violoncello
90.0,92.0,45,A2,2.0,0,31,1.0,violoncello
90.0,92.0,52,E3,2.0,0,31,1.0,violoncello
92.0,94.0,45,A2,2.0,0,32,1.0,violoncello
92.0,94.0,52,E3,2.0,0,32,1.0,violoncello
94.0,96.0,45,A2,2.0,0,33,1.0,violoncello
94.0,96.0,52,E3,2.0,0,33,1.0,violoncello
96.0,98.0,45,A2,2.0,0,34,1.0,violoncello
96.0,98.0,52,E3,2.0,0,34,1.0,violoncello
98.0,100.0,45,A2,2.0,0,35,1.0,violoncello
98.0,100.0,52,E3,2.0,0,35,1.0,violoncello
100.0,102.0,45,A2,2.0,0,36,1.0,violoncello
100.0,102.0,52,E3,2.0,0,36,1.0,violoncello
102.0,104.0,45,A2,2.0,0,37,1.0,violoncello
102.0,104.0,52,E3,2.0,0,37,1.0,violoncello
104.0,104.5,54,F#3,0.5,0,38,1.0,violoncello
104.5,105.0,54,F#3,0.5,0,38,1.5,violoncello
105.0,108.5,63,E-4,3.5,0,38,2.0,violoncello
108.5,109.0,63,E-4,0.5,0,39,2.5,violoncello
109.0,109.5,63,E-4,0.5,0,39,3.0,violoncello
109.5,110.0,60,C4,0.5,0,39,3.5,violoncello
110.0,110.5,58,B-3,0.5,0,40,1.0,violoncello
110.5,111.0,57,A3,0.5,0,40,1.5,violoncello
111.0,111.5,60,C4,0.5,0,40,2.0,violoncello
111.5,112.0,54,F#3,0.5,0,40,2.5,violoncello
112.0,112.5,55,G3,0.5,0,40,3.0,violoncello
112.5,113.0,57,A3,0.5,0,40,3.5,violoncello
113.0,113.5,57,A3,0.5,0,41,1.0,violoncello
113.5,114.0,48,C3,0.5,0,41,1.5,violoncello
114.0,114.5,50,D3,0.5,0,41,2.0,violoncello
114.5,115.5,51,E-3,1.0,0,41,2.5,violoncello
115.5,116.0,50,D3,0.5,0,41,3.5,violoncello
116.0,117.5,50,D3,1.5,0,42,1.0,violoncello
117.5,118.0,48,C3,0.5,0,42,2.5,violoncello
118.0,118.5,48,C3,0.5,0,42,3.0,violoncello
118.5,119.0,47,B2,0.5,0,42,3.5,violoncello
119.0,119.5,47,B2,0.5,0,43,1.0,violoncello
119.5,120.0,53,F3,0.5,0,43,1.5,violoncello
120.0,120.5,53,F3,0.5,0,43,2.0,violoncello
120.5,121.5,52,E3,1.0,0,43,2.5,violoncello
121.5,122.0,50,D3,0.5,0,43,3.5,violoncello
122.0,122.5,50,D3,0.5,0,44,1.0,violoncello
122.5,123.0,59,B3,0.5,0,44,1.5,violoncello
123.0,123.5,59,B3,0.5,0,44,2.0,violoncello
123.5,124.0,59,B3,0.5,0,44,2.5,violoncello
124.0,124.5,59,B3,0.5,0,44,3.0,violoncello
124.5,125.0,60,C4,0.5,0,44,3.5,violoncello
125.0,128.0,62,D4,3.0,0,45,1.0,violoncello
128.0,130.0,60,C4,2.0,0,46,1.0,violoncello
130.0,131.0,59,B3,1.0,0,46,3.0,violoncello
131.0,132.0,62,D4,1.0,0,47,1.0,violoncello
132.0,133.0,60,C4,1.0,0,47,2.0,violoncello
134.0,135.0,64,E4,1.0,0,48,1.0,violoncello
137.0,138.0,57,A3,1.0,0,49,1.0,violoncello
140.0,141.0,52,E3,1.0,0,50,1.0,violoncello
143.0,144.0,45,A2,1.0,0,51,1.0,violoncello
146.0,147.0,60,C4,1.0,0,52,1.0,violoncello
149.0,150.0,53,F3,1.0,0,53,1.0,violoncello
152.0,153.0,48,C3,1.0,0,54,1.0,violoncello
155.0,156.0,41,F2,1.0,0,55,1.0,violoncello
158.0,159.0,65,F4,1.0,0,56,1.0,violoncello
159.0,160.0,60,C4,1.0,0,56,2.0,violoncello
162.0,163.0,60,C4,1.0,0,57,2.0,violoncello
163.0,163.5,58,B-3,0.5,0,57,3.0,violoncello
163.5,164.0,60,C4,0.5,0,57,3.5,violoncello
164.0,164.5,58,B-3,0.5,0,58,1.0,violoncello
164.5,165.0,57,A3,0.5,0,58,1.5,violoncello
165.0,166.0,57,A3,1.0,0,58,2.0,violoncello
166.0,168.5,53,F3,2.5,0,58,3.0,violoncello
168.5,169.0,53,F3,0.5,0,59,2.5,violoncello
169.0,169.5,53,F3,0.5,0,59,3.0,violoncello
169.5,170.0,55,G3,0.5,0,59,3.5,violoncello
170.0,170.5,58,B-3,0.5,0,60,1.0,violoncello
170.5,171.0,57,A3,0.5,0,60,1.5,violoncello
171.5,172.0,57,A3,0.5,0,60,2.5,violoncello
172.0,172.5,57,A3,0.5,0,60,3.0,violoncello
172.5,173.0,58,B-3,0.5,0,60,3.5,violoncello
173.0,173.5,62,D4,0.5,0,61,1.0,violoncello
173.5,174.0,60,C4,0.5,0,61,1.5,violoncello
174.0,174.5,60,C4,0.5,0,61,2.0,violoncello
174.5,175.0,60,C4,0.5,0,61,2.5,violoncello
175.0,175.5,60,C4,0.5,0,61,3.0,violoncello
175.5,176.0,62,D4,0.5,0,61,3.5,violoncello
176.0,177.0,63,E-4,1.0,0,62,1.0,violoncello
187.0,192.0,58,B-3,5.0,0,65,1.0,violoncello
192.0,193.0,59,C-4,1.0,0,66,3.0,violoncello
193.0,195.0,59,C-4,2.0,0,67,1.0,violoncello
195.0,196.0,56,A-3,1.0,0,67,3.0,violoncello
196.0,198.0,54,G-3,2.0,0,68,1.0,violoncello
198.0,199.0,53,F3,1.0,0,68,3.0,violoncello
201.0,202.0,53,F3,1.0,0,69,3.0,violoncello
202.0,204.0,56,A-3,2.0,0,70,1.0,violoncello
204.0,205.0,61,D-4,1.0,0,70,3.0,violoncello
205.0,206.0,61,C#4,1.0,0,71,1.0,violoncello
