,instrument_name,n_note_played
5,altochoir,794
34,altosolo,272
1,baritonesolo,439
31,basschoir,804
32,bassdrum,228
19,bassoon1,2461
16,bassoon2,1733
9,basstrombone,344
14,clarinet1,2120
8,clarinet2,1558
11,contrabassoon,1245
12,cymbal,218
10,doublebass,2854
0,flute1,2163
3,flute2,935
15,horn1,1244
18,horn2,951
20,horn3,827
22,horn4,608
4,oboe1,2221
2,oboe2,1474
21,piccolo,413
24,sopranochoir,712
35,sopranosolo,258
7,tenorchoir,878
17,tenorsolo,467
25,timpani,912
28,triangle,384
26,trombone1,337
27,trombone2,298
33,trumpet1,1018
30,trumpet2,856
29,viola,3637
6,violin1,3233
13,violin2,3611
23,violoncello,3185
