onset,offset,role
24,48,mel
70,72,mel+rhythm
74,86,mel
88,104,harm
104,133,mel
158,177,mel
187,199,mel+harm
201,219,mel
237,268,mel
272,368,mel
368,464,mel+rhythm
464,488,harm
488,495,mel+rhythm
495,507,harm
507,512,mel+rhythm
512,521,harm
521,527,mel+rhythm
527,539,harm
539,544,mel+rhythm
544,553,harm
553,560,mel+rhythm
560,708,rhythm
708,712,mel
712,716,rhythm
727,732,mel
732,736,rhythm+harm
738,760,mel
776,784,mel+harm
784,799,harm
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
829,839,rhythm
839,903,mel
903,935,mel
935,950,mel
1014,1062,rhythm
1121,1159,rhythm
1159,1179,rhythm+harm
1179,1183,rhythm
1183,1187,rhythm+harm
1187,1191,rhythm
1191,1199,rhythm+harm
1451,1475,rhythm
1475,1499,rhythm
1499,1511,rhythm
1511,1535,mel
1568,1580,rhythm
1580,1595,mel+rhythm
1595,1638,rhythm
1638,1652,rhythm
1664,1670,mel
1670,1679,rhythm
1679,1685,mel
1685,1691,rhythm
1691,1697,mel+rhythm
1697,1715,rhythm
1715,1721,rhythm
1721,1733,mel
1733,1757,rhythm
1757,1782,rhythm
1793,1799,harm
1811,1817,harm
1829,1835,harm
1835,1991,rhythm
1991,2041,mel
2043,2089,rhythm
2089,2137,mel
2137,2185,rhythm
2307,2325,harm
2325,2353,rhythm+harm
2404,2452,rhythm
2452,2500,rhythm+harm
2500,2536,mel+harm
2536,2581,rhythm+harm
2590,2608,rhythm
2611,2632,mel+rhythm
2641,2680,rhythm+harm
2680,2734,rhythm
2743,2806,rhythm+harm
2806,2896,mel+rhythm+harm
2896,2932,rhythm+harm
2932,3004,rhythm+harm
3014,3021,rhythm
3040,3061,rhythm
3080,3100,rhythm
3100,3132,rhythm
3132,3176,mel+rhythm
3176,3193,rhythm
3196,3210,rhythm
3224,3232,rhythm
3232,3258,mel+rhythm
3258,3281,rhythm
3286,3295,rhythm+harm
3296,3324,rhythm+harm
3324,3357,mel+rhythm
3370,3388,mel
3388,3396,rhythm
3396,3428,mel
3428,3456,rhythm
3456,3472,mel
3472,3532,rhythm+harm
3532,3564,mel+rhythm
3564,3619,rhythm
3622,3644,rhythm
3644,3660,rhythm
3660,3712,rhythm+harm
