onset,offset,role
0,7,harm
7,21,rhythm
51,59,harm
59,71,rhythm
72,74,mel+rhythm
86,88,mel+rhythm
88,105,harm
221,240,harm
240,250,rhythm
261,263,rhythm
269,272,rhythm+harm
560,681,mel
684,708,rhythm
708,716,mel
727,732,mel
732,736,rhythm+harm
738,760,rhythm
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
823,840,harm
903,915,harm
915,935,rhythm
935,951,rhythm
951,1015,mel+harm
1015,1050,mel
1050,1062,rhythm
1062,1096,rhythm
1109,1135,rhythm
1135,1142,mel
1142,1155,mel
1155,1158,mel
1158,1167,mel
1167,1199,rhythm+harm
1526,1553,rhythm
1595,1613,mel
1634,1638,rhythm
1679,1685,rhythm
1685,1757,rhythm
1757,1829,rhythm
1829,1835,mel
1835,1989,mel
2331,2353,harm
2398,2452,rhythm+harm
2452,2476,mel+rhythm
2476,2500,rhythm
2500,2536,rhythm
2536,2581,rhythm+harm
2590,2608,rhythm
2613,2662,rhythm+harm
2677,2725,rhythm
2737,2764,rhythm+harm
2764,2806,rhythm
2896,2932,rhythm+harm
2932,2944,harm
2944,3004,rhythm+harm
3020,3045,harm
3060,3085,harm
3100,3156,harm
3156,3192,rhythm
3192,3208,rhythm+harm
3208,3224,harm
3224,3240,rhythm
3240,3261,rhythm
3261,3275,mel
3278,3279,rhythm+harm
3349,3396,rhythm
3396,3428,harm
3428,3472,rhythm+harm
3472,3536,rhythm+harm
3536,3544,harm
3544,3552,rhythm+harm
3552,3560,harm
3560,3564,rhythm+harm
3564,3580,rhythm
3580,3592,mel
3600,3616,mel
3616,3622,rhythm+harm
3622,3628,mel
3628,3644,mel
3644,3660,mel+rhythm
3660,3712,rhythm+harm
