onset,offset,role
0,21,mel
51,71,mel
72,74,mel+rhythm
86,88,mel+rhythm
88,105,harm
134,158,mel
183,188,mel+harm
199,210,harm
219,223,harm
223,240,mel
240,250,rhythm
261,263,mel+rhythm
269,272,rhythm+harm
560,672,mel
672,680,mel
680,692,mel
692,698,mel
698,708,mel
708,712,rhythm
712,716,mel
723,732,mel
732,736,rhythm+harm
738,760,mel
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
823,839,mel
839,855,rhythm
857,867,mel+harm
867,902,rhythm
901,919,rhythm
919,931,rhythm
925,935,rhythm
935,950,rhythm+harm
1015,1046,mel
1046,1062,mel
1061,1072,mel
1077,1101,mel
1103,1123,rhythm
1126,1158,mel
1158,1166,mel
1166,1179,rhythm
1179,1183,rhythm+harm
1183,1187,rhythm
1187,1199,rhythm+harm
1242,1281,mel
1283,1331,mel
1337,1493,mel
1493,1500,rhythm
1529,1595,mel
1595,1619,mel
1619,1638,rhythm
1641,1649,rhythm
1662,1676,rhythm
1676,1685,mel
1685,1715,rhythm
1715,1757,mel
1757,1782,rhythm
1793,1799,mel
1811,1817,mel
1829,1835,mel
1835,1991,mel
2039,2089,mel+harm
2135,2185,mel+harm
2283,2305,rhythm+harm
2313,2323,harm
2323,2353,rhythm
2356,2404,mel+rhythm
2410,2428,rhythm+harm
2428,2452,mel+rhythm
2452,2488,mel+harm
2497,2581,rhythm+harm
2584,2626,mel+rhythm
2629,2680,rhythm+harm
2680,2734,rhythm+harm
2734,2785,harm
2785,2806,rhythm+harm
2854,2896,rhythm
2896,2932,rhythm+harm
2932,2950,mel+rhythm
2980,3004,mel+rhythm
3014,3021,rhythm
3028,3036,harm
3036,3044,rhythm
3044,3061,rhythm
3064,3069,rhythm
3076,3100,rhythm
3100,3156,rhythm
3156,3176,mel+rhythm
3176,3192,mel
3192,3208,rhythm+harm
3208,3240,mel+rhythm
3240,3261,mel+rhythm
3261,3275,mel
3278,3279,rhythm+harm
3349,3356,mel+rhythm
3356,3372,mel
3372,3388,rhythm
3388,3396,mel
3396,3428,mel
3428,3440,mel
3440,3472,mel
3472,3532,rhythm+harm
3532,3544,rhythm
3544,3550,rhythm+harm
3550,3560,rhythm
3560,3564,rhythm+harm
3564,3584,rhythm
3584,3616,mel
3616,3622,rhythm+harm
3622,3625,mel+rhythm+harm
3625,3628,mel
3628,3644,mel
3644,3660,mel+rhythm
3660,3692,rhythm+harm
3692,3712,mel+rhythm
