onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
18.4375,18.5,84,C6,0.0625,0,10,1.875,flute2
18.5,19.5,84,C6,1.0,0,10,2.0,flute2
20.4375,20.5,84,C6,0.0625,0,11,1.875,flute2
20.5,21.5,84,C6,1.0,0,11,2.0,flute2
22.4375,22.5,84,C6,0.0625,0,12,1.875,flute2
22.5,22.875,84,C6,0.375,0,12,2.0,flute2
23.4375,23.5,84,C6,0.0625,0,12,3.875,flute2
23.5,23.875,84,C6,0.375,0,12,4.0,flute2
28.125,28.25,70,B-4,0.125,0,15,1.25,flute2
28.25,28.625,71,C-5,0.375,0,15,1.5,flute2
28.625,28.875,67,G4,0.25,0,15,2.25,flute2
28.875,29.0,68,A-4,0.125,0,15,2.75,flute2
29.0,29.125,68,A-4,0.125,0,15,3.0,flute2
29.125,29.375,64,E4,0.25,0,15,3.25,flute2
29.375,29.5,65,F4,0.125,0,15,3.75,flute2
29.5,29.625,65,F4,0.125,0,15,4.0,flute2
29.625,29.875,61,C#4,0.25,0,15,4.25,flute2
29.875,30.0,62,D4,0.125,0,15,4.75,flute2
30.0,30.125,62,D4,0.125,0,16,1.0,flute2
32.125,32.25,73,C#5,0.125,0,17,1.25,flute2
32.25,32.625,74,D5,0.375,0,17,1.5,flute2
32.625,32.875,70,B-4,0.25,0,17,2.25,flute2
32.875,33.0,71,C-5,0.125,0,17,2.75,flute2
33.0,33.125,71,C-5,0.125,0,17,3.0,flute2
33.125,33.375,67,G4,0.25,0,17,3.25,flute2
33.375,33.5,68,A-4,0.125,0,17,3.75,flute2
33.5,33.625,68,A-4,0.125,0,17,4.0,flute2
33.625,33.875,64,E4,0.25,0,17,4.25,flute2
33.875,34.0,65,F4,0.125,0,17,4.75,flute2
34.0,34.125,65,F4,0.125,0,18,1.0,flute2
36.0,36.125,86,D6,0.125,0,19,1.0,flute2
37.0,37.125,86,D6,0.125,0,19,3.0,flute2
38.0,38.125,87,D#6,0.125,0,20,1.0,flute2
39.0,39.125,87,D#6,0.125,0,20,3.0,flute2
40.0,40.125,88,E6,0.125,0,21,1.0,flute2
41.625,41.75,82,B-5,0.125,0,21,4.25,flute2
41.75,41.875,82,B-5,0.125,0,21,4.5,flute2
41.875,42.0,85,C#6,0.125,0,21,4.75,flute2
42.0,42.125,88,E6,0.125,0,22,1.0,flute2
