onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
6.4375,6.5,64,E4,0.0625,0,4,1.875,horn3
6.5,8.5,64,E4,2.0,0,4,2.0,horn3
18.4375,18.5,54,F#3,0.0625,0,10,1.875,horn3
18.5,19.5,54,F#3,1.0,0,10,2.0,horn3
20.4375,20.5,54,F#3,0.0625,0,11,1.875,horn3
20.5,21.5,54,F#3,1.0,0,11,2.0,horn3
22.4375,22.5,54,F#3,0.0625,0,12,1.875,horn3
22.5,22.875,54,F#3,0.375,0,12,2.0,horn3
23.4375,23.5,54,F#3,0.0625,0,12,3.875,horn3
23.5,23.875,54,F#3,0.375,0,12,4.0,horn3
30.0,30.375,50,D3,0.375,0,16,1.0,horn3
30.375,30.5,53,F3,0.125,0,16,1.75,horn3
30.5,30.625,56,A-3,0.125,0,16,2.0,horn3
30.625,31.0,58,B-3,0.375,0,16,2.25,horn3
31.0,31.375,59,C-4,0.375,0,16,3.0,horn3
31.375,31.5,56,A-3,0.125,0,16,3.75,horn3
31.5,31.625,54,G-3,0.125,0,16,4.0,horn3
31.625,32.0,53,F3,0.375,0,16,4.25,horn3
34.0,34.375,53,E#3,0.375,0,18,1.0,horn3
34.375,34.5,56,G#3,0.125,0,18,1.75,horn3
34.5,34.625,59,B3,0.125,0,18,2.0,horn3
34.625,35.0,61,C#4,0.375,0,18,2.25,horn3
35.0,35.375,62,D4,0.375,0,18,3.0,horn3
35.375,35.5,59,B3,0.125,0,18,3.75,horn3
35.5,35.625,57,A3,0.125,0,18,4.0,horn3
35.625,36.0,56,G#3,0.375,0,18,4.25,horn3
36.0,36.125,59,B3,0.125,0,19,1.0,horn3
37.0,37.125,59,B3,0.125,0,19,3.0,horn3
38.0,38.125,59,B3,0.125,0,20,1.0,horn3
39.0,39.125,60,C4,0.125,0,20,3.0,horn3
40.0,40.25,64,E4,0.25,0,21,1.0,horn3
40.25,40.5,67,G4,0.25,0,21,1.5,horn3
40.5,40.75,64,E4,0.25,0,21,2.0,horn3
40.75,41.0,60,C4,0.25,0,21,2.5,horn3
41.0,41.25,58,B-3,0.25,0,21,3.0,horn3
41.25,41.5,55,G3,0.25,0,21,3.5,horn3
41.5,41.66666666666666,52,E3,0.1666666666666666,0,21,4.0,horn3
41.66666666666666,41.83333333333333,61,C#4,0.1666666666666666,0,21,4.333333333333333,horn3
41.833333333333336,42.0,61,C#4,0.1666666666666666,0,21,4.666666666666667,horn3
42.0,42.125,64,E4,0.125,0,22,1.0,horn3
42.5,42.625,59,B3,0.125,0,22,2.0,horn3
46.0,47.5,52,E3,1.5,0,24,1.0,horn3
47.5,48.0,55,G3,0.5,0,24,2.5,horn3
48.0,48.5,59,B3,0.5,0,25,1.0,horn3
48.5,50.0,64,E4,1.5,0,25,1.5,horn3
50.0,51.0,67,G4,1.0,0,26,1.0,horn3
51.0,51.5,64,E4,0.5,0,26,2.0,horn3
51.5,52.0,60,C4,0.5,0,26,2.5,horn3
52.0,52.5,59,B3,0.5,0,27,1.0,horn3
52.5,54.0,52,E3,1.5,0,27,1.5,horn3
76.0,78.5,59,B3,2.5,0,39,1.0,horn3
80.0,82.5,64,E4,2.5,0,41,1.0,horn3
84.0,86.5,59,B3,2.5,0,43,1.0,horn3
88.0,90.5,57,A3,2.5,0,45,1.0,horn3
104.0,104.5,56,G#3,0.5,0,53,1.0,horn3
104.5,106.0,57,A3,1.5,0,53,1.5,horn3
106.0,106.5,56,G#3,0.5,0,54,1.0,horn3
106.5,108.0,57,A3,1.5,0,54,1.5,horn3
108.0,108.5,57,A3,0.5,0,55,1.0,horn3
108.5,110.0,58,B-3,1.5,0,55,1.5,horn3
110.0,110.5,57,A3,0.5,0,56,1.0,horn3
110.5,112.0,58,B-3,1.5,0,56,1.5,horn3
112.0,112.5,59,B3,0.5,0,57,1.0,horn3
112.5,113.0,59,B3,0.5,0,57,1.5,horn3
113.0,113.5,59,B3,0.5,0,57,2.0,horn3
113.5,114.0,59,B3,0.5,0,57,2.5,horn3
114.0,114.5,59,B3,0.5,0,58,1.0,horn3
114.5,115.0,59,B3,0.5,0,58,1.5,horn3
115.0,115.5,59,B3,0.5,0,58,2.0,horn3
115.5,116.0,59,B3,0.5,0,58,2.5,horn3
116.0,117.5,52,E3,1.5,0,59,1.0,horn3
117.5,118.0,55,G3,0.5,0,59,2.5,horn3
118.0,118.5,59,B3,0.5,0,60,1.0,horn3
118.5,120.0,64,E4,1.5,0,60,1.5,horn3
120.0,121.0,67,G4,1.0,0,61,1.0,horn3
121.0,121.5,64,E4,0.5,0,61,2.0,horn3
121.5,122.0,60,C4,0.5,0,61,2.5,horn3
122.0,122.5,59,B3,0.5,0,62,1.0,horn3
122.5,124.0,52,E3,1.5,0,62,1.5,horn3
124.0,125.0,64,E4,1.0,0,63,1.0,horn3
125.5,126.0,59,B3,0.5,0,63,2.5,horn3
126.0,127.0,64,E4,1.0,0,64,1.0,horn3
127.5,128.0,59,B3,0.5,0,64,2.5,horn3
128.0,128.5,64,E4,0.5,0,65,1.0,horn3
129.5,130.0,59,B3,0.5,0,65,2.5,horn3
130.0,131.5,64,E4,1.5,0,66,1.0,horn3
133.5,134.0,52,E3,0.5,0,67,2.5,horn3
134.0,135.5,57,A3,1.5,0,68,1.0,horn3
137.5,138.0,57,A3,0.5,0,69,2.5,horn3
138.0,139.5,62,D4,1.5,0,70,1.0,horn3
141.5,142.0,50,D3,0.5,0,71,2.5,horn3
142.0,143.5,55,G3,1.5,0,72,1.0,horn3
144.0,146.0,64,E4,2.0,0,73,1.0,horn3
148.0,150.0,64,E4,2.0,0,75,1.0,horn3
180.0,181.0,62,D4,1.0,0,91,1.0,horn3
181.0,182.0,62,D4,1.0,0,91,2.0,horn3
182.0,183.0,62,D4,1.0,0,92,1.0,horn3
183.0,184.0,62,D4,1.0,0,92,2.0,horn3
184.0,185.0,62,D4,1.0,0,93,1.0,horn3
185.0,186.0,62,D4,1.0,0,93,2.0,horn3
186.0,187.0,62,D4,1.0,0,94,1.0,horn3
187.0,188.0,62,D4,1.0,0,94,2.0,horn3
188.0,189.0,62,D4,1.0,0,95,1.0,horn3
189.0,190.0,62,D4,1.0,0,95,2.0,horn3
190.0,191.0,62,D4,1.0,0,96,1.0,horn3
191.0,192.0,62,D4,1.0,0,96,2.0,horn3
192.0,193.0,62,D4,1.0,0,97,1.0,horn3
193.0,194.0,62,D4,1.0,0,97,2.0,horn3
194.0,195.0,62,D4,1.0,0,98,1.0,horn3
195.0,196.0,62,D4,1.0,0,98,2.0,horn3
240.0,248.0,64,E4,8.0,0,121,1.0,horn3
344.0,345.5,67,G4,1.5,0,173,1.0,horn3
345.5,346.0,67,G4,0.5,0,173,2.5,horn3
346.0,346.5,64,E4,0.5,0,174,1.0,horn3
346.5,347.5,62,D4,1.0,0,174,1.5,horn3
347.5,348.0,62,D4,0.5,0,174,2.5,horn3
348.0,349.5,62,D4,1.5,0,175,1.0,horn3
349.5,350.0,62,D4,0.5,0,175,2.5,horn3
350.0,350.5,62,D4,0.5,0,176,1.0,horn3
350.5,351.0,62,D4,0.5,0,176,1.5,horn3
351.0,351.5,62,D4,0.5,0,176,2.0,horn3
351.5,352.0,62,D4,0.5,0,176,2.5,horn3
352.0,352.5,62,D4,0.5,0,177,1.0,horn3
353.0,353.5,63,D#4,0.5,0,177,2.0,horn3
354.0,354.5,59,B3,0.5,0,178,1.0,horn3
360.0,361.5,52,E3,1.5,0,181,1.0,horn3
361.5,362.0,55,G3,0.5,0,181,2.5,horn3
362.0,362.5,59,B3,0.5,0,182,1.0,horn3
362.5,364.0,64,E4,1.5,0,182,1.5,horn3
364.0,365.0,67,G4,1.0,0,183,1.0,horn3
365.0,365.5,64,E4,0.5,0,183,2.0,horn3
365.5,366.0,60,C4,0.5,0,183,2.5,horn3
366.0,366.5,59,B3,0.5,0,184,1.0,horn3
366.5,368.0,52,E3,1.5,0,184,1.5,horn3
390.0,392.5,59,B3,2.5,0,196,1.0,horn3
394.0,396.5,64,E4,2.5,0,198,1.0,horn3
398.0,400.5,59,B3,2.5,0,200,1.0,horn3
402.0,404.5,57,A3,2.5,0,202,1.0,horn3
418.0,418.5,56,G#3,0.5,0,210,1.0,horn3
418.5,420.0,57,A3,1.5,0,210,1.5,horn3
420.0,420.5,56,G#3,0.5,0,211,1.0,horn3
420.5,422.0,57,A3,1.5,0,211,1.5,horn3
422.0,422.5,57,A3,0.5,0,212,1.0,horn3
422.5,424.0,58,B-3,1.5,0,212,1.5,horn3
424.0,424.5,57,A3,0.5,0,213,1.0,horn3
424.5,426.0,58,B-3,1.5,0,213,1.5,horn3
426.0,426.5,59,B3,0.5,0,214,1.0,horn3
426.5,427.0,59,B3,0.5,0,214,1.5,horn3
427.0,427.5,59,B3,0.5,0,214,2.0,horn3
427.5,428.0,59,B3,0.5,0,214,2.5,horn3
428.0,428.5,59,B3,0.5,0,215,1.0,horn3
428.5,429.0,59,B3,0.5,0,215,1.5,horn3
429.0,429.5,59,B3,0.5,0,215,2.0,horn3
429.5,430.0,59,B3,0.5,0,215,2.5,horn3
430.0,431.5,52,E3,1.5,0,216,1.0,horn3
431.5,432.0,55,G3,0.5,0,216,2.5,horn3
432.0,432.5,59,B3,0.5,0,217,1.0,horn3
432.5,434.0,64,E4,1.5,0,217,1.5,horn3
434.0,435.0,67,G4,1.0,0,218,1.0,horn3
435.0,435.5,64,E4,0.5,0,218,2.0,horn3
435.5,436.0,60,C4,0.5,0,218,2.5,horn3
436.0,436.5,59,B3,0.5,0,219,1.0,horn3
436.5,438.0,52,E3,1.5,0,219,1.5,horn3
438.0,439.0,64,E4,1.0,0,220,1.0,horn3
439.5,440.0,59,B3,0.5,0,220,2.5,horn3
440.0,441.0,64,E4,1.0,0,221,1.0,horn3
441.5,442.0,59,B3,0.5,0,221,2.5,horn3
442.0,442.5,64,E4,0.5,0,222,1.0,horn3
443.5,444.0,59,B3,0.5,0,222,2.5,horn3
444.0,445.5,64,E4,1.5,0,223,1.0,horn3
447.5,448.0,52,E3,0.5,0,224,2.5,horn3
448.0,449.5,57,A3,1.5,0,225,1.0,horn3
451.5,452.0,57,A3,0.5,0,226,2.5,horn3
452.0,453.5,62,D4,1.5,0,227,1.0,horn3
455.5,456.0,50,D3,0.5,0,228,2.5,horn3
456.0,457.5,55,G3,1.5,0,229,1.0,horn3
458.0,460.0,64,E4,2.0,0,230,1.0,horn3
462.0,464.0,64,E4,2.0,0,232,1.0,horn3
494.0,495.0,62,D4,1.0,0,248,1.0,horn3
495.0,496.0,62,D4,1.0,0,248,2.0,horn3
496.0,497.0,62,D4,1.0,0,249,1.0,horn3
497.0,498.0,62,D4,1.0,0,249,2.0,horn3
498.0,499.0,62,D4,1.0,0,250,1.0,horn3
499.0,500.0,62,D4,1.0,0,250,2.0,horn3
500.0,501.0,62,D4,1.0,0,251,1.0,horn3
501.0,502.0,62,D4,1.0,0,251,2.0,horn3
502.0,503.0,62,D4,1.0,0,252,1.0,horn3
503.0,504.0,62,D4,1.0,0,252,2.0,horn3
504.0,505.0,62,D4,1.0,0,253,1.0,horn3
505.0,506.0,62,D4,1.0,0,253,2.0,horn3
506.0,507.0,62,D4,1.0,0,254,1.0,horn3
507.0,508.0,62,D4,1.0,0,254,2.0,horn3
508.0,509.0,62,D4,1.0,0,255,1.0,horn3
509.0,510.0,62,D4,1.0,0,255,2.0,horn3
554.0,562.0,64,E4,8.0,0,278,1.0,horn3
658.0,659.5,67,G4,1.5,0,330,1.0,horn3
659.5,660.0,67,G4,0.5,0,330,2.5,horn3
660.0,660.5,64,E4,0.5,0,331,1.0,horn3
660.5,661.5,62,D4,1.0,0,331,1.5,horn3
661.5,662.0,62,D4,0.5,0,331,2.5,horn3
662.0,663.5,62,D4,1.5,0,332,1.0,horn3
663.5,664.0,62,D4,0.5,0,332,2.5,horn3
664.0,664.5,62,D4,0.5,0,333,1.0,horn3
664.5,665.0,62,D4,0.5,0,333,1.5,horn3
665.0,665.5,62,D4,0.5,0,333,2.0,horn3
665.5,666.0,62,D4,0.5,0,333,2.5,horn3
666.0,666.5,62,D4,0.5,0,334,1.0,horn3
667.0,667.5,55,G3,0.5,0,334,2.0,horn3
668.0,670.5,67,G4,2.5,0,335,1.0,horn3
676.0,683.0,67,G4,7.0,0,339,1.0,horn3
738.0,746.0,63,E-4,8.0,0,370,1.0,horn3
746.0,746.5,61,C#4,0.5,0,374,1.0,horn3
754.0,762.0,63,E-4,8.0,0,378,1.0,horn3
762.0,762.5,60,C4,0.5,0,382,1.0,horn3
764.0,764.5,60,C4,0.5,0,383,1.0,horn3
766.0,766.5,60,C4,0.5,0,384,1.0,horn3
768.0,768.5,62,D4,0.5,0,385,1.0,horn3
770.0,770.5,65,F4,0.5,0,386,1.0,horn3
778.0,782.0,51,E-3,4.0,0,390,1.0,horn3
782.0,786.0,51,E-3,4.0,0,392,1.0,horn3
794.0,798.0,52,E3,4.0,0,398,1.0,horn3
798.0,802.0,52,E3,4.0,0,400,1.0,horn3
810.0,811.0,60,C4,1.0,0,406,1.0,horn3
811.5,812.0,60,C4,0.5,0,406,2.5,horn3
812.0,813.0,60,C4,1.0,0,407,1.0,horn3
813.5,814.0,60,C4,0.5,0,407,2.5,horn3
814.0,815.0,60,C4,1.0,0,408,1.0,horn3
815.5,816.0,60,C4,0.5,0,408,2.5,horn3
816.0,817.0,60,C4,1.0,0,409,1.0,horn3
817.5,818.0,60,C4,0.5,0,409,2.5,horn3
818.0,818.5,60,C4,0.5,0,410,1.0,horn3
819.0,819.5,60,C4,0.5,0,410,2.0,horn3
820.0,820.5,60,C4,0.5,0,411,1.0,horn3
821.0,821.5,60,C4,0.5,0,411,2.0,horn3
822.0,822.5,60,C4,0.5,0,412,1.0,horn3
823.0,823.5,60,C4,0.5,0,412,2.0,horn3
824.0,824.5,61,C#4,0.5,0,413,1.0,horn3
825.0,825.5,62,D4,0.5,0,413,2.0,horn3
826.0,834.0,61,C#4,8.0,0,414,1.0,horn3
834.0,842.0,61,C#4,8.0,0,418,1.0,horn3
842.0,842.5,62,D4,0.5,0,422,1.0,horn3
858.0,859.5,52,E3,1.5,0,430,1.0,horn3
859.5,860.0,55,G3,0.5,0,430,2.5,horn3
860.0,860.5,59,B3,0.5,0,431,1.0,horn3
860.5,862.0,64,E4,1.5,0,431,1.5,horn3
862.0,863.0,67,G4,1.0,0,432,1.0,horn3
863.0,863.5,64,E4,0.5,0,432,2.0,horn3
863.5,864.0,60,C4,0.5,0,432,2.5,horn3
864.0,864.5,59,B3,0.5,0,433,1.0,horn3
864.5,866.0,52,E3,1.5,0,433,1.5,horn3
888.0,890.5,59,B3,2.5,0,445,1.0,horn3
892.0,894.5,54,F#3,2.5,0,447,1.0,horn3
896.0,898.5,64,E4,2.5,0,449,1.0,horn3
900.0,902.5,56,G#3,2.5,0,451,1.0,horn3
904.0,905.0,64,E4,1.0,0,453,1.0,horn3
908.0,909.0,64,E4,1.0,0,455,1.0,horn3
996.0,1003.5,60,C4,7.5,0,499,1.0,horn3
1096.0,1097.5,76,E5,1.5,0,549,1.0,horn3
1097.5,1098.0,76,E5,0.5,0,549,2.5,horn3
1098.0,1098.5,73,C#5,0.5,0,550,1.0,horn3
1098.5,1100.0,71,B4,1.5,0,550,1.5,horn3
1100.0,1101.5,76,E5,1.5,0,551,1.0,horn3
1101.5,1102.0,76,E5,0.5,0,551,2.5,horn3
1102.0,1102.5,73,C#5,0.5,0,552,1.0,horn3
1102.5,1104.0,71,B4,1.5,0,552,1.5,horn3
1104.0,1106.0,72,C5,2.0,0,553,1.0,horn3
1106.0,1108.0,77,F5,2.0,0,554,1.0,horn3
1108.0,1112.0,69,A4,4.0,0,555,1.0,horn3
1112.0,1116.0,68,A-4,4.0,0,557,1.0,horn3
1116.0,1120.0,68,A-4,4.0,0,559,1.0,horn3
1120.0,1121.0,68,A-4,1.0,0,561,1.0,horn3
1121.5,1122.0,68,A-4,0.5,0,561,2.5,horn3
1122.0,1123.0,68,A-4,1.0,0,562,1.0,horn3
1123.5,1124.0,68,A-4,0.5,0,562,2.5,horn3
1124.0,1125.0,68,A-4,1.0,0,563,1.0,horn3
1125.5,1126.0,68,A-4,0.5,0,563,2.5,horn3
1126.0,1127.0,68,A-4,1.0,0,564,1.0,horn3
1127.5,1128.0,68,A-4,0.5,0,564,2.5,horn3
1128.0,1136.0,67,G4,8.0,0,565,1.0,horn3
1136.0,1138.0,72,C5,2.0,0,569,1.0,horn3
1140.0,1142.0,72,C5,2.0,0,571,1.0,horn3
1144.0,1146.0,72,C5,2.0,0,573,1.0,horn3
1148.0,1150.0,72,C5,2.0,0,575,1.0,horn3
1152.0,1153.0,68,A-4,1.0,0,577,1.0,horn3
1154.0,1155.0,68,A-4,1.0,0,578,1.0,horn3
1156.0,1157.0,68,A-4,1.0,0,579,1.0,horn3
1158.0,1159.0,68,A-4,1.0,0,580,1.0,horn3
1160.0,1160.5,67,G4,0.5,0,581,1.0,horn3
1161.0,1161.5,68,A-4,0.5,0,581,2.0,horn3
1162.0,1162.5,65,F4,0.5,0,582,1.0,horn3
1163.0,1163.5,63,E-4,0.5,0,582,2.0,horn3
1164.0,1164.5,68,A-4,0.5,0,583,1.0,horn3
1165.0,1165.5,72,C5,0.5,0,583,2.0,horn3
1166.0,1166.5,71,B4,0.5,0,584,1.0,horn3
1167.0,1167.5,72,C5,0.5,0,584,2.0,horn3
1168.0,1169.0,72,C5,1.0,0,585,1.0,horn3
1170.0,1170.5,67,G4,0.5,0,586,1.0,horn3
1171.0,1171.5,67,G4,0.5,0,586,2.0,horn3
1172.0,1173.0,60,C4,1.0,0,587,1.0,horn3
1174.0,1174.5,65,F4,0.5,0,588,1.0,horn3
1175.0,1175.5,67,G4,0.5,0,588,2.0,horn3
1176.0,1177.0,75,E-5,1.0,0,589,1.0,horn3
1177.5,1178.0,74,D5,0.5,0,589,2.5,horn3
1178.0,1179.0,75,E-5,1.0,0,590,1.0,horn3
1179.5,1180.0,74,D5,0.5,0,590,2.5,horn3
1180.0,1180.5,75,E-5,0.5,0,591,1.0,horn3
1180.5,1181.0,74,D5,0.5,0,591,1.5,horn3
1181.0,1181.5,75,E-5,0.5,0,591,2.0,horn3
1181.5,1182.0,74,D5,0.5,0,591,2.5,horn3
1182.0,1182.5,75,E-5,0.5,0,592,1.0,horn3
