onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
36.0,36.125,47,B2,0.125,0,19,1.0,trombone3
37.0,37.125,47,B2,0.125,0,19,3.0,trombone3
38.0,38.125,47,B2,0.125,0,20,1.0,trombone3
39.0,39.125,48,C3,0.125,0,20,3.0,trombone3
40.0,40.125,48,C3,0.125,0,21,1.0,trombone3
41.625,41.75,52,E3,0.125,0,21,4.25,trombone3
41.75,41.875,49,C#3,0.125,0,21,4.5,trombone3
41.875,42.0,46,A#2,0.125,0,21,4.75,trombone3
42.0,42.125,47,B2,0.125,0,22,1.0,trombone3
42.5,42.625,47,B2,0.125,0,22,2.0,trombone3
76.0,78.5,47,B2,2.5,0,39,1.0,trombone3
80.0,82.5,52,E3,2.5,0,41,1.0,trombone3
84.0,86.5,51,D#3,2.5,0,43,1.0,trombone3
88.0,90.5,52,E3,2.5,0,45,1.0,trombone3
116.0,117.5,40,E2,1.5,0,59,1.0,trombone3
117.5,118.0,43,G2,0.5,0,59,2.5,trombone3
118.0,118.5,47,B2,0.5,0,60,1.0,trombone3
118.5,120.0,52,E3,1.5,0,60,1.5,trombone3
120.0,121.0,55,G3,1.0,0,61,1.0,trombone3
121.0,121.5,52,E3,0.5,0,61,2.0,trombone3
121.5,122.0,48,C3,0.5,0,61,2.5,trombone3
122.0,122.5,47,B2,0.5,0,62,1.0,trombone3
122.5,124.0,40,E2,1.5,0,62,1.5,trombone3
124.0,125.0,52,E3,1.0,0,63,1.0,trombone3
125.5,126.0,47,B2,0.5,0,63,2.5,trombone3
126.0,127.0,52,E3,1.0,0,64,1.0,trombone3
127.5,128.0,47,B2,0.5,0,64,2.5,trombone3
128.0,128.5,52,E3,0.5,0,65,1.0,trombone3
130.0,131.0,45,A2,1.0,0,66,1.0,trombone3
131.5,132.0,52,E3,0.5,0,66,2.5,trombone3
132.0,133.0,52,E3,1.0,0,67,1.0,trombone3
135.5,136.0,45,A2,0.5,0,68,2.5,trombone3
136.0,137.0,50,D3,1.0,0,69,1.0,trombone3
139.5,140.0,50,D3,0.5,0,70,2.5,trombone3
140.0,141.0,43,G2,1.0,0,71,1.0,trombone3
143.5,144.0,43,G2,0.5,0,72,2.5,trombone3
144.0,146.0,49,C#3,2.0,0,73,1.0,trombone3
148.0,150.0,48,C3,2.0,0,75,1.0,trombone3
340.0,341.5,55,G3,1.5,0,171,1.0,trombone3
341.5,342.0,55,G3,0.5,0,171,2.5,trombone3
342.0,342.5,52,E3,0.5,0,172,1.0,trombone3
342.5,344.0,50,D3,1.5,0,172,1.5,trombone3
344.0,344.75,55,G3,0.75,0,173,1.0,trombone3
344.75,345.0,59,B3,0.25,0,173,1.75,trombone3
345.0,345.5,50,D3,0.5,0,173,2.0,trombone3
346.0,346.5,50,D3,0.5,0,174,1.0,trombone3
347.5,348.0,50,D3,0.5,0,174,2.5,trombone3
348.0,348.5,55,G3,0.5,0,175,1.0,trombone3
348.5,349.0,50,D3,0.5,0,175,1.5,trombone3
349.0,349.5,55,G3,0.5,0,175,2.0,trombone3
349.5,350.0,50,D3,0.5,0,175,2.5,trombone3
350.0,350.5,55,G3,0.5,0,176,1.0,trombone3
350.5,351.0,50,D3,0.5,0,176,1.5,trombone3
351.0,351.5,55,G3,0.5,0,176,2.0,trombone3
351.5,352.0,50,D3,0.5,0,176,2.5,trombone3
352.0,352.5,55,G3,0.5,0,177,1.0,trombone3
353.0,353.5,50,D3,0.5,0,177,2.0,trombone3
354.0,354.5,47,B2,0.5,0,178,1.0,trombone3
390.0,392.5,47,B2,2.5,0,196,1.0,trombone3
394.0,396.5,52,E3,2.5,0,198,1.0,trombone3
398.0,400.5,51,D#3,2.5,0,200,1.0,trombone3
402.0,404.5,52,E3,2.5,0,202,1.0,trombone3
430.0,431.5,40,E2,1.5,0,216,1.0,trombone3
431.5,432.0,43,G2,0.5,0,216,2.5,trombone3
432.0,432.5,47,B2,0.5,0,217,1.0,trombone3
432.5,434.0,52,E3,1.5,0,217,1.5,trombone3
434.0,435.0,55,G3,1.0,0,218,1.0,trombone3
435.0,435.5,52,E3,0.5,0,218,2.0,trombone3
435.5,436.0,48,C3,0.5,0,218,2.5,trombone3
436.0,436.5,47,B2,0.5,0,219,1.0,trombone3
436.5,438.0,40,E2,1.5,0,219,1.5,trombone3
438.0,439.0,52,E3,1.0,0,220,1.0,trombone3
439.5,440.0,47,B2,0.5,0,220,2.5,trombone3
440.0,441.0,52,E3,1.0,0,221,1.0,trombone3
441.5,442.0,47,B2,0.5,0,221,2.5,trombone3
442.0,442.5,52,E3,0.5,0,222,1.0,trombone3
444.0,445.0,45,A2,1.0,0,223,1.0,trombone3
445.5,446.0,52,E3,0.5,0,223,2.5,trombone3
446.0,447.0,52,E3,1.0,0,224,1.0,trombone3
449.5,450.0,45,A2,0.5,0,225,2.5,trombone3
450.0,451.0,50,D3,1.0,0,226,1.0,trombone3
453.5,454.0,50,D3,0.5,0,227,2.5,trombone3
454.0,455.0,43,G2,1.0,0,228,1.0,trombone3
457.5,458.0,43,G2,0.5,0,229,2.5,trombone3
458.0,460.0,49,C#3,2.0,0,230,1.0,trombone3
462.0,464.0,48,C3,2.0,0,232,1.0,trombone3
654.0,655.5,55,G3,1.5,0,328,1.0,trombone3
655.5,656.0,55,G3,0.5,0,328,2.5,trombone3
656.0,656.5,52,E3,0.5,0,329,1.0,trombone3
656.5,658.0,50,D3,1.5,0,329,1.5,trombone3
658.0,658.75,55,G3,0.75,0,330,1.0,trombone3
658.75,659.0,59,B3,0.25,0,330,1.75,trombone3
659.0,659.5,50,D3,0.5,0,330,2.0,trombone3
660.0,660.5,50,D3,0.5,0,331,1.0,trombone3
661.5,662.0,50,D3,0.5,0,331,2.5,trombone3
662.0,662.5,55,G3,0.5,0,332,1.0,trombone3
662.5,663.0,50,D3,0.5,0,332,1.5,trombone3
663.0,663.5,55,G3,0.5,0,332,2.0,trombone3
663.5,664.0,50,D3,0.5,0,332,2.5,trombone3
664.0,664.5,55,G3,0.5,0,333,1.0,trombone3
664.5,665.0,50,D3,0.5,0,333,1.5,trombone3
665.0,665.5,55,G3,0.5,0,333,2.0,trombone3
665.5,666.0,50,D3,0.5,0,333,2.5,trombone3
666.0,666.5,47,B2,0.5,0,334,1.0,trombone3
667.0,667.5,47,B2,0.5,0,334,2.0,trombone3
762.0,762.5,51,D#3,0.5,0,382,1.0,trombone3
764.0,764.5,51,D#3,0.5,0,383,1.0,trombone3
766.0,766.5,50,D3,0.5,0,384,1.0,trombone3
768.0,768.5,50,D3,0.5,0,385,1.0,trombone3
786.0,787.0,51,D#3,1.0,0,394,1.0,trombone3
787.0,788.0,54,F#3,1.0,0,394,2.0,trombone3
788.0,789.0,51,D#3,1.0,0,395,1.0,trombone3
789.0,790.0,54,F#3,1.0,0,395,2.0,trombone3
790.0,791.0,51,D#3,1.0,0,396,1.0,trombone3
791.0,792.0,54,F#3,1.0,0,396,2.0,trombone3
792.0,793.0,51,D#3,1.0,0,397,1.0,trombone3
793.0,793.5,54,F#3,0.5,0,397,2.0,trombone3
793.5,794.0,47,B2,0.5,0,397,2.5,trombone3
794.0,795.0,52,E3,1.0,0,398,1.0,trombone3
802.0,803.0,52,E3,1.0,0,402,1.0,trombone3
803.0,804.0,55,G3,1.0,0,402,2.0,trombone3
804.0,805.0,52,E3,1.0,0,403,1.0,trombone3
805.0,806.0,55,G3,1.0,0,403,2.0,trombone3
806.0,807.0,52,E3,1.0,0,404,1.0,trombone3
807.0,808.0,55,G3,1.0,0,404,2.0,trombone3
808.0,809.0,52,E3,1.0,0,405,1.0,trombone3
809.0,809.5,55,G3,0.5,0,405,2.0,trombone3
809.5,810.0,48,C3,0.5,0,405,2.5,trombone3
810.0,810.5,53,F3,0.5,0,406,1.0,trombone3
811.5,812.0,48,C3,0.5,0,406,2.5,trombone3
812.0,812.5,53,F3,0.5,0,407,1.0,trombone3
813.5,814.0,48,C3,0.5,0,407,2.5,trombone3
814.0,814.5,53,F3,0.5,0,408,1.0,trombone3
815.5,816.0,48,C3,0.5,0,408,2.5,trombone3
816.0,816.5,54,F#3,0.5,0,409,1.0,trombone3
817.5,818.0,48,C3,0.5,0,409,2.5,trombone3
818.0,818.5,48,C3,0.5,0,410,1.0,trombone3
819.0,819.5,48,C3,0.5,0,410,2.0,trombone3
820.0,820.5,48,C3,0.5,0,411,1.0,trombone3
821.0,821.5,48,C3,0.5,0,411,2.0,trombone3
822.0,822.5,48,C3,0.5,0,412,1.0,trombone3
823.0,823.5,48,C3,0.5,0,412,2.0,trombone3
824.0,824.5,49,C#3,0.5,0,413,1.0,trombone3
825.0,825.5,50,D3,0.5,0,413,2.0,trombone3
826.0,834.0,51,D#3,8.0,0,414,1.0,trombone3
834.0,842.0,52,E3,8.0,0,418,1.0,trombone3
842.0,842.5,52,E3,0.5,0,422,1.0,trombone3
888.0,890.5,47,B2,2.5,0,445,1.0,trombone3
892.0,894.5,48,C3,2.5,0,447,1.0,trombone3
896.0,898.5,49,C#3,2.5,0,449,1.0,trombone3
900.0,902.5,50,D3,2.5,0,451,1.0,trombone3
904.0,905.0,50,D3,1.0,0,453,1.0,trombone3
908.0,909.0,50,D3,1.0,0,455,1.0,trombone3
996.0,1003.5,41,E#2,7.5,0,499,1.0,trombone3
1104.0,1108.0,52,E3,4.0,0,553,1.0,trombone3
1108.0,1112.0,52,E3,4.0,0,555,1.0,trombone3
1112.0,1116.0,52,E3,4.0,0,557,1.0,trombone3
1116.0,1120.0,52,E3,4.0,0,559,1.0,trombone3
1120.0,1121.0,53,F3,1.0,0,561,1.0,trombone3
1121.5,1122.0,53,F3,0.5,0,561,2.5,trombone3
1122.0,1123.0,53,F3,1.0,0,562,1.0,trombone3
1123.5,1124.0,53,F3,0.5,0,562,2.5,trombone3
1124.0,1125.0,53,F3,1.0,0,563,1.0,trombone3
1125.5,1126.0,53,F3,0.5,0,563,2.5,trombone3
