onset,offset,key,degree,quality,inversion,roman number
0,2,D-,3,M,0,III-
2,4,D-,6,M,1,VI6
4,6,D-,3,M,0,III-
6,8,D-,2,M,0,I
8,10,D-,1,M,0,VII/vi
10,12,D-,4,m,0,iv
12,20.5,D-,1,M,0,I
20.5,21,D-,5,M,0,V
21,24,D-,1,M,1,I6
24,28,D-,1,M,0,I
28,32,D-,5,M,0,V
32,36,D-,1,M,0,I
36,37,D-,2,m7,1,ii65
37,38,D-,5,M,0,V
38,40,D-,1,M,0,I
40,56,D-,4,M,0,IV
56,60,D-,1,M,0,I
60,64,D-,5,M,0,V
64,65,D-,1,M,0,I
65,66,D-,5,M,1,V6
66,67,D-,6,m,0,vi
67,68,D-,1,M,2,I64
68,70,D-,5,M,0,V
70,72,D-,1,M,0,I
72,74,D-,2,m7,1,ii65
74,76,D-,1,M,0,I
76,80,D-,2,m7,1,ii65
80,86,D-,1,M,0,I
86,88,D-,5/7,M,0,V/vii-
88,90,D-,1,M,0,I
90,92,D-,5/2,M,0,V/ii
92,96,D-,2,m7,1,ii65
96,108,D-,1,M,0,I
108,112,D-,6,m,1,vi6
112,116,D-,1,M,0,I
116,140,D-,6,m,1,vi6
140,144,D-,1,M,0,I
144,148,D-,5,M,0,V
148,149,D-,1,M,0,I
149,150,D-,5,M,1,V6
150,151,D-,6,m,0,vi
151,152,D-,1,M,2,I64
152,154,D-,5,M,0,V
154,156,D-,1,M,0,I
156,158,D-,2,m7,1,ii65
158,160,D-,1,M,0,I
160,164,D-,2,m7,1,ii65
164,180,D-,1,M,0,I
180,182,c+,1,m,0,i
182,184,c+,4,m,0,iv
184,186,c+,1,m,0,i
186,188,c+,4,m,0,iv
188,189,c+,5,m,0,v
189,190,c+,1,m,0,i
190,191,c+,5,m,0,iv
191,192,c+,5/3,M,0,V/III
192,194,c+,3,M,0,III
194,198,c+,1,m,0,i
198,200,c+,4,m,0,iv
200,202,c+,1,m,0,i
202,204,c+,4,m,0,iv
204,206,c+,1,m,0,i
206,208,c+,4,m,1,iv6
208,214,c+,1,m,0,i
214,220,c+,4,m,0,iv
220,228,c+,5,D7,0,V7
228,234,c+,1,m,0,i
235,236,c+,3,M,0,III
236,238,c+,5/3,M,0,V/III
238,240,c+,3,M,0,III
240,242,c+,4/6,M,0,IV/VI
242,244,c+,6,M,0,VI
244,246,c+,4,m,0,iv
246,248,c+,5,m,0,v
248,254,c+,1,m,0,i
254,256,c+,4,m,1,iv6
256,258,c+,1,m,0,i
258,260,c+,4,m,1,iv6
260,264,c+,5,m,0,v
264,266,c+,3,M,0,III
266,270,c+,1,m,0,i
270,272,c+,6,M,2,VI64
272,274,c+,1,m,0,i
274,276,c+,6,M,2,VI64
276,278,c+,4/6,M,0,IV/VI
278,280,c+,4/6,M,1,IV6/VI
280,292,c+,5,M,0,V
292,298,c+,4/6,M,0,IV/VI
298,304,c+,6,M,0,VI
304,308,c+,5,M,0,V
308,312,c+,1,m,0,i
312,316,c+,4,m,0,iv
316,320,c+,5,M,0,V
320,322,c+,4,m,0,iv
322,324,c+,5,M,0,V
324,235,c+,4,m,0,iv
324,326,c+,1,m,0,i
326,332,c+,4,m,1,iv6
332,334,c+,5/3,M,0,V/III
334,336,c+,3,M,0,III
336,338,c+,4/6,M,0,IV/VI
338,340,c+,6,M,1,VI6
340,342,c+,4,m,0,iv
342,344,c+,5,M,2,V64
344,346,c+,1,m,0,i
346,348,c+,6,M,0,VI
348,350,c+,1,m,0,i
350,352,c+,6,M,0,VI
352,356,c+,1,m,0,i
356,380,C+,1,M,0,I
380,400,C+,6,M,0,VI
400,404,D-,1,M,0,I
404,408,D-,5,D7,3,V2
408,410,D-,1,M,0,I
410,412,D-,5/6,M,0,V/vi
412,413,D-,2,m,1,ii6
413,414,D-,5,M,0,V
414,416,D-,1,M,0,I
416,436,D-,4,M,0,IV
436,440,D-,1,M,0,I
440,444,D-,5,M,0,V
444,445,D-,1,M,0,I
445,446,D-,5,M,1,V6
446,448,D-,6,m,2,vi64
448,450,D-,4,M,2,IV64
450,452,D-,1,M,0,I
452,454,D-,2,m,1,ii65
454,456,D-,1,M,0,I
456,458,D-,2,m,1,ii65
458,478,D-,1,M,0,I
478,480,D-,5/7,M,0,V/vii-
480,482,D-,1,M,0,I
482,484,D-,6,m,0,vi
484,488,D-,2,m7,1,ii65
488,508,D-,1,M,0,I
