onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.0,52,E3,2.0,0,1,1.0,clarinet2
2.0,4.0,50,D3,2.0,0,1,3.0,clarinet2
4.0,6.0,52,E3,2.0,0,2,1.0,clarinet2
6.0,8.0,49,C#3,2.0,0,2,3.0,clarinet2
8.0,10.0,49,C#3,2.0,0,3,1.0,clarinet2
10.0,11.0,49,C#3,1.0,0,3,3.0,clarinet2
11.0,12.0,51,D#3,1.0,0,3,4.0,clarinet2
12.0,16.5,53,E#3,4.5,0,4,1.0,clarinet2
40.0,40.5,54,G-3,0.5,0,11,1.0,clarinet2
40.5,41.0,58,B-3,0.5,0,11,1.5,clarinet2
41.0,42.0,58,B-3,1.0,0,11,2.0,clarinet2
42.0,42.5,56,A-3,0.5,0,11,3.0,clarinet2
42.5,43.0,53,F3,0.5,0,11,3.5,clarinet2
43.0,44.0,54,G-3,1.0,0,11,4.0,clarinet2
44.0,44.5,54,G-3,0.5,0,12,1.0,clarinet2
44.5,45.0,58,B-3,0.5,0,12,1.5,clarinet2
45.0,45.5,56,A-3,0.5,0,12,2.0,clarinet2
45.5,46.0,53,F3,0.5,0,12,2.5,clarinet2
46.0,48.0,54,G-3,2.0,0,12,3.0,clarinet2
48.0,48.5,54,G-3,0.5,0,13,1.0,clarinet2
48.5,49.0,58,B-3,0.5,0,13,1.5,clarinet2
49.0,50.0,58,B-3,1.0,0,13,2.0,clarinet2
50.0,50.5,56,A-3,0.5,0,13,3.0,clarinet2
50.5,51.0,53,F3,0.5,0,13,3.5,clarinet2
51.0,52.0,54,G-3,1.0,0,13,4.0,clarinet2
52.0,52.5,54,G-3,0.5,0,14,1.0,clarinet2
52.5,53.0,58,B-3,0.5,0,14,1.5,clarinet2
53.0,53.5,56,A-3,0.5,0,14,2.0,clarinet2
53.5,54.0,53,F3,0.5,0,14,2.5,clarinet2
54.0,56.0,54,G-3,2.0,0,14,3.0,clarinet2
56.0,56.5,56,A-3,0.5,0,15,1.0,clarinet2
72.0,73.5,70,B-4,1.5,0,19,1.0,clarinet2
73.5,74.0,63,E-4,0.5,0,19,2.5,clarinet2
74.0,76.0,65,F4,2.0,0,19,3.0,clarinet2
76.0,79.0,70,B-4,3.0,0,20,1.0,clarinet2
79.0,80.0,63,E-4,1.0,0,20,4.0,clarinet2
80.0,84.0,65,F4,4.0,0,21,1.0,clarinet2
84.0,86.0,73,D-5,2.0,0,22,1.0,clarinet2
86.0,88.0,74,D5,2.0,0,22,3.0,clarinet2
88.0,90.0,73,D-5,2.0,0,23,1.0,clarinet2
90.0,92.0,74,D5,2.0,0,23,3.0,clarinet2
92.0,94.0,73,D-5,2.0,0,24,1.0,clarinet2
94.0,96.0,75,E-5,2.0,0,24,3.0,clarinet2
96.0,101.0,77,F5,5.0,0,25,1.0,clarinet2
154.0,155.5,70,B-4,1.5,0,40,1.0,clarinet2
155.5,156.0,63,E-4,0.5,0,40,2.5,clarinet2
156.0,158.0,65,F4,2.0,0,40,3.0,clarinet2
202.0,206.0,61,D-4,4.0,0,52,1.0,clarinet2
206.0,210.0,56,A-3,4.0,0,53,1.0,clarinet2
210.0,214.0,73,D-5,4.0,0,54,1.0,clarinet2
222.0,225.0,73,D-5,3.0,0,57,1.0,clarinet2
225.0,226.0,72,C5,1.0,0,57,4.0,clarinet2
226.0,226.25,73,D-5,0.25,0,58,1.0,clarinet2
226.25,231.0,64,F-4,4.75,0,58,1.25,clarinet2
238.0,239.5,74,E--5,1.5,0,61,1.0,clarinet2
239.5,240.0,71,C-5,0.5,0,61,2.5,clarinet2
240.0,241.0,76,F-5,1.0,0,61,3.0,clarinet2
241.0,242.0,68,A-4,1.0,0,61,4.0,clarinet2
242.0,245.0,69,B--4,3.0,0,62,1.0,clarinet2
245.0,245.5,68,A-4,0.5,0,62,4.0,clarinet2
245.5,246.0,66,G-4,0.5,0,62,4.5,clarinet2
246.0,250.0,64,F-4,4.0,0,63,1.0,clarinet2
250.0,250.25,61,D-4,0.25,0,64,1.0,clarinet2
250.25,250.5,64,F-4,0.25,0,64,1.25,clarinet2
250.5,250.75,68,A-4,0.25,0,64,1.5,clarinet2
250.75,251.0,64,F-4,0.25,0,64,1.75,clarinet2
251.0,251.25,61,D-4,0.25,0,64,2.0,clarinet2
251.25,251.5,64,F-4,0.25,0,64,2.25,clarinet2
251.5,251.75,68,A-4,0.25,0,64,2.5,clarinet2
251.75,252.0,64,F-4,0.25,0,64,2.75,clarinet2
252.0,252.25,57,B--3,0.25,0,64,3.0,clarinet2
252.25,252.5,61,D-4,0.25,0,64,3.25,clarinet2
252.5,252.75,66,G-4,0.25,0,64,3.5,clarinet2
252.75,253.0,61,D-4,0.25,0,64,3.75,clarinet2
253.0,253.25,57,B--3,0.25,0,64,4.0,clarinet2
253.25,253.5,61,D-4,0.25,0,64,4.25,clarinet2
253.5,253.75,66,G-4,0.25,0,64,4.5,clarinet2
253.75,254.0,61,D-4,0.25,0,64,4.75,clarinet2
254.0,254.25,61,D-4,0.25,0,65,1.0,clarinet2
254.25,254.5,64,F-4,0.25,0,65,1.25,clarinet2
254.5,254.75,68,A-4,0.25,0,65,1.5,clarinet2
254.75,255.0,64,F-4,0.25,0,65,1.75,clarinet2
255.0,255.25,61,D-4,0.25,0,65,2.0,clarinet2
255.25,255.5,64,F-4,0.25,0,65,2.25,clarinet2
255.5,255.75,68,A-4,0.25,0,65,2.5,clarinet2
255.75,256.0,64,F-4,0.25,0,65,2.75,clarinet2
256.0,256.25,57,B--3,0.25,0,65,3.0,clarinet2
256.25,256.5,61,D-4,0.25,0,65,3.25,clarinet2
256.5,256.75,66,G-4,0.25,0,65,3.5,clarinet2
256.75,257.0,61,D-4,0.25,0,65,3.75,clarinet2
257.0,257.25,57,B--3,0.25,0,65,4.0,clarinet2
257.25,257.5,61,D-4,0.25,0,65,4.25,clarinet2
257.5,257.75,66,G-4,0.25,0,65,4.5,clarinet2
257.75,258.0,61,D-4,0.25,0,65,4.75,clarinet2
258.0,258.25,56,A-3,0.25,0,66,1.0,clarinet2
258.25,258.5,59,C-4,0.25,0,66,1.25,clarinet2
258.5,258.75,63,E-4,0.25,0,66,1.5,clarinet2
258.75,259.0,59,C-4,0.25,0,66,1.75,clarinet2
259.0,259.25,56,A-3,0.25,0,66,2.0,clarinet2
259.25,259.5,61,D-4,0.25,0,66,2.25,clarinet2
259.5,259.75,64,F-4,0.25,0,66,2.5,clarinet2
259.75,260.0,61,D-4,0.25,0,66,2.75,clarinet2
260.0,260.25,54,G-3,0.25,0,66,3.0,clarinet2
260.25,260.5,64,F-4,0.25,0,66,3.25,clarinet2
260.5,260.75,63,E-4,0.25,0,66,3.5,clarinet2
260.75,261.0,61,D-4,0.25,0,66,3.75,clarinet2
