onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
13.0,16.0,49,D-3,3.0,0,4,2.0,timpani
16.0,16.5,49,D-3,0.5,0,5,1.0,timpani
98.0,100.0,49,D-3,2.0,0,25,3.0,timpani
100.0,102.0,49,D-3,2.0,0,26,1.0,timpani
102.0,102.5,49,D-3,0.5,0,26,3.0,timpani
378.0,382.0,49,C#3,4.0,0,96,1.0,timpani
382.0,386.0,49,C#3,4.0,0,97,1.0,timpani
386.0,390.0,49,C#3,4.0,0,98,1.0,timpani
390.0,394.0,49,C#3,4.0,0,99,3.0,timpani
390.0,392.0,49,C#3,2.0,0,99,3.0,timpani
392.0,394.0,49,C#3,2.0,0,99,1.0,timpani
394.0,398.0,49,C#3,4.0,0,100,1.0,timpani
398.0,399.0,49,C#3,1.0,0,101,1.0,timpani
486.0,490.0,49,D-3,4.0,0,123,1.0,timpani
490.0,491.0,49,D-3,1.0,0,124,1.0,timpani
